# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 271.69992646
0.00100000 1646580.95488869 493.97429820
0.00200000 1646325.11922833 889.01559253
0.00300000 1645898.93749477 987.53939768
0.00400000 1645302.26668981 1850.96512036
0.00500000 1644535.77615024 1628.09048283
0.00600000 1643599.29308764 1898.35726080
0.00700000 1642493.55564708 2759.38928817
0.00800000 1641218.36591995 2215.64488754
0.00900000 1639775.09640214 2459.66274975
0.01000000 1638163.14950997 2702.96931340
0.01100000 1636384.05999382 3240.04057986
0.01200000 1634437.74087440 4462.01522822
0.01300000 1632325.50730576 3427.88371653
0.01400000 1630047.59149187 4034.36796779
0.01500000 1627605.45134732 7031.25586291
0.01600000 1624998.74629045 4972.49638594
0.01700000 1622229.67133141 7884.03655634
0.01800000 1619298.71150445 4615.00153545
0.01900000 1616206.90096846 5818.34510603
0.02000000 1612954.85197352 7113.13121897
0.02100000 1609545.38886482 6373.80002888
0.02200000 1605977.06155554 6094.68322550
0.02300000 1602253.03677379 6921.73343393
0.02400000 1598373.78083947 8391.46273204
0.02500000 1594341.72550220 7461.51961612
0.02600000 1590157.32794529 8372.17871456
0.02700000 1585822.37474259 8658.59056267
0.02800000 1581337.30974221 7566.69937412
0.02900000 1576705.52192423 9223.72772676
0.03000000 1571927.53653509 8040.40971896
0.03100000 1567005.08655236 7521.62476154
0.03200000 1561939.30884351 8504.75992837
0.03300000 1556734.21748731 9527.21385023
0.03400000 1551388.38849015 9773.74729845
0.03500000 1545905.85478257 9182.68120145
0.03600000 1540287.15159549 8548.59408642
0.03700000 1534535.36253989 11370.90756230
0.03800000 1528652.02853285 10731.13773693
0.03900000 1522639.48956469 12790.17230466
0.04000000 1516497.97734878 11191.75559145
0.04100000 1510231.42130375 10465.90423490
0.04200000 1503841.38783258 12609.71062198
0.04300000 1497329.52600238 12847.08792944
0.04400000 1490698.77154221 10062.21717522
0.04500000 1483951.49881307 14334.97214461
0.04600000 1477088.01179576 17702.90064432
0.04700000 1470112.68560582 13760.25537723
0.04800000 1463026.71410526 11828.57153390
0.04900000 1455832.91156611 14194.37154848
