# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 249.69761198
0.00100000 1664564.78768222 749.05417225
0.00200000 1664306.87951589 898.72574340
0.00300000 1663877.23518319 1297.82428968
0.00400000 1663275.73488705 1496.94821828
0.00500000 1662503.02240449 1645.87805733
0.00600000 1661558.95202511 1919.10066772
0.00700000 1660444.22974316 2191.78647435
0.00800000 1659158.68156654 2463.85074615
0.00900000 1657703.70854360 2486.55566911
0.01000000 1656078.67158271 3552.28890393
0.01100000 1654285.13629133 3275.48471247
0.01200000 1652322.99242165 4188.63896943
0.01300000 1650193.62169527 4505.02878592
0.01400000 1647897.15025963 4449.32250294
0.01500000 1645435.18789173 4343.94908947
0.01600000 1642807.27985696 4608.07462600
0.01700000 1640015.65716468 5756.45521488
0.01800000 1637060.85207830 5132.18600220
0.01900000 1633943.85437676 5392.01496274
0.02000000 1630665.30466138 8218.55350727
0.02100000 1627228.01222501 5906.83795218
0.02200000 1623630.54928037 6161.67821446
0.02300000 1619876.14971740 6997.86528531
0.02400000 1615965.23398858 6665.85689415
0.02500000 1611900.24596584 9429.61686956
0.02600000 1607681.53555099 7162.22156847
0.02700000 1603311.15755415 8080.68860418
0.02800000 1598789.42572398 9041.15461709
0.02900000 1594119.62009780 8608.24634377
0.03000000 1589302.54452244 7390.25717172
0.03100000 1584339.61137525 9125.79658143
0.03200000 1579232.22967274 9380.63987631
0.03300000 1573984.43663444 11238.24939566
0.03400000 1568594.59144355 9882.14638206
0.03500000 1563066.93268974 10128.67419155
0.03600000 1557401.94551512 9507.93931677
0.03700000 1551602.69524643 9728.54934912
0.03800000 1545670.76747117 9946.39184899
0.03900000 1539608.56906941 13856.47776332
0.04000000 1533416.24013074 12259.66340795
0.04100000 1527097.78255149 12506.93141900
0.04200000 1520654.77185451 13731.51322689
0.04300000 1514088.88939872 17987.37684099
0.04400000 1507403.18847812 13227.46359320
0.04500000 1500599.73323921 11389.55250450
0.04600000 1493679.13129317 10530.43836514
0.04700000 1486645.59073190 10703.84875108
0.04800000 1479500.60899647 13049.19597850
0.04900000 1472246.68023622 15458.59086204
0.05000000 1464885.89371993 15688.92865231
0.05100000 1457421.69808070 12504.67875205
0.05200000 1449853.54583378 14984.23709448
0.05300000 1442186.91598462 12849.88602046
0.05400000 1434422.67582729 17750.98144116
0.05500000 1426564.21564332 13181.45396745
0.05600000 1418612.80873977 14554.96809687
0.05700000 1410572.93420377 23316.77169078
0.05800000 1402444.24091439 14893.95853395
0.05900000 1394230.45344136 17567.30453386
0.06000000 1385935.29550287 17753.83196483
0.06100000 1377560.33179902 14092.44285286
0.06200000 1369107.94493175 19407.10602656
0.06300000 1360581.94666247 16980.06348826
0.06400000 1351981.04652536 15818.17898411
0.06500000 1343312.38532910 13298.79323685
0.06600000 1334576.44458030 18777.49145382
0.06700000 1325775.08295466 17579.77842269
0.06800000 1316912.07220860 13630.04058537
0.06900000 1307990.97143254 15107.29642735
0.07000000 1299011.38757541 17984.81350318
0.07100000 1289977.97141481 15324.93901819
0.07200000 1280892.27274363 15428.34814797
0.07300000 1271757.87186546 22586.42086263
0.07400000 1262577.68346901 15624.39956515
0.07500000 1253352.28814930 17145.86010555
0.07600000 1244084.72785968 17243.01513650
0.07700000 1234779.17144363 18780.99207827
0.07800000 1225436.48108955 18877.84987648
0.07900000 1216058.58392911 16051.97406076
0.08000000 1206651.03245182 23457.29717127
0.08100000 1197214.02445496 17670.87983004
0.08200000 1187749.36336336 14787.48026778
0.08300000 1178260.20456193 19299.90305651
0.08400000 1168749.86579643 17881.87378604
0.08500000 1159219.82491506 25421.69195381
0.08600000 1149673.10893339 19504.20520881
0.08700000 1140111.02749092 18059.35952348
0.08800000 1130536.18944172 18111.19060543
0.08900000 1120951.80858107 18159.42015196
0.09000000 1111359.67668146 18204.07235919
0.09100000 1101761.70890674 19765.60598640
0.09200000 1092159.97022627 22853.44845079
0.09300000 1082558.39698805 19843.29634927
0.09400000 1072956.21663259 22934.44020838
0.09500000 1063357.23571866 18374.81389688
0.09600000 1053763.17915760 19931.93147072
0.09700000 1044178.88313639 15349.43030372
0.09800000 1034603.28469369 15363.85950007
0.09900000 1025039.70846692 21525.83489000
0.10000000 1015488.40359399 16923.11504174
0.10100000 1005953.00128727 18469.29797228
0.10200000 996435.12113904 18473.90801486
0.10300000 986936.35508100 24633.93258162
0.10400000 977459.32163517 18473.98204801
0.10500000 968006.95348549 15391.31128457
0.10600001 958576.11216675 15385.14732420
0.10700001 949174.67570904 23064.94570511
0.10800001 939799.85215727 19975.44679768
0.10900001 930456.42163798 19958.29118348
0.11000001 921144.64181712 15337.05900816
0.11100001 911865.77119555 21447.08394811
0.11200001 902622.45554326 29068.95754925
0.11300001 893414.96545780 16805.13629146
0.11400001 884246.00220792 18303.89310753
0.11500001 875117.20932815 25885.96827084
0.11600001 866029.09468545 19758.45472570
0.11700001 856983.70492873 18202.33474992
0.11800001 847981.20455180 21191.05129981
0.11900001 839023.40094722 19633.14850692
0.12000001 830111.84861901 18079.83691457
0.12100001 821249.39210389 19537.52395853
0.12200001 812434.93143295 22484.13778666
0.12300001 803671.00084763 20927.59384806
0.12400001 794957.70041121 17886.54910202
0.12500001 786295.86146135 17833.19097825
0.12600001 777688.75863384 14814.97155011
0.12700001 769135.58313111 20674.36544887
0.12800001 760637.07776469 20605.65940777
0.12900001 752195.13819409 22001.70882916
0.13000001 743810.38152446 19000.63709164
0.13100001 735482.86463714 20387.58596876
0.13200001 727214.06679223 17409.50557970
0.13300001 719005.95616912 18787.62652040
0.13400001 710856.90959552 15834.33840776
0.13500001 702769.67239638 14336.50199283
0.13600001 694743.40766054 15704.67547065
0.13700001 686780.12723707 18481.25409540
0.13800001 678878.46298797 15570.07828285
0.13900001 671041.49359499 19728.62084206
0.14000001 663268.01443654 16833.74300029
0.14100001 655558.91732539 13963.40559759
0.14200001 647914.52476107 18067.09737510
0.14300001 640336.62046806 20746.90748175
0.14400001 632821.95252013 16516.65373986
0.14500001 625375.05675389 17804.42870566
0.14600001 617993.93588041 19077.47370060
0.14700001 610681.34284347 16268.55174084
0.14800001 603432.76129392 16184.06742145
0.14900001 596252.51130019 13415.68213722
0.15000001 589139.07203634 13344.00061123
0.15100001 582093.65401126 14598.90953145
0.15200001 575115.80042460 14518.79906682
0.15300001 568206.64068378 15750.68882301
0.15400001 561362.89487912 23493.03825935
0.15500001 554588.72307079 14275.11440553
0.15600001 547879.79606546 16773.34074816
0.15700001 541242.10178985 15392.92610140
0.15800001 534668.31427985 26778.86378463
0.15900001 528164.82053392 15211.14754935
0.16000001 521726.37306110 12599.69250416
0.16100001 515358.46985098 16280.17483109
0.16200001 509056.44300988 14935.71674297
0.16300001 502821.13466221 18554.10074493
0.16400001 496653.15246243 13521.38271413
0.16500001 490551.28180897 15879.14574183
0.16600001 484516.86077928 16992.00710977
0.16700001 478547.01170630 19295.01642301
0.16800001 472642.88999589 15575.94717525
0.16900001 466806.25614110 11903.56009366
0.17000001 461033.34912795 13008.05655988
0.17100001 455325.41770902 15271.61523111
0.17200001 449682.58654615 14003.11640631
0.17300001 444103.85351145 11591.11112403
0.17400001 438589.15194334 11512.96578222
0.17500001 433137.43384156 12578.31167280
0.17600001 427747.56570266 13628.03808693
0.17700001 422422.08640787 12406.53726377
0.17800001 417156.74062265 14560.85671917
0.17900001 411954.11792138 16684.14256387
0.18000001 406812.41768773 12149.45342812
0.18100001 401733.00127679 19741.16061524
0.18200001 396710.89048894 14156.62879583
0.18300001 391749.63722570 10812.29049819
0.18400001 386847.16432655 15029.01304407
0.18500001 382004.74472850 11723.72616957
0.18600001 377218.64435799 15871.47521119
0.18700001 372489.87777630 10504.21504956
0.18800001 367817.95986277 13555.93155121
