# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 399.51617917
0.00100000 1664564.66591528 599.24329396
0.00200000 1664306.38938408 973.61926862
0.00300000 1663876.13547507 1197.99086022
0.00400000 1663273.77592793 1496.94645522
0.00500000 1662499.96574111 1645.87503123
0.00600000 1661554.54338347 2093.55880990
0.00700000 1660438.24571841 2191.77857544
0.00800000 1659150.86601606 3135.79526916
0.00900000 1657693.82823039 3481.15718810
0.01000000 1656066.48574452 3552.26276531
0.01100000 1654270.37293518 3870.99284121
0.01200000 1652305.47807332 4188.59457056
0.01300000 1650173.06220354 4158.43630016
0.01400000 1647873.35277424 4820.02977054
0.01500000 1645407.79438842 6318.36621180
0.01600000 1642776.21207755 4189.07952806
0.01700000 1639980.59750054 5313.53737426
0.01800000 1637021.55714862 5598.61397737
0.01900000 1633900.16305476 5391.87078138
0.02000000 1630616.91161092 7191.02090549
0.02100000 1627174.77678317 8591.48321094
0.02200000 1623572.16011422 7281.72146894
0.02300000 1619812.39778304 6414.45738720
0.02400000 1615895.92846597 8483.45401127
0.02500000 1611825.13697993 8171.95381771
0.02600000 1607600.41299377 7812.93836450
0.02700000 1603223.82424051 6733.54037021
0.02800000 1598695.56610775 7649.75863464
0.02900000 1594019.19436379 7890.39537438
0.03000000 1589195.23053428 10345.66142632
0.03100000 1584225.26686567 8364.70979394
0.03200000 1579110.57246547 10161.57700184
0.03300000 1573855.24295842 13645.32558551
0.03400000 1568457.66451263 9881.28374236
0.03500000 1562922.13483168 10127.73590139
0.03600000 1557249.15513187 12099.82649455
0.03700000 1551441.65775999 9727.53964403
0.03800000 1545501.14755420 12657.65498426
0.03900000 1539430.34831866 11083.89902119
0.04000000 1533229.12066914 10372.29548197
0.04100000 1526901.77717138 9619.48164220
0.04200000 1520449.45999397 10787.58941912
0.04300000 1513874.24102937 10990.72750004
0.04400000 1507179.06296391 15260.18872122
0.04500000 1500365.82310598 15528.78699069
0.04600000 1493435.33814844 12634.46354807
0.04700000 1486391.77473762 13912.62765859
0.04800000 1479236.51711396 11959.62779733
0.04900000 1471972.28496491 15455.70971156
0.05000000 1464600.93945171 13445.03725025
0.05100000 1457126.02467224 17048.37528285
0.05200000 1449547.19626367 19590.63127045
0.05300000 1441869.52650431 14014.97245097
0.05400000 1434094.11166731 11831.27697299
0.05500000 1426224.49917474 19168.45816310
0.05600000 1418261.65708133 18189.20660085
0.05700000 1410210.35253474 17176.36289564
0.05800000 1402069.92098537 14889.98325611
0.05900000 1393844.40687254 13799.06027253
0.06000000 1385537.49118274 17748.73609125
0.06100000 1377150.49195916 16649.75022585
0.06200000 1368686.04645560 19401.12561539
0.06300000 1360147.86221786 14363.16209657
0.06400000 1351534.67708941 17130.70283326
0.06500000 1342853.61899542 18611.95202990
0.06600000 1334105.18853712 18770.86088098
0.06700000 1325291.20424432 16221.56509910
0.06800000 1316415.68446559 16349.88356639
0.06900000 1307481.79265167 17847.12730528
0.07000000 1298489.42647284 13828.91303952
0.07100000 1289443.08861552 20888.97901396
0.07200000 1280344.29419415 14019.77067821
0.07300000 1271196.90069642 16932.34351065
0.07400000 1262003.64180035 14197.54163561
0.07500000 1252764.98276322 15709.67362020
0.07600000 1243484.39228160 15798.46994458
0.07700000 1234165.56273639 20215.63286550
0.07800000 1224809.45605872 21770.98910242
0.07900000 1215418.32395598 18960.52674303
0.08000000 1205997.33850813 16118.15518528
0.08100000 1196546.97603385 16189.28134531
0.08200000 1187068.76266070 17734.80814636
0.08300000 1177566.23144719 17804.80225510
0.08400000 1168042.24819289 26806.57085429
0.08500000 1158498.68985064 26900.34084117
0.08600000 1148938.30206862 16493.01010057
0.08700000 1139362.86636870 21055.42675921
0.08800000 1129774.38673538 21115.48427975
0.08900000 1120176.48589888 16634.62159692
0.09000000 1110570.71042668 21223.00727322
0.09100000 1100959.42140430 18231.88887501
0.09200000 1091343.93888697 27403.64759306
0.09300000 1081729.03369032 16777.61810095
0.09400000 1072113.20308140 18333.13663430
0.09500000 1062500.75057748 21420.01613844
0.09600000 1052893.25521380 22979.39637525
0.09700000 1043295.65186454 19937.38084444
0.09800000 1033706.29742672 19955.70101009
0.09900000 1024129.61919280 18434.33401230
0.10000000 1014564.97558655 16907.72611327
0.10100000 1005016.11345785 24602.79561456
0.10200000 995484.99787396 19994.31712276
0.10300000 985973.01808694 21533.65172798
0.10400000 976482.72243515 19993.48468245
0.10500000 967017.52362608 16913.13728397
0.10600001 957573.69638353 16905.96440514
0.10700001 948159.20805619 16896.19788266
0.10800001 938771.58289356 24558.26576425
0.10900001 929415.42707862 16868.89079542
0.11000001 920090.86617488 15319.51364289
0.11100001 910799.31977781 19891.85808032
0.11200001 901543.46411542 21393.62741061
0.11300001 892323.40206134 18310.47707237
0.11400001 883141.94381076 15234.19924803
0.11500001 874000.74119025 22811.42041921
0.11600001 864900.47090850 22768.50596887
