# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1628779.37420969 342.04366858
0.00100000 1628694.46211834 537.46918526
0.00200000 1628439.69854135 1025.91704257
0.00300000 1628015.29980597 1074.49013615
0.00400000 1627421.11672391 1586.73564910
0.00500000 1626657.83059017 1610.39131603
0.00600000 1625725.25592348 2048.41390586
0.00700000 1624624.15026776 2729.36868588
0.00800000 1623354.31104502 2410.68125368
0.00900000 1621917.08751395 3649.31360291
0.01000000 1620311.88925932 2940.86620599
0.01100000 1618540.23737978 2913.37255413
0.01200000 1616602.11312567 3467.61168469
0.01300000 1614498.76277864 5085.67132706
0.01400000 1612230.44221441 3990.27052137
0.01500000 1609798.55128702 4636.22003415
0.01600000 1607202.88524196 4918.04104869
0.01700000 1604445.48042047 6498.00448719
0.01800000 1601526.92262359 5933.65751532
0.01900000 1598448.16948358 5754.41366979
0.02000000 1595209.93702128 6029.89383471
0.02100000 1591814.91775230 6828.88630677
0.02200000 1588261.78065729 6027.45373144
0.02300000 1584553.55713736 7986.15029149
0.02400000 1580690.94429838 5927.59131140
0.02500000 1576676.12515088 8608.65203649
0.02600000 1572509.59760690 10189.86265856
0.02700000 1568193.29978096 6586.41216075
0.02800000 1563727.47821201 6802.21484217
0.02900000 1559115.65034370 9822.42904815
0.03000000 1554358.36079301 12287.20340685
0.03100000 1549457.24127223 8924.87412039
0.03200000 1544413.40891407 9938.30074410
0.03300000 1539230.94996030 9420.09384803
0.03400000 1533908.39090366 12079.52913572
0.03500000 1528449.90864531 9904.35586539
0.03600000 1522855.88067608 10987.40568685
0.03700000 1517129.48611084 8647.63847076
0.03800000 1511272.02517908 12377.31845903
0.03900000 1505286.10200397 9934.88873331
0.04000000 1499171.77253588 10141.89751117
0.04100000 1492933.22596705 15048.76761551
0.04200000 1486571.60730967 11506.06477438
0.04300000 1480088.96183389 17583.45768277
0.04400000 1473488.07513589 11935.25396290
0.04500000 1466771.18345346 11132.79379970
0.04600000 1459938.75217480 15438.85302195
0.04700000 1452995.04377967 11507.72128194
0.04800000 1445941.53371107 12753.20492071
0.04900000 1438780.59445255 14028.11144889
0.05000000 1431514.30192649 13141.30190362
0.05100000 1424146.26593004 14440.84380924
0.05200000 1416675.82736757 13515.08802291
0.05300000 1409108.31578626 19403.42241292
0.05400000 1401444.55993356 18499.06905381
0.05500000 1393688.38692615 12877.68129593
0.05600000 1385840.40840342 16588.51046268
0.05700000 1377905.45864347 13186.55585475
0.05800000 1369883.10364853 15760.50584337
0.05900000 1361777.07947547 15932.79257402
0.06000000 1353591.12115059 18578.03900574
0.06100000 1345326.50045343 21269.61296613
0.06200000 1336985.83935977 15161.42012704
0.06300000 1328572.82576142 16580.58964073
0.06400000 1320086.31109485 18019.17898914
0.06500000 1311533.09206816 15581.01386262
0.06600000 1302914.09709925 20950.85966162
0.06700000 1294230.49903837 18481.61239119
0.06800000 1285486.64660898 21287.65986430
0.06900000 1276685.75209870 13405.20102465
0.07000000 1267827.83313886 13502.36705522
0.07100000 1258916.85497868 17675.19347177
0.07200000 1249954.63366539 15055.70426781
0.07300000 1240944.94380960 17906.83637821
0.07400000 1231890.32096638 19402.27346449
0.07500000 1222791.44360880 18121.77004369
0.07600000 1213651.60800828 19624.74742151
0.07700000 1204474.60636765 15501.58891080
0.07800000 1195261.28198205 14163.84685572
0.07900000 1186013.85449064 22771.46707429
0.08000000 1176737.65675697 17156.83584036
0.08100000 1167432.87673184 15795.36756327
0.08200000 1158100.96818601 17302.02927660
0.08300000 1148745.62887147 20263.87384432
0.08400000 1139369.78431252 17432.35851823
0.08500000 1129975.06588679 20407.35064794
0.08600000 1120564.09984828 19010.37084649
0.08700000 1111139.01775756 17600.44286776
0.08800000 1101701.55977803 19120.03146790
0.08900000 1092255.26620446 17694.53614362
0.09000000 1082801.71769665 19214.31738313
0.09100000 1073343.10385141 19255.77618775
0.09200000 1063881.18392975 17809.37185579
0.09300000 1054420.11141758 16354.05669660
0.09400000 1044958.96789999 16379.73259164
0.09500000 1035501.47847659 14911.22199093
0.09600000 1026049.22059344 16421.91854756
0.09700000 1016607.57415344 20921.78485967
0.09800000 1007174.57561420 16452.19746620
0.09900000 997754.49873258 20952.84545864
0.10000000 988346.80503993 16470.80028057
0.10100000 978955.32125899 14978.01711971
0.10200000 969581.62166236 20972.05146300
0.10300000 960227.60690391 20971.37192129
0.10400000 950895.60190322 20967.24900837
0.10500000 941588.60817187 25451.14127635
0.10600001 932303.32810678 23941.55059232
0.10700001 923047.32874350 19439.37765811
0.10800001 913818.45014517 22411.39854453
0.10900001 904621.11729260 16418.87405163
0.11000001 895455.65035730 14909.33728022
0.11100001 886323.00107430 16379.24983088
0.11200001 877226.22934120 17842.78234479
0.11300001 868165.41589844 22268.44396621
0.11400001 859142.99185286 16302.23903799
0.11500001 850160.53813970 16272.07346621
0.11600001 841219.41809766 16239.74163113
0.11700001 832320.58058604 20624.90495825
0.11800001 823464.90683208 19108.50406302
0.11900001 814653.70803211 20529.27440937
0.12000001 805888.67443087 14626.88012992
0.12100001 797172.56126486 17505.91027005
0.12200001 788504.56122495 18912.28279196
0.12300001 779886.82999480 14505.89572134
0.12400001 771319.73680287 17354.69489577
0.12500001 762803.81527593 15858.69206686
0.12600001 754342.72463627 14370.22958150
0.12700001 745934.79646355 15754.14364375
0.12800001 737581.83234722 21408.31369284
0.12900001 729285.03728739 14221.05889737
0.13000001 721045.12659211 15585.39114590
0.13100001 712862.35849792 21172.01304539
0.13200001 704737.78130088 21089.27909958
0.13300001 696673.64867363 16803.76919819
0.13400001 688668.60756522 16734.64795280
0.13500001 680724.58604598 16664.13865209
0.13600001 672841.45329126 16592.27102050
0.13700001 665020.74802222 22025.48821307
0.13800001 657261.54979760 15074.29435545
0.13900001 649566.29849116 21825.42865855
0.14000001 641934.34902247 14934.60333433
0.14100001 634366.33251211 18916.80492768
0.14200001 626862.57206677 17480.06364653
0.14300001 619424.62228396 18731.40146138
0.14400001 612049.59425714 14643.28723332
0.14500001 604742.09193998 18541.39341352
0.14600001 597499.70343960 18444.81671530
0.14700001 590325.22053335 17036.78666833
0.14800001 583214.27151057 20855.74333316
0.14900001 576171.35868129 15556.62741837
0.15000001 569194.45849004 19338.38263964
0.15100001 562284.96408696 15384.11734332
0.15200001 555442.64050869 17846.37288166
0.15300001 548668.32279867 15209.08662568
0.15400001 541958.90541635 13860.59966012
0.15500001 535318.54970674 13779.10011973
0.15600001 528742.75024796 16187.46006281
0.15700001 522237.59168903 12377.03150719
0.15800001 515795.80708151 14762.07669542
0.15900001 509423.50213575 19561.86340534
0.16000001 503115.51116973 13365.26418510
0.16100001 496877.57181878 15696.36323469
0.16200001 490704.57280665 11997.72737149
0.16300001 484598.23506518 15497.45228899
0.16400001 478557.97916243 14213.17265212
0.16500001 472583.40569789 18827.72377189
0.16600001 466675.65814799 18704.36126166
0.16700001 460831.74933063 11612.96063143
0.16800001 455052.49008591 17303.37175252
0.16900001 449340.39933616 12603.99879652
0.17000001 443691.37720701 13656.82123530
0.17100001 438106.47379485 13563.77706919
0.17200001 432586.16740626 14593.29504659
0.17300001 427128.84752872 15607.28882575
0.17400001 421734.77155692 16605.80741428
0.17500001 416403.40232436 12092.35537459
0.17600001 411132.93930096 14190.25407017
0.17700001 405925.96805563 10838.22385898
0.17800001 400778.86821123 13989.18705565
0.17900001 395693.26978832 13888.83442559
0.18000001 390668.23141790 10606.64298400
0.18100001 385704.27169927 10529.72711478
0.18200001 380797.37566840 14634.04383822
0.18300001 375950.11968138 10376.22379337
0.18400001 371161.05926093 13389.63584537
0.18500001 366431.29826528 15335.15055687
0.18600001 361757.15205785 11162.01745408
0.18700001 357139.52730950 12085.60217514
0.18800001 352578.09902049 12994.26645333
0.18900001 348074.07660673 11904.13398239
0.19000001 343621.41025410 13782.65541651
0.19100001 339227.31746111 9769.74720450
0.19200001 334884.14637098 9694.89649554
0.19300001 330596.40308699 11544.42694130
0.19400001 326359.36278538 9546.01181256
0.19500001 322175.70770705 13260.75275586
0.19600001 318042.90021814 15037.06903291
0.19700001 313960.68363101 10257.09601895
0.19800001 309929.26410358 10176.52786777
0.19900001 305947.88563798 12849.81180408
0.20000001 302014.32009461 11837.45183556
0.20100001 298130.54460274 9033.35592840
0.20200001 294293.07023204 13441.83661816
0.20300001 290504.58207008 11556.27282095
0.20400001 286762.09310896 10581.52173586
0.20500001 283065.14875576 10496.05621198
0.20600001 279413.71545414 12146.11478491
0.20700001 275807.73906746 10326.24223880
0.20800001 272244.77077025 11948.82355393
0.20900001 268727.81397607 12697.38981059
0.21000001 265251.81880792 10913.78660077
0.21100001 261818.93099478 10823.59511899
0.21200001 258427.73458957 12385.14976571
0.21300001 255077.02313279 9825.56739558
0.21400001 251768.00488584 8931.47039557
0.21500001 248499.89993448 11271.95599394
0.21600001 245270.31739867 8781.90412966
0.21700001 242080.10656981 9499.22383092
0.21800001 238928.28927941 7848.79467392
0.21900001 235813.53653589 10116.40119571
0.22000001 232736.10424799 7715.20222062
0.22100001 229696.89622544 9178.68840717
0.22200001 226693.92505604 8341.20336685
0.22300001 223725.33396933 11275.75736523
0.22400001 220791.85778073 8196.89810771
0.22500001 217895.09964335 10341.30191809
0.22600001 215030.42613005 8053.96499156
0.22700001 212201.45094494 8708.74795861
0.22800001 209404.83156315 12947.50134784
0.22900001 206639.94109004 8554.89396570
0.23000001 203908.45735437 7771.97121961
0.23100001 201209.44533077 7002.08902866
0.23200001 198540.24784457 7632.88018937
0.23300001 195902.30692559 10314.25694744
0.23400001 193295.57025243 7495.03609102
0.23500001 190717.29748770 6751.39265038
0.23600001 188169.79487965 8027.32382923
0.23700001 185651.10986027 8616.06841614
0.23800001 183161.32930679 8536.23415610
0.23900001 180699.41211458 7806.21497258
0.24000001 178265.35580273 7088.72220879
0.24100001 175859.82372825 7022.08309362
0.24200001 173481.11488343 6955.72563027
0.24300001 171129.07632589 7515.98938776
0.24400001 168803.07911164 6203.51345080
0.24500001 166503.43384325 6143.97699945
0.24600001 164229.42281424 7910.11052404
0.24700001 161981.23991221 6628.27265076
0.24800001 159757.86793171 6563.65231448
0.24900001 157558.33738670 7090.12551782
0.25000001 155384.32889757 8190.30836366
0.25100001 153233.22101427 6950.65923404
0.25200001 151107.50084503 7454.88890688
0.25300001 149005.14508113 5677.09629618
0.25400001 146925.34407680 7305.86307987
0.25500001 144868.29118608 10569.59102500
0.25600001 142834.57197828 6607.52761233
0.25700001 140822.44705043 5994.81185457
0.25800001 138833.15650125 5933.03522380
0.25900001 136865.76993383 6405.31833597
0.26000001 134920.07148629 5810.33315348
0.26100001 132994.73114433 5749.36249941
0.26200001 131092.12068791 6205.90128701
0.26300001 129209.32643689 9721.71018112
0.26400001 127347.54487913 5062.06514847
0.26500001 125506.71853136 6510.03379827
0.26600001 123685.33207153 5448.95756225
0.26700001 121885.10447963 7839.65029110
0.26800001 120105.21235904 5330.87010282
0.26900001 118343.50672385 5272.20347404
0.27000001 116602.62831789 5687.87647851
0.27100001 114880.34495014 5155.83012535
0.27200001 113178.74318436 6488.53765382
0.27300001 111495.33008522 5498.94994004
0.27400001 109828.98565771 4983.49046006
0.27500001 108184.33660456 5822.48127161
0.27600001 106555.75751609 4427.39193432
0.27700001 104947.18835049 4376.29796133
0.27800001 103355.98472815 6055.62743182
0.27900001 101784.18181580 6412.40375788
0.28000001 100228.80343183 5492.03754398
0.28100001 98692.16577613  5427.08245289
0.28200001 97173.84316705  5362.53878898
0.28300001 95672.53361659  4075.65012497
0.28400001 94188.38199878  4026.55352103
0.28500001 92722.22523652  4375.56201601
0.28600001 91273.06575794  4715.16680023
0.28700001 89840.95050147  4269.24216990
0.28800001 88425.25015435  4983.20520832
0.28900001 87028.22695564  4542.87366212
0.29000001 85646.60052976  5607.71143512
0.29100001 84282.30910112  5537.34797005
0.29200001 82934.77190146  4009.48173737
0.29300001 81603.58672702  5038.20568301
0.29400001 80288.11928779  4263.29933599
0.29500001 78990.14391072  3857.87881122
0.29600001 77707.71046385  5192.81799756
0.29700001 76441.46051629  4100.32013619
0.29800001 75191.18990478  4721.25503762
0.29900001 73957.44616299  3993.70228186
0.30000001 72738.78351936  3284.15623137
0.30100001 71537.09863117  4860.94608211
0.30200001 70349.07970039  3836.83898850
0.30300001 69178.45885203  3469.99166029
0.30400001 68023.19681004  3423.26754153
0.30500001 66883.04172957  4297.90446501
0.30600001 65757.18958312  4844.98995786
0.30700001 64648.01978481  3584.08638655
0.30800001 63553.31705009  4123.97493862
0.30900001 62473.96186565  3776.55117358
0.31000001 61409.90493510  3151.24942094
0.31100001 60359.70911135  2824.83452015
0.31200001 59325.34329791  2785.32499971
0.31300001 58304.85919426  3020.77489788
0.31400001 57300.11257047  2707.43044714
0.31500001 56309.14648318  3469.76977058
0.31600002 55333.14600823  2631.09121727
0.31700002 54371.34636599  3630.91868224
0.31800002 53423.92892468  3067.60214410
0.31900002 52490.83048524  3527.38397563
0.32000002 51571.92228754  2731.50699330
0.32100002 50666.63906893  2447.19878290
0.32200002 49776.42785283  2894.00165240
0.32300002 48898.62205841  2614.12045902
0.32400002 48035.09978537  2575.88234796
0.32500002 47185.22517599  3230.30066851
0.32600002 46349.36792064  2955.46758541
0.32700002 45526.38128801  2239.89806544
0.32800002 44717.83774138  2648.19047644
0.32900002 43921.67391105  2174.12296155
0.33000002 43139.72111233  2570.26470559
0.33100002 42368.36981985  2109.94491694
0.33200002 41613.40732348  2286.44877366
0.33300002 40869.78175835  2047.57616306
0.33400002 40139.36933696  3227.20544752
0.33500002 39420.93338585  2781.54119143
0.33600002 38715.90464723  2544.21579438
0.33700002 38022.71622012  2120.52698402
0.33800002 37342.63125482  3038.19662277
0.33900002 36674.15684754  2057.42029658
0.34000002 36018.43467766  2210.81162521
0.34100002 35374.42940301  1814.70831432
0.34200002 34743.07470223  2145.03753370
0.34300002 34122.74770481  1936.80725145
0.34400002 33515.31696333  1907.85950849
0.34500002 32918.77169319  2221.02963133
0.34600002 32334.85456702  1851.33218591
0.34700002 31760.62924178  1823.69541743
0.34800002 31199.29486408  1633.28316349
0.34900002 30648.54705081  1930.85855565
0.35000002 30108.93768084  2219.32990157
0.35100002 29581.17968299  2342.82954185
0.35200002 29062.73066763  1538.87166174
0.35300002 28555.80971304  1971.20763785
0.35400002 28059.76779158  1643.60097624
0.35500002 27574.20121102  1472.46241441
0.35600002 27098.31738389  2031.56095049
0.35700002 26633.40736569  1573.23544761
0.35800002 26178.94426618  2114.60432326
0.35900002 25734.41257097  2223.45335145
0.36000002 25300.02210692  1369.99626198
0.36100002 24874.77258362  1485.77023680
0.36200002 24460.34671288  1731.42572408
0.36300002 24054.64835843  1444.72224884
0.36400002 23658.37008292  1554.35498807
0.36500002 23271.43870954  1405.36225024
0.36600002 22894.00756952  1890.47276460
0.36700002 22525.21115758  1243.39171480
0.36800002 22166.78773782  1472.31811129
0.36900002 21816.30557219  1331.88551827
0.37000002 21474.16965205  1792.55639662
0.37100002 21140.63418649  1415.57693218
0.37200002 20816.38053904  1281.14420096
0.37300002 20500.03198975  1380.06221892
0.37400002 20191.91262580  1135.79513901
0.37500002 19892.47190976  1234.12901574
0.37600002 19601.12940848  1330.13270467
0.37700002 19317.02399046  1423.85790579
0.37800002 19040.67298425  1407.20100356
0.37900002 18772.67116541  1284.05076854
0.38000002 18512.15068984  1269.56335445
0.38100002 18258.10703332  1255.42749908
0.38200002 18012.31860790  1241.76930366
0.38300002 17773.17794781  1126.10860812
0.38400002 17541.75219523  1620.85797963
0.38500002 17316.34265905  1002.61628746
0.38600002 17098.64094992  992.57615417
0.38700002 16887.25656453  1081.12221648
0.38800002 16682.50080123  1168.10876144
0.38900002 16483.62934903  1157.15083512
0.39000002 16292.34816929  1146.65551848
0.39100002 16106.40519809  1136.46800462
0.39200002 15927.01526003  1126.67711287
0.39300002 15753.40323353  1396.53926282
0.39400002 15586.93998582  1385.28935687
0.39500002 15424.91160298  1007.86377189
0.39600002 15268.93785132  909.26529213
0.39700002 15118.37502616  1173.33714137
0.39800002 14973.65966975  1075.40828843
0.39900002 14834.08835853  979.04987805
0.40000002 14699.54472011  1149.43095385
0.40100002 14570.61091691  966.46866791
0.40200002 14446.67278616  1222.62197582
0.40300002 14327.15926797  1215.51624989
0.40400002 14213.02377404  1467.85009981
0.40500002 14103.74800906  944.81012389
0.40600002 13999.06142315  940.10701441
0.40700002 13898.66188639  1105.77759207
0.40800002 13802.92468315  1100.85231026
0.40900002 13711.33802692  927.57206147
0.41000002 13624.42692777  1175.92434385
0.41100002 13541.38525622  1171.60070788
0.41200002 13462.09882372  1084.17018014
0.41300002 13387.58868485  1080.78008574
0.41400002 13316.23174994  1077.61610542
0.41500002 13249.03122966  1157.43542307
0.41600002 13184.98530950  989.66504422
0.41700002 13124.88692020  822.93044889
0.41800002 13069.39594256  985.69388869
0.41900002 13015.19553024  901.95309298
0.42000002 12965.40175783  900.64167578
0.42100002 12919.49830104  1144.92599369
0.42200002 12876.49603425  1062.11782571
0.42300002 12836.14799176  816.37905096
0.42400002 12798.66657021  979.09803902
0.42500002 12764.70665270  897.23127313
0.42600002 12732.44936596  1060.16744669
0.42700002 12704.54691548  897.19514569
0.42800002 12678.07000553  1060.58399657
0.42900002 12655.60180751  816.28635527
0.43000002 12634.97716585  1061.90670623
0.43100002 12615.91222871  899.26226628
0.43200002 12600.34887377  1063.91050757
0.43300002 12586.95437171  1229.11615264
0.43400002 12575.62036287  820.55926756
0.43500002 12566.49343231  1150.58819319
0.43600002 12559.79832875  987.95378336
0.43700002 12554.57029948  989.80236932
0.43800002 12551.36398872  1157.11030095
0.43900002 12550.72937682  1159.68744937
0.44000002 12551.42648912  913.30459176
0.44100002 12554.32052729  915.58663944
0.44200002 12558.65151817  1001.42691952
0.44300002 12564.94519516  1004.19046759
0.44400002 12572.98755606  1007.09635097
0.44500002 12581.44444397  1010.03840783
0.44600002 12591.96606684  1182.00791071
0.44700002 12604.72642626  1101.14895278
0.44800002 12617.48731172  849.78781072
0.44900002 12633.24758432  1023.29310283
0.45000002 12649.46839507  941.31023523
0.45100002 12666.71278823  1288.20475161
0.45200002 12685.37633191  1034.36563513
0.45300002 12704.96762089  865.20833599
0.45400002 12725.95359824  1129.11028652
0.45500002 12747.88974921  1307.93355026
0.45600002 12770.64192447  1050.51305449
0.45700002 12794.44144236  1230.56943625
0.45800002 12818.71833994  882.56879953
0.45900002 12844.09115515  1329.36349756
0.46000002 12870.90712268  979.02559669
0.46100002 12897.39348364  1340.68411617
0.46200002 12925.39139900  897.66847521
0.46300002 12954.13663809  1081.92954329
0.46400002 12982.68637700  1086.65090126
0.46500002 13012.50467602  1182.44635595
0.46600002 13042.49246045  1370.43996024
0.46700002 13072.96352281  917.72208280
0.46800002 13104.65956185  921.91284387
0.46900002 13135.78795023  1203.89502270
