# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 374.54641798
0.00100000 1664564.46398409 549.30628616
0.00200000 1664305.57480260 898.72503885
0.00300000 1663874.30462866 1197.98954201
0.00400000 1663270.51448885 1372.19822659
0.00500000 1662494.87345820 1945.11907894
0.00600000 1661547.21666525 2616.93697279
0.00700000 1660428.29749117 2191.76544378
0.00800000 1659137.87075163 3135.77070811
0.00900000 1657677.35604988 2983.81936844
0.01000000 1656046.16865321 4371.96207402
0.01100000 1654245.81079428 3573.17110689
0.01200000 1652276.27159549 3544.13275796
0.01300000 1650138.84253403 4504.87923880
0.01400000 1647833.73036245 6302.96429805
0.01500000 1645362.34031769 4343.75677186
0.01600000 1642724.49601566 5445.63194773
0.01700000 1639922.38772077 6641.68596821
0.01800000 1636956.38075744 5131.85848460
0.01900000 1633827.62172434 5881.77970361
0.02000000 1630536.68792657 7190.66711903
0.02100000 1627086.41154754 8054.07810232
0.02200000 1623475.41240375 6721.18851271
0.02300000 1619706.85036644 8163.32289743
0.02400000 1615781.19735256 9088.76964953
0.02500000 1611700.77715499 6914.19664977
0.02600000 1607466.37297092 7812.28692996
0.02700000 1603079.41512425 8079.52062228
0.02800000 1598540.62882695 7649.01725972
0.02900000 1593853.42374874 8606.80888342
0.03000000 1589018.18661476 9605.61537961
0.03100000 1584036.70746682 9884.38950940
0.03200000 1578910.16015488 9378.72678329
0.03300000 1573642.48513824 11235.80786186
0.03400000 1568232.56155644 12349.83199208
0.03500000 1562684.19177345 10126.19403030
0.03600000 1556998.04181677 12962.00929715
0.03700000 1551177.24838245 8841.71072469
0.03800000 1545223.11996684 12655.37793821
0.03900000 1539138.26565082 11081.79602588
0.04000000 1532922.92065827 10370.22403880
0.04100000 1526580.90876693 10579.20618828
0.04200000 1520114.08620893 10785.20994201
0.04300000 1513523.81075745 11987.10913762
0.04400000 1506813.22070726 11188.08868335
0.04500000 1499984.62718727 13454.86273105
0.04600000 1493038.57645532 12631.10694399
0.04700000 1485979.04504742 11768.95458413
0.04800000 1478807.48431137 18477.70037620
0.04900000 1471526.89804953 11036.45224909
0.05000000 1464138.97494212 12320.73004787
0.05100000 1456647.49680791 13634.22120526
0.05200000 1449051.48221586 12671.95580251
0.05300000 1441356.78423384 14009.98859587
0.05400000 1433563.94793021 17740.35468294
0.05500000 1425676.99192280 14370.82474897
0.05600000 1417696.30817518 14545.56480063
0.05700000 1409627.25284507 13490.13343943
0.05800000 1401469.01038527 12403.00132104
0.05900000 1393225.40838421 13792.93218721
0.06000000 1384900.26470768 13939.02181550
0.06100000 1376494.90787359 17921.96453803
0.06200000 1368012.06218006 14220.48605108
0.06300000 1359455.06193632 13050.76920478
