# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656089 399.51617917
0.00100000 1664564.42881845 649.18014266
0.00200000 1664305.43543180 823.83121663
0.00300000 1663873.99664413 1098.15687690
0.00400000 1663269.95997682 1372.19776912
0.00500000 1662494.01284066 1645.86913786
0.00600000 1661545.95821327 2093.54799258
0.00700000 1660426.59199573 3387.27038845
0.00800000 1659135.65354607 2687.79987222
0.00900000 1657674.53995100 3729.76787433
0.01000000 1656042.68590102 4645.19993453
0.01100000 1654241.64004610 4168.68911442
0.01200000 1652271.29864266 3544.12209098
0.01300000 1650132.98314522 4851.39118442
0.01400000 1647826.96806175 5190.65517950
0.01500000 1645354.61392458 5528.39174896
0.01600000 1642715.66925624 5026.71017264
0.01700000 1639912.48089031 6198.86945584
0.01800000 1636945.33355085 5598.35329266
0.01900000 1633815.31170685 5391.59077192
0.02000000 1630523.07424230 8731.45145754
0.02100000 1627071.38728897 6980.13656794
0.02200000 1623459.02008328 8401.40081063
0.02300000 1619688.96194400 5830.88052841
0.02400000 1615761.78722599 6665.01767622
0.02500000 1611679.78594456 9428.32717837
0.02600000 1607443.78619346 7812.17715822
0.02700000 1603055.06783562 8079.39791194
0.02800000 1598514.56661158 10430.30802547
0.02900000 1593825.55499171 10758.32299015
0.03000000 1588988.37055720 8127.67588899
0.03100000 1584005.02138255 9123.86934298
0.03200000 1578876.52654861 9378.52699966
0.03300000 1573606.88769555 8025.39549722
0.03400000 1568195.02322223 9056.32667697
0.03500000 1562644.50867620 10125.93688382
0.03600000 1556956.15176133 12097.54985826
0.03700000 1551133.22953685 10609.75178071
0.03800000 1545176.93930632 10847.14261593
0.03900000 1539089.84637867 21239.44086362
0.04000000 1532872.27129401 12255.31437689
0.04100000 1526527.95951655 13463.97722721
0.04200000 1520058.76954598 12745.69337395
0.04300000 1513466.19886179 11986.65285138
0.04400000 1506753.07419554 12204.70046779
0.04500000 1499922.20181445 13454.30277543
0.04600000 1492973.74461227 14735.65154434
0.04700000 1485911.66048477 14977.99023428
0.04800000 1478737.61810948 15216.21079833
0.04900000 1471454.52260060 12139.50037652
0.05000000 1464064.08419007 12320.09984216
0.05100000 1456570.16619673 14769.62217326
0.05200000 1448971.48369629 13823.18859864
0.05300000 1441274.43262963 12841.75579339
0.05400000 1433478.98413558 15374.06282181
0.05500000 1425589.37541606 15567.43670575
0.05600000 1417606.09290598 14544.63919193
0.05700000 1409534.47464375 14715.54060218
0.05800000 1401373.73052099 14882.58971304
0.05900000 1393127.48134031 17553.40708473
0.06000000 1384799.70370159 20273.46860934
0.06100000 1376391.83808428 14080.48916160
0.06200000 1367906.37050025 20682.74528875
0.06300000 1359346.89384567 13049.73079106
0.06400000 1350712.64476187 14486.39379255
0.06500000 1342010.36142211 15943.08383948
0.06600000 1333240.77215636 16078.88446451
0.06700000 1324405.32627624 14859.82845624
0.06800000 1315507.90903335 21784.81199332
0.06900000 1306552.77977532 16462.56579593
0.07000000 1297539.02604515 15200.67040194
0.07100000 1288471.17006543 16698.58714617
0.07200000 1279351.12206592 15409.78498718
0.07300000 1270181.94742685 16918.82433247
0.07400000 1260967.17899512 15604.46957135
0.07500000 1251707.00743999 15696.40660903
0.07600000 1242404.80748689 15784.75381912
0.07700000 1233064.58281468 20197.59881354
0.07800000 1223687.47318273 17400.83668469
0.07900000 1214274.63766512 20399.81486960
0.08000000 1204832.18740089 21958.06764546
0.08100000 1195360.69352011 16173.23094215
0.08200000 1185861.53023313 17716.77209305
0.08300000 1176337.74994121 14821.85634488
0.08400000 1166793.19710190 16364.27535747
0.08500000 1157228.94815530 22392.38119802
0.08600000 1147647.73821977 17972.16442434
0.08700000 1138051.87507945 15022.28545646
0.08800000 1128442.77724223 21090.59649715
0.08900000 1118824.37388756 15104.12975692
0.09000000 1109198.74030006 22710.84527450
0.09100000 1099567.11142879 16691.42953567
0.09200000 1089932.10145370 16725.00888266
0.09300000 1080297.63123299 24371.51570589
0.09400000 1070662.31566798 15256.93871531
0.09500000 1061030.59387659 21390.37777796
0.09600000 1051404.24994071 24476.69208921
0.09700000 1041787.46166370 19908.55932835
0.09800000 1032179.81099858 33721.31601082
0.09900000 1022584.39842397 18406.52003715
0.10000000 1013001.82671649 18416.37407578
0.10100000 1003434.93388047 23028.83281564
0.10200000 993886.16152233 16891.09610957
0.10300000 984357.01784430 26105.14934124
0.10400000 974849.38383587 16889.26636951
0.10500000 965366.97803170 21489.06994203
0.10600001 955906.39341226 16876.52816979
0.10700001 946475.93247372 15332.91082761
0.10800001 937071.67458581 15321.12260052
0.10900001 927699.59414374 18368.45282857
0.11000001 918359.71212239 15290.68992656
0.11100001 909052.54388878 19853.70849311
0.11200001 899781.86497568 18301.56399519
0.11300001 890547.12943811 16751.19229339
0.11400001 881351.44959600 16723.64454351
0.11500001 872195.68581734 15176.20564784
0.11600001 863081.94370147 18176.50659031
0.11700001 854011.05475007 21162.39493335
0.11800001 844983.30765538 15082.95275203
0.11900001 836000.94426683 15048.01770559
0.12000001 827064.81863978 15011.22716541
0.12100001 818178.27661164 16469.92948406
0.12200001 809340.50171381 14932.33296010
0.12300001 800553.53690184 16379.32613671
0.12400001 791817.35528481 14846.57611112
0.12500001 783133.48823313 14801.22362505
0.12600001 774504.99855281 19180.61719302
0.12700001 765930.32559660 17647.03553339
0.12800001 757411.32596824 20518.27378749
0.12900001 748949.18747275 18985.86279728
0.13000001 740544.54666701 17462.04123348
0.13100001 732197.54657309 20296.51694774
0.13200001 723910.00894616 15886.20589520
0.13300001 715683.35568240 14385.23612738
0.13400001 707516.37784346 27221.69392091
0.13500001 699412.00207459 14268.00551503
0.13600001 691368.51034233 14207.62355744
0.13700001 683389.17947724 15560.77235044
0.13800001 675471.53649023 14083.58219994
0.13900001 667618.93587062 18225.99780877
0.14000001 659830.52068736 16746.49940482
0.14100001 652106.96068368 13889.87891765
0.14200001 644448.41182808 17970.44481141
0.14300001 636857.33478799 13756.11908026
0.14400001 629329.13824423 20531.86410370
0.14500001 621870.06101916 20428.43246813
0.14600001 614477.01211986 18968.90625899
0.14700001 607153.04900244 16174.55798848
0.14800001 599893.17032739 16089.13558724
0.14900001 592702.32027469 20003.70425306
0.15000001 585579.07181755 15916.03992297
0.15100001 578523.82444624 15828.41258371
0.15200001 571537.32855403 18363.49523296
0.15300001 564619.61634573 14346.98512837
0.15400001 557767.82652233 16858.53335221
0.15500001 550985.81336578 15471.68236947
0.15600001 544269.61431183 21789.83503734
0.15700001 537625.48905791 14015.89716125
0.15800001 531045.50666600 17731.61030449
0.15900001 524536.20825015 13847.75655143
0.16000001 518092.58209990 12511.93644831
0.16100001 511719.79422747 16165.22906271
0.16200001 505413.30564204 13593.09149692
0.16300001 499173.99343905 13507.64890013
0.16400001 493002.47620390 18302.71779313
0.16500001 486897.67573141 16973.25377733
0.16600001 480860.89999880 19272.90578188
0.16700001 474888.57199090 11967.19257920
0.16800001 468982.67571955 15455.32480808
0.16900001 463144.88469606 14172.23414088
0.17000001 457371.05161710 15251.03843632
0.17100001 451662.74121494 13983.47912833
0.17200001 446019.76309225 13889.05607857
0.17300001 440441.53610795 12645.07709882
0.17400001 434927.44887044 21692.00753684
0.17500001 429476.86061846 17007.28448370
0.17600001 424088.52549983 11259.55088380
0.17700001 418765.02607294 14535.33474150
0.17800001 413501.97064014 14433.28696691
0.17900001 408301.96578635 15433.81503572
0.18000001 403163.47724588 16418.83338638
0.18100001 398087.42793277 14128.12348470
0.18200001 393069.11053555 15105.64663144
0.18300001 388111.95814156 12854.26866088
0.18400001 383213.79226777 13824.43820914
