# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097187 302.89193117
0.00100000 1682646.24913159 555.27327540
0.00200000 1682386.10364934 908.48852474
0.00300000 1681952.74122214 1513.75752102
0.00400000 1681346.02158552 1639.31243334
0.00500000 1680566.61723675 2117.51402153
0.00600000 1679614.35121723 2292.67368275
0.00700000 1678489.99507775 3021.28211671
0.00800000 1677193.29776295 4302.00099039
0.00900000 1675725.69075693 2764.94750794
0.01000000 1674086.53722794 3314.69148684
0.01100000 1672277.43995338 3311.10947527
0.01200000 1670298.31443299 4234.20641273
0.01300000 1668150.42554757 3503.11604815
0.01400000 1665834.07772767 5997.00294567
0.01500000 1663350.64553566 4391.24589975
0.01600000 1660699.88672556 4234.78490046
0.01700000 1657884.06883001 5819.17334263
0.01800000 1654903.57535759 5188.12294220
0.01900000 1651759.45640256 5946.33431136
0.02000000 1648452.35479363 5711.88766774
0.02100000 1644985.11448440 5428.45112392
0.02200000 1641356.40649277 9060.28777547
0.02300000 1637569.21883384 6484.77440176
0.02400000 1633624.17081516 8576.52728785
0.02500000 1629523.68383322 10168.22825151
0.02600000 1625268.30279366 7240.57062012
0.02700000 1620859.60880275 11572.93813691
0.02800000 1616298.29477579 8437.07748565
0.02900000 1611587.75659108 8702.57428516
0.03000000 1606728.38507183 8965.54480080
0.03100000 1601722.05020206 7688.26619473
0.03200000 1596569.85861928 8693.32328058
0.03300000 1591275.87540995 10550.15954034
0.03400000 1585838.89656568 9990.78550934
0.03500000 1580262.55127972 11093.44362226
0.03600000 1574547.72426566 9612.61430088
0.03700000 1568697.52011480 14306.52204509
0.03800000 1562713.23174588 10970.24739455
0.03900000 1556597.57703681 9339.58589474
0.04000000 1550350.67197190 9534.65707445
0.04100000 1543976.25234089 14590.57626114
0.04200000 1537476.41385921 10908.39566240
0.04300000 1530852.42869137 15155.43974753
0.04400000 1524107.26886337 10287.72454261
0.04500000 1517243.57886797 12562.77741675
0.04600000 1510261.74568326 11712.08038223
0.04700000 1503165.48375890 14069.62958233
0.04800000 1495956.80899698 15393.39628080
