# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 349.57665678
0.00100000 1664564.54469737 699.11712538
0.00200000 1664305.89931293 823.83144625
0.00300000 1663875.04100622 998.32506017
0.00400000 1663271.82550757 1372.19930818
0.00500000 1662496.91263546 2244.37092089
0.00600000 1661550.14917646 2616.94159149
0.00700000 1660432.28281531 2191.77070441
0.00800000 1659143.08115630 3583.74920660
0.00900000 1657683.95590965 2486.52604016
0.01000000 1656054.30234036 3825.48560359
0.01100000 1654255.67027753 3870.95843699
0.01200000 1652287.99154375 3544.15789725
0.01300000 1650152.56296421 3811.85258857
0.01400000 1647849.62663952 4449.19418916
0.01500000 1645380.63650272 4738.69644414
0.01600000 1642745.25848567 5026.80071568
0.01700000 1639945.81081452 5313.42466539
0.01800000 1636982.65224145 4665.40076882
0.01900000 1633856.87127090 4901.57083498
0.02000000 1630569.07132245 6677.18064911
0.02100000 1627122.05109029 5906.45331325
0.02200000 1623514.53027464 6721.35046070
0.02300000 1619749.57111549 6414.20859358
0.02400000 1615827.64870918 6665.28935485
0.02500000 1611751.20441493 6285.82998430
0.02600000 1607520.82296090 9114.64348308
0.02700000 1603138.09800832 6733.18032002
0.02800000 1598603.69273815 9040.10429701
0.02900000 1593920.95178630 7889.90907360
0.03000000 1589090.33726540 8867.12448952
0.03100000 1584113.62894603 8364.12034569
0.03200000 1578992.06885793 8597.61221092
0.03300000 1573729.59146513 10433.82767242
0.03400000 1568324.97501871 10703.81844838
0.03500000 1562781.96176382 11814.63217651
0.03600000 1557101.26618860 9506.10366939
0.03700000 1551286.13292822 11495.03077661
0.03800000 1545337.84531289 10848.27217615
0.03900000 1539259.01723618 12006.22089045
0.04000000 1533049.74863218 10371.08203008
0.04100000 1526714.00137747 11541.95838557
0.04200000 1520253.47705721 12747.32599651
0.04300000 1513669.71662133 10989.24265277
0.04400000 1506965.67697127 13223.62442955
0.04500000 1500144.02865341 14491.39199013
0.04600000 1493204.84949691 11579.80414616
0.04700000 1486152.23078133 13910.38552706
0.04800000 1478987.90437916 13044.67392357
0.04900000 1471714.54375751 13245.43151036
0.05000000 1464334.10449343 13442.58770522
0.05100000 1456850.12015162 19317.83349311
0.05200000 1449261.66574921 17282.44616944
0.05300000 1441574.92952113 15179.78471551
0.05400000 1433789.99329256 13011.64479591
0.05500000 1425910.87671738 22757.53865403
0.05600000 1417938.41544730 13335.71141958
0.05700000 1409877.58960984 13492.52916238
0.05800000 1401727.75378848 13645.82032029
0.05900000 1393492.51647220 13795.57655741
0.06000000 1385175.92179795 15209.23233190
0.06100000 1376779.18418880 12804.04701131
0.06200000 1368305.13314135 16809.62934638
0.06300000 1359757.18580444 22191.23830989
0.06400000 1351134.39723174 17125.62928582
0.06500000 1342443.77225143 15948.23276037
0.06600000 1333685.78823119 14743.89707874
0.06700000 1324862.15731973 17567.67302821
0.06800000 1315976.69647479 13620.35944607
0.06900000 1307033.47862801 15096.23738494
0.07000000 1298031.56827681 15206.44053446
0.07100000 1288975.80896819 16705.12726666
0.07200000 1279867.78873384 15416.00823749
0.07300000 1270710.94401425 15515.38135340
0.07400000 1261508.32677061 21287.95401190
0.07500000 1252260.51773210 15703.34762842
0.07600000 1242970.60611278 17227.57340836
0.07700000 1233642.75434840 14433.62090265
0.07800000 1224277.86493493 20310.77073177
0.07900000 1214877.60061845 14578.53189121
0.08000000 1205447.69270887 17575.42818418
0.08100000 1195988.58294474 20594.92436459
0.08200000 1186502.03451464 20680.73143204
0.08300000 1176990.65527039 17796.09954289
0.08400000 1167458.63593165 17862.11796818
0.08500000 1157906.91936769 17924.39995328
0.08600000 1148338.35878089 25475.88768569
0.08700000 1138754.80754207 19541.03341502
0.08800000 1129158.53736262 18089.12061808
0.08900000 1119552.61660491 21159.54544769
0.09000000 1109939.49774674 16665.74234155
0.09100000 1100320.43778696 15184.42275484
0.09200000 1090697.89528568 16736.75998956
0.09300000 1081075.86260692 19816.12149279
0.09400000 1071453.10039389 21375.49035745
0.09500000 1061833.82199045 16819.44853089
0.09600000 1052219.85659982 18371.75955985
0.09700000 1042615.45653119 15326.44793155
0.09800000 1033020.11825897 18408.41937290
0.09900000 1023437.03232385 21492.17868942
0.10000000 1013866.63916097 16896.08833619
0.10100000 1004312.00437879 19975.76670659
0.10200000 994775.41269103 15369.28084899
0.10300000 985258.20892109 19981.03741684
0.10400000 975762.86460445 15368.26584052
0.10500000 966292.33608571 23046.07329995
0.10600001 956843.58915206 21500.27645991
0.10700001 947424.98602212 21487.59969414
0.10800001 938032.56204462 18404.19973345
0.10900001 928672.26570987 18387.71172649
0.11000001 919343.89860857 16837.78429556
0.11100001 910048.38228745 16817.69489634
0.11200001 900789.00709135 24429.39902238
0.11300001 891565.77295823 16770.35297891
0.11400001 882381.22529178 19787.39990885
0.11500001 873236.93943139 22791.48519236
0.11600001 864134.12087405 22748.33180326
0.11700001 855074.29027983 15134.81565073
0.11800001 846057.42608787 21142.97607373
0.11900001 837085.90131291 15067.54693334
0.12000001 828160.46532008 24049.78104576
0.12100001 819284.52255666 14992.90746907
0.12200001 810457.23393608 19438.81767174
0.12300001 801680.68189313 20875.76594005
0.12400001 792954.80490461 20815.06460950
0.12500001 784281.00699373 20752.07642290
0.12600001 775662.52786997 19209.28340791
0.12700001 767097.88432359 16201.10808041
0.12800001 758588.61542892 22018.03560052
0.12900001 750136.08562344 20478.71610272
0.13000001 741741.05814249 16032.73372745
0.13100001 733403.39847256 17425.66556911
0.13200001 725125.16678416 14466.24775929
0.13300001 716907.75916156 15850.83130232
0.13400001 708749.89417505 15787.40463706
0.13500001 700654.32041047 17152.01857234
0.13600001 692619.56641567 18503.33258924
0.13700001 684648.74468294 15589.45265152
0.13800001 676739.60931652 21165.03227943
0.13900001 668895.37510008 19665.52495533
0.14000001 661115.24801050 15380.84697033
0.14100001 653399.69777719 15309.15564094
0.14200001 645749.20390901 15236.45318486
0.14300001 638165.57525812 19298.12790605
0.14400001 630645.36281884 16459.84474598
0.14500001 623193.52476812 13647.93883622
0.14600001 615807.86817242 19009.98978727
0.14700001 608491.01505782 20262.75175735
0.14800001 601238.28786707 17468.97927814
0.14900001 594054.21912886 18712.70878544
0.15000001 586937.66563091 15952.96650456
0.15100001 579889.08745441 14543.61899960
0.15200001 572908.76912894 17092.73393352
0.15300001 565997.39267327 15689.44846527
0.15400001 559151.68683788 14300.30506572
0.15500001 552375.66110568 14218.15018786
0.15600001 545665.33345492 16705.54497214
0.15700001 539026.74978415 12774.93457282
0.15800001 532452.15410585 17778.57826472
0.15900001 525948.35867662 16409.58956525
0.16000001 519509.90192736 16310.01414088
0.16100001 513142.11202696 13716.28930195
0.16200001 506840.47982976 14870.70038019
0.16300001 500605.91906958 13546.39680952
0.16400001 494438.90267061 17132.30878635
0.16500001 488338.53472610 14591.55610650
0.16600001 482305.84086383 14498.11426087
0.16700001 476337.77199387 13204.08366310
0.16800001 470435.78887526 14310.65737328
0.16900001 464601.80506376 18955.75454166
0.17000001 458831.54026069 11769.02956342
0.17100001 453126.68602541 12859.73595665
0.17200001 447487.05006269 19740.89214574
0.17300001 441911.95372483 13840.68304428
0.17400001 436400.90823531 12601.07682039
0.17500001 430953.17546901 13652.59724364
0.17600001 425567.54811765 13558.58272339
0.17700001 420246.50921472 12342.64055859
0.17800001 414985.89551649 12256.60900298
0.17900001 409788.12925661 12170.70801379
0.18000001 404651.61245605 13183.55015654
0.18100001 399577.55764874 14181.00819081
0.18200001 394561.02267903 11913.77064257
0.18300001 389605.50136940 12903.73481492
0.18400001 384708.87960869 12810.80629616
0.18500001 379872.47856737 18017.35250963
0.18600001 375092.72642545 12625.62176796
0.18700001 370370.58579469 12533.34121543
0.18800001 365705.39642183 13478.07302191
0.18900001 361098.57308729 10291.30981923
0.19000001 356543.92017074 11236.48217509
0.19100001 352048.90237643 13180.71152776
0.19200001 347605.26979620 17107.39416137
0.19300001 343218.65456556 11985.19598376
0.19400001 338883.12144259 10903.56494765
0.19500001 334602.11920651 12788.49360039
0.19600001 330372.67981698 10738.76446493
0.19700001 326194.90162424 11625.58684328
0.19800001 322068.69556588 10575.12611867
0.19900001 317993.16974515 9539.79554320
0.20000001 313966.46889543 9466.08948458
0.20100001 309990.46813232 10331.98279116
0.20200001 306061.51739116 10251.53100954
0.20300001 302182.24480253 10171.45484080
0.20400001 298349.73585048 10091.68029213
0.20500001 294563.93032341 15473.44399127
0.20600001 290824.42429010 11739.12844136
0.20700001 287130.93055248 10750.18254804
0.20800001 283481.43914442 10664.57224473
0.20900001 279878.45128278 10579.40595859
0.21000001 276317.32032136 10494.53232191
0.21100001 272800.15228387 9542.54977800
0.21200001 269325.22787623 12907.41215616
0.21300001 265891.50779880 10242.14136461
0.21400001 262500.21926149 10158.75896569
0.21500001 259150.75167514 10915.43017661
0.21600001 255840.34053505 11658.64486939
