# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656089 299.63713438
0.00100000 1664564.59968681 549.30633094
0.00200000 1664306.11498562 973.61910810
0.00300000 1663875.53014074 1197.99042438
0.00400000 1663272.69331344 1746.43639434
0.00500000 1662498.26884683 1795.49820142
0.00600000 1661552.09582216 2268.01870313
0.00700000 1660434.93969870 2590.27861358
0.00800000 1659146.55092553 3359.77190747
0.00900000 1657688.34376383 3729.79893291
0.01000000 1656059.69697320 3278.99834159
0.01100000 1654262.20863254 4168.74094726
0.01200000 1652295.77883215 3544.17460099
0.01300000 1650161.67127531 4851.47552752
0.01400000 1647860.18584727 4449.22269903
0.01500000 1645392.76730010 3948.94281736
0.01600000 1642759.05759188 5026.84294095
0.01700000 1639961.35032880 5313.47501342
0.01800000 1637000.06910735 8397.81073240
0.01900000 1633876.20223623 4901.62882788
0.02000000 1630590.51200376 9245.44862129
0.02100000 1627145.67328989 6980.45525490
0.02200000 1623540.44362294 5601.21478498
0.02300000 1619777.77543916 6414.32028271
0.02400000 1615858.31617736 6059.46896196
0.02500000 1611784.44412471 6914.55558109
0.02600000 1607556.74100360 6510.60509885
0.02700000 1603176.77654394 6733.34276988
0.02800000 1598645.19414495 6954.10691344
0.02900000 1593965.36774435 9324.69782944
0.03000000 1589137.78388542 8867.38924167
0.03100000 1584164.20472954 9885.18509236
0.03200000 1579045.81374643 9379.53256566
0.03300000 1573786.62010833 9631.57455908
0.03400000 1568385.40914478 11527.63328910
0.03500000 1562845.84407751 10127.24153728
0.03600000 1557168.72140720 10370.74416384
0.03700000 1551357.17111470 8842.73628431
0.03800000 1545412.63056503 10848.79716864
0.03900000 1539337.55268827 11083.23089262
0.04000000 1533132.18607252 9428.76338127
0.04100000 1526800.33639728 10580.72682183
0.04200000 1520343.89194016 13728.70598113
0.04300000 1513764.21824820 10989.92873461
0.04400000 1507064.27331382 14241.75804423
0.04500000 1500246.79394728 13457.21436700
0.04600000 1493311.95249391 15791.77463173
0.04700000 1486263.69798406 10701.09912317
0.04800000 1479103.86927588 14132.83812851
0.04900000 1471834.97816927 14350.39170513
0.05000000 1464459.04232333 12323.42341500
0.05100000 1456979.69541238 12500.88636898
0.05200000 1449395.90137482 12674.96774819
0.05300000 1441713.83418144 19852.40042215
0.05400000 1433933.67831564 17744.93009667
0.05500000 1426059.45886104 15572.57001721
0.05600000 1418091.86071103 16974.56036481
0.05700000 1410035.95891253 12267.31341516
0.05800000 1401891.02343071 24813.47227332
0.05900000 1393660.89719475 12542.94866058
0.06000000 1385349.35253684 16478.73131829
0.06100000 1376957.66479501 14086.27756912
0.06200000 1368488.74527012 15518.66309676
0.06300000 1359946.00671878 14361.03050240
0.06400000 1351328.40249776 18445.63355674
0.06500000 1342642.95659732 15950.59907051
0.06600000 1333890.32314379 14746.15821231
0.06700000 1325071.84648797 21625.17354672
0.06800000 1316191.78087251 19071.61979757
0.06900000 1307253.88017859 19216.63293833
0.07000000 1298257.38219136 20739.66265171
0.07100000 1289206.86325357 15315.77825281
0.07200000 1280104.29742770 21025.71407024
0.07300000 1270952.92378846 22572.12498411
0.07400000 1261755.82146418 19872.65511938
0.07500000 1252513.37457216 15706.51845334
0.07600000 1243228.92198377 21538.94208313
0.07700000 1233906.39323726 17324.04657335
0.07800000 1224546.98048184 20315.23535890
0.07900000 1215152.07828287 14581.82562334
0.08000000 1205727.63578080 21974.38719295
0.08100000 1196273.98824232 22071.25611861
0.08200000 1186792.85462284 16253.12890674
0.08300000 1177286.92879889 20767.34239867
0.08400000 1167760.23088101 16377.83800686
0.08500000 1158213.91503998 16435.05622596
0.08600000 1148650.68938807 19486.85986041
0.08700000 1139072.49945657 22553.63654831
0.08800000 1129481.58166555 15078.57982338
0.08900000 1119880.99190790 19653.91233112
0.09000000 1110273.20950833 15155.23002171
0.09100000 1100659.35507399 19745.82975771
0.09200000 1091042.04329994 16742.04094109
0.09300000 1081425.27748931 18297.71655497
0.09400000 1071807.60014041 16800.58492179
0.09500000 1062193.44134316 27532.05529370
0.09600000 1052584.52785991 16846.61616032
0.09700000 1042985.22584603 18398.26024888
0.09800000 1033394.83051429 16880.50535013
0.09900000 1023816.88393902 18428.70477747
0.10000000 1014251.25160470 16902.49790287
0.10100000 1004701.51128581 18446.32061477
0.10200000 995169.74772533 19987.98532322
0.10300000 985657.23648782 18451.50433502
0.10400000 976166.59655857 16912.08708101
0.10500000 966700.87148210 26129.92578556
0.10600001 957256.64419843 26118.74876593
0.10700001 947842.51951888 18426.05944653
0.10800001 938454.62891694 21481.22746685
0.10900001 929098.62248229 16863.14079173
0.11000001 919774.62798332 21439.94758746
0.11100001 910483.24057565 19884.95491022
0.11200001 901228.20226126 16803.40062222
0.11300001 892009.00482149 21354.69658082
0.11400001 882828.44335504 15228.79136491
0.11500001 873688.13801288 15202.17431726
0.11600001 864589.28106170 21242.95963605
0.11700001 855533.00679435 21200.10890678
0.11800001 846519.88391719 21154.53289543
0.11900001 837551.98857680 22613.90475673
0.12000001 828630.07621998 19551.52756938
0.12100001 819757.68229874 18001.87955132
0.12200001 810933.72988235 19450.24642755
