# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097349 345.79990640
0.00100000 1646580.44032911 740.96121574
0.00200000 1646323.05765643 814.92993934
0.00300000 1645894.30698183 987.53661937
0.00400000 1645294.03260687 1480.76468561
0.00500000 1644522.91391074 2072.09895354
0.00600000 1643580.76489362 2243.48783542
0.00700000 1642468.37146219 3153.53940427
0.00800000 1641185.48640383 2658.72060023
0.00900000 1639733.50087631 2705.56039210
0.01000000 1638111.82124395 3513.75000829
0.01100000 1636321.99425268 3534.45566147
0.01200000 1634363.99256643 3187.00992524
0.01300000 1632239.03659639 4113.24255364
0.01400000 1629947.42329528 4034.12005149
0.01500000 1627490.57384810 5468.36857163
0.01600000 1624868.19205297 4143.41407496
0.01700000 1622082.51749009 5255.54759242
0.01800000 1619133.99015172 5998.89170345
0.01900000 1616023.60602631 5332.87814052
0.02000000 1612752.11482179 7620.25408724
0.02100000 1609322.15155025 5841.83967499
0.02200000 1605732.55301869 6093.75531556
0.02300000 1601986.22494617 6920.58080678
0.02400000 1598083.83964037 6592.09613910
0.02500000 1594027.70210137 6838.37915433
0.02600000 1589818.46698953 7082.64159439
0.02700000 1585457.66408593 9322.49149181
0.02800000 1580945.91206686 7564.82653616
0.02900000 1576286.68189852 9221.27751249
0.03000000 1571480.34970645 7307.38396202
0.03100000 1566528.74531359 9023.20598819
0.03200000 1561432.98169847 8502.00297693
0.03300000 1556197.06010938 11904.90805866
0.03400000 1550819.85200668 9770.16551844
0.03500000 1545305.02380383 14185.90077360
0.03600000 1539653.26772945 11963.10644312
0.03700000 1533867.83967416 11365.96121763
0.03800000 1527949.98704910 10726.20940549
0.03900000 1521902.26525147 10044.55541582
0.04000000 1515724.93971637 11186.05057346
0.04100000 1509421.92595335 12362.16614675
0.04200000 1502994.80377661 10663.74862752
0.04300000 1496445.15021309 10864.19229484
0.04400000 1489775.96877814 18100.77886129
0.04500000 1482989.81351802 11255.89320761
0.04600000 1476086.88368890 10406.41301377
0.04700000 1469071.35849590 11635.04570041
0.04800000 1461944.73335594 11819.82371914
0.04900000 1454709.75214929 12001.35601386
0.05000000 1447368.34475039 11072.36835294
0.05100000 1439924.15285427 16847.11337320
0.05200000 1432376.17959415 20497.30408519
0.05300000 1424730.47882398 12694.34915811
0.05400000 1416987.27498461 19873.24745843
0.05500000 1409150.72189515 14204.23993932
0.05600000 1401221.28598315 14376.53106506
0.05700000 1393204.20138659 16969.22796499
0.05800000 1385098.68409073 25742.06024578
0.05900000 1376908.55864031 12392.17760655
0.06000000 1368637.64189402 15027.64201007
0.06100000 1360287.13433330 12650.67094048
0.06200000 1351859.92476840 14052.58457483
0.06300000 1343359.44062593 20634.00197276
0.06400000 1334784.76305125 18219.81286773
0.06500000 1326142.76555004 15754.57679170
0.06600000 1317434.15343087 14564.23524762
0.06700000 1308660.17556897 16018.00129859
0.06800000 1299825.20722081 17489.14898181
0.06900000 1290932.88740287 18976.71433329
0.07000000 1281982.63427914 16383.73883331
