# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 252.40994265
0.00100000 1682646.03005157 757.19073151
0.00200000 1682385.22215797 1135.61006092
0.00300000 1681950.76080476 1110.08754168
0.00400000 1681342.51071622 1261.00693095
0.00500000 1680561.11793389 1966.25658581
0.00600000 1679606.45515743 2292.66290463
0.00700000 1678479.24730856 3021.26277072
0.00800000 1677179.24992509 2717.03049959
0.00900000 1675707.94049397 3770.34302728
0.01000000 1674064.65520903 3038.42748040
0.01100000 1672250.97644455 3913.06745525
0.01200000 1670266.84245711 5211.23277695
0.01300000 1668113.54562839 4203.64632038
0.01400000 1665791.32507924 5622.04597137
0.01500000 1663301.61711977 3991.92405884
0.01600000 1660644.22920558 7198.89305542
0.01700000 1657821.30400251 4476.11772160
0.01800000 1654833.29424262 5187.90261089
0.01900000 1651681.24140195 7432.56592169
0.02000000 1648365.85483813 5711.58794538
0.02100000 1644889.95179756 8142.20563055
0.02200000 1641252.09081859 6228.55196763
0.02300000 1637455.46594066 7073.80793485
0.02400000 1633500.53100863 6738.18999766
0.02500000 1629389.78235872 6990.08248556
0.02600000 1625123.71493231 8556.27675047
0.02700000 1620704.10483283 10891.13208330
0.02800000 1616131.43792083 9139.22370056
0.02900000 1611409.17737982 9426.74412049
0.03000000 1606537.83240912 9711.52164331
0.03100000 1601519.05409300 9993.47935737
0.03200000 1596354.13641165 11062.73467486
0.03300000 1591047.10618077 10548.64280028
0.03400000 1585596.61555127 9156.82087731
0.03500000 1580006.59571949 10238.44321305
0.03600000 1574277.74525311 9610.96607893
0.03700000 1568413.19962904 9833.95121647
0.03800000 1562414.30668921 9140.12411713
0.03900000 1556283.66424291 11205.24290146
0.04000000 1550021.47778780 11439.15903615
0.04100000 1543631.64358412 14587.31970823
0.04200000 1537115.97886713 10905.83837602
0.04300000 1530475.95858931 11111.25597512
0.04400000 1523714.62303920 12342.08901981
0.04500000 1516834.28652586 11512.77276967
0.04600000 1509835.62553598 12773.20998582
0.04700000 1502722.40715474 10819.60183471
0.04800000 1495496.61332160 13190.28074322
0.04900000 1488160.66034995 14509.56711380
0.05000000 1480716.46752019 18123.97040641
0.05100000 1473167.82661066 17236.06437427
0.05200000 1465513.96271589 17476.25481980
0.05300000 1457760.43583372 12988.64608878
0.05400000 1449908.16047293 19138.78861076
0.05500000 1441960.74960903 14534.96503410
0.05600000 1433918.91156534 12260.00726599
0.05700000 1425788.01622345 13644.79195218
0.05800000 1417566.98865825 22581.84318373
0.05900000 1409260.02766306 15220.00900962
0.06000000 1400870.78527542 14099.76511252
0.06100000 1392400.58457384 16834.12385418
0.06200000 1383852.23468779 13077.40422908
0.06300000 1375229.14121282 13202.20037292
0.06400000 1366530.65149106 15988.40937017
0.06500000 1357763.27532060 20162.78558168
0.06600000 1348927.99789727 25757.78132502
0.06700000 1340026.43883340 20502.40547364
0.06800000 1331062.62175528 22042.39804805
0.06900000 1322039.99093993 15269.56261026
0.07000000 1312958.04766175 20974.50579360
0.07100000 1303821.57979146 22530.03795405
0.07200000 1294632.32053795 24099.58177580
0.07300000 1285393.80934129 15694.65914744
0.07400000 1276108.90307830 17227.47099891
0.07500000 1266778.17102409 17329.52619189
0.07600000 1257405.01010466 17427.63425707
0.07700000 1247993.18413570 21902.28140855
0.07800000 1238543.79892093 19079.76811715
0.07900000 1229058.86164872 16223.57773471
0.08000000 1219543.54780455 20744.43672130
0.08100000 1209998.82194754 19347.88207071
0.08200000 1200425.96669454 17934.36478399
0.08300000 1190828.20833458 16504.87974212
0.08400000 1181208.94689142 16566.45625776
0.08500000 1171570.03421159 15113.25415082
0.08600000 1161913.83584517 18195.57152364
0.08700000 1152242.42183620 16730.56075069
0.08800000 1142557.98437929 18303.77976937
0.08900000 1132863.59360325 19881.75700158
0.09000000 1123161.80338712 21463.62307099
0.09100000 1113453.79829822 16902.22945225
0.09200000 1103741.94426768 21556.08118440
0.09300000 1094030.63790182 18510.99926317
0.09400000 1084318.07877929 18541.84001855
0.09500000 1074609.05059686 20116.68237271
0.09600000 1064905.06732122 24790.99113261
0.09700000 1055210.88127276 27920.88123112
0.09800000 1045525.08529995 15526.04824670
0.09900000 1035852.08353302 17091.56018198
0.10000000 1026191.22424941 15546.79777850
0.10100000 1016546.29661134 15553.15906965
0.10200000 1006919.36577197 17112.59542621
0.10300000 997311.46668209 20225.47749573
0.10400000 987725.56672608 17112.34624858
0.10500000 978164.83775990 17108.10381735
0.10600001 968625.74448943 20210.37710974
0.10700001 959116.60749625 20198.99670439
0.10800001 949634.13152328 21737.12629355
0.10900001 940183.51620511 21718.24024652
0.11000001 930764.97120983 23245.85625014
0.11100001 921379.43316623 18575.01024702
