# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656089 324.60689558
0.00100000 1664564.53345671 599.24324628
0.00200000 1664305.86100832 898.72519340
0.00300000 1663874.95368025 1397.65501088
0.00400000 1663271.67804603 2370.16223128
0.00500000 1662496.67904591 2244.37060555
0.00600000 1661549.81248322 1919.09011155
0.00700000 1660431.83123582 2590.27376438
0.00800000 1659142.48830787 2911.79518992
0.00900000 1657683.20573706 3978.43986384
0.01000000 1656053.36590241 3552.23462324
0.01100000 1654254.53751212 3573.18995660
0.01200000 1652286.66144255 3544.15504418
0.01300000 1650151.00072604 5891.03933241
0.01400000 1647847.80606540 3707.65772801
0.01500000 1645378.54058268 4343.79954056
0.01600000 1642742.92051510 4188.99463458
0.01700000 1639943.13675022 4870.63133464
0.01800000 1636979.67647414 6065.00997425
0.01900000 1633853.52054067 5391.71686107
0.02000000 1630565.37575044 5649.90928255
0.02100000 1627117.98649795 6980.33647855
0.02200000 1623510.08470215 8401.66507004
0.02300000 1619744.67716677 6997.29732387
0.02400000 1615822.35386511 6059.33410328
0.02500000 1611745.46130199 8171.54986200
0.02600000 1607514.52907090 7161.47755456
0.02700000 1603131.36129962 7406.46722843
0.02800000 1598596.44342654 8344.67381737
0.02900000 1593913.20062655 10041.65362500
0.03000000 1589082.06295718 10344.92470536
0.03100000 1584104.76423891 9884.81418368
0.03200000 1578982.62137949 8597.56076940
0.03300000 1573719.60443889 12841.55256422
0.03400000 1568314.35024870 9057.01579058
0.03500000 1562770.72732878 9282.85854900
0.03600000 1557089.44457627 8641.84681677
0.03700000 1551273.61005964 12379.16398078
0.03800000 1545324.65903326 14464.23947795
0.03900000 1539245.17079201 12929.66003343
0.04000000 1533035.12887686 12256.61642333
0.04100000 1526698.68338947 11541.84258158
0.04200000 1520237.35726357 16669.40339574
0.04300000 1513652.92826304 10989.12076928
0.04400000 1506948.10954233 10171.90021181
0.04500000 1500125.58614396 15526.30053802
0.04600000 1493185.60040611 10526.95897223
0.04700000 1486132.07322244 11770.16656733
0.04800000 1478967.05287557 14131.53084774
0.04900000 1471692.82971289 14349.00575761
0.05000000 1464311.46776538 12322.18157504
0.05100000 1456826.48989696 14772.22129570
0.05200000 1449237.29187739 21890.73031394
0.05300000 1441549.59313335 12844.20747359
0.05400000 1433763.69957101 13011.40618038
0.05500000 1425883.64927703 13175.16553393
0.05600000 1417910.26178760 14547.75996480
0.05700000 1409848.33701921 14718.81732553
0.05800000 1401697.52096560 13645.52600374
0.05900000 1393461.29675461 20065.84361046
0.06000000 1385143.67168384 15208.87822563
0.06100000 1376745.89946712 16644.85870239
0.06200000 1368270.84930483 19395.24019550
0.06300000 1359721.78757130 14358.66274810
0.06400000 1351098.05670727 21077.13067034
0.06500000 1342406.10520471 17276.76738215
0.06600000 1333647.14602283 16083.78533357
0.06700000 1324822.27632032 20269.78177631
0.06800000 1315935.89305770 20429.90569603
0.06900000 1306991.39685209 15095.75134041
0.07000000 1297988.36331461 15205.93438830
0.07100000 1288931.32832743 16704.55079753
0.07200000 1279822.10190245 16816.86320681
0.07300000 1270664.13392329 16925.24705690
0.07400000 1261460.20959675 17029.71362764
0.07500000 1252211.18830436 15702.72903736
0.07600000 1242920.03373853 20098.01788776
0.07700000 1233590.91081795 27422.72723329
0.07800000 1224224.63716338 20309.88768300
0.07900000 1214823.27149042 16035.66793581
0.08000000 1205392.10655198 14645.51478164
0.08100000 1195931.68904344 19122.94860502
0.08200000 1186443.60025476 20679.71292284
0.08300000 1176931.07880392 16312.26551779
0.08400000 1167397.57427726 16372.75174775
0.08500000 1157844.41261967 20910.67107357
0.08600000 1148274.50084273 16483.48123352
0.08700000 1138689.68941055 15030.70460603
0.08800000 1129091.99289249 16580.71669432
0.08900000 1119484.77597404 18135.65422261
0.09000000 1109870.09872832 21209.61858303
0.09100000 1100249.73781342 18220.13651419
0.09200000 1090625.68265886 18257.07478555
0.09300000 1081002.09024698 18290.55622649
0.09400000 1071377.97269492 21373.99155979
0.09500000 1061757.35370739 18347.16793443
0.09600000 1052141.59995854 16839.52709893
0.09700000 1042535.98544762 21455.39158919
0.09800000 1032939.02266280 23008.71781163
0.09900000 1023354.54597714 15350.31891147
0.10000000 1013782.46167657 18430.56602002
0.10100000 1004226.45559513 18437.59859188
0.10200000 994688.26429221 19978.31472802
0.10300000 985169.46558913 24589.83101783
0.10400000 975672.63977721 15366.84479943
0.10500000 966200.53298544 19971.36595645
0.10600001 956750.26219608 16891.42667387
0.10700001 947330.02362814 26089.47007843
0.10800001 937936.12767499 19935.83333195
0.10900001 928574.11970707 15321.47369628
0.11000001 919244.14291903 18366.49884003
0.11100001 909947.05445137 16815.82235784
0.11200001 900686.06369201 16793.29244812
0.11300001 891461.22348087 18292.78516707
0.11400001 882275.11466656 16741.17108905
0.11500001 873129.13347243 18230.93716536
0.11600001 864024.66773565 18196.36035941
0.11700001 854963.09249647 19672.70168483
0.11800001 845944.67944921 15100.11323936
0.11900001 836971.37360929 19585.13106495
0.12000001 828044.37404188 19537.70792584
0.12100001 819166.78020178 17988.90334065
0.12200001 810337.75854908 17940.87881949
0.12300001 801559.47594598 23854.41112804
0.12400001 792831.97760230 16352.16030852
0.12500001 784156.41891201 16302.61271737
0.12600001 775536.22206866 16251.36229927
0.12700001 766969.84189623 16198.40382422
0.12800001 758458.76866094 17611.41343832
0.12900001 750004.60695100 17550.10862983
0.13000001 741607.88828283 16029.85526080
0.13100001 733268.58637104 17422.46243343
0.13200001 724988.58488570 15909.87524531
0.13300001 716769.42306274 20169.89251585
0.13400001 708609.87950100 17219.22088369
0.13500001 700512.46399935 15719.50043329
0.13600001 692476.06010680 17076.46044740
0.13700001 684503.51322289 15586.14573102
0.13800001 676592.65788512 15517.65334034
0.13900001 668746.64459207 18256.78425832
0.14000001 660964.70424775 16775.28498494
0.14100001 653247.36335575 15305.58644528
0.14200001 645595.30267849 15232.82188516
0.14300001 638009.78715979 15159.11325794
0.14400001 630487.90443672 15084.42382518
0.14500001 623034.36130664 16373.34378750
0.14600001 615646.87350841 19005.01988175
0.14700001 608328.25381196 17556.35423326
0.14800001 601073.78093924 20150.99945669
