# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 370.49989972
0.00100000 1646580.44759837 790.35863362
0.00200000 1646323.09061325 814.92995566
0.00300000 1645894.38246310 1481.30499699
0.00400000 1645294.17000524 1357.36774183
0.00500000 1644523.12262660 1776.08504274
0.00600000 1643581.06804621 2416.06426839
0.00700000 1642468.78846175 2168.05889087
0.00800000 1641186.02364153 3766.52208328
0.00900000 1639734.16916603 2951.52163067
0.01000000 1638112.64797382 2702.88598587
0.01100000 1636323.02237106 3828.99603906
0.01200000 1634365.19284441 3187.01226578
0.01300000 1632240.44014141 4113.24609057
0.01400000 1629949.04819855 4034.12407313
0.01500000 1627492.43924216 4687.17843373
0.01600000 1624870.33265407 4557.76148684
0.01700000 1622084.93490776 6131.48132900
0.01800000 1619136.71140002 5537.44780216
0.01900000 1616026.58532622 6787.31196463
0.02000000 1612755.44147960 6096.21584456
0.02100000 1609325.79600721 7435.08551465
0.02200000 1605736.56653932 7755.70796874
0.02300000 1601990.59701309 6920.59969411
0.02400000 1598088.62563701 10187.81545298
0.02500000 1594032.84299973 6838.40120878
0.02600000 1589823.98704529 10302.05990725
0.02700000 1585463.59244249 7324.84213257
0.02800000 1580952.32753915 8940.28582223
0.02900000 1576293.55820552 7802.65347137
0.03000000 1571487.66840044 13153.35238911
0.03100000 1566536.55280601 9023.25095935
0.03200000 1561441.29187220 10047.87517598
0.03300000 1556205.92689064 14285.97106745
0.03400000 1550829.20510766 8956.03907273
0.03500000 1545314.91946957 13351.52152076
0.03600000 1539663.73229238 11108.67434186
0.03700000 1533878.80798765 11366.04249284
0.03800000 1527961.62315407 10726.29109095
0.03900000 1521914.49157696 10044.63610958
0.04000000 1515737.73532406 15847.03875715
0.04100000 1509435.33110791 14264.16454035
0.04200000 1503008.77041700 11633.28842273
0.04300000 1496459.89412745 12839.62648760
0.04400000 1489791.20677469 12067.30933530
0.04500000 1483005.76517458 11256.01428068
0.04600000 1476103.55192515 13528.48968229
0.04700000 1469088.60247576 14808.41380166
0.04800000 1461962.76773144 13969.05489563
0.04900000 1454728.47521129 12001.51047913
0.05000000 1447387.73801888 12179.76838259
0.05100000 1439944.26360150 13477.87893516
0.05200000 1432397.07527716 17081.33591869
0.05300000 1424752.15516709 15002.64089330
0.05400000 1417009.67656903 14028.39645223
0.05500000 1409173.88397308 14204.47341308
0.05600000 1401245.15998117 13178.71134460
0.05700000 1393228.77570543 15757.41818876
0.05800000 1385124.12347255 13484.18397161
0.05900000 1376934.81433915 16110.13808021
0.06000000 1368664.64369034 16280.26669729
0.06100000 1360314.97003735 21506.58068132
0.06200000 1351888.58236095 17885.48678067
0.06300000 1343388.85747063 15475.84036164
0.06400000 1334815.07274591 15617.33708150
0.06500000 1326173.76588391 18380.76925496
0.06600000 1317466.10965873 21184.85603452
0.06700000 1308692.98487953 16018.40288457
0.06800000 1299858.85404302 16144.24772291
0.06900000 1290967.33874056 14910.67346056
0.07000000 1282017.99642181 16384.19076152
0.07100000 1273015.07719004 13748.56347760
0.07200000 1263960.55596162 19376.51623062
0.07300000 1254857.78788169 18107.59872757
0.07400000 1245709.67609648 15415.65796414
0.07500000 1236516.87024617 18325.18087599
0.07600000 1227282.55237961 15592.62555897
0.07700000 1218010.68106419 18525.94332764
0.07800000 1208702.32742685 18620.06022722
0.07900000 1199359.15742290 14392.31056413
0.08000000 1189986.90254180 20241.67816179
0.08100000 1180585.78940297 17425.44706916
0.08200000 1171157.49237739 18955.18490360
0.08300000 1161705.14373682 16101.23404786
0.08400000 1152232.44988461 16160.06086816
0.08500000 1142740.50073505 16215.48846667
0.08600000 1133232.06435087 16267.54704754
0.08700000 1123709.37986565 19282.85386397
0.08800000 1114174.05029898 16361.64669705
0.08900000 1104629.74533935 23860.00362003
0.09000000 1095078.31846396 19432.16567398
0.09100000 1085521.47880854 22470.29566702
0.09200000 1075961.54501224 16510.63068399
0.09300000 1066402.41589614 18043.52972487
0.09400000 1056843.04880460 16566.01556857
0.09500000 1047287.50956691 16589.03493127
0.09600000 1037737.34197299 22648.61855322
0.09700000 1028197.54518630 24183.20739970
0.09800000 1018666.87108331 15127.20374683
0.09900000 1009148.81678058 18164.67955620
0.10000000 999643.70960405 19687.98378652
0.10100000 990154.70685757 19694.17804565
0.10200000 980683.84385451 16666.72271025
0.10300000 971232.83866168 21211.72619419
0.10400000 961803.97708963 18178.09602218
0.10500000 952400.23649355 21200.43026181
0.10600001 943018.47951074 16648.99203916
0.10700001 933666.98766128 22688.10886782
0.10800001 924342.02202389 16624.29204847
0.10900001 915049.21640593 16608.14405944
0.11000001 905788.85148196 19605.80061316
0.11100001 896561.31110275 21087.12302978
0.11200001 887370.40441038 18049.11487541
0.11300001 878215.58622942 19522.73340103
0.11400001 869099.84659679 17990.36767162
0.11500001 860024.19156089 17957.30596536
0.11600001 850990.50000689 17921.86077411
0.11700001 841999.65840588 17884.07358679
0.11800001 833052.24950080 16356.98168933
0.11900001 824150.04101312 14834.70143697
0.12000001 815294.22335361 14797.59085091
0.12100001 806488.04108982 14758.73184720
0.12200001 797730.65104135 19133.57056663
0.12300001 789023.86832194 19078.59803490
0.12400001 780368.07355626 19021.47268918
0.12500001 771764.41407551 18962.25254735
0.12600001 763216.13059239 17447.12156751
0.12700001 754721.66521035 14490.65665493
0.12800001 746282.76334523 15884.62936643
0.12900001 737900.60460830 15827.96871485
0.13000001 729576.04694678 20070.63799753
0.13100001 721309.02490720 15710.11130302
0.13200001 713101.29816026 15649.00872583
0.13300001 704954.37595048 17003.50034952
0.13400001 696867.10700002 21167.33937307
