# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 349.57665678
0.00100000 1664564.54704923 549.30631357
0.00200000 1664305.91283576 973.61898984
0.00300000 1663875.06452694 1597.32011885
0.00400000 1663271.86211569 1746.43552158
0.00500000 1662496.97955375 2244.37101123
0.00600000 1661550.24698263 2791.40452857
0.00700000 1660432.40713093 1992.51897137
0.00800000 1659143.23282401 3583.74953421
0.00900000 1657684.15090853 3978.44213225
0.01000000 1656054.54992333 3005.73913790
0.01100000 1654255.96354663 3870.95912324
0.01200000 1652288.34008802 3866.35488532
0.01300000 1650152.94725800 4158.38561049
0.01400000 1647850.10304156 3707.66289621
0.01500000 1645381.14877707 4738.69791949
0.01600000 1642745.85293858 5864.60295716
0.01700000 1639946.43532559 4870.64113141
0.01800000 1636983.35429793 6531.56387755
0.01900000 1633857.59305702 5391.73030038
0.02000000 1630569.86955785 5136.29532145
0.02100000 1627122.88657317 6980.35749988
0.02200000 1623515.43242733 5601.12849635
0.02300000 1619750.51274127 6414.21232242
0.02400000 1615828.61580481 8483.10061978
0.02500000 1611752.21192018 7543.00069628
0.02600000 1607521.89663272 7161.51037705
0.02700000 1603139.16793721 6733.18481372
0.02800000 1598604.73082843 7649.32398781
0.02900000 1593922.03317708 7889.91442649
0.03000000 1589091.41892143 8128.20298140
0.03100000 1584114.71827185 11405.62649637
0.03200000 1578993.09820178 9379.21943531
0.03300000 1573730.62834104 8828.62923200
0.03400000 1568325.94322950 9057.08274005
0.03500000 1562782.85249094 8439.02779315
0.03600000 1557102.07718960 9506.10862056
0.03700000 1551286.84643430 12379.26960706
0.03800000 1545338.45893112 9040.23040312
0.03900000 1539259.48932525 11082.66883638
0.04000000 1533050.05118732 11313.90990204
0.04100000 1526714.15884369 11541.95957602
0.04200000 1520253.43683220 12747.32565922
0.04300000 1513669.48055674 11988.26284248
0.04400000 1506965.24920420 10172.01590454
0.04500000 1500143.28810896 14491.38483647
0.04600000 1493203.74963431 14737.92169401
0.04700000 1486150.93284223 10700.28721411
0.04800000 1478986.21077238 17392.87864794
0.04900000 1471712.44937154 12141.62827248
0.05000000 1464331.52128767 12322.35032544
0.05100000 1456847.29023696 15908.77315048
0.05200000 1449258.30811239 11521.60408641
0.05300000 1441571.03493998 14012.07111283
0.05400000 1433785.49532302 13011.60397684
0.05500000 1425905.86621614 17966.41475244
0.05600000 1417932.76191265 16972.65595211
0.05700000 1409871.31991455 18398.82158371
0.05800000 1401720.79352872 14886.27552235
0.05900000 1393484.83466886 16303.77332711
0.06000000 1385167.50657724 12674.28327731
0.06100000 1376770.04875441 12803.96205176
0.06200000 1368295.17212362 14223.42897908
0.06300000 1359746.24679221 18274.99041134
0.06400000 1351122.62073220 21077.51386915
0.06500000 1342431.02490114 18606.09487548
0.06600000 1333672.02309286 20105.10668881
0.06700000 1324847.35106072 13513.44361323
0.06800000 1315960.78774400 16344.23374884
0.06900000 1307016.42411755 15096.04040534
0.07000000 1298013.44678770 17970.99701233
0.07100000 1288956.39751974 18096.94866880
0.07200000 1279847.12696855 19620.05737556
0.07300000 1270688.97348561 19746.50757320
0.07400000 1261485.08329145 18449.22020774
0.07500000 1252235.74074390 15703.03692497
0.07600000 1242944.43545131 17227.21068298
0.07700000 1233614.98676217 17319.95522625
0.07800000 1224248.52189434 20310.28393070
0.07900000 1214846.72655411 18951.60982315
0.08000000 1205415.20702331 24897.85226905
0.08100000 1195954.38663240 16181.26361033
0.08200000 1186466.11584130 23634.40613661
0.08300000 1176952.95535814 20761.45110689
0.08400000 1167419.10468041 17861.51314001
0.08500000 1157865.52170300 17923.75911740
0.08600000 1148295.04883930 19480.82641821
0.08700000 1138709.62304099 19540.25804895
0.08800000 1129111.20776255 15073.63533154
0.08900000 1119503.22930016 18135.95316650
0.09000000 1109888.00447621 19694.96356461
0.09100000 1100266.95484148 16702.05315918
0.09200000 1090642.06718893 16735.90330738
0.09300000 1081017.87104143 19815.05850734
0.09400000 1071392.88677014 15267.34935400
0.09500000 1061771.13775714 18347.40612282
0.09600000 1052154.95848561 18370.62643872
0.09700000 1042548.09014759 18390.54917479
0.09800000 1032950.37842780 16873.24522496
0.09900000 1023364.78024979 19955.61415323
0.10000000 1013791.89828670 19966.63237573
0.10100000 1004234.72861577 24583.66731273
0.10200000 994695.41862659 16904.84943470
0.10300000 985175.66156555 15368.74104338
0.10400000 975677.64000079 19977.00061884
0.10500000 966204.49031407 16898.91733068
0.10600001 956753.10652110 24569.42093154
0.10700001 947331.60050626 26089.51350565
0.10800001 937936.51779325 19935.84162391
0.10900001 928573.34403408 16853.60698744
0.11000001 919242.18956270 19896.99812963
0.11100001 909943.77881048 22930.58430544
0.11200001 900681.66160230 22899.83232430
0.11300001 891455.46986237 19817.05602804
0.11400001 882268.00611998 18262.94858658
0.11500001 873120.77887512 16711.53249458
0.11600001 864015.02811519 22745.19668624
0.11700001 854952.22638508 15132.65511969
0.11800001 845932.49045150 18119.87479889
0.11900001 836957.80474280 18078.28943396
0.12000001 828029.44866958 21040.22928179
0.12100001 819150.48233042 17988.54543938
0.12200001 810320.17024152 16445.44862982
0.12300001 801540.68846115 20872.12051091
0.12400001 792811.76000452 16351.74332055
0.12500001 784134.97839219 19266.19732693
0.12600001 775513.45180692 17728.23834372
0.12700001 766945.79451561 19142.96793325
0.12800001 758433.53191362 14675.68953418
0.12900001 749978.01012974 16087.02907550
0.13000001 741579.88717708 17486.45456386
0.13100001 733239.29909978 14518.13880653
0.13200001 724958.05716934 21694.37088347
0.13300001 716737.63072259 15847.06976235
0.13400001 708576.82035007 15783.54941742
0.13500001 700478.36686912 15718.73529365
0.13600001 692440.75780750 19921.52154144
0.13700001 684466.99134533 15585.31412783
0.13800001 676555.04714786 18338.02541769
0.13900001 668707.89009898 15447.15298975
0.14000001 660924.98047319 15376.42039587
0.14100001 653206.70162027 15304.63374077
0.14200001 645553.30237339 15231.83088791
0.14300001 637967.12591244 22048.14491149
0.14400001 630444.08689147 15083.37549036
0.14500001 622989.61089335 17736.51505880
0.14600001 615601.38718459 16288.81347332
0.14700001 608281.89017627 14854.24445888
0.14800001 601026.59733990 22836.00664330
0.14900001 593840.08408078 17369.82327888
0.15000001 586721.10011445 23920.62038031
0.15100001 579670.08150148 14538.12633004
0.15200001 572687.45170513 17086.13092787
0.15300001 565773.85236799 16990.18958836
0.15400001 558925.77649963 14294.52740855
0.15500001 552147.55334818 20672.40537295
0.15600001 545435.05130701 17982.99449030
0.15700001 538794.33980866 17877.19703860
0.15800001 532217.86535420 13962.73635659
0.15900001 525711.95533847 16402.21378075
0.16000001 519271.50049466 13794.44806177
0.16100001 512901.85852943 22434.32835107
0.16200001 506598.40878504 12386.33167950
0.16300001 500362.12122809 13539.79963962
0.16400001 494193.40174841 20793.18836020
0.16500001 488091.44271216 15799.52074651
0.16600001 482057.21433396 14490.64054703
0.16700001 476087.62431244 13197.14956904
