# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 429.09690250
0.00100000 1682646.17842382 656.23202517
0.00200000 1682385.81536048 908.48836906
0.00300000 1681952.09565081 1211.00555201
0.00400000 1681344.88361999 1387.10958169
0.00500000 1680564.82599964 1512.50840327
0.00600000 1679611.79523547 2292.67019384
0.00700000 1678486.49942803 2215.60227133
0.00800000 1677188.71625325 2943.46632130
0.00900000 1675719.90998259 2513.57997242
0.01000000 1674079.41986828 3038.45427826
0.01100000 1672268.85763827 3311.09248229
0.01200000 1670288.09006649 3908.47430212
0.01300000 1668138.44577451 4203.70906876
0.01400000 1665820.15950737 4122.90507755
0.01500000 1663334.72811287 6387.20564037
0.01600000 1660681.85634506 4658.21281529
0.01700000 1657863.65246666 4923.85526870
0.01800000 1654880.74960985 6602.97448806
0.01900000 1651734.00357251 6937.28312803
0.02000000 1648424.26080471 6231.04398771
0.02100000 1644954.21344754 6514.01898059
0.02200000 1641322.51778757 7927.58812108
0.02300000 1637532.26614970 5895.11642648
0.02400000 1633584.01633929 8576.31647684
0.02500000 1629480.19783978 8261.46498035
0.02600000 1625221.31269577 7898.57594097
0.02700000 1620809.10049777 6807.39853388
0.02800000 1616244.09176945 10545.99318243
0.02900000 1611529.73722728 7977.07256554
0.03000000 1606666.49216432 8965.19943836
0.03100000 1601656.08910796 12300.71933034
0.03200000 1596499.77969193 9483.20912815
0.03300000 1591201.67213746 9738.15468241
0.03400000 1585760.27472741 14152.91110496
0.03500000 1580179.49964679 9386.26666134
0.03600000 1574460.14489075 8738.25420797
0.03700000 1568605.26527192 10729.26051066
0.03800000 1562616.29547870 10969.56690193
0.03900000 1556495.90177664 9338.97584315
0.04000000 1550243.94116852 11440.80081598
0.04100000 1543864.70730169 11671.61772837
0.04200000 1537359.66019654 12890.76134879
0.04300000 1530730.56074747 10102.82216989
0.04400000 1523980.16591974 11315.55325747
0.04500000 1517111.11924285 15702.10081376
0.04600000 1510123.72719031 12775.64732593
0.04700000 1503022.24269464 11903.93671577
0.04800000 1495808.12335167 13193.02826181
0.04900000 1488483.91137289 14512.71881142
0.05000000 1481051.69083585 12463.05055874
0.05100000 1473515.33965822 13792.10422169
0.05200000 1465873.66657081 15149.80505001
0.05300000 1458132.68216170 14173.05033133
0.05400000 1450292.83168017 13161.40806126
0.05500000 1442357.99939763 14538.96931216
0.05600000 1434329.01173245 14716.21634709
0.05700000 1426210.99243291 16130.44707736
0.05800000 1418002.98958342 17569.05786128
0.05900000 1409709.08586391 13956.12060188
0.06000000 1401332.96684966 19233.29586857
0.06100000 1392876.04462072 14249.12260235
0.06200000 1384340.99545215 18314.83222593
0.06300000 1375731.43192059 15848.42683672
