# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682646.47323749 555.27334936
0.00200000 1682387.00924869 832.78159595
0.00300000 1681954.77391029 1211.00748036
0.00400000 1681349.65825379 1261.01229161
0.00500000 1680572.27727304 1512.51510941
0.00600000 1679622.52605786 2116.32446899
0.00700000 1678501.09333760 2215.62153529
0.00800000 1677207.77813390 2717.07671529
0.00900000 1675744.05003777 2513.61618251
0.01000000 1674109.17849336 2762.28026379
0.01100000 1672304.79270868 3913.19338532
0.01200000 1670330.85559337 3908.57437346
0.01300000 1668188.57422477 4904.47462453
0.01400000 1665878.22805930 3748.22617930
0.01500000 1663401.34810421 5589.02877850
0.01600000 1660757.55416808 5081.91834293
0.01700000 1657948.96443102 4924.10864525
0.01800000 1654976.24105711 4716.68249925
0.01900000 1651840.30930913 5451.07326669
0.02000000 1648541.83511392 7270.06982172
0.02100000 1645083.65077999 5971.65392308
0.02200000 1641464.37498242 10193.49423176
0.02300000 1637686.97684459 6485.24072350
0.02400000 1633752.15477747 9802.51337564
0.02500000 1629662.39703117 6991.25200256
0.02600000 1625417.86855179 9216.11973622
0.02700000 1621020.73056510 8850.77359426
0.02800000 1616471.10742161 7734.81460373
0.02900000 1611772.74481459 9428.87099008
0.03000000 1606925.98158707 8966.64738941
0.03100000 1601932.42560950 12302.84159477
0.03200000 1596793.55600189 11856.19269939
0.03300000 1591513.41293662 10551.73441421
0.03400000 1586090.31722663 12490.46182447
0.03500000 1580528.29887933 9388.33852888
0.03600000 1574828.20306196 10488.35631710
0.03700000 1568992.92804326 10731.91212414
0.03800000 1563023.90589984 10058.05929995
0.03900000 1556924.08148712 16814.78085875
0.04000000 1550692.93845587 13351.46681880
0.04100000 1544334.88607595 10702.24125673
0.04200000 1537851.43133734 11902.97063076
0.04300000 1531244.30574972 13138.07675318
0.04400000 1524516.44666438 13377.63244076
0.04500000 1517670.09400128 11519.11654870
0.04600000 1510705.71606680 18105.80884874
0.04700000 1503627.38764248 12991.34123343
0.04800000 1496437.14618273 14298.45759706
0.04900000 1489136.93889801 11168.52756160
0.05000000 1481729.08587352 13602.27364172
0.05100000 1474217.09446302 14948.56203422
0.05200000 1466600.48317726 12825.42182307
0.05300000 1458884.44963259 11816.96459291
0.05400000 1451070.05740792 11971.32853188
0.05500000 1443160.84245846 16971.57229902
0.05600000 1435157.99189170 13497.66154360
0.05700000 1427065.78279869 13657.02017887
0.05800000 1418884.10223310 18835.68733663
0.05900000 1410616.58531653 13965.10484689
0.06000000 1402267.10356050 12830.74459702
0.06100000 1393837.02607403 14258.95344308
0.06200000 1385329.06048520 17018.76830358
0.06300000 1376746.63861240 14538.44518350
