# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664564.97670187 699.11730682
0.00200000 1664307.62685423 1048.51383812
0.00300000 1663878.92511500 1397.65834689
0.00400000 1663278.72279333 1621.69681634
0.00500000 1662507.69092856 2244.38547159
0.00600000 1661565.66889568 2093.57282804
0.00700000 1660453.38301112 1992.54414242
0.00800000 1659170.62176995 2911.84456414
0.00900000 1657718.78243453 3232.55176393
0.01000000 1656097.26872375 4372.09697822
0.01100000 1654307.63885295 3275.52926754
0.01200000 1652349.73245276 5155.33139128
0.01300000 1650224.96252781 4505.11434640
0.01400000 1647933.45867959 3707.85044640
0.01500000 1645476.74441186 5528.80210742
0.01600000 1642854.48960766 5446.06287651
0.01700000 1640068.87409890 6199.46062219
0.01800000 1637120.42151419 4665.79341126
0.01900000 1634010.09382117 5392.23355292
0.02000000 1630738.53445137 7191.55726225
0.02100000 1627308.57376590 5907.13039059
0.02200000 1623718.79008445 6722.19609635
0.02300000 1619972.32531361 9914.23108220
0.02400000 1616069.70565373 7878.34017429
0.02500000 1612013.18013302 9430.27753446
0.02600000 1607803.53959194 7162.76509649
0.02700000 1603442.21910047 8754.79491727
0.02800000 1598929.92470598 7650.88004058
0.02900000 1594269.94794186 9326.47962368
0.03000000 1589462.79518209 11086.50350599
0.03100000 1584510.21699411 8366.21433068
0.03200000 1579413.37303204 9381.71586791
0.03300000 1574176.25956276 8831.12922327
0.03400000 1568797.49315943 9883.42466293
0.03500000 1563281.11998086 10130.06212526
0.03600000 1557627.72241022 9509.31768478
0.03700000 1551840.23973630 12383.68568581
0.03800000 1545920.21439889 9947.99704005
0.03900000 1539870.33116410 12010.98913931
0.04000000 1533690.29087561 10375.41529856
0.04100000 1527384.48797954 10584.77499248
0.04200000 1520954.23059876 11772.18629098
0.04300000 1514401.43335476 12993.56490132
0.04400000 1507728.59014866 10177.16845615
0.04500000 1500938.53231759 10356.47635420
0.04600000 1494031.40932451 13692.79850299
0.04700000 1487011.53912149 13918.42865349
0.04800000 1479880.02555276 13052.54243269
0.04900000 1472640.01491221 11044.80062595
0.05000000 1465293.13658078 12330.44231851
0.05100000 1457843.12592744 12508.29460314
0.05200000 1450289.06871872 13835.75836034
