# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 296.39991978
0.00100000 1646580.71451500 740.96133913
0.00200000 1646324.15719291 814.93048362
0.00300000 1645896.77598105 1185.04572092
0.00400000 1645298.41537191 1727.56340178
0.00500000 1644529.75225318 1776.09220273
0.00600000 1643590.63047421 1898.34725548
0.00700000 1642481.77933783 2956.46732568
0.00800000 1641202.96949493 3323.43615354
0.00900000 1639755.61624865 3443.48694132
0.01000000 1638139.11972299 4054.39449638
0.01100000 1636355.03204926 3829.07094171
0.01200000 1634403.18113842 4143.21224584
0.01300000 1632285.02976274 4113.35845642
0.01400000 1630000.64942006 4401.00194853
0.01500000 1627551.65887874 5077.96140182
0.01600000 1624937.56861039 5801.02737927
0.01700000 1622160.74527708 4379.83420872
0.01800000 1619221.57606368 5076.25986938
0.01900000 1616120.98909645 8727.05373491
0.02000000 1612859.84872791 5080.50875331
0.02100000 1609440.74352994 6904.50110278
0.02200000 1605862.40417167 7202.29320993
0.02300000 1602127.94045263 9228.25735706
0.02400000 1598237.84719828 5993.39220028
0.02500000 1594194.43702011 9326.03788249
0.02600000 1589998.34507362 7727.39231050
0.02700000 1585651.23211003 9989.60321983
0.02800000 1581153.66788537 7565.82064780
0.02900000 1576508.93141396 9222.57767222
0.03000000 1571717.64065061 12424.42852044
0.03100000 1566781.44392701 9776.71665996
0.03200000 1561701.53909723 13914.76135424
0.03300000 1556481.97375744 7938.05843211
0.03400000 1551121.21911547 9772.06413131
0.03500000 1545623.56687577 8346.36764655
0.03600000 1539989.25424616 11111.02298287
0.03700000 1534221.54024485 11368.58213898
0.03800000 1528321.99834674 10728.82092492
0.03900000 1522292.79483042 10960.50863036
0.04000000 1516134.25328848 9324.22608980
0.04100000 1509850.49102794 15219.29365523
0.04200000 1503442.90557604 14545.81078627
0.04300000 1496913.17009764 13831.47833373
0.04400000 1490264.26896067 17100.78328052
0.04500000 1483498.43285394 12283.36759478
0.04600000 1476616.25779230 12492.17412164
0.04700000 1469621.81208676 10581.27753914
0.04800000 1462516.57500285 10749.49732642
0.04900000 1455303.25848846 15280.68492541
0.05000000 1447983.65658290 16615.61323301
0.05100000 1440561.48551629 14607.29414360
0.05200000 1433035.89364265 11392.63588537
0.05300000 1425412.63188556 12700.42714217
0.05400000 1417692.32760758 15204.75092265
0.05500000 1409878.57212948 14211.57667002
0.05600000 1401972.24955765 14384.23595169
0.05700000 1393978.45469302 12127.61312193
0.05800000 1385896.33254786 12265.18311574
0.05900000 1377729.97762061 19839.31260435
0.06000000 1369482.78289702 15036.92165872
