# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682646.54625019 555.27337345
0.00200000 1682387.28512690 832.78173251
0.00300000 1681955.40765046 1211.00793665
0.00400000 1681350.76615778 1765.41837155
0.00500000 1680574.00611527 1815.01999845
0.00600000 1679625.00255768 1939.96695693
0.00700000 1678504.47379872 2215.62599750
0.00800000 1677212.18878459 2717.08386055
0.00900000 1675749.59347909 3519.07429674
0.01000000 1674116.03854515 2762.29158287
0.01100000 1672313.14905192 3913.21293916
0.01200000 1670340.71371222 3582.88098800
0.01300000 1668200.13713728 3853.54248675
0.01400000 1665891.60466811 3748.25627667
0.01500000 1663416.66106434 3992.20016432
0.01600000 1660774.93816828 5505.46916614
0.01700000 1657968.60963215 6714.77317023
0.01800000 1654998.22542740 7546.79224754
0.01900000 1651864.72603008 6937.83216238
0.02000000 1648568.84743812 5712.29131477
0.02100000 1645113.35019743 5971.76173197
0.02200000 1641496.80990511 6229.48067661
0.02300000 1637722.41142370 7074.96113939
0.02400000 1633790.64665201 9190.07280646
0.02500000 1629703.96628043 6991.43033465
0.02600000 1625462.78112264 10532.99930344
0.02700000 1621068.91780403 6808.48976661
0.02800000 1616522.90227474 10547.81242106
0.02900000 1611828.03468510 10879.83973366
0.03000000 1606984.91899249 8966.97626015
0.03100000 1601995.20921909 8458.53509388
0.03200000 1596860.16062967 10275.79560694
0.03300000 1591583.87986378 8928.78597766
0.03400000 1586164.72468965 9160.10170773
0.03500000 1580606.86028080 11095.86067156
0.03600000 1574910.99682779 8740.75643634
0.03700000 1569079.93934444 9838.13167468
0.03800000 1563115.34789768 11887.49277091
0.03900000 1557019.81757295 14947.39094091
0.04000000 1550793.17914728 9537.37849371
0.04100000 1544439.75283627 13621.95925162
0.04200000 1537960.91503989 9919.84836222
0.04300000 1531358.54155787 12128.36021211
0.04400000 1524635.21758569 13378.67465565
0.04500000 1517793.60297159 13614.60925126
0.04600000 1510834.16287667 13846.79574646
0.04700000 1503760.82053686 12992.49409369
0.04800000 1496575.26885047 15399.76023299
0.04900000 1489280.10757155 13403.52159204
0.05000000 1481877.20599856 12469.99726916
0.05100000 1474370.29072406 12650.09768371
0.05200000 1466758.63453884 12826.80485679
0.05300000 1459047.75126856 17727.43100433
0.05400000 1451238.42247620 11972.71754376
0.05500000 1443334.26771104 13336.40925578
0.05600000 1435336.30291753 15953.76375140
0.05700000 1427249.41644230 17383.89870372
0.05800000 1419072.73293869 15070.55312749
0.05900000 1410810.41424174 21585.40034606
0.06000000 1402466.10791966 14115.82203569
0.06100000 1394041.01707921 14261.04027116
0.06200000 1385538.06799359 14402.66889002
0.06300000 1376960.74225198 13218.82374367
0.06400000 1368307.90687989 16009.20325919
0.06500000 1359586.55683155 17497.87980493
0.06600000 1350797.35403847 13575.51404326
0.06700000 1341941.95816703 15056.58947527
0.06800000 1333024.41559535 15176.48368195
0.06900000 1324048.25420366 15292.75805204
0.07000000 1315012.81126695 14004.88709582
0.07100000 1305922.74199841 18335.15615644
0.07200000 1296780.01808635 14199.74186326
0.07300000 1287588.06503214 21438.34228729
0.07400000 1278349.66015879 18695.86465599
0.07500000 1269065.38030855 21701.01902046
0.07600000 1259738.41092409 16004.97726111
0.07700000 1250372.79208377 17555.23482399
0.07800000 1240969.51082993 17646.58727156
0.07900000 1231530.65434230 20689.71596338
0.08000000 1222061.24045789 14848.04476810
0.08100000 1212562.04022126 20880.31931228
0.08200000 1203034.81811212 14977.78418833
0.08300000 1193482.24334844 18045.45236634
0.08400000 1183908.10297283 15094.82902143
0.08500000 1174313.92925830 16663.51543845
0.08600000 1164702.29894151 30398.73142964
0.08700000 1155075.03374269 28969.28320660
0.08800000 1145434.44534973 19879.01573264
0.08900000 1135783.70575727 18399.69689750
0.09000000 1126125.06819393 18445.92948352
0.09100000 1116460.00909421 30814.29769869
0.09200000 1106790.72720299 16983.70450694
0.09300000 1097121.30242875 17016.35220031
0.09400000 1087450.41190281 17045.78600769
0.09500000 1077782.72623207 20176.09358339
0.09600000 1068119.65278844 17095.25584649
0.09700000 1058465.64310178 24895.11309614
0.09800000 1048819.75541201 17132.47151018
0.09900000 1039186.09574917 23381.68825382
0.10000000 1029563.93222050 20277.26259867
0.10100000 1019957.15737506 17165.87976596
0.10200000 1010368.00069044 17171.20497940
0.10300000 1000797.24929655 15612.43782345
0.10400000 991248.12309345 20295.80627516
0.10500000 981723.32939375 21853.16234048
0.10600001 972219.64267276 20285.36379887
0.10700001 962745.31131524 20275.41721041
0.10800001 953297.11248253 23379.61278392
0.10900001 943879.95290534 20246.22594272
0.11000001 934494.25335252 23338.99507604
0.11100001 925141.00889218 20205.08058533
0.11200001 915823.29686554 18627.84673519
0.11300001 906540.99060337 17052.03683607
0.11400001 897296.99599553 20121.88608263
0.11500001 888093.02016811 15452.81927857
0.11600001 878929.50610687 18510.25627029
0.11700001 869808.53642287 24632.97891158
0.11800001 860730.11272630 18436.83988294
0.11900001 851696.37078944 16863.58893593
0.12000001 842708.44795628 24472.25448141
0.12100001 833769.59807813 19835.37967269
0.12200001 824878.55639835 19784.71310730
0.12300001 816038.10616102 16696.14043868
0.12400001 807247.72941766 15135.89563975
0.12500001 798508.92415823 19619.36519104
0.12600001 789824.75066408 18055.39465101
0.12700001 781194.15841886 14998.92854849
0.12800001 772618.43428520 16445.18414881
0.12900001 764098.98141231 19369.91009175
0.13000001 755636.75780646 19302.74188800
0.13100001 747231.42976948 22192.77451027
0.13200001 738884.89329102 23585.20690566
0.13300001 730599.11981536 14685.04300059
0.13400001 722372.22223785 17553.64582796
0.13500001 714207.28699819 17483.79521005
0.13600001 706102.85795910 18863.53873981
0.13700001 698061.69189159 17339.85324422
0.13800001 690081.91919760 14388.20869376
0.13900001 682166.99304215 15758.05828239
0.14000001 674315.71423585 15687.95583155
0.14100001 666528.57512059 17036.47118357
0.14200001 658806.10162105 15544.53070091
0.14300001 651150.13690888 15471.32798270
0.14400001 643557.54982010 13997.37736884
0.14500001 636032.78283805 15322.03046134
0.14600001 628573.83726744 18018.06989526
0.14700001 621183.46259032 13790.27352008
0.14800001 613857.09583221 13719.70673913
0.14900001 606599.07865523 15013.32790506
0.15000001 599408.08844303 19007.23138134
0.15100001 592285.08045743 14854.51051878
0.15200001 585229.83162603 14774.12779655
0.15300001 578243.61474586 13357.42813095
0.15400001 571322.48598672 19924.87263906
0.15500001 564471.07326998 13208.62373787
0.15600001 557685.21409707 17073.53363537
0.15700001 550970.70004042 15669.60744871
