# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 374.54641798
0.00100000 1664564.95773894 699.11729885
0.00200000 1664307.55597919 898.72610869
0.00300000 1663878.76757235 1197.99275533
0.00400000 1663278.44202463 1247.45887892
0.00500000 1662507.25240538 2543.63619686
0.00600000 1661565.01870224 2093.57200880
0.00700000 1660452.52428813 2988.81466793
0.00800000 1659169.50026283 2911.84259590
0.00900000 1657717.37334710 2735.23378295
0.01000000 1656095.50100618 3825.58077251
0.01100000 1654305.51604301 4764.40009364
0.01200000 1652347.23429211 3222.07724814
0.01300000 1650221.99084703 4505.10623371
0.01400000 1647930.05028862 4449.41133303
0.01500000 1645472.84137240 5528.78899320
0.01600000 1642850.06475502 4608.19463764
0.01700000 1640063.90442900 5756.62456278
0.01800000 1637114.86767480 5132.35534110
0.01900000 1634003.84208976 4902.01174746
0.02000000 1630731.69346089 8218.88810683
0.02100000 1627301.01887576 5907.10296634
0.02200000 1623710.58539193 7842.52248375
0.02300000 1619963.30004143 6998.24177473
0.02400000 1616059.93463119 11514.42755928
0.02500000 1612002.73454572 8172.85423741
0.02600000 1607792.17792832 8465.02620397
0.02700000 1603430.05644456 7407.84720006
0.02800000 1598916.85684618 9041.87524012
0.02900000 1594255.96554779 8608.98260923
0.03000000 1589447.89852969 9608.21298826
0.03100000 1584494.39703671 8366.13080131
0.03200000 1579396.60297370 8599.81489928
0.03300000 1574158.54968254 8028.20897349
0.03400000 1568778.85671282 9059.69831553
0.03500000 1563261.42733468 8441.61209742
0.03600000 1557607.00302205 11238.13504616
0.03700000 1551818.49195611 10614.43897587
0.03800000 1545897.45929821 9947.85061097
0.03900000 1539846.36121004 15706.43361171
0.04000000 1533665.27770665 9432.04189497
0.04100000 1527358.33955083 12509.06538092
0.04200000 1520927.01869990 10790.97769830
0.04300000 1514373.07141051 12993.32155583
0.04400000 1507699.06961623 14247.75686957
0.04500000 1500907.83762637 12427.51747299
0.04600000 1493999.65778848 15799.04711556
0.04700000 1486978.37613548 14988.74272854
0.04800000 1479845.93437645 17402.98899800
0.04900000 1472604.72513323 16566.80392889
0.05000000 1465256.56548042 12330.13457268
0.05100000 1457805.37115000 12507.97066714
0.05200000 1450250.15227687 11529.48924789
0.05300000 1442596.65139298 12853.53676312
0.05400000 1434845.37733913 11837.47491507
0.05500000 1427000.33701279 19178.88542413
0.05600000 1419061.95780020 13346.27833590
0.05700000 1411035.45864212 15958.81178218
0.05800000 1402920.12306338 13657.42803572
