# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 296.39991978
0.00100000 1646580.09084048 740.96105848
0.00200000 1646321.66989042 889.01372989
0.00300000 1645891.17217959 1086.28821234
0.00400000 1645288.46819303 1480.75967764
0.00500000 1644514.23359485 1480.06286882
0.00600000 1643568.27648680 2070.89611268
0.00700000 1642451.37413447 2562.22425014
0.00800000 1641163.31382396 2880.24173736
0.00900000 1639705.47876463 2459.55832329
0.01000000 1638077.28702221 3243.39316835
0.01100000 1636280.24345517 4123.42639304
0.01200000 1634314.32969275 4780.36962394
0.01300000 1632180.90697454 3427.58005582
0.01400000 1629880.07369962 4400.67639408
0.01500000 1627413.41172690 4296.37159827
0.01600000 1624780.57377036 4557.50971316
0.01700000 1621983.82013707 5255.22781299
0.01800000 1619023.52292823 6459.90414716
0.01900000 1615900.82393363 4847.70269054
0.02000000 1612616.37094173 7619.61269738
0.02100000 1609172.95600196 6372.32519468
0.02200000 1605569.10634238 8308.82050281
0.02300000 1601808.20720550 5766.50980842
0.02400000 1597890.59837210 5992.09001712
0.02500000 1593818.73139278 9323.84000447
0.02600000 1589592.95789121 8369.20730609
0.02700000 1585215.35693051 7323.69528445
0.02800000 1580686.27415420 6875.98560790
0.02900000 1576009.11979189 9219.65377410
0.03000000 1571184.53570093 9497.81095488
0.03100000 1566214.05506272 9021.39337226
0.03200000 1561099.03101728 8500.18461539
0.03300000 1555843.41292256 8728.28194887
0.03400000 1550445.79136669 9767.80893630
0.03500000 1544910.51071784 12513.77571468
0.03600000 1539237.75190930 10251.32390147
0.03700000 1533431.01950851 10488.66865851
0.03800000 1527491.31490192 14297.31936916
0.03900000 1521421.49408486 10954.23526470
0.04000000 1515221.67637870 10250.47511570
0.04100000 1508895.88822862 9506.04453660
0.04200000 1502445.58914710 12598.00684946
0.04300000 1495872.45735032 11847.31041214
0.04400000 1489180.08442439 11057.16264037
0.04500000 1482369.70162974 12274.02169981
0.04600000 1475442.45902198 11442.05680162
0.04700000 1468402.69050419 14801.49980867
0.04800000 1461251.59964676 12888.23970855
0.04900000 1453991.96165720 16357.41033004
0.05000000 1446625.51419192 15493.35997846
0.05100000 1439156.15672009 16838.12781801
0.05200000 1431583.16162482 13657.30399835
0.05300000 1423911.89502705 17300.53033109
0.05400000 1416143.54155141 11683.18476263
0.05500000 1408281.43637341 14195.47754085
0.05600000 1400326.60945232 16761.91029732
0.05700000 1392283.89184359 14535.44450934
0.05800000 1384152.59579119 14699.70125367
0.05900000 1375936.98496295 17336.80682026
0.06000000 1367640.51444667 17519.47580855
0.06100000 1359264.47537132 17697.62429637
0.06200000 1350811.91812369 15318.20786755
0.06300000 1342285.91322547 16751.72898029
0.06400000 1333685.85544647 16904.46900835
0.06500000 1325018.65864722 15741.22240107
0.06600000 1316284.72640524 19842.99317898
0.06700000 1307486.02426913 17337.26549317
0.06800000 1298626.36733817 16128.94023732
0.06900000 1289709.30018974 14896.14311461
0.07000000 1280734.50560634 15003.80543578
0.07100000 1271706.59459323 16481.31823788
0.07200000 1262627.00129777 15208.34294309
0.07300000 1253499.62908330 13913.84653477
0.07400000 1244327.10052267 13998.68053692
0.07500000 1235110.14532549 15488.28194836
0.07600000 1225852.12997687 16990.31131800
0.07700000 1216556.80726941 19927.20143743
0.07800000 1207225.16534165 17166.74265621
0.07900000 1197859.11846784 18686.60312457
0.08000000 1188464.46954635 25991.71916828
0.08100000 1179041.19123919 15952.42806593
0.08200000 1169591.11393512 18929.83306733
0.08300000 1160117.58218448 20464.47511017
0.08400000 1150623.64773419 24939.76873528
0.08500000 1141111.13323875 14720.33430983
0.08600000 1131582.53092565 19197.29853850
0.08700000 1122040.08908146 19254.20883277
0.08800000 1112485.63729507 17822.02074646
0.08900000 1102922.72156335 16378.40318450
0.09000000 1093353.03253605 19401.55047375
0.09100000 1083778.45116453 16451.75766160
0.09200000 1074201.12796106 16483.61708307
0.09300000 1064625.23138178 18013.45976147
0.09400000 1055049.66824072 22551.68771852
0.09500000 1045478.35457106 15054.88901344
0.09600000 1035913.00376281 18087.04189593
0.09700000 1026358.60946508 22631.20840266
0.09800000 1016813.78389103 24159.49664117
0.09900000 1007282.39894896 18131.08403365
0.10000000 997764.08926640 18139.35199591
0.10100000 988262.84991387 18144.50677779
0.10200000 978780.29740564 21171.01882869
0.10300000 969317.93675889 25706.31289209
0.10400000 959878.36996955 16629.89354208
0.10500000 950464.80506560 15112.39111157
0.10600001 941073.88139225 16614.66015776
0.10700001 931713.09439898 16603.12812349
0.10800001 922380.39543072 16589.01219253
0.10900001 913080.19597455 19585.57112546
0.11000001 903812.56949063 18058.17598841
0.11100001 894579.19319546 19537.61049909
0.11200001 885382.35692957 18008.67798774
0.11300001 876222.61258080 22475.11107084
0.11400001 867102.13009008 16453.26369315
0.11500001 858023.15684267 22394.40544810
0.11600001 848986.06816989 23839.52991685
0.11700001 839992.57695910 16354.65624362
0.11800001 831043.42532684 16317.53842482
0.11900001 822139.75614883 17758.21956926
0.12000001 813283.43586585 16237.20456191
0.12100001 804477.38445703 23555.09892654
0.12200001 795720.22604088 14681.03886210
0.12300001 787014.78233129 16102.32320515
0.12400001 778361.24760568 21891.41112038
0.12500001 769759.85700969 16003.30818132
0.12600001 761214.48161409 15951.25021390
0.12700001 752723.70873537 17342.75506656
0.12800001 744288.90009934 15842.18998525
0.12900001 735911.58899672 15785.30432797
0.13000001 727592.37565566 20016.06719774
0.13100001 719331.53768258 14242.76511749
0.13200001 711130.28985352 15605.75494650
0.13300001 702990.42602458 22608.17316677
