# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 395.19989303
0.00100000 1646580.11796165 691.56366597
0.00200000 1646321.77661462 740.84482294
0.00300000 1645891.41740359 1185.04186275
0.00400000 1645288.89651982 1604.15673506
0.00500000 1644514.90571845 1628.06982110
0.00600000 1643569.23963890 2070.89732626
0.00700000 1642452.68919088 2956.41496341
0.00800000 1641165.03209547 2658.68746424
0.00900000 1639707.63075254 3443.38617178
0.01000000 1638079.93475355 2702.83200905
0.01100000 1636283.47999458 3534.37247067
0.01200000 1634318.17273285 4461.68880718
0.01300000 1632185.40684057 5484.14320886
0.01400000 1629885.27142210 4767.41463025
0.01500000 1627419.39754384 4296.38740083
0.01600000 1624787.34969502 4971.84951233
0.01700000 1621991.46676425 4379.37715672
0.01800000 1619032.13556837 5075.66597340
0.01900000 1615910.35446534 5817.27753857
0.02000000 1612626.96041925 5587.75267062
0.02100000 1609184.58476000 6372.37124456
0.02200000 1605581.89337929 6647.10934058
0.02300000 1601822.12344208 7496.52787894
0.02400000 1597905.72538001 8389.00544076
0.02500000 1593835.13270777 6215.95730145
0.02600000 1589610.69102289 9013.09303034
0.02700000 1585234.43242823 9321.17888960
0.02800000 1580706.75080051 11689.32695824
0.02900000 1576031.05800863 10638.21013000
0.03000000 1571207.90089846 8036.72878251
0.03100000 1566239.00411623 9021.53707882
0.03200000 1561125.52382402 8500.32886873
0.03300000 1555871.53852614 7934.94521229
0.03400000 1550475.58107541 10581.99632910
0.03500000 1544942.05912730 10845.49375590
0.03600000 1539270.99080367 10251.54527251
0.03700000 1533466.01826583 8740.75670835
0.03800000 1527528.23434977 10723.24870140
0.03900000 1521460.25723371 10041.63816277
0.04000000 1515262.32781242 9318.86374787
0.04100000 1508938.48739470 13308.83807591
0.04200000 1502490.23027922 10660.16867839
0.04300000 1495919.15480796 10860.37356802
0.04400000 1489228.69356001 11057.52356322
0.04500000 1482420.44721581 13297.31202938
0.04600000 1475495.38223377 10402.24292832
0.04700000 1468457.77152642 11630.18609138
0.04800000 1461308.83414979 12888.74451689
0.04900000 1454051.44612792 16358.07953037
0.05000000 1446687.22517213 18814.16823947
0.05100000 1439220.18581813 12348.50976956
0.05200000 1431649.44266799 17072.42039941
0.05300000 1423980.68358345 14994.51729715
0.05400000 1416214.60797797 17525.65659102
0.05500000 1408354.92883231 14196.21834487
0.05600000 1400402.42881982 14368.12959017
0.05700000 1392362.19330855 14536.26197667
0.05800000 1384233.40709811 14700.55946979
0.05900000 1376020.29947511 17337.85658317
0.06000000 1367726.31866564 22526.45352083
0.06100000 1359352.82819235 17698.77465015
0.06200000 1350902.75811698 16595.84115922
0.06300000 1342379.43433532 14175.52748936
0.06400000 1333781.92804809 15605.24928797
0.06500000 1325117.34009489 14430.52850866
0.06600000 1316386.15749411 14552.64965199
0.06700000 1307590.07418514 13337.41938087
0.06800000 1298732.95920060 16130.26410831
0.06900000 1289818.61614798 18960.33454508
0.07000000 1280846.49547572 15005.11739716
0.07100000 1271821.27224639 16482.80446033
0.07200000 1262744.49656403 13827.05288513
0.07300000 1253619.87895533 15306.69943925
0.07400000 1244450.03674688 15400.06992645
0.07500000 1235235.90733209 21122.53500544
0.07600000 1225980.62661459 24072.13073209
0.07700000 1216687.94617722 15658.77460152
0.07800000 1207359.15185719 18599.36860660
0.07900000 1197995.78938087 15813.54516154
0.08000000 1188603.94972601 15885.69253330
0.08100000 1179183.50476353 14503.95778909
0.08200000 1169736.14274657 16019.53722663
0.08300000 1160265.38679745 23390.95129562
0.08400000 1150774.28977102 16139.61017161
0.08500000 1141264.50580455 14722.31281602
0.08600000 1131738.72866711 16246.11021280
0.08700000 1122199.04454097 17775.63370023
0.08800000 1112647.32718678 19309.99527020
0.08900000 1103087.13507432 20848.34783215
0.09000000 1093520.25516068 14926.55218413
0.09100000 1083948.35871850 25429.42969024
0.09200000 1074373.86057947 25478.77730081
0.09300000 1064800.69210045 19517.79760338
0.09400000 1055227.84319122 21051.79646105
0.09500000 1045659.25934260 18068.99285073
0.09600000 1036096.73288514 18090.24980656
0.09700000 1026544.95211778 16599.23265612
0.09800000 1017002.78898544 16612.74133917
0.09900000 1007474.07262714 19645.74534002
0.10000000 997958.45838840 16630.97849115
0.10100000 988459.84995844 22685.15462347
0.10200000 978979.77057481 21175.33343354
0.10300000 969520.14321201 18149.41793469
0.10400000 960083.24952159 15121.31189135
0.10500000 950672.31653179 21161.96676165
0.10600001 941283.77908993 16618.36590179
0.10700001 931925.70155468 16606.91678319
0.10800001 922595.46003904 18101.32377784
0.10900001 913297.72387817 18083.29578389
0.11000001 904032.65377967 18062.57327271
0.11100001 894801.56568974 22549.00051684
0.11200001 885607.30065641 18013.25334336
0.11300001 876450.02643004 16486.02577332
0.11400001 867331.93788629 16457.62429629
0.11500001 858255.19293795 20907.09748444
0.11600001 849220.63819325 19374.96977278
0.11700001 840229.49859472 17846.47539063
0.11800001 831282.55279517 23741.43082601
0.11900001 822381.12811972 16283.14710373
0.12000001 813526.99874824 16242.06729509
0.12100001 804723.18362962 19144.36544040
0.12200001 795968.30581864 17622.73912105
0.12300001 787264.89774180 32214.88113338
0.12400001 778613.46881196 18978.70419652
0.12500001 770014.35255027 16008.59914385
0.12600001 761470.93641045 21759.03303329
0.12700001 752982.17695001 15902.98432663
0.12800001 744549.44078424 17288.43882980
0.12900001 736174.08652347 18662.01397295
0.13000001 727856.80695756 24314.05778246
0.13100001 719597.76999149 19947.25112443
0.13200001 711398.44954007 15611.63971109
0.13300001 703260.45895738 15549.08948058
0.13400001 695182.78248691 16892.94241086
0.13500001 687167.58753946 18223.68528076
0.13600001 679214.43450190 16749.42874457
0.13700001 671324.76691814 15286.06566351
0.13800001 663497.89172725 15217.32486435
0.13900001 655736.24657609 15147.50801024
0.14000001 648038.87935939 20559.03441725
0.14100001 640406.89827248 15004.73433419
0.14200001 632840.16514681 17646.74883743
0.14300001 625340.89498048 20261.04595303
0.14400001 617905.33112694 14783.38574454
0.14500001 610538.41951144 16044.95042163
0.14600001 603237.93274780 14631.53674903
0.14700001 596006.59657543 15877.61648182
0.14800001 588839.86776906 13160.57166554
0.14900001 581742.23259642 15707.04102117
0.15000001 574711.96860670 18224.11738439
0.15100001 567750.19716349 12944.70510612
0.15200001 560856.68636646 12871.66155949
0.15300001 554032.40058639 17917.40868047
0.15400001 547273.94275990 13996.53174659
0.15500001 540585.66380642 17709.58718207
0.15600001 533963.09118942 13832.31453008
0.15700001 527412.22105159 14999.60427464
0.15800001 520925.80027540 13666.48901527
0.15900001 514509.90551766 13583.06214679
0.16000001 508159.45635937 18408.07717552
0.16100001 501879.95505915 13415.25183199
0.16200001 495666.49076157 14542.85552546
0.16300001 489520.42639006 12042.20305768
0.16400001 483441.72233220 14358.21983111
0.16500001 477429.52656860 14265.59492737
0.16600001 471485.16432021 14172.84470861
0.16700001 465605.31473716 11733.25448536
0.16800001 459791.24482465 13986.85032797
0.16900001 454045.32900565 13893.78772361
0.17000001 448363.12844126 14950.66922384
0.17100001 442746.14448115 12565.13617372
0.17200001 437194.41805763 11345.19568435
0.17300001 431706.55284059 19154.82065411
0.17400001 426282.74284716 13427.90703383
0.17500001 420922.37567813 12223.58636698
0.17600001 415623.68801800 11034.80943804
0.17700001 410389.35324304 10957.39624911
0.17800001 405215.46954669 11968.03945834
0.17900001 400104.00058969 11883.08937879
0.18000001 395053.52622544 15015.98524111
0.18100001 390064.97489596 11713.65174944
0.18200001 385134.07182712 11629.12384816
0.18300001 380263.47195800 11544.79955401
0.18400001 375451.82544004 14586.30410741
0.18500001 370700.02002577 13445.29036152
0.18600001 366004.19449953 14372.98539703
0.18700001 361365.68705663 19361.97442725
0.18800001 356783.73639386 15172.22910698
0.18900001 352259.94229604 11043.34971275
0.19000001 347787.85233578 12953.35917228
0.19100001 343374.87696920 11867.03630877
0.19200001 339013.11119679 12758.75904276
0.19300001 334707.47889281 12661.98452483
0.19400001 330452.79703437 12565.46820100
0.19500001 326252.04754877 10550.99171632
0.19600001 322102.42304344 10469.93975580
0.19700001 318003.83511053 9444.71434912
0.19800001 313956.47284566 9371.60115733
0.19900001 309959.41748083 9298.78296389
0.20000001 306010.44072671 9226.21522395
0.20100001 302111.67229614 10069.38251353
0.20200001 298259.45555042 9082.00085076
0.20300001 294456.39764195 10812.43943246
0.20400001 290699.62846497 8939.01399781
0.20500001 286988.73872513 12415.13342407
0.20600001 283323.64449294 8797.19957733
0.20700001 279704.07591674 13962.82812977
0.20800001 276127.70266896 12984.90583181
0.20900001 272597.56764147 8586.82378662
0.21000001 269108.49907105 8517.28439823
0.21100001 265662.76149736 10137.69145798
0.21200001 262258.77446587 12568.75236046
0.21300001 258895.41773383 14127.92361364
0.21400001 255573.93137570 11539.16354714
0.21500001 252293.33280674 8174.30436940
0.21600001 249051.40090781 10538.61052766
0.21700001 245848.93990302 12862.81714387
0.21800001 242684.80580363 11958.29437137
0.21900001 239557.95765126 11858.11946441
0.22000001 236468.27844012 7838.92380093
0.22100001 233416.86698264 10104.61664946
0.22200001 230401.80869041 9248.32903814
0.22300001 227421.03391924 8405.48181111
0.22400001 224475.37661095 9091.25318264
0.22500001 221566.44361753 8262.21307320
0.22600001 218689.45354216 9680.28911881
0.22700001 215848.43717306 8858.42028049
0.22800001 213039.33962322 8781.48199455
0.22900001 210262.03640345 7254.04059897
0.23000001 207518.14553745 9347.65530780
0.23100001 204806.54752354 8552.72182906
0.23200001 202124.71612771 9889.96282786
0.23300001 199474.10080469 11202.46603101
0.23400001 196854.63332756 7633.03876828
0.23500001 194263.34256247 8252.30718236
0.23600001 191702.84855354 10904.05854145
0.23700001 189171.02045717 8779.42747467
0.23800001 186667.88344598 8699.65711948
0.23900001 184192.66121326 6630.93611732
0.24000001 181745.03460261 7884.09997398
0.24100001 179325.78125003 7160.47878401
0.24200001 176933.23910615 9673.82530572
0.24300001 174567.39018808 7028.08346142
0.24400001 172227.32069464 9494.03150239
0.24500001 169913.32842802 8150.74275026
0.24600001 167625.03196761 6831.55850101
0.24700001 165362.31626167 7381.77414712
0.24800001 163124.19014090 8529.76430598
0.24900001 160909.87268297 6034.12051107
0.25000001 158720.77642024 7768.58876941
0.25100001 156554.49581827 7693.08828846
0.25200001 154413.64047759 8203.99710670
0.25300001 152295.69434778 10444.43921250
0.25400001 150200.41119458 8043.23240000
0.25500001 148127.50060034 6825.71555060
0.25600001 146077.75142808 5631.29758398
0.25700001 144049.55084781 6689.66145788
0.25800001 142043.96441860 6070.24910664
0.25900001 140060.14860413 7647.28447562
0.26000001 138097.82839662 6487.83628505
0.26100001 136155.92734763 5886.02101774
0.26200001 134236.38628496 5825.18825847
0.26300001 132336.50878321 7336.73639410
0.26400001 130457.55751021 6741.39460333
0.26500001 128599.56767316 5644.23529225
0.26600001 126760.64004770 5584.44026155
0.26700001 124942.89631144 5524.97513634
0.26800001 123145.16438983 5962.68914192
0.26900001 121365.69505170 7372.96632329
0.27000001 119606.84833085 6320.62419915
0.27100001 117866.49153311 5289.84839034
0.27200001 116146.76540559 4756.21026844
0.27300001 114445.05868884 5644.43056165
0.27400001 112760.29423376 4651.36235727
0.27500001 111097.05448514 5979.24375536
0.27600001 109449.79959663 6366.69514385
0.27700001 107822.75564073 6744.31368451
0.27800001 106212.73021344 5334.00356376
0.27900001 104622.02165336 7030.60018785
0.28000001 103047.73287349 6949.53943390
0.28100001 101492.07303058 6868.98382781
0.28200001 99954.52199498  4667.37662546
0.28300001 98434.08068391  4612.62123916
0.28400001 96930.73222654  5801.30459834
0.28500001 95445.43641910  5732.45318266
0.28600001 93976.90780677  4450.27667983
0.28700001 92525.42011914  6395.35734134
0.28800001 91090.36034815  3948.76730800
0.28900001 89673.93821743  4680.97979652
0.29000001 88272.85617933  4238.42139007
0.29100001 86889.20797208  6089.19598291
0.29200001 85522.09016499  5262.17445694
0.29300001 84171.52695125  4825.55386854
0.29400001 82836.58157200  5864.83025292
0.29500001 81519.24893308  4343.34578876
0.29600001 80217.28256734  4645.78413981
0.29700001 78931.60350386  3528.24284364
0.29800001 77661.91619812  4179.76452765
0.29900001 76408.81780268  3782.23666028
0.30000001 75170.77840304  4072.75296668
0.30100001 73949.74715716  3349.92370481
0.30200001 72742.56777304  4628.60980652
0.30300001 71552.70447977  3262.80347874
0.30400001 70378.21145921  3863.76399203
0.30500001 69218.96342822  4448.01080048
0.30600001 68074.05507627  4702.21557701
0.30700001 66945.94516246  4948.64450069
0.30800001 65832.42697397  3051.33313471
0.30900001 64734.12536005  3612.16436611
0.31000001 63651.41817184  3266.27267813
0.31100001 62582.44777885  4686.17391155
0.31200001 61529.51102894  3755.45388346
0.31300001 60490.58603658  3134.01741094
0.31400001 59467.60009852  3090.82866146
0.31500001 58458.33079134  4156.38751606
0.31600002 57464.14404929  3825.38825048
0.31700002 56484.30353926  2963.73154703
0.31800002 55518.88587260  3453.55245923
0.31900002 54568.00441550  2881.19076956
0.32000002 53631.52165147  3615.30104571
0.32100002 52708.58277403  3309.57206909
0.32200002 51801.02201063  3011.71156230
0.32300002 50905.69472032  3711.02532083
0.32400002 50025.19841411  2682.60139198
0.32500002 49158.35297776  3365.38100421
0.32600002 48305.56947955  2369.38829517
0.32700002 47465.82892816  3736.51023016
0.32800002 46640.68076559  2531.88947525
0.32900002 45828.05152601  2268.48865796
0.33000002 45029.84360734  3130.02457736
0.33100002 44242.36836577  3304.90507343
0.33200002 43471.31939241  2388.53175712
0.33300002 42711.83996392  2781.82226858
0.33400002 41965.74400044  2319.65660947
0.33500002 41231.72429848  2493.69480366
0.33600002 40511.40649227  2866.99237323
0.33700002 39802.89986814  2623.40925455
0.33800002 39107.83676248  2784.08703097
0.33900002 38424.38576072  2743.50127324
0.34000002 37753.95223618  2510.44917283
0.34100002 37095.43270147  2664.19410279
0.34200002 36449.65728393  2813.00243411
0.34300002 35815.01927365  2032.86059025
0.34400002 35193.51429876  2367.64378658
0.34500002 34583.00747529  2333.31562486
0.34600002 33985.31722194  1768.93584518
0.34700002 33397.45857870  2440.68638852
0.34800002 32822.75541531  2061.92559285
0.34900002 32258.62435670  1862.93564483
0.35000002 31705.91458766  1836.24813031
0.35100002 31165.12706898  1974.62254461
0.35200002 30633.93141696  2270.89344350
0.35300002 30114.27564740  2238.69535766
0.35400002 29605.78552085  2364.76223048
0.35500002 29107.90141545  2176.10681289
0.35600002 28619.78668962  2145.62550975
0.35700002 28142.70817416  1813.51620064
0.35800002 27676.39516836  1937.48613553
0.35900002 27220.07249040  1763.86078092
0.36000002 26774.12280017  1884.76446379
0.36100002 26337.35349266  1859.15387111
0.36200002 25911.65253777  1975.24536651
0.36300002 25494.62654417  1948.80934535
0.36400002 25087.30671995  1373.53010798
0.36500002 24689.41688057  2033.17357642
0.36600002 24301.17694548  1471.55783964
0.36700002 23921.72403362  1452.52715213
0.36800002 23552.70122391  1303.64207450
0.36900002 23191.78978113  1415.85883321
0.37000002 22839.40450297  2033.62067328
0.37100002 22495.73666659  1380.78838200
0.37200002 22161.42744652  1611.91150168
0.37300002 21835.04827406  2204.90327916
0.37400002 21517.12209716  1452.40581036
0.37500002 21207.88630988  1554.96229790
0.37600002 20906.87641606  1300.51230907
0.37700002 20613.27232147  1636.28163439
0.37800002 20327.51427598  1386.74308960
0.37900002 20050.13642793  1371.42939664
0.38000002 19780.41000215  1243.49553369
0.38100002 19517.20793470  1118.33606764
0.38200002 19262.35414303  1327.94675753
0.38300002 19014.19005258  1204.73913880
0.38400002 18773.87078360  1409.44841585
0.38500002 18539.59388730  1502.81955170
0.38600002 18313.23048453  1488.31631199
0.38700002 18093.09333327  1263.62169826
0.38800002 17879.75039600  1251.94018204
0.38900002 17672.34899560  1343.98220479
0.39000002 17472.64848949  1537.15632369
0.39100002 17278.12335724  1422.33518215
0.39200002 17090.45094992  1007.48213123
0.39300002 16908.40716258  1199.14429278
0.39400002 16733.76092152  991.47538157
0.39500002 16563.55436818  1180.65021130
0.39600002 16399.41990217  1074.24405159
0.39700002 16240.77714200  1551.31910610
0.39800002 16087.88396625  1251.71787130
0.39900002 15940.32497359  956.41954373
0.40000002 15797.78226145  1140.28397766
0.40100002 15660.84359423  1038.78380482
0.40200002 15528.97212351  1126.47169121
0.40300002 15401.59301453  933.33658090
0.40400002 15279.57671405  1392.35149404
0.40500002 15162.33051909  1108.06316684
0.40600002 15049.78213919  1010.66816744
0.40700002 14941.57074560  914.42417296
0.40800002 14838.04834651  1365.47146379
0.40900002 14738.66196049  1087.71330422
0.41000002 14643.96719292  993.08068224
0.41100002 14553.14063529  1079.26096065
0.41200002 14466.12262396  985.79397292
0.41300002 14383.83086461  893.23593902
0.41400002 14304.72709604  979.51623431
0.41500002 14229.77796112  1065.52582422
0.41600002 14158.01142045  974.14202194
0.41700002 14090.13965779  1325.17769761
0.41800002 14026.88363536  1057.90761391
0.41900002 13964.93198814  1231.70705972
0.42000002 13907.55024842  1141.74039175
0.42100002 13853.75327233  1227.71967317
0.42200002 13803.02047156  875.80169042
0.42300002 13754.91722303  1224.73788757
0.42400002 13709.60357489  873.98726931
0.42500002 13667.84910703  1135.38827912
0.42600002 13627.88276691  1134.72571236
0.42700002 13592.10213475  959.87429824
0.42800002 13557.82011155  1221.42407173
0.42900002 13527.49251836  1047.02797054
0.43000002 13499.04740159  959.98480146
0.43100002 13472.15970941  960.29558959
0.43200002 13448.73775786  960.84511464
0.43300002 13427.38309572  1136.35948524
0.43400002 13408.27651521  1224.84611771
0.43500002 13391.23749796  963.36567126
0.43600002 13376.64178356  1139.89058360
0.43700002 13363.46742167  965.77783633
0.43800002 13352.32103788  1318.87557302
0.43900002 13343.70709604  1232.95859410
0.44000002 13336.45791378  970.42740608
0.44100002 13331.35016595  883.86855789
0.44200002 13327.78233332  974.19429582
0.44300002 13325.98843384  976.26195893
0.44400002 13326.10662552  1245.32472317
0.44500002 13326.52247713  1248.16215436
0.44600002 13328.91064839  1251.18490186
0.44700002 13333.73466665  985.62971327
0.44800002 13338.44232440  1078.01295975
0.44900002 13346.06249478  990.94518720
0.45000002 13354.35423441  1264.79094948
0.45100002 13363.54772885  1359.07286843
0.45200002 13374.08698976  1363.15388103
0.45300002 13385.56031459  911.55670062
0.45400002 13398.50439920  1097.33756230
0.45500002 13412.36794839  1009.14661226
0.45600002 13427.08741918  1104.51226345
0.45700002 13442.79272633  923.51990407
0.45800002 13459.00768228  1019.31799513
0.45900002 13476.30414659  1115.83803622
0.46000002 13495.02197785  1399.77122099
0.46100002 13513.43830580  1030.12945087
0.46200002 13533.45434827  939.89844903
0.46300002 13554.15256370  943.36906314
0.46400002 13574.67804219  1041.51722215
0.46500002 13596.44341265  1425.58715938
0.46600002 13618.55451330  1335.57170442
0.46700002 13640.95932190  1244.87400672
0.46800002 13664.71272599  1057.44384442
0.46900002 13687.90510338  1061.49709108
0.47000002 13711.90424818  1065.62068915
0.47100002 13736.42045506  1069.79247574
0.47200002 13761.33297864  1464.54993167
0.47300002 13786.72863627  1470.35467875
0.47400002 13811.71527343  1279.31018784
0.47500002 13837.39043491  1086.78869627
0.47600002 13863.75463682  1190.34202954
0.47700002 13889.49362461  1394.22743612
0.47800002 13915.62004899  1099.82108270
0.47900002 13942.49968365  1204.63202977
0.48000002 13968.91259469  1209.42850977
0.48100002 13996.46362137  1011.94436779
0.48200002 14022.22263478  1219.09209365
0.48300002 14048.60243538  1121.92144367
0.48400002 14075.38314465  1228.78100677
0.48500002 14102.45738860  1130.87611159
0.48600002 14129.34119905  1238.57810822
0.48700002 14156.28200250  1450.73584838
0.48800002 14182.26604074  1144.29618974
0.48900002 14209.00837832  1148.79838184
0.49000002 14235.16739836  1153.26214144
0.49100002 14262.12409223  1157.79928869
0.49200002 14288.04810870  1267.92144927
0.49300002 14313.89534126  1166.72566457
0.49400002 14339.80650845  1171.20375209
0.49500002 14365.07430436  1710.01852625
0.49600002 14390.99421397  1394.70327036
0.49700002 14415.89072035  1507.61392300
0.49800002 14440.82696878  1621.34392478
0.49900002 14465.21317261  1410.35835118
0.50000002 14489.71325251  1306.68240305
