# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 399.51617917
0.00100000 1664563.97181512 699.11688477
0.00200000 1664303.62779323 1048.51131871
0.00300000 1663869.91043771 1297.81857637
0.00400000 1663262.72837978 1746.42593116
0.00500000 1662482.70992830 1496.23449816
0.00600000 1661529.70237767 2093.52751023
0.00700000 1660404.46724281 2789.47962090
0.00800000 1659106.78640723 2239.79425621
0.00900000 1657638.08274879 2983.74867650
0.01000000 1655997.70679130 3005.63596761
0.01100000 1654187.26504211 3870.79836873
0.01200000 1652206.65294343 3866.16373739
0.01300000 1650057.27886242 4158.14452613
0.01400000 1647739.21807221 5931.86144803
0.01500000 1645254.15476902 5528.05420618
0.01600000 1642601.58688691 5026.36108057
0.01700000 1639783.91915087 6641.12517047
0.01800000 1636801.42904878 5131.37271097
0.01900000 1633655.31662395 5881.15940522
0.02000000 1630346.25047412 5649.15001344
0.02100000 1626876.98241092 5905.56371390
0.02200000 1623246.10838721 5600.19932837
0.02300000 1619456.91114711 8162.06320371
0.02400000 1615509.88738235 6058.16235392
0.02500000 1611407.41552003 9426.73381132
0.02600000 1607149.79779920 8461.64407243
0.02700000 1602739.23836816 10097.25766419
0.02800000 1598176.03480196 6952.06607021
0.02900000 1593463.52241782 7887.64479812
0.03000000 1588602.53760765 8125.70235336
0.03100000 1583594.45629528 7601.25373998
0.03200000 1578440.68184675 9375.93808201
0.03300000 1573145.39176870 8023.04186789
0.03400000 1567706.82186208 8230.46119453
0.03500000 1562129.56894236 10966.15008037
0.03600000 1556413.74027601 12093.33532082
0.03700000 1550562.83684295 9722.02943662
0.03800000 1544577.95935966 12650.09407260
0.03900000 1538461.86518735 12000.00310418
0.04000000 1532214.79771914 11307.74573116
0.04100000 1525840.70155614 11535.35623862
0.04200000 1519341.07638098 12739.67551648
0.04300000 1512717.63494384 12979.11791028
0.04400000 1505974.03648581 14231.45530573
0.04500000 1499111.33091275 11378.25553032
0.04600000 1492130.91065354 14727.33277278
0.04700000 1485036.82762840 12830.71878744
0.04800000 1477830.74781165 11948.26215199
0.04900000 1470515.21898581 12131.75112134
0.05000000 1463091.78151029 13431.18317970
0.05100000 1455564.48932517 15894.76496387
0.05200000 1447932.92813606 11511.06731511
0.05300000 1440202.04048939 17498.45560769
0.05400000 1432373.46209526 18907.33058138
0.05500000 1424450.15426529 14358.45822481
0.05600000 1416433.39004294 13321.55665499
0.05700000 1408327.87893895 15928.18905430
0.05800000 1400132.95377288 17347.64810725
0.05900000 1391852.98705314 15032.01296226
