# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420643 331.67800267
0.00100000 1700825.15841129 510.24755964
0.00200000 1700562.10826223 1071.35416213
0.00300000 1700123.88159000 1122.08180182
0.00400000 1699510.39574282 1911.94926786
0.00500000 1698722.27416798 2140.39015017
0.00600000 1697759.35459922 2317.44161338
0.00700000 1696622.41774928 2646.73108169
0.00800000 1695311.23319192 3204.13836601
0.00900000 1693827.22464495 3048.88913469
0.01000000 1692169.73830618 4188.12028315
0.01100000 1690340.47614299 3042.61298953
0.01200000 1688339.18720230 4609.16618315
0.01300000 1686167.36683701 4249.14195184
0.01400000 1683825.05996636 4167.46720816
0.01500000 1681314.03605423 4035.15386621
0.01600000 1678633.67521188 5136.61927577
0.01700000 1675786.47361543 6334.47315442
0.01800000 1672772.75300440 5244.14281664
0.01900000 1669593.57975741 7012.29335139
0.02000000 1666249.72920569 7873.03032664
0.02100000 1662743.90600609 6035.76065245
0.02200000 1659074.78372550 6296.18909029
0.02300000 1655245.57754298 8342.43809055
0.02400000 1651256.78801676 6192.21323741
0.02500000 1647110.90999700 7708.47941084
0.02600000 1642808.11453514 7318.71048500
0.02700000 1638350.67295172 8257.28776987
0.02800000 1633738.91711712 7106.76461537
0.02900000 1628976.17934265 10995.58971542
0.03000000 1624063.19622223 9062.27305147
0.03100000 1619001.52313930 10879.69073610
0.03200000 1613792.46177630 7988.27305372
0.03300000 1608440.29779380 10663.95966599
0.03400000 1602943.26705567 11781.63355647
0.03500000 1597305.68967821 11213.08645934
0.03600000 1591528.05418906 12366.17355254
0.03700000 1585613.63190201 10845.59774379
0.03800000 1579563.80888565 12936.62819348
0.03900000 1573381.07764193 11328.34428364
0.04000000 1567065.80618457 15419.92824740
0.04100000 1560621.72083180 9831.91729711
0.04200000 1554050.90879521 12028.35459210
0.04300000 1547354.65825831 15318.81182783
0.04400000 1540536.37794511 11438.48313747
0.04500000 1533597.73270125 14814.55478625
0.04600000 1526540.01393840 13990.73987813
0.04700000 1519366.77815834 14221.27370496
0.04800000 1512080.19534662 12225.16894819
0.04900000 1504682.73070574 14670.65730726
0.05000000 1497175.77882708 12598.73476550
0.05100000 1489563.63503664 13942.31627343
0.05200000 1481845.72880792 14136.80891162
0.05300000 1474027.21962546 13133.58313912
0.05400000 1466109.40433764 13304.94346482
0.05500000 1458095.67314254 12248.00422576
0.05600000 1449986.82686113 12397.38794818
0.05700000 1441788.07104529 13797.91248397
0.05800000 1433498.57909489 16492.40192256
0.05900000 1425122.51372248 20521.76515609
0.06000000 1416663.47817519 20739.95428943
0.06100000 1408123.09457029 14405.09993062
0.06200000 1399504.01629624 15870.37628664
0.06300000 1390809.67723557 17357.30558345
0.06400000 1382039.44862763 17517.35083058
0.06500000 1373199.48757148 17673.07823175
0.06600000 1364291.56627297 17824.47014734
0.06700000 1355316.78844052 15206.65507796
0.06800000 1346279.32223576 20900.98745607
0.06900000 1337182.64994614 15444.46032997
0.07000000 1328026.26195538 21215.22052821
0.07100000 1318814.86176652 18516.16152646
0.07200000 1309550.77867605 20075.41437757
0.07300000 1300236.89650743 17319.15627298
0.07400000 1290876.32640829 17426.83122321
0.07500000 1281469.78577910 18991.38311542
0.07600000 1272020.40504071 19099.38727708
0.07700000 1262532.27963871 22157.44254659
0.07800000 1253006.49891322 20787.37879182
0.07900000 1243444.79929545 16413.47212055
0.08000000 1233852.83441489 20987.83769796
0.08100000 1224231.23723977 16563.84941700
0.08200000 1214581.19634044 18145.84392482
0.08300000 1204906.65102546 16700.00696698
0.08400000 1195210.16098533 16762.82329464
0.08500000 1185493.96879660 18351.44749848
0.08600000 1175760.64983898 18412.41264097
0.08700000 1166012.12858754 16930.49690211
0.08800000 1156250.42578825 18523.13269104
0.08900000 1146479.20308574 17025.21696549
0.09000000 1136700.17222507 23273.93711961
0.09100000 1126915.24071674 24882.28968402
0.09200000 1117126.46113741 20259.08932464
0.09300000 1107338.36447548 17174.81884010
0.09400000 1097549.19416505 17204.08442709
0.09500000 1087763.83361379 20362.93992236
0.09600000 1077983.44796121 18821.59188616
0.09700000 1068213.12072389 15702.73361287
0.09800000 1058451.59502989 20433.40900278
0.09900000 1048702.89068666 20449.70732999
0.10000000 1038966.20516910 15740.33874854
0.10100000 1029246.18364004 22046.45429045
0.10200000 1019544.46111177 18902.35519811
0.10300000 1009861.71930148 15753.84356218
0.10400000 1000201.26500685 20479.12186446
0.10500000 990566.38355147 17325.00686345
0.10600001 980953.71243083 18893.16939041
0.10700001 971370.81583442 18883.44954843
0.10800001 961815.30050120 20443.38517425
0.10900001 952291.73354785 18855.37721169
0.11000001 942800.58305097 18837.15653601
0.11100001 933343.28798818 15680.16797632
0.11200001 923922.17679542 15660.48163393
0.11300001 914537.63734771 20330.17263540
0.11400001 905192.46701444 18737.48494944
0.11500001 895888.59257630 20265.00091831
0.11600001 886626.00596637 20228.37327871
0.11700001 877407.04714934 17083.11601253
0.11800001 868232.07186258 17047.73753394
0.11900001 859102.86424080 15463.85228471
0.12000001 850020.83686525 15427.87891583
0.12100001 840988.98539165 24624.15865227
0.12200001 832005.83591488 21490.71175414
0.12300001 823074.40184244 19901.93997422
0.12400001 814194.82047198 15266.15360315
0.12500001 805367.68563075 19787.88496836
0.12600001 796596.39059806 15175.16195600
0.12700001 787880.21986046 18152.76112106
0.12800001 779219.70333989 16585.69216726
0.12900001 770617.13965603 19535.14541101
0.13000001 762072.97806363 20964.62861470
0.13100001 753587.02727359 16413.12622769
0.13200001 745161.03734552 17839.15607500
0.13300001 736796.90068041 16290.58024203
0.13400001 728493.01219870 19177.57945027
0.13500001 720252.52456679 17631.78263270
0.13600001 712073.85412220 24876.30126670
0.13700001 703959.60779874 17486.35748226
0.13800001 695907.99739087 20313.55540174
0.13900001 687922.64228183 21669.56425377
0.14000001 680002.15156548 18696.66003904
0.14100001 672147.10957496 17180.08093100
0.14200001 664357.92172531 15675.52590245
0.14300001 656636.80436031 24111.70459340
0.14400001 648979.95973886 15526.84626915
0.14500001 641392.31860640 16855.79092810
0.14600001 633871.48032489 16772.24016062
0.14700001 626420.64708705 16687.84682567
0.14800001 619035.14402885 15218.97973396
0.14900001 611719.40393786 19269.16213318
0.15000001 604471.53469561 16429.53708822
0.15100001 597292.74064257 16341.93015507
0.15200001 590183.23870764 18962.58835446
0.15300001 583143.66312865 25594.17658248
0.15400001 576170.55160917 16075.15914850
0.15500001 569268.23980790 15985.05292819
0.15600001 562432.71353063 18543.40744026
0.15700001 555669.65277853 14486.30853164
0.15800001 548971.77302262 15711.57288547
0.15900001 542345.08115653 15619.53907456
0.16000001 535784.85239832 19408.80719427
0.16100001 529296.38623321 19292.85418891
0.16200001 522875.18101566 17898.01829106
0.16300001 516521.71824269 15247.72184234
0.16400001 510236.99274904 16416.87601673
0.16500001 504019.31203336 13805.08960835
0.16600001 497870.49554519 12471.65650223
0.16700001 491787.29318426 13632.34441072
0.16800001 485770.83416198 14777.14947293
0.16900001 479823.28995192 18353.24170727
0.17000001 473940.61992449 13372.23522260
0.17100001 468123.89901780 14493.11659797
0.17200001 462373.42569298 17997.88644501
0.17300001 456688.06378798 22647.16215275
0.17400001 451068.05782500 13024.59078480
0.17500001 445511.86553126 17642.27070824
0.17600001 440018.49341199 12850.74070703
0.17700001 434590.63936642 11603.57061913
0.17800001 429224.29693625 12677.14020878
0.17900001 423921.32425781 17168.81444339
0.18000001 418680.31925276 13640.60544557
0.18100001 413502.59480675 13546.34564575
0.18200001 408383.34237389 13452.14793325
0.18300001 403325.78221493 16697.68817249
0.18400001 398327.84065585 14369.67753049
0.18500001 393391.20769347 12073.17673447
0.18600001 388511.47535843 11987.52213852
0.18700001 383689.99539599 11902.06421949
0.18800001 378926.33922957 15039.58711458
0.18900001 374222.05634218 10665.32910966
0.19000001 369570.07979859 15882.27492976
0.19100001 364978.88318788 13664.81003222
0.19200001 360439.79960248 14608.62576817
0.19300001 355957.64102309 10358.36784323
0.19400001 351528.19794440 16451.52044120
0.19500001 347152.96764385 11226.92750413
0.19600001 342830.45614754 14182.89664106
0.19700001 338560.30992900 14077.33835211
0.19800001 334342.26998149 13972.16412283
0.19900001 330175.69478043 9905.27131154
0.20000001 326058.12549461 11796.78353792
0.20100001 321991.99415243 15610.17261428
0.20200001 317973.70528510 11618.75974026
0.20300001 314005.36424754 12491.13398016
0.20400001 310084.62829456 10488.61304782
0.20500001 306210.77586158 14192.87013204
0.20600001 302384.00423259 10327.92615274
0.20700001 298603.78630096 10248.08243027
0.20800001 294867.64600152 12017.33148085
0.20900001 291179.18888351 11923.78834843
0.21000001 287532.52954882 10920.48598850
0.21100001 283930.48829232 10834.78794543
0.21200001 280371.25247054 9853.64813390
0.21300001 276853.70179160 9775.70467241
0.21400001 273379.00519849 11461.41533480
0.21500001 269946.72186471 11370.15646249
0.21600001 266553.78367222 9543.95867561
0.21700001 263201.33955941 10328.02105262
0.21800001 259888.53697900 8537.33884341
0.21900001 256614.03325111 8468.26349768
0.22000001 253377.47630240 12599.19560486
0.22100001 250180.60044959 13329.62302223
0.22200001 247020.81675735 8262.84671124
0.22300001 243896.74610763 9014.42416239
0.22400001 240808.22784899 8940.00588163
0.22500001 237758.01159819 12089.99546147
0.22600001 234740.61671396 9591.50205250
0.22700001 231760.44497851 7926.20759309
0.22800001 228812.68192823 8645.68759551
0.22900001 225898.02344003 8572.83039497
0.23000001 223017.89693087 10045.84164234
0.23100001 220170.98149147 9960.53567373
0.23200001 217354.44372454 8356.19198418
0.23300001 214570.54120367 9037.71162293
0.23400001 211818.53419176 11199.90552509
0.23500001 209095.52362572 8882.37826372
0.23600001 206404.73697992 9538.99537069
0.23700001 203743.21320584 7273.63305548
0.23800001 201111.37165451 7930.82731631
0.23900001 198508.31546210 10719.44954198
0.24000001 195933.91827737 9207.91492498
0.24100001 193389.00202348 8424.02532661
0.24200001 190871.45768159 8348.71795390
0.24300001 188381.37545632 12410.56560212
0.24400001 185918.22727957 8882.24372844
0.24500001 183481.97130387 8801.63057980
0.24600001 181072.17603372 10733.95910305
0.24700001 178688.93503411 11300.28878613
0.24800001 176331.47596648 6585.98093891
0.24900001 173998.43073845 7177.43560751
0.25000001 171691.48500235 6464.18471615
0.25100001 169408.01135189 11526.52163769
0.25200001 167150.95655428 10149.40656214
0.25300001 164917.60882673 6283.36119357
0.25400001 162707.76601804 6845.92957910
0.25500001 160521.04769420 8013.21108001
0.25600001 158358.35176695 8546.60064922
0.25700001 156218.14976575 7254.77121837
0.25800001 154101.36325718 6585.52207038
0.25900001 152006.99684937 6521.10047338
0.26000001 149934.89080733 5869.95125285
0.26100001 147884.06205446 5811.84391373
0.26200001 145856.09844324 9206.43736936
0.26300001 143848.67422160 6835.68932246
0.26400001 141863.19951294 5639.06244747
0.26500001 139899.28928698 6698.37828802
0.26600001 137955.20216979 6630.12733001
0.26700001 136032.81909502 7109.07546231
0.26800001 134131.29526428 6494.63762403
0.26900001 132248.81383695 5891.68493524
0.27000001 130387.47381212 5830.27616741
0.27100001 128545.57847902 6818.05780518
0.27200001 126725.01993323 6746.20675540
0.27300001 124922.98980344 6161.20214868
0.27400001 123138.66123655 7111.25802295
0.27500001 121376.39647143 7537.47457759
0.27600001 119630.88783168 4970.66362465
0.27700001 117906.29782096 5900.03142219
0.27800001 116199.44127848 7780.71495625
0.27900001 114512.22726456 5290.46515001
0.28000001 112842.28635457 4756.30259495
0.28100001 111191.60959590 5173.74583937
0.28200001 109559.72951424 6046.05395940
0.28300001 107945.50124750 5058.32642787
0.28400001 106349.05341120 5455.70669822
0.28500001 104771.20635034 5393.62195820
0.28600001 103210.69158047 4887.54253113
0.28700001 101667.87188520 4831.25750066
0.28800001 100141.95835270 5643.50033009
0.28900001 98635.60653191  5148.77890468
0.29000001 97144.72156957  5936.51421612
