# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682645.70402330 605.75246783
0.00200000 1682383.92933330 908.48735061
0.00300000 1681947.84464721 1009.16874274
0.00400000 1681337.33367449 1513.20365781
0.00500000 1680553.04384054 2571.24625885
0.00600000 1679594.81775454 2292.64701957
0.00700000 1678463.41983418 2618.40304376
0.00800000 1677158.60680808 3396.24632218
0.00900000 1675681.85014300 3518.93203573
0.01000000 1674032.49323460 3038.36910642
0.01100000 1672212.13322123 4213.97475919
0.01200000 1670220.61386684 3908.31640780
0.01300000 1668059.43240135 3502.92496254
0.01400000 1665728.60011354 4122.67846804
0.01500000 1663229.82797549 3991.75176489
0.01600000 1660562.67809821 4657.87852029
0.01700000 1657729.44379197 5818.63060873
0.01800000 1654730.49411836 6602.37496862
0.01900000 1651566.98491844 5945.64141399
0.02000000 1648239.57203461 6230.34586412
0.02100000 1644751.13072483 5970.44687522
0.02200000 1641100.04747121 6227.97496310
0.02300000 1637289.87647214 6483.66820596
0.02400000 1633320.83928493 6737.44876926
0.02500000 1629195.48789457 8895.40777016
0.02600000 1624914.09988858 8555.17312721
0.02700000 1620478.86089618 8847.81498573
0.02800000 1615890.09892858 9137.85892850
0.02900000 1611151.22184624 7975.19891431
0.03000000 1606262.87359179 7469.12270552
0.03100000 1601226.62711258 11528.83224569
0.03200000 1596043.77544199 8690.45875755
0.03300000 1590718.56836859 8112.66507268
0.03400000 1585249.23436295 11651.58241018
0.03500000 1579640.19352541 10236.06892673
0.03600000 1573891.94733574 9608.61078253
0.03700000 1568007.61613550 10725.17259038
0.03800000 1561988.64425388 10051.39739095
0.03900000 1555837.52938640 14936.04097380
0.04000000 1549554.61271717 10482.73744079
0.04100000 1543143.77101083 15554.88993302
0.04200000 1536606.70866623 12884.44784991
0.04300000 1529945.04702415 13126.92911279
0.04400000 1523162.16696766 12337.61412542
0.04500000 1516259.58484760 11508.41078373
0.04600000 1509238.52405468 12768.15850705
0.04700000 1502103.05231904 14059.68522359
0.04800000 1494854.66096094 12085.90049620
0.04900000 1487496.03117990 14503.08697909
0.05000000 1480028.84138567 15851.10962937
0.05100000 1472457.09239064 12633.68244124
0.05200000 1464780.23528744 15138.50443717
0.05300000 1457003.41796586 16522.41952997
0.05400000 1449127.97927142 15541.89830246
0.05500000 1441157.23518362 13316.29347429
0.05600000 1433092.21711046 12252.93902807
0.05700000 1424937.85757554 17355.74391541
0.05800000 1416693.36637423 15045.28425339
0.05900000 1408363.08944919 17745.37575587
0.06000000 1399950.46663029 12809.54736811
0.06100000 1391456.99252831 15528.66076229
0.06200000 1382885.61372745 13068.26966058
0.06300000 1374239.41511778 13192.69900196
0.06400000 1365517.85760892 14645.17970776
0.06500000 1356727.52182284 16117.92371322
0.06600000 1347869.46721604 17609.91541312
0.06700000 1338945.46148259 20485.86651940
0.06800000 1329959.10995100 22024.12389172
0.06900000 1320914.33398709 15256.56127185
0.07000000 1311810.36999310 16764.93731359
0.07100000 1302652.05414897 15475.50712813
0.07200000 1293441.21627715 15579.50017991
0.07300000 1284181.40076478 21381.62132458
0.07400000 1274875.43280275 15776.58422029
0.07500000 1265523.87961512 15869.67019422
0.07600000 1256130.20898370 18860.79597210
0.07700000 1246698.23067618 14586.36998284
0.07800000 1237228.96681782 17593.39673321
0.07900000 1227724.56959660 19152.50418403
0.08000000 1218190.31894878 20721.41829738
0.08100000 1208626.72278938 16352.72032658
0.08200000 1199035.39457804 17913.58963559
0.08300000 1189419.85181182 17984.02900342
0.08400000 1179782.78766614 18050.67749857
0.08500000 1170126.72838169 15094.63550474
0.08600000 1160453.72989749 22715.88282929
0.08700000 1150766.11183892 15190.11338957
0.08800000 1141065.70573866 19803.19625313
0.08900000 1131356.28117321 15273.31051322
0.09000000 1121639.24800478 18372.45174537
