# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 399.51617917
0.00100000 1664563.87053305 599.24300762
0.00200000 1664303.21192573 973.61740981
0.00300000 1663868.98467167 1098.15356900
0.00400000 1663261.06758304 1871.16877213
0.00500000 1662480.11981316 1795.47860047
0.00600000 1661525.97301033 2442.44327976
0.00700000 1660399.39715729 2191.72729534
0.00800000 1659100.15993985 2911.72090363
0.00900000 1657629.69354468 2486.44464661
0.01000000 1655987.38299277 3278.85515991
0.01100000 1654174.77943056 4764.02357218
0.01200000 1652191.81068337 3543.95158930
0.01300000 1650039.87482689 4158.10066796
0.01400000 1647719.06212246 4448.84166495
0.01500000 1645230.96715384 5133.12084609
0.01600000 1642575.28383632 6701.70745764
0.01700000 1639754.24206513 6198.27131305
0.01800000 1636768.20363145 5597.74750830
0.01900000 1633618.33747158 6371.11180362
0.02000000 1630305.30593063 6162.55433519
0.02100000 1626831.93477924 5905.40019099
0.02200000 1623196.66440133 7280.03737059
0.02300000 1619403.00283631 6412.83618313
0.02400000 1615451.26923428 6663.73678944
0.02500000 1611343.86094617 9426.36201704
0.02600000 1607081.16329660 7159.54690995
0.02700000 1602665.32329408 7404.31413274
0.02800000 1598096.66581074 8342.06497810
0.02900000 1593378.59482982 7887.22440654
0.03000000 1588511.78010160 8125.23812870
0.03100000 1583497.78750197 9120.94767569
0.03200000 1578337.85818959 10156.60458524
0.03300000 1573036.19279513 13638.22442026
0.03400000 1567591.11773017 8229.85374781
0.03500000 1562007.17154336 14339.22649693
0.03600000 1556284.59604765 11228.59387940
0.03700000 1550426.70211149 11488.66239397
0.03800000 1544434.68519560 9938.43765918
0.03900000 1538311.28301496 11998.82856318
0.04000000 1532056.75700539 12248.79433985
0.04100000 1525675.09677552 10572.92891088
0.04200000 1519167.69732419 15677.81136372
0.04300000 1512536.42739171 10981.01497258
0.04400000 1505784.70684062 13213.26141618
0.04500000 1498913.81624269 14479.50813769
0.04600000 1491925.08653337 15777.10852352
0.04700000 1484822.67083132 14967.01321806
0.04800000 1477607.94151837 13032.50265057
0.04900000 1470283.63511185 14335.26610961
0.05000000 1462851.40128038 12309.89511500
0.05100000 1455315.19841967 17027.18861471
0.05200000 1447674.60623048 14961.71775263
0.05300000 1439934.59071451 11663.47072851
0.05400000 1432096.58977679 16540.71638328
0.05500000 1424163.89422994 16748.16817743
0.05600000 1416137.47736180 15740.36879539
0.05700000 1408022.40102745 15924.73409896
0.05800000 1399817.74368909 16104.90389312
0.05900000 1391527.99106650 13776.12775498
0.06000000 1383156.51725740 16452.64754142
0.06100000 1374704.63757018 20455.60596296
0.06200000 1366175.50080670 15492.43090332
0.06300000 1357572.08702222 15639.23117371
0.06400000 1348893.91145467 14466.88787692
0.06500000 1340147.57189822 15920.95389890
0.06600000 1331334.06159432 16055.88953406
0.06700000 1322455.10027604 16186.85118491
0.06800000 1313514.40067498 13594.87468335
0.06900000 1304515.62918914 24655.34654601
0.07000000 1295458.47759212 16555.96011892
0.07100000 1286347.52119800 13892.55387963
0.07200000 1277184.35539185 15383.68628137
0.07300000 1267972.81623063 19704.29848748
0.07400000 1258715.57848417 21240.82638235
0.07500000 1249413.37445745 15667.64445008
0.07600000 1240069.61648610 22916.48758700
0.07700000 1230687.96859024 14399.04990766
0.07800000 1221269.60239480 17366.45456047
0.07900000 1211816.38851350 21812.69601634
0.08000000 1202334.06094861 16069.19547840
0.08100000 1192822.72689186 16138.89225205
0.08200000 1183284.06096982 25044.20832563
0.08300000 1173721.77805553 17746.67411709
0.08400000 1164138.54311343 23748.42739423
0.08500000 1154536.51455645 14893.52173696
0.08600000 1144918.05529037 19423.53571997
0.08700000 1135285.49188024 25475.80763408
0.08800000 1125640.58963248 19535.49335053
0.08900000 1115987.05462393 15065.82594506
0.09000000 1106326.36843177 16611.49120234
0.09100000 1096660.78236318 21187.48731067
0.09200000 1086992.01858221 16679.89330888
0.09300000 1077324.68256131 21266.39023311
0.09400000 1067657.32617819 15214.11761306
0.09500000 1057994.29263348 21329.16594202
0.09600000 1048337.05968920 18303.96592260
0.09700000 1038690.74921089 16795.63020435
0.09800000 1029053.72740726 22922.17285574
0.09900000 1019430.34575308 16820.60149587
0.10000000 1009819.86515194 19888.40317946
0.10100000 1000226.40437973 15303.46470676
0.10200000 990651.70308954 19897.24039245
0.10300000 981097.16186005 18366.13973398
0.10400000 971565.32922331 18362.58558619
0.10500000 962059.71770453 19885.77530057
0.10600001 952576.89906533 18346.63193927
0.10700001 943124.20018848 19862.19659064
0.10800001 933699.78251321 16792.59137879
0.10900001 924307.92147414 24401.73027540
0.11000001 914948.74360527 15233.89729808
0.11100001 905624.01554759 16735.93259514
0.11200001 896336.02818786 16712.18603232
0.11300001 887085.10419834 19719.90279476
0.11400001 877874.00049345 16657.65994368
0.11500001 868704.49278131 18138.55066338
0.11600001 859577.02620761 21119.80852848
0.11700001 850493.51398772 21075.23026915
0.11800001 841454.52265585 16521.96033050
0.11900001 832461.37615343 22476.45821482
0.12000001 823515.98966760 14946.81591654
0.12100001 814620.86677567 14907.56256426
0.12200001 805775.21261717 20813.17472244
0.12300001 796981.60792527 14823.85860583
0.12400001 788240.14461112 17735.40408940
0.12500001 779551.37521261 19153.57819150
0.12600001 770918.92535751 16154.60684213
0.12700001 762341.42266964 21955.43400757
0.12800001 753820.26796662 18962.34973438
0.12900001 745357.25926206 15987.91396471
0.13000001 736952.71956457 17377.34594641
0.13100001 728606.89486272 15869.05891814
0.13200001 720321.07067140 21555.60905598
0.13300001 712097.19589061 20038.41603703
0.13400001 703934.08281527 17105.59901887
