# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 357.19169518
0.00100000 1700825.05390559 510.24752829
0.00200000 1700561.67866514 994.82861352
0.00300000 1700122.92534058 1122.08117070
0.00400000 1699508.68000161 1402.09471428
0.00500000 1698719.60224203 2293.27155380
0.00600000 1697755.50320287 1960.90768603
0.00700000 1696617.18451893 3461.09920026
0.00800000 1695304.39231359 2288.66102625
0.00900000 1693818.56056219 2794.80074440
0.01000000 1692159.07999871 4188.09390384
0.01100000 1690327.58879279 3346.84877153
0.01200000 1688323.85844618 5596.79383613
0.01300000 1686149.40238117 4957.27946164
0.01400000 1683804.25450630 4925.12766277
0.01500000 1681290.11020167 4842.11573299
0.01600000 1678606.52144000 4708.49150313
0.01700000 1675755.84065511 5881.90326455
0.01800000 1672738.44676830 6197.49622415
0.01900000 1669555.39483721 5509.53305157
0.02000000 1666207.43414177 6298.26438596
0.02100000 1662697.38735462 7681.66227785
0.02200000 1659023.72958689 6295.99533982
0.02300000 1655189.92613902 8342.15760746
0.02400000 1651196.27290493 8668.78082803
0.02500000 1647045.28492403 7065.82459502
0.02600000 1642737.23822648 7318.39473103
0.02700000 1638274.33192501 10321.12876385
0.02800000 1633656.95345896 8527.68968813
0.02900000 1628888.47766931 8062.99833467
0.03000000 1623969.44747556 8306.60410565
0.03100000 1618901.68635684 9324.87414248
0.03200000 1613686.27279036 7987.74741821
0.03300000 1608327.50034123 13944.20007079
0.03400000 1602823.77909636 11780.75531993
0.03500000 1597179.26656163 13799.62950033
0.03600000 1591394.65358469 12365.13702979
0.03700000 1585473.00025726 10844.63582330
0.03800000 1579415.80292558 10163.54116219
0.03900000 1573225.54137014 13215.09515950
0.04000000 1566902.56064917 13491.03167235
0.04100000 1560450.64358662 10813.92346146
0.04200000 1553871.82230247 14031.46320635
0.04300000 1547167.44822496 11232.43619550
0.04400000 1540340.77717285 11437.03080167
0.04500000 1533393.66257946 14812.58346878
0.04600000 1526327.33169838 15064.85146418
0.04700000 1519145.48239200 10937.84798192
0.04800000 1511849.93976818 11112.09757432
0.04900000 1504443.40333489 14668.32386529
0.05000000 1496927.33382340 16032.09249180
0.05100000 1489306.03593011 15101.56390782
0.05200000 1481578.69962220 15312.11657416
0.05300000 1473750.77377876 17906.07273615
0.05400000 1465823.21244382 18139.56309991
0.05500000 1457799.75176693 13470.07033470
0.05600000 1449680.92338536 14873.72696800
0.05700000 1441472.26680022 12540.80930655
0.05800000 1433172.71087951 13951.93699186
0.05900000 1424786.50968495 14105.38710468
0.06000000 1416317.17240851 16847.09355288
0.06100000 1407766.48889669 15710.67475027
0.06200000 1399136.91274180 15866.21333213
0.06300000 1390431.98120599 14682.96240804
0.06400000 1381651.01655374 13471.09804140
0.06500000 1372800.41042286 24463.30445807
0.06600000 1363881.68045479 15077.71268289
0.06700000 1354896.13212960 15201.93531393
0.06800000 1345847.58864475 13929.52319450
0.06900000 1336740.04017050 15439.34818682
0.07000000 1327572.57450394 14138.64858056
0.07100000 1318350.11287351 14238.18188592
0.07200000 1309074.79099033 15767.80659615
0.07300000 1299749.67868287 21640.83316406
0.07400000 1290377.78625389 15968.42585324
0.07500000 1280959.85997719 18983.82601468
0.07600000 1271499.17082442 16154.39772265
0.07700000 1261999.56654293 17718.47474506
0.07800000 1252462.35353725 17810.01550252
0.07900000 1242889.23727266 17897.60585619
0.08000000 1233285.76408193 17981.30728384
0.08100000 1223652.64557065 21071.29954535
0.08200000 1213991.08790451 19648.44667974
0.08300000 1204304.87877281 18209.09062163
0.08400000 1194596.79893922 18277.33188168
0.08500000 1184869.07822374 18341.77419196
0.08600000 1175124.11869829 16868.90751593
0.08700000 1165364.08321702 18459.36794497
0.08800000 1155590.72655752 23140.70538609
0.08900000 1145807.91001115 17015.24826287
0.09000000 1136017.22774443 18607.96306457
0.09100000 1126220.87728783 15541.84883675
0.09200000 1116420.37699446 28033.31698352
0.09300000 1106620.80106690 23405.03104242
0.09400000 1096820.01877108 17192.65460225
0.09500000 1087023.22309130 20349.07569273
0.09600000 1077231.49785422 15673.71903057
0.09700000 1067449.70598933 18829.81369889
0.09800000 1057676.63037309 21989.09817933
0.09900000 1047916.64481301 17290.62545246
0.10000000 1038168.77504163 22019.56075415
0.10100000 1028437.39589979 18882.11147678
0.10200000 1018724.32913034 17313.22078792
0.10300000 1009030.54071403 22037.22804584
0.10400000 999358.89506985 15739.90333784
0.10500000 989712.96509219 17310.08057389
0.10600001 980089.27644853 17303.47698989
0.10700001 970495.53118710 17294.23117958
0.10800001 960929.10782078 21995.66831317
0.10900001 951394.86850203 17267.81767603
0.11000001 941892.93221319 18819.02167142
0.11100001 932424.88219810 20364.16038582
0.11200001 922993.32277756 18773.68506911
0.11300001 913598.13606438 20309.28752089
0.11400001 904242.63976438 15598.18627037
0.11500001 894928.36137849 18686.10506547
0.11600001 885655.61859436 15543.25683829
0.11700001 876426.64232457 17064.02752969
0.11800001 867241.53019034 18576.31445159
0.11900001 858102.36932103 20079.59638789
0.12000001 849010.51560133 20032.40405924
0.12100001 839968.61004901 18445.71154562
0.12200001 830975.85996831 16864.65587257
0.12300001 822035.02717055 27521.73400634
0.12400001 813145.85925316 18295.78269525
0.12500001 804309.57391477 18241.74199595
0.12600001 795529.08676765 16670.31279878
0.12700001 786803.68060561 27191.93648319
0.12800001 778134.20150058 16562.58725952
0.12900001 769522.90906104 25509.68563770
0.13000001 760969.86933744 16448.36450102
0.13100001 752475.41823341 16388.91538166
