# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 255.13692513
0.00100000 1700824.94625301 561.27224559
0.00200000 1700561.24375368 1224.40413427
0.00300000 1700121.95140340 1020.07320718
0.00400000 1699506.94128638 1402.09327984
0.00500000 1698716.88581710 1834.61430930
0.00600000 1697751.59502009 1960.90317208
0.00700000 1696611.86509491 2239.52775500
0.00800000 1695297.44723617 2746.38198047
0.00900000 1693809.75894440 2794.78622173
0.01000000 1692148.23520026 3350.45365037
0.01100000 1690314.45914465 3042.56615893
0.01200000 1688308.24543097 3621.42134523
0.01300000 1686131.10122177 3894.96301561
0.01400000 1683783.04507391 4167.36322130
0.01500000 1681265.74767115 6859.56455595
0.01600000 1678578.85156951 4280.37626285
0.01700000 1675724.63172099 5881.79372119
0.01800000 1672703.48393836 4767.20514374
0.01900000 1669516.48023150 7011.96953337
0.02000000 1666164.32410104 6298.10143000
0.02100000 1662649.90340691 8778.79188801
0.02200000 1658971.65921697 7440.48822963
0.02300000 1655133.06631762 8341.87103395
0.02400000 1651134.46409045 6191.75452267
0.02500000 1646978.18266525 8350.17976747
0.02600000 1642664.85842056 10644.46876942
0.02700000 1638196.29235818 11008.67958886
0.02800000 1633573.19003368 9948.46118354
0.02900000 1628798.72779046 8062.55407275
0.03000000 1623873.51634070 8306.11341788
0.03100000 1618799.42177667 10101.30885668
0.03200000 1613577.40568817 12779.53364165
0.03300000 1608211.80038550 11482.63278411
0.03400000 1602701.16697569 9255.59966634
0.03500000 1597049.53911216 9486.47470039
0.03600000 1591257.62879720 10597.77629755
0.03700000 1585328.47688988 9940.01000980
0.03800000 1579263.60139472 10162.56174529
0.03900000 1573065.46128367 10382.23252527
0.04000000 1566734.46443290 10598.95914303
0.04100000 1560274.40003418 14744.59376398
0.04200000 1553687.16656309 15031.92403387
0.04300000 1546974.29566006 17357.05240298
0.04400000 1540138.84878703 11435.53148333
0.04500000 1533182.86178808 11636.85846168
0.04600000 1526107.47076128 13986.77561973
0.04700000 1518916.49858724 16404.29894767
0.04800000 1511611.50213391 12221.37956339
0.04900000 1504195.47627110 14665.90657630
0.05000000 1496669.79169546 11449.52443963
0.05100000 1489038.67619951 15098.85288003
0.05200000 1481301.38847474 15309.25056332
0.05300000 1473463.34464735 17902.58047205
0.05400000 1465525.44540575 13299.64403727
0.05500000 1457491.57901508 14691.51580182
0.05600000 1449362.15665376 13631.25171942
0.05700000 1441142.86674149 15045.53223108
0.05800000 1432832.44192098 13948.62447340
0.05900000 1424435.34775191 14101.91060139
0.06000000 1415954.94365078 12955.98833969
0.06100000 1407393.03977283 13088.75588154
0.06200000 1398752.14905934 15861.85011177
0.06300000 1390035.67735744 17347.64606452
0.06400000 1381243.19304984 18853.97046687
0.06500000 1372380.94948601 17662.54364610
0.06600000 1363450.47623754 17813.48130551
0.06700000 1354452.98634293 15196.96321797
0.06800000 1345392.40181543 16709.77441272
0.06900000 1336272.71982067 22449.38274404
0.07000000 1327093.11946770 16960.25086102
0.07100000 1317858.38219800 15656.15831381
0.07200000 1308570.70828113 18627.50490502
0.07300000 1299233.00385202 17305.78442218
0.07400000 1289848.62466516 15961.87747827
0.07500000 1280417.90315353 16056.44125815
0.07600000 1270944.64991970 19083.23481318
0.07700000 1261432.16043536 14758.75696911
0.07800000 1251882.13296067 16318.28436841
0.07900000 1242296.01832948 14907.55291917
0.08000000 1232679.48841412 19470.17343287
0.08100000 1223033.33318900 15043.31070403
0.08200000 1213358.52574467 18127.57722527
0.08300000 1203659.18009845 16682.71701912
0.08400000 1193937.94101300 19789.52230118
0.08500000 1184196.87045945 19858.98244989
0.08600000 1174438.44237641 18391.70687113
0.08700000 1164665.15400324 18448.29690570
0.08800000 1154878.27011765 20042.91331918
0.08900000 1145081.87662449 18550.32727262
0.09000000 1135277.81698139 18595.85151570
0.09100000 1125467.83078090 20190.89383280
0.09200000 1115653.84972856 18676.04632198
0.09300000 1105840.70246032 28066.23834734
0.09400000 1096026.30658809 17180.21316319
0.09500000 1086215.81100716 26590.56430328
0.09600000 1076410.40846003 18794.12661518
0.09700000 1066615.05765921 26654.71154402
0.09800000 1056828.19327201 17263.28934878
0.09900000 1047054.54292979 18846.98265897
0.10000000 1037293.08295415 15714.99094579
0.10100000 1027547.97486308 26726.52408319
0.10200000 1017821.16261646 22015.47278292
0.10300000 1008113.89379989 18871.89297968
0.10400000 998428.36161100 17297.77217869
0.10500000 988768.89484433 22009.99663479
0.10600001 979131.63733941 17286.56987062
0.10700001 969524.31363763 15706.29462003
0.10800001 959944.27663319 18834.10759391
0.10900001 950396.47041264 18817.85099984
0.11000001 940881.05197570 23498.50537916
0.11100001 931399.55070278 20341.76714490
0.11200001 921954.61915399 18752.55783641
0.11300001 912545.99647464 23406.80591159
0.11400001 903177.25014903 20253.75078823
0.11500001 893849.40495550 24884.76860573
0.11600001 884563.58753048 24838.54670754
0.11700001 875321.51254633 20141.14895224
0.11800001 866123.27267186 17006.33125988
0.11900001 856971.06088508 20053.12376925
0.12000001 847866.19522636 21544.28103554
0.12100001 838811.20481092 23025.36865674
0.12200001 829805.64180102 19902.88925625
0.12300001 820852.00196850 22901.77193392
0.12400001 811950.09294276 16746.47145600
0.12500001 803101.23548530 19732.19828566
0.12600001 794308.27473045 18157.88801600
0.12700001 785570.29461794 19607.83547771
0.12800001 776888.43687187 21045.90874674
0.12900001 768265.05450825 14981.16926900
0.13000001 759699.73961231 17913.72070442
0.13100001 751193.13913211 17848.34982711
0.13200001 742746.44809855 17781.35080570
0.13300001 734362.07275593 14760.67835826
0.13400001 726038.02884299 19112.95201038
0.13500001 717777.95435756 14642.67095927
0.13600001 709579.60795976 17498.23395734
0.13700001 701446.22654248 15971.93133150
0.13800001 693375.26604429 15902.56247662
0.13900001 685371.39712484 18710.64002387
0.14000001 677432.03723100 25789.83887365
0.14100001 669558.74272249 15687.76208187
0.14200001 661751.60429999 24130.77338893
0.14300001 654012.63702524 15539.34098867
0.14400001 646337.89258303 14057.84982679
0.14500001 638733.26956465 18184.73704232
0.14600001 631195.58146818 15309.64955073
0.14700001 623728.12995338 19385.47119349
0.14800001 616326.07157324 15152.37718450
0.14900001 608994.26329755 17813.08304189
0.15000001 601730.63886908 13629.19961345
0.15100001 594536.20490047 14910.96872248
0.15200001 587411.67188754 13481.09850595
0.15300001 580357.14441331 20109.37600286
0.15400001 573369.54929504 15997.01118025
0.15500001 566452.91674847 15905.99865295
0.15600001 559603.07632297 23721.57552487
