# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 444.59987966
0.00100000 1646580.09811982 691.56365763
0.00200000 1646321.70082455 889.01374660
0.00300000 1645891.24572141 1086.28826087
0.00400000 1645288.59759141 1480.75979410
0.00500000 1644514.43171691 2220.09457069
0.00600000 1643568.55680619 1725.74705491
0.00700000 1642451.76974995 1970.94220561
0.00800000 1641163.81976570 2880.24262529
0.00900000 1639706.12471037 4181.25079675
0.01000000 1638078.07958924 3243.39473763
0.01100000 1636281.21572706 3828.89821151
0.01200000 1634315.45662130 3505.60680815
0.01300000 1632182.23019755 3770.34111805
0.01400000 1629881.58979942 4033.95711358
0.01500000 1627415.18595874 5858.69493033
0.01600000 1624782.59963392 6629.11330285
0.01700000 1621986.10784893 4817.29895641
0.01800000 1619026.08405557 5075.64700191
0.01900000 1615903.66955814 6786.79571838
0.02000000 1612619.50646255 5079.75167514
0.02100000 1609176.40214459 5310.28236784
0.02200000 1605572.91538685 7754.91753364
0.02300000 1601812.34407097 7496.48211148
0.02400000 1597895.10345267 8388.94967564
0.02500000 1593823.63789332 6837.50371884
0.02600000 1589598.23542086 10300.59703666
0.02700000 1585221.03452270 9321.10010991
0.02800000 1580692.39088071 10314.01832349
0.02900000 1576015.62103263 7801.27768230
0.03000000 1571191.46183668 8036.64469670
0.03100000 1566221.44498787 8269.64961005
0.03200000 1561106.89673868 10818.47129268
0.03300000 1555851.80034467 8728.32900231
0.03400000 1550454.66285621 8139.88735557
0.03500000 1544919.86986982 10011.08121905
0.03600000 1539247.65976863 9397.10739716
0.03700000 1533441.39056024 9614.67796347
0.03800000 1527502.33719359 11616.65581197
0.03900000 1521433.04175010 10954.31840790
0.04000000 1515233.77587037 12114.29459945
0.04100000 1508908.63078650 11407.34977767
0.04200000 1502458.85430479 14536.29008978
0.04300000 1495886.34480202 10860.13536737
0.04400000 1489194.51491104 10052.06344249
0.04500000 1482384.78319841 12274.14657520
0.04600000 1475458.25085067 10401.98115205
0.04700000 1468419.04579665 10572.61762145
0.04800000 1461268.69641765 12888.39050208
0.04900000 1454009.67682185 15267.10231727
0.05000000 1446643.93269821 13280.19192058
0.05100000 1439175.22886829 14593.23750054
0.05200000 1431602.91644868 13657.49245938
0.05300000 1423932.36179473 14994.00846869
0.05400000 1416164.76435714 12851.69583587
0.05500000 1408303.35310531 20110.57282049
0.05600000 1400349.33457441 13170.28610625
0.05700000 1392307.22205270 18169.61009592
0.05800000 1384176.68170326 18374.94630758
0.05900000 1375961.84622589 16098.75435275
0.06000000 1367666.06162831 15016.97405825
0.06100000 1359290.75928319 12641.40465208
0.06200000 1350839.06045566 15318.51566161
0.06300000 1342313.73666904 14174.83372197
0.06400000 1333714.64260487 16904.83388560
0.06500000 1325048.02341379 15741.57125451
0.06600000 1316315.07302152 15874.76052340
0.06700000 1307517.01261977 14670.34156815
0.06800000 1298658.16447209 16129.33515774
0.06900000 1289741.92931939 17604.97815946
0.07000000 1280767.97306579 21824.28728304
0.07100000 1271740.83136370 16481.76194644
0.07200000 1262662.08656755 13826.15049563
0.07300000 1253535.56185941 16697.09446632
0.07400000 1244363.87379113 19598.73193069
0.07500000 1235147.76168598 18304.89068618
0.07600000 1225890.41363331 15574.93843537
0.07700000 1216595.96431476 18504.42548487
0.07800000 1207265.12385294 18597.92010513
0.07900000 1197899.97058930 17249.76038556
0.08000000 1188506.09809576 18772.45470006
0.08100000 1179083.69649279 18853.54919149
0.08200000 1169634.30710890 16018.14258751
0.08300000 1160161.69308888 14618.03801897
0.08400000 1150668.57800109 14671.02505815
0.08500000 1141156.81605550 20609.29306547
0.08600000 1131629.21416832 29535.52387653
0.08700000 1122087.49094916 17773.86669125
0.08800000 1112533.87189401 19308.02625350
0.08900000 1102971.76403424 20846.16731939
0.09000000 1093402.82861670 17909.93917407
0.09100000 1083829.04565971 20939.57814591
0.09200000 1074252.58757118 17982.98916090
0.09300000 1064677.44501917 16513.14794824
0.09400000 1055102.55932195 16538.73339465
0.09500000 1045532.20085738 21077.93016000
0.09600000 1035967.50178731 21102.65900340
0.09700000 1026413.95683762 16597.11446234
0.09800000 1016869.96692804 16610.57169076
0.09900000 1007339.33302825 22665.13605891
0.10000000 997821.76835457 22675.50075222
0.10100000 988321.37901243 16633.44959108
0.10200000 978839.43357327 21172.29794406
0.10300000 969377.90768269 18146.75528546
0.10400000 959939.11434840 18142.85011472
0.10500000 950526.12749539 16624.70275208
0.10600001 941136.05285638 19636.80466683
0.10700001 931775.91985119 16604.24767311
0.10800001 922443.94061747 19606.54688054
0.10900001 913144.33435000 15066.88222591
0.11000001 903877.49709867 16554.51713858
0.11100001 894644.72518910 22545.04813604
0.11200001 885448.55293976 18010.02441465
0.11300001 876289.45538581 19479.91551036
0.11400001 867169.72476898 14958.67845659
0.11500001 858091.33567722 19410.02692700
0.11600001 849054.91619564 17881.09737713
0.11700001 840061.99559485 19329.82742897
0.11800001 831113.49544934 22253.06488874
0.11900001 822210.37481506 16279.76618814
0.12000001 813354.68564542 14762.38823985
0.12100001 804549.20218570 16195.57620294
0.12200001 795792.63504955 17618.84977004
0.12300001 787087.62588076 16103.81358424
0.12400001 778434.56253035 17514.77848218
0.12500001 769833.67365362 17459.82854118
0.12600001 761288.83848371 17403.06366783
0.12700001 752798.46536547 18789.85058102
0.12800001 744364.18644879 18724.48199259
0.12900001 735987.30614757 18657.27909020
0.13000001 727668.65590851 20018.16566760
0.13100001 719408.24215918 22790.85418591
0.13200001 711207.34605133 17026.30466709
0.13300001 703067.90964624 14131.66565010
0.13400001 694988.79136593 14073.52368867
0.13500001 686972.08201974 15415.65424734
0.13600001 679017.51814549 16744.57278699
0.13700001 671126.47754417 23616.94185840
0.13800001 663298.29936536 17978.70125210
0.13900001 655535.40519494 19272.74182160
0.14000001 647836.69536257 15071.92142841
0.14100001 640203.40870033 14999.96657329
0.14200001 632635.39227726 16284.03576526
0.14300001 625134.79353302 14853.20339493
0.14400001 617698.01474746 17465.41219083
0.14500001 610329.86191980 16039.46952787
0.14600001 603028.17606807 15956.12629148
0.14700001 595795.55758889 15871.99440295
0.14800001 588627.72613386 14471.41332974
0.14900001 581529.03794496 18318.16555953
0.15000001 574497.70769496 16916.08580123
0.15100001 567534.83084665 12939.79475387
