# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097187 328.13292544
0.00100000 1682645.45476628 605.75237810
0.00200000 1682382.92916861 908.48681052
0.00300000 1681945.59764253 1211.00087344
0.00400000 1681333.32724131 1639.30005635
0.00500000 1680546.79897358 1814.99061473
0.00600000 1679585.82243352 2468.99125950
0.00700000 1678451.17879955 2215.55564809
0.00800000 1677142.65150723 2264.14267513
0.00900000 1675661.63009224 2764.84180784
0.01000000 1674007.52777757 4143.16881015
0.01100000 1672181.94819662 3009.92763780
0.01200000 1670184.75550559 3582.54645763
0.01300000 1668017.39784750 5254.25503496
0.01400000 1665679.93456934 4872.11402460
0.01500000 1663173.99452816 5588.26487045
0.01600000 1660499.19994878 5504.55509390
0.01700000 1657657.89764676 6713.51478663
0.01800000 1654650.42654809 4715.75392786
0.01900000 1651477.87186173 6936.20737480
0.02000000 1648141.01336530 6229.97331234
0.02100000 1644642.53832284 8683.71299605
0.02200000 1640981.15358603 7359.80080821
0.02300000 1637160.08563784 7072.53189189
0.02400000 1633179.77686478 6124.42444250
0.02500000 1629042.63267766 8894.57318064
0.02600000 1624749.28383601 6580.23490050
0.02700000 1620301.33241836 8166.31908942
0.02800000 1615699.63171733 7028.29372029
0.02900000 1610947.33923286 10873.89503909
0.03000000 1606045.13365900 8961.73225775
0.03100000 1600994.66339210 7684.77473788
0.03200000 1595797.18515387 7899.19643033
0.03300000 1590456.78716553 10544.72898502
0.03400000 1584972.24109309 10817.43604458
0.03500000 1579347.39675621 11939.86687084
0.03600000 1573582.89745024 10480.06258134
0.03700000 1567682.11571618 11616.52501469
0.03800000 1561646.24621084 10049.19405944
0.03900000 1555477.90679166 13066.01502214
0.04000000 1549177.44715918 9527.44174152
0.04100000 1542748.63005382 12635.11186599
0.04200000 1536193.50072435 11890.13824722
0.04300000 1529513.31492621 12113.74601651
0.04400000 1522711.39752469 14389.62337489
0.04500000 1515789.86280394 12550.74064719
0.04600000 1508749.46499620 12764.02106723
0.04700000 1501594.23139825 15136.07055644
0.04800000 1494325.69884734 16474.94159634
0.04900000 1486946.80505344 15612.94217980
0.05000000 1479459.12317309 13581.43538316
0.05100000 1471866.74855134 14924.72952556
0.05200000 1464168.62845580 18624.22582187
0.05300000 1456370.73147667 16515.24486485
0.05400000 1448473.71052752 17924.86300368
0.05500000 1440481.35512266 16940.06152648
0.05600000 1432394.21784124 14696.36536084
0.05700000 1424217.82359164 19825.11302980
0.05800000 1415951.08762308 13784.28448163
0.05900000 1407598.36003743 16468.90158163
0.06000000 1399163.05886384 20483.74813874
0.06100000 1390646.78217109 20692.82508571
0.06200000 1382052.40283934 24814.75205291
0.06300000 1373382.98585452 17139.82046484
0.06400000 1364638.37282791 15966.26970878
0.06500000 1355824.72678354 17449.46504995
0.06600000 1346943.35622727 17597.81577249
0.06700000 1337995.53537205 15012.31060943
0.06800000 1328985.46953976 15130.50027895
0.06900000 1319916.93920561 18016.86706369
0.07000000 1310789.18903669 16751.88662035
0.07100000 1301606.96617833 28114.71178628
0.07200000 1292372.33999198 15566.62556445
0.07300000 1283088.45976375 17090.73908485
0.07400000 1273758.49124265 18628.71880744
0.07500000 1264382.74177735 17296.75671826
0.07600000 1254965.14544997 15944.33292042
0.07700000 1245508.99564530 18944.19271203
0.07800000 1236015.85529187 16111.46742930
0.07900000 1226487.11357850 22076.76907990
0.08000000 1216928.73057904 16264.25324716
0.08100000 1207341.22607408 17820.35733295
0.08200000 1197725.73000258 19385.19184975
0.08300000 1188086.25707060 16466.87629582
0.08400000 1178425.53102402 16527.41884839
0.08500000 1168745.52662807 18092.18160154
0.08600000 1159048.83186906 16638.14676267
0.08700000 1149337.49131510 18205.50671732
0.08800000 1139613.43843398 22820.76017639
0.08900000 1129880.30232806 16778.72327766
0.09000000 1120140.12010144 21405.87870069
0.09100000 1110394.24715357 16855.78546370
0.09200000 1100645.30971603 18424.80335037
0.09300000 1090897.43288168 19996.15088438
0.09400000 1081149.06456676 21568.92485179
0.09500000 1071405.01052659 16971.05616443
0.09600000 1061666.47925386 16991.97279921
0.09700000 1051938.42201923 20102.54418986
0.09800000 1042219.68795610 17024.65940322
0.09900000 1032514.23729702 18585.25714527
0.10000000 1022821.68993475 21694.04906373
0.10100000 1013145.84348395 24801.81141496
0.10200000 1003488.79677107 18604.68316723
0.10300000 993851.66028878 23256.12994474
0.10400000 984237.08856247 21702.42882380
0.10500000 974648.54019184 21695.67752544
0.10600001 965082.68881092 17038.53567268
0.10700001 955547.27798720 18575.83995821
0.10800001 946039.43972720 21654.84379447
0.10900001 936564.31796939 20089.30556596
0.11000001 927122.00568165 16980.24033331
0.11100001 917713.81522925 18501.11138593
0.11200001 908342.64135076 20015.33104443
0.11300001 899008.44420550 21522.26316757
0.11400001 889714.05232342 15347.56812521
0.11500001 880461.02842781 16852.02487764
0.11600001 871250.43413534 19877.57959086
0.11700001 862083.77141887 18310.66016728
0.11800001 852961.35754477 18270.43313912
0.11900001 843885.31861301 28860.87925596
0.12000001 834856.60194182 22728.97205851
0.12100001 825878.52768823 22670.36665300
0.12200001 816949.92359596 15072.72680044
0.12300001 808073.53671041 15030.16849095
0.12400001 799249.05814731 17983.10465563
0.12500001 790477.79386709 16434.03410888
0.12600001 781762.80788116 17871.09863031
0.12700001 773102.95990143 17812.29303556
0.12800001 764499.54146335 19230.98687185
0.12900001 755954.48185459 17689.33570913
0.13000001 747467.93432163 17625.29472207
0.13100001 739040.21835927 21949.49551992
0.13200001 730672.92353434 14576.92551167
0.13300001 722367.70747284 20327.42824658
0.13400001 714123.22200699 14460.99592741
0.13500001 705942.40340196 20161.71599175
0.13600001 697823.82749357 18642.36443049
0.13700001 689770.14877302 22845.18840459
0.13800001 681779.47570583 18479.63356043
0.13900001 673855.24276670 14150.96076543
0.14000001 665996.04049895 15494.39861293
0.14100001 658202.88738593 16823.66659504
0.14200001 650475.80923512 19533.78947265
0.14300001 642817.24763100 15273.33852412
0.14400001 635222.96801100 22105.76032951
0.14500001 627698.61426039 17870.58039099
0.14600001 620241.25771465 16411.58445334
0.14700001 612854.15845190 17686.97184733
0.14800001 605532.56898150 21653.84568838
0.14900001 598281.00290176 14807.45552045
0.15000001 591097.91669436 16066.04213380
0.15100001 583983.88727033 15977.79990963
0.15200001 576939.55466885 19861.14510666
0.15300001 569965.14794419 19749.29330822
0.15400001 563057.77898447 20945.75036667
0.15500001 556221.20858206 18221.80765309
0.15600001 549451.54758721 15527.50146763
0.15700001 542754.82408111 15435.94792539
0.15800001 536123.43430583 12786.54451170
0.15900001 529563.36928807 16522.37790165
0.16000001 523069.92462814 13895.35320364
0.16100001 516648.50389956 12554.55923739
0.16200001 510294.32543939 13724.36653057
0.16300001 504008.31016044 12398.60501526
0.16400001 497791.05154157 13552.36201802
0.16500001 491641.13087087 17138.61063129
0.16600001 485560.16523831 15812.26752753
0.16700001 479544.81091527 14501.43576676
0.16800001 473596.35655549 13206.23502610
0.16900001 467717.06960158 13119.46442180
0.17000001 461902.64402538 14217.36405444
0.17100001 456154.28422130 18830.04974183
0.17200001 450472.34804940 19872.58857264
0.17300001 444855.68274229 18577.17418862
0.17400001 439304.13648549 13838.08095281
0.17500001 433816.68487890 14888.58932820
0.17600001 428392.21103951 12511.19511430
0.17700001 423033.22726359 12424.48647155
0.17800001 417735.76476917 14581.06755796
0.17900001 412501.66682988 15592.56374266
0.18000001 407329.88463233 11059.00689014
0.18100001 402221.00968532 16470.95112464
0.18200001 397170.77617448 14173.03981729
0.18300001 392182.13990512 14071.49584452
0.18400001 387253.21230048 13970.16029370
0.18500001 382385.32631932 11735.40621915
0.18600001 377574.70918273 10590.97109293
0.18700001 372822.26180045 13667.66476333
0.18800001 368127.56621488 17741.90889196
0.18900001 363491.83823719 17611.18039468
0.19000001 358908.88852700 10282.74014215
0.19100001 354386.41804231 14288.86105062
0.19200001 349915.99396890 10130.06850406
0.19300001 345502.74030484 10054.13021795
0.19400001 341141.53898675 11974.06858426
0.19500001 336834.96739628 9902.94850942
0.19600001 332580.77375556 10810.53856179
0.19700001 328378.87871861 10728.13847472
0.19800001 324228.94733346 11613.88144234
0.19900001 320130.51576601 9603.91592686
0.20000001 316080.80821884 9529.83681819
0.20100001 312082.55772468 11347.32233517
0.20200001 308131.76493993 9382.61268588
0.20300001 304231.18258445 13033.26447793
0.20400001 300377.64154083 11083.93549675
0.20500001 296571.12528380 9164.04820443
0.20600001 292811.45690985 10000.97578348
0.20700001 289098.00030626 11725.81544669
0.20800001 285428.81894218 10737.83267618
0.20900001 281806.53199083 9764.59679507
0.21000001 278226.61233467 8805.87269667
0.21100001 274690.81474198 10482.20198608
0.21200001 271197.53967237 11264.19034280
0.21300001 267745.87869956 10313.57173509
0.21400001 264336.90239026 8524.86550511
0.21500001 260969.96374995 8455.42722525
0.21600001 257642.26956834 10902.13315222
0.21700001 254354.78621781 8317.40190257
0.21800001 251106.89694081 9073.74814997
0.21900001 247896.82600556 8998.65520947
0.22000001 244724.60321632 8112.62098021
0.22100001 241591.85432217 8849.51004226
0.22200001 238496.08895300 10371.00291851
0.22300001 235435.42360739 11865.94591090
0.22400001 232410.38743837 8628.23604165
0.22500001 229423.40056107 8555.19901147
0.22600001 226468.97726650 8482.39594463
0.22700001 223551.17300896 7645.45047845
0.22800001 220665.93706083 8337.86282614
0.22900001 217813.41911823 8266.01964644
0.23000001 214994.91940917 7449.57430983
0.23100001 212209.52189197 9600.35922442
0.23200001 209454.43429853 8784.51938993
0.23300001 206731.64137694 10884.42143327
0.23400001 204040.39125660 9350.15137155
0.23500001 201378.01145646 7841.66013700
0.23600001 198747.40160169 7065.47046112
0.23700001 196145.71505557 7702.64259455
0.23800001 193573.62098303 10409.42196071
0.23900001 191030.00628325 7564.78860663
0.24000001 188514.72219323 8859.24978852
0.24100001 186028.58137951 8103.40538819
0.24200001 183569.46047414 7360.21786586
0.24300001 181137.86163563 6629.64604946
0.24400001 178732.66439379 10509.48116349
0.24500001 176353.94810304 9110.44538997
0.24600001 174001.82949731 9670.15213176
0.24700001 171675.74664010 8302.23950026
0.24800001 169374.85256513 10754.45677238
0.24900001 167098.17564853 7519.41825991
0.25000001 164847.54316730 6827.16132325
0.25100001 162620.05582909 6761.74224126
0.25200001 160418.50785720 7305.45919344
0.25300001 158240.50260966 6028.96343466
0.25400001 156085.75377039 7761.36447343
0.25500001 153953.91703041 7685.37990177
0.25600001 151845.78633705 7024.38640829
0.25700001 149759.51564591 6375.26288268
0.25800001 147696.71753502 9180.82839636
0.25900001 145655.93937309 8520.87285649
0.26000001 143637.06161256 6748.06947385
0.26100001 141639.36239595 6679.71264665
0.26200001 139664.11935374 8264.62465381
0.26300001 137709.29725979 5453.28842952
0.26400001 135775.79652913 6476.50580090
