# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 255.13692513
0.00100000 1700824.90284344 561.27223127
0.00200000 1700561.08392695 918.30301440
0.00300000 1700121.58560411 1020.07298770
0.00400000 1699506.29867052 1402.09274968
0.00500000 1698715.88025525 1834.61322329
0.00600000 1697750.14384406 2673.95658542
0.00700000 1696609.90263222 3461.08434521
0.00800000 1695294.89295481 2746.37784254
0.00900000 1693806.55669139 3811.06491547
0.01000000 1692144.23321559 2792.03810536
0.01100000 1690309.62437677 3651.06894762
0.01200000 1688302.55053497 3292.19011789
0.01300000 1686124.38545361 3894.94750218
0.01400000 1683775.32271368 4925.04303727
0.01500000 1681256.94732151 4438.51853857
0.01600000 1678568.83369279 5564.45593244
0.01700000 1675713.37531267 6334.19684283
0.01800000 1672690.94473586 5243.88634771
0.01900000 1669502.52457454 5008.50779972
0.02000000 1666148.96589483 7347.71727198
0.02100000 1662633.01977528 6035.35813542
0.02200000 1658953.37643087 8585.08411307
0.02300000 1655113.03739948 8341.77008820
0.02400000 1651112.73643687 8049.17495715
0.02500000 1646954.88240759 8350.06163516
0.02600000 1642639.80231353 7317.96065402
0.02700000 1638169.44546181 8256.37438328
0.02800000 1633544.44743852 8527.10240668
0.02900000 1628768.10244296 8062.40247727
0.03000000 1623840.99840628 9061.03318760
0.03100000 1618764.86195909 10101.09320341
0.03200000 1613540.91132441 11181.83903049
0.03300000 1608173.37176600 9842.02148893
0.03400000 1602660.83092105 13462.35160089
0.03500000 1597007.13081268 12073.37446647
0.03600000 1591213.08287337 8831.23301807
0.03700000 1585281.93832118 12650.55045286
0.03800000 1579215.00262603 12009.93065079
0.03900000 1573014.77578322 11325.70691013
0.04000000 1566681.72369333 10598.60235191
0.04100000 1560219.47148333 10812.32143871
0.04200000 1553630.18435375 13027.18970017
0.04300000 1546915.25155902 11230.60524762
0.04400000 1540077.66147343 12474.62963728
0.04500000 1533119.83456457 12694.23282003
0.04600000 1526042.53024017 11834.46037216
0.04700000 1518849.28796201 16403.57307289
0.04800000 1511542.47278404 12220.82146107
0.04900000 1504124.49192276 11280.93421452
0.05000000 1496596.92125118 17173.45047106
0.05100000 1488963.83553544 12775.31030402
0.05200000 1481224.60870840 16486.03066319
0.05300000 1473384.86111722 15514.74331083
0.05400000 1465445.31718310 14507.90931667
0.05500000 1457409.77431280 13466.46694285
0.05600000 1449278.79991621 17347.86804452
0.05700000 1441057.81985216 12537.20361793
0.05800000 1432746.02210064 13947.78317641
0.05900000 1424347.40622382 15382.95270569
0.06000000 1415865.62683405 20728.27374525
0.06100000 1407302.44635961 13087.91336276
0.06200000 1398660.43037715 14539.07585338
0.06300000 1389942.90689473 20015.17879510
0.06400000 1381149.68451810 14812.83105920
0.06500000 1372286.21798603 14944.19761292
0.06600000 1363355.07198875 19182.40676040
0.06700000 1354356.54869358 19340.21242045
0.06800000 1345295.51047635 15316.19010371
0.06900000 1336175.33072724 16835.80995540
0.07000000 1326995.38451810 16959.00180831
0.07100000 1317760.18582716 21347.71601028
