# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700824.79293091 561.27219500
0.00200000 1700560.64325348 765.25231370
0.00300000 1700120.59582619 1224.08687260
0.00400000 1699504.53191755 1274.62844737
0.00500000 1698713.12858197 2140.37862673
0.00600000 1697746.17921409 3208.74040935
0.00700000 1696604.50861564 2239.51804445
0.00800000 1695287.86596881 2517.50258725
0.00900000 1693797.63589861 2794.76621870
0.01000000 1692133.24009391 4746.43394341
0.01100000 1690296.32716431 3346.78687350
0.01200000 1688286.73102652 3292.15926984
0.01300000 1686105.84865820 3894.90468218
0.01400000 1683753.83832903 4167.29093460
0.01500000 1681232.26066693 4841.94912633
0.01600000 1678540.79835204 4708.30714986
0.01700000 1675681.75121900 5429.20911750
0.01800000 1672655.50540464 6197.18892638
0.01900000 1669463.08338608 7011.74526661
0.02000000 1666105.29186773 6297.87828815
0.02100000 1662584.91147209 6035.18350227
0.02200000 1658900.60068910 7440.16953211
0.02300000 1655055.42241491 5958.19979190
0.02400000 1651050.11528571 8048.86967903
0.02500000 1646886.90581307 9634.28883901
0.02600000 1642566.43584356 9313.35211721
0.02700000 1638090.36503891 8255.97581793
0.02800000 1633459.55061112 9947.76911942
0.02900000 1628677.13947716 9527.76170340
0.03000000 1623743.77757727 9815.53158663
0.03100000 1618661.23188102 10100.44655169
0.03200000 1613430.59703261 9583.77818778
0.03300000 1608056.14550881 10661.41273622
0.03400000 1602536.59507209 9254.64926355
0.03500000 1596875.66445327 12072.38058075
0.03600000 1591074.26169062 9713.50881652
0.03700000 1585135.48346428 9035.27267361
0.03800000 1579060.80619033 9237.50614372
0.03900000 1572852.58449077 12268.25072717
0.04000000 1566511.41110961 10597.45018723
0.04100000 1560040.86778186 9828.25792273
0.04200000 1553443.09082583 14027.59176094
0.04300000 1546719.56397405 11229.18455569
0.04400000 1539873.07666458 12472.97250025
0.04500000 1532906.23964314 10577.05354500
0.04600000 1525819.75852241 12908.43575717
0.04700000 1518617.30114167 13120.85409209
0.04800000 1511300.89525600 14440.48072606
0.04900000 1503873.30168601 15790.67040272
0.05000000 1496335.92899003 14881.06150676
0.05100000 1488692.95397189 12772.98614010
0.05200000 1480943.64631157 12950.85279052
0.05300000 1473093.64973196 14318.47094289
0.05400000 1465143.62864926 15713.66615005
0.05500000 1457097.59110878 13463.58236991
0.05600000 1448955.80632750 14866.28726664
0.05700000 1440724.05511745 12534.29986460
0.05800000 1432401.31047155 16479.77784646
0.05900000 1423991.61493521 12815.92513300
0.06000000 1415498.63340360 18132.53834103
0.06100000 1406924.12758125 22243.47149653
0.06200000 1398270.66158509 21141.85339141
0.06300000 1389541.40160147 13339.59807907
0.06400000 1380736.50668389 16154.61788370
0.06500000 1371861.25149142 20372.14053761
0.06600000 1362918.22384125 17806.52742763
0.06700000 1353907.65314947 13809.85870841
0.06800000 1344834.35342672 15310.93983045
0.06900000 1335701.92789575 15427.35798949
0.07000000 1326509.68085878 18365.52739152
0.07100000 1317262.03557684 15649.07371562
0.07200000 1307961.68569265 18618.83546807
0.07300000 1298611.35463813 14414.58671189
0.07400000 1289214.30897543 18854.76015238
0.07500000 1279770.94203115 17507.26730760
0.07600000 1270285.03052819 22007.68918563
0.07700000 1260760.13668575 25076.52029448
0.07800000 1251197.70228272 22240.04020105
0.07900000 1241599.04897050 16389.10821512
0.08000000 1231970.15965439 19458.96958458
0.08100000 1222311.80900069 27061.98472098
0.08200000 1212624.71484285 15097.17840823
0.08300000 1202913.45229087 19703.72327326
0.08400000 1193180.23635280 16734.35360034
0.08500000 1183427.21603198 16792.83298384
0.08600000 1173657.14157846 16847.84905839
0.08700000 1163872.10906473 15363.11256107
0.08800000 1154073.69823285 24651.01535196
0.08900000 1144265.77388210 20081.86527487
0.09000000 1134450.44542903 18582.29916904
0.09100000 1124629.21436384 32591.75616346
0.09200000 1114804.38167554 18661.82622611
0.09300000 1104980.24080454 17138.24434024
0.09400000 1095155.11055906 17166.55716480
0.09500000 1085334.07493374 18754.57369637
0.09600000 1075518.16269271 18778.54800335
0.09700000 1065712.53723889 23498.96255087
0.09800000 1055915.57043145 20384.45104561
0.09900000 1046131.99144157 21968.77285330
0.10000000 1036360.66094845 21981.21065243
0.10100000 1026606.03947858 18848.48777130
0.10200000 1016869.88166849 17281.70445182
0.10300000 1007153.40827535 17282.75329900
0.10400000 997458.94832182 20422.97292769
0.10500000 987790.56966153 20417.63203554
0.10600001 978144.53128487 21978.90865216
0.10700001 968528.86525895 18828.20202665
0.10800001 958940.55231597 17246.54664505
0.10900001 949384.44014401 20364.29719955
0.11000001 939861.37448825 20343.30040835
0.11100001 930372.05263290 17193.27634200
0.11200001 920919.70308427 17170.54867235
0.11300001 911504.03096422 18704.06359599
0.11400001 902128.35298720 17117.88630392
0.11500001 892793.39015488 17088.06629221
0.11600001 883501.06381649 20157.07772020
0.11700001 874252.63100509 18569.12675706
0.11800001 865048.29342105 18529.33531778
0.11900001 855890.23670159 16946.62748491
0.12000001 846779.49046342 19979.76301863
0.12100001 837719.16645641 22995.39220250
0.12200001 828708.35230083 22934.50473040
0.12300001 819749.69131800 21346.28296764
0.12400001 810842.91494423 16723.63590870
0.12500001 801989.28983047 19704.87777964
0.12600001 793192.17237611 25687.52971289
0.12700001 784450.03910410 19579.87389877
0.12800001 775764.23462641 16512.14251223
0.12900001 767137.09657214 14959.17408821
0.13000001 758568.51197364 23849.39514059
0.13100001 750058.60731773 16336.27723743
0.13200001 741609.03822091 19233.63131294
0.13300001 733221.78627583 17685.31031871
0.13400001 724895.37073518 16147.04514439
0.13500001 716632.77981876 17543.17127709
0.13600001 708432.33902007 14558.28525330
0.13700001 700297.15964287 21744.22783222
0.13800001 692224.81008038 15876.17676785
0.13900001 684219.20235942 20116.04549800
0.14000001 676278.71928419 15733.62514615
0.14100001 668404.27766391 17084.41414284
0.14200001 660596.42935445 17003.75289357
0.14300001 652856.83813568 19742.39171642
0.14400001 645181.85709255 18242.51786979
0.14500001 637577.05101815 15359.23188355
0.14600001 630039.34084766 15281.60493316
0.14700001 622572.32210354 15203.21682300
0.14800001 615170.68690757 19248.69170147
0.14900001 607839.42132424 15044.02638756
0.15000001 600576.74186422 13603.06384506
0.15100001 593383.43060645 18940.79999868
0.15200001 586260.05736842 20182.00342724
0.15300001 579206.97804952 14717.65000675
0.15400001 572220.88499368 22617.03154670
0.15500001 565306.16522146 18519.43084664
0.15600001 558458.26564901 14466.86205440
0.15700001 551683.92114370 16997.38241266
0.15800001 544974.90098793 14297.41720224
0.15900001 538337.59686524 16796.13381498
0.16000001 531767.26388989 16694.83403786
0.16100001 525269.12762414 17869.65656530
0.16200001 518838.67171586 13954.16673452
0.16300001 512476.42209534 15128.30469443
0.16400001 506183.51442849 17539.25960297
0.16500001 499958.03407444 13693.85119980
0.16600001 493802.04591783 12369.74183425
0.16700001 487711.92526838 15977.44342616
0.16800001 481689.05377997 13431.89989886
0.16900001 475735.63826895 13344.38528354
0.17000001 469847.53064933 14461.90767627
0.17100001 464025.62154284 14366.23392136
0.17200001 458270.59655312 15459.75930477
0.17300001 452581.25966041 12993.60857847
0.17400001 446957.41614901 11732.63272800
0.17500001 441398.07375663 12818.20066727
0.17600001 435901.83427905 16202.47194538
0.17700001 430471.67633042 12642.95373096
0.17800001 425103.48573741 13696.83495739
0.17900001 419798.84311547 17001.85394923
0.18000001 414556.94831360 12380.74384619
0.18100001 409378.49339729 12293.63673743
0.18200001 404258.94632848 16645.36290137
0.18300001 399201.58233004 12119.76061207
0.18400001 394204.11729818 12033.08124898
0.18500001 389267.99023885 10860.57744074
0.18600001 384389.90078627 14016.77839437
0.18700001 379570.09553412 10703.87719976
0.18800001 374808.76135913 14876.16044118
0.18900001 370106.45870699 12657.64148582
0.19000001 365457.62080933 13611.46973017
0.19100001 360869.43595867 13510.95232069
0.19200001 356334.07621523 13410.63359203
0.19300001 351856.06661495 14334.61683124
0.19400001 347430.51706971 10162.34310450
0.19500001 343060.00880898 11094.56120916
0.19600001 338742.57487466 11010.82791663
0.19700001 334477.80892200 13907.58795222
0.19800001 330265.26012790 10844.26032879
0.19900001 326104.65981196 10761.45428238
0.20000001 321993.31030320 14562.14814669
0.20100001 317933.94600457 11560.07882308
0.20200001 313922.24650217 13382.50600089
0.20300001 309961.54847764 11381.78859805
0.20400001 306048.02850037 14116.46598181
0.20500001 302182.07888818 10271.16934690
0.20600001 298363.43506490 10190.60360633
0.20700001 294591.63399579 11948.63723967
0.20800001 290864.16299951 10942.31032929
0.20900001 287184.28090226 11760.19685887
0.21000001 283547.15965264 9871.69482996
0.21100001 279954.72306596 13353.84092153
0.21200001 276405.15033804 9714.25946787
0.21300001 272897.63278363 10512.01731179
0.21400001 269433.39588012 10427.07291352
0.21500001 266011.46036265 9480.64889555
0.21600001 262629.24891580 8548.58245637
0.21700001 259287.69000666 11022.32022331
0.21800001 255986.45090363 12613.73296466
0.21900001 252723.15624515 8339.86455041
0.22000001 249498.22308579 10752.12643227
0.22100001 246313.35283041 9842.68204450
0.22200001 243165.70933395 8133.89336183
0.22300001 240053.78770520 8872.38841312
0.22400001 236977.63994191 10397.39444411
0.22500001 233940.37613211 8723.63703848
0.22600001 230935.97413158 8649.70732013
0.22700001 227968.76596873 13254.10468020
0.22800001 225034.27910969 8502.92063826
0.22900001 222133.03403501 11495.38505494
0.23000001 219266.36876659 7597.58003707
0.23100001 216433.28416188 7531.87864504
0.23200001 213630.81513379 9706.31654465
0.23300001 210861.12238151 8141.34832019
0.23400001 208123.42750279 9537.25651638
0.23500001 205414.89562831 7271.68764917
0.23600001 202738.77735218 7928.10026333
0.23700001 200091.85605989 8571.93551904
0.23800001 197475.12156655 9203.32847591
0.23900001 194887.03372757 7717.52690065
0.24000001 192327.77719362 8343.17936929
0.24100001 189798.33440501 8267.61583775
0.24200001 187295.94375515 9557.71246192
0.24300001 184821.68018315 6764.47381468
0.24400001 182374.32171295 8712.93363199
0.24500001 179953.79157670 6640.29522330
0.24600001 177560.24554377 8552.18963118
0.24700001 175193.04467404 7820.61788421
0.24800001 172851.53982374 6456.00531783
0.24900001 170534.70928647 7034.55709085
0.25000001 168244.34552063 8234.71988108
0.25100001 165977.47280303 8156.13339940
0.25200001 163736.80468404 7456.57443808
0.25300001 161520.26122978 6769.31446840
0.25400001 159327.30466524 8531.97756848
0.25500001 157157.60567590 7845.30804652
0.25600001 155011.98561368 8365.99725939
0.25700001 152888.71344896 8283.51088659
0.25800001 150789.15881356 6443.97500679
0.25900001 148712.13988631 5799.77372998
0.26000001 146657.32329956 6315.79792673
0.26100001 144624.11446741 6252.10076425
0.26200001 142613.57640224 7876.54819739
0.26300001 140623.93853023 6125.57905222
0.26400001 138656.05351063 6062.73622663
0.26500001 136709.91078078 7091.14340774
0.26600001 134783.62818477 5937.89302066
0.26700001 132879.25322509 6410.09547891
0.26800001 130995.87302281 5814.25209925
0.26900001 129131.39923589 6275.78629984
0.27000001 127288.07360686 5174.26043698
0.27100001 125464.34530344 6654.62918981
0.27200001 123662.08121629 7089.54745163
0.27300001 121878.33023232 7012.87945345
0.27400001 120112.39209599 5945.56369012
0.27500001 118368.56000044 5390.50447753
0.27600001 116641.80695416 5815.76076997
0.27700001 114935.58427200 7668.50254555
0.27800001 113247.25353766 5213.33756334
0.27900001 111578.96259853 5154.94831602
0.28000001 109927.86347841 5096.80563140
0.28100001 108295.90035541 5039.00848203
0.28200001 106682.86425642 7698.76926344
0.28300001 105087.72650702 8953.47472217
0.28400001 103510.22316228 4867.56847459
0.28500001 101951.28730918 6123.19460561
0.28600001 100409.92836225 4754.91238265
0.28700001 98886.44793305  4699.08422820
0.28800001 97379.65070460  4643.54886364
0.28900001 95892.55444646  4588.45894745
0.29000001 94420.86806539  4533.61819475
0.29100001 92967.68140133  4479.18310194
0.29200001 91531.55484180  4425.09322829
0.29300001 90112.47531012  5166.14845407
0.29400001 88709.83495109  6280.65661184
0.29500001 87325.28775578  3877.24295989
0.29600001 85956.81352645  4595.25146865
0.29700001 84604.93990423  5672.76148912
0.29800001 83269.78955290  3734.65023824
0.29900001 81951.91862853  5162.97111801
0.30000001 80649.71251389  4733.73510010
0.30100001 79364.94289216  4673.80170818
0.30200001 78094.82847379  4614.23315881
0.30300001 76842.30129823  4555.21183661
0.30400001 75605.75207701  3458.96332128
0.30500001 74384.88395694  5804.25276995
0.30600001 73179.33580698  3706.89943080
0.30700001 71990.66404440  5321.55013810
0.30800001 70817.34814515  3610.62266612
0.30900001 69659.93970793  4210.94355471
0.31000001 68518.31172793  4794.56909016
0.31100001 67391.31946112  3153.91390010
0.31200001 66280.50846672  4045.43102580
0.31300001 65184.48442637  3377.20829803
0.31400001 64104.86145346  3937.64130121
0.31500001 63039.39791942  4183.29464400
0.31600002 61989.53772888  4421.40398786
0.31700002 60954.54666822  3489.03841649
0.31800002 59934.48108596  6882.87613381
0.31900002 58929.40435403  3111.47269722
0.32000002 57939.49818368  3347.74436357
0.32100002 56963.34377620  4126.99445200
0.32200002 56003.15036765  4070.02914569
0.32300002 55055.72184232  3210.84984988
0.32400002 54123.22441831  3957.76097299
0.32500002 53205.21640565  3122.08224652
0.32600002 52301.76706983  3078.48215550
0.32700002 51411.79800530  3794.19087246
0.32800002 50536.66767947  2493.98466808
0.32900002 49674.82781659  2704.79450270
0.33000002 48827.73395405  2909.15652674
0.33100002 47992.04533282  2390.00397075
0.33200002 47172.91858280  3298.80235271
0.33300002 46365.83871827  3716.68580766
0.33400002 45572.87509078  2977.04820629
0.33500002 44792.12258577  2483.27539375
0.33600002 44025.82956417  2893.15752682
0.33700002 43271.45132924  3071.40776080
0.33800002 42531.24500708  2162.71391103
0.33900002 41802.92432574  2345.14416573
0.34000002 41088.05990665  2942.31610926
0.34100002 40385.71339994  2693.32335419
0.34200002 39696.46322098  2246.62144239
0.34300002 39018.47623276  2416.02416275
0.34400002 38354.44136894  2778.77940878
0.34500002 37701.62291878  2543.72861880
0.34600002 37062.12856816  2314.90066000
0.34700002 36432.85787673  2282.15432548
0.34800002 35817.10342165  2437.53308881
0.34900002 35212.45632518  2033.51944909
0.35000002 34619.59730226  2734.08282644
0.35100002 34039.04014092  2695.89210685
0.35200002 33468.50347318  3367.09895140
0.35300002 32909.91277810  2970.77796719
0.35400002 32362.81970585  2067.98427715
0.35500002 31826.87218658  2039.46606631
0.35600002 31300.98611620  1843.78467450
0.35700002 30786.30161382  1653.22447497
0.35800002 30283.24711118  2609.20469468
0.35900002 29790.32948603  2091.28122897
0.36000002 29308.22684574  1745.74461476
0.36100002 28835.65780903  2035.50918115
0.36200002 28374.54783415  2008.49246358
0.36300002 27922.37168408  1981.93003601
0.36400002 27480.46964270  1805.46694105
0.36500002 27048.22426337  1781.93709888
0.36600002 26626.11772005  1612.34463491
0.36700002 26212.94320326  2459.82270671
0.36800002 25810.96387413  1857.22799354
0.36900002 25417.07498363  1551.71250125
0.37000002 25032.20492100  1532.34649683
0.37100002 24656.24368087  1788.56400133
0.37200002 24290.36110351  1630.85492174
0.37300002 23932.57478620  1611.14101093
0.37400002 23583.50971838  1857.20147830
0.37500002 23243.46058177  1966.39685837
0.37600002 22912.15961867  1554.81922538
0.37700002 22588.58409046  1536.92733432
0.37800002 22273.14572261  1519.47407318
0.37900002 21966.50596881  1377.29998949
0.38000002 21667.70218901  1362.14016264
0.38100002 21375.81202416  1592.28431311
0.38200002 21092.75951799  1454.13491006
0.38300002 20816.36360867  1318.92486073
0.38400002 20548.55279285  1661.35057201
0.38500002 20286.61304595  1409.51394121
0.38600002 20033.35475088  1395.52355806
