# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 353.37391970
0.00100000 1682645.38835751 555.27299135
0.00200000 1682382.68085195 757.07223036
0.00300000 1681945.02845843 1110.08375833
0.00400000 1681332.32366428 1260.99929066
0.00500000 1680545.23114308 1814.98892147
0.00600000 1679583.55748862 1939.91908788
0.00700000 1678448.10519436 3021.20671491
0.00800000 1677138.65140127 2943.37845748
0.00900000 1675656.57028758 2513.48496288
0.01000000 1674001.26267655 3866.94308376
0.01100000 1672174.37688631 4514.87101417
0.01200000 1670175.80283424 3256.84295832
0.01300000 1668006.84922813 3853.09599166
0.01400000 1665667.74929159 4497.30312246
0.01500000 1663159.99823051 4390.74259084
0.01600000 1660483.29010740 6774.77212649
0.01700000 1657639.97856831 6265.87940007
0.01800000 1654630.38900122 6130.40586710
0.01900000 1651455.53824951 6936.11357362
0.02000000 1648116.29819927 6749.03654642
0.02100000 1644615.33834471 5427.23086260
0.02200000 1640951.43465959 7359.66751882
0.02300000 1637127.54374047 7072.39131088
0.02400000 1633144.44991110 8574.00875299
0.02500000 1629004.44690322 8259.05292300
0.02600000 1624707.96101234 8554.08780598
0.02700000 1620256.91665299 6805.07936162
0.02800000 1615651.91919565 10542.12925621
0.02900000 1610896.27693663 7973.93693695
0.03000000 1605990.60786089 11948.57067170
0.03100000 1600936.62665929 12295.19385848
0.03200000 1595735.48012617 11058.44738661
0.03300000 1590391.38938708 11355.39504371
0.03400000 1584903.00488762 9152.81527554
0.03500000 1579274.21826988 10233.69740696
0.03600000 1573505.75041836 9606.25305024
0.03700000 1567600.90428380 11615.92323795
0.03800000 1561560.85902984 10962.15773771
0.03900000 1555388.18633233 11198.79546021
0.04000000 1549083.38111457 9526.86323532
0.04100000 1542650.19078590 10690.56631783
0.04200000 1536090.40868315 11889.34031479
0.04300000 1529405.74456847 12112.89405924
0.04400000 1522599.14491687 11305.29917605
0.04500000 1515672.86142102 12549.77187569
0.04600000 1508627.70987108 11699.40843392
0.04700000 1501467.40779919 17296.90534229
0.04800000 1494194.04690641 16473.49013362
0.04900000 1486810.26670841 14496.40077518
0.05000000 1479317.45999773 12448.45700556
0.05100000 1471719.79808005 13775.29795174
0.05200000 1464016.65170130 15130.61280044
0.05300000 1456213.51784405 14154.39605329
0.05400000 1448311.28330510 16727.99610226
0.05500000 1440313.59463883 15728.22518717
0.05600000 1432221.09334244 17143.68728730
0.05700000 1424039.20265985 12389.14164145
0.05800000 1415767.12179764 13782.49357424
0.05900000 1407408.80596152 19000.01976789
0.06000000 1398967.94943335 16640.72453594
0.06100000 1390446.23505709 12931.15059032
0.06200000 1381846.29145163 19587.67209692
0.06300000 1373171.29486534 17137.17856117
0.06400000 1364421.27963227 15963.72971827
0.06500000 1355601.63181153 13420.45678271
0.06600000 1346714.80472193 14887.93286279
0.06700000 1337761.14937910 17738.71367092
0.06800000 1328745.51847380 15127.76843594
0.06900000 1319671.25573691 15242.20371738
0.07000000 1310537.90342380 16748.67519007
0.07100000 1301349.80670400 14054.57857069
0.07200000 1292109.51347408 16978.31980243
0.07300000 1282819.90194622 21358.95236819
0.07400000 1273484.06764700 18624.70536217
0.07500000 1264102.81816085 18734.00464325
0.07600000 1254679.36226306 15940.70204486
0.07700000 1245217.63416389 16025.95170312
0.07800000 1235718.83418667 17571.92264619
0.07900000 1226184.33587347 14714.21272063
0.08000000 1216620.39595768 20694.71390605
0.08100000 1207027.25285046 16331.07949729
0.08200000 1197406.04548737 20870.78835221
0.08300000 1187761.13798326 16462.37014506
0.08400000 1178094.91004785 18024.85296979
0.08500000 1168409.23070522 22608.71967552
0.08600000 1158707.04367484 24193.80420787
0.08700000 1148990.33734335 19716.67511466
0.08800000 1139260.79279964 18250.95875778
0.08900000 1129522.30863184 19823.11744757
0.09000000 1119776.69610154 16813.44788178
0.09100000 1110025.72201672 15318.35568351
0.09200000 1100271.52836363 16883.66739605
0.09300000 1090518.48556227 16913.94250589
0.09400000 1080765.07792786 15400.90308428
0.09500000 1071015.85622149 15422.62905449
0.09600000 1061272.23800279 16985.66296769
0.09700000 1051539.40428080 20094.91896052
0.09800000 1041815.68227234 21659.34905281
0.09900000 1032105.52172954 15481.58355393
0.10000000 1022407.94411647 15489.48108179
0.10100000 1012727.64271432 29439.99395832
0.10200000 1003065.93051762 18596.84322652
0.10300000 993424.28828781 17047.16158893
0.10400000 983805.24025729 18593.91991562
0.10500000 974212.39683067 21685.96897376
0.10600001 964642.16248956 18579.00892376
0.10700001 955102.46061492 21661.72482610
0.10800001 945590.58413911 17006.44745609
0.10900001 936111.26375157 15445.83657887
0.11000001 926665.14296001 23143.46303478
0.11100001 917253.06891233 20032.80796806
0.11200001 907878.03825162 24621.65355650
0.11300001 898540.14938042 21511.05218892
0.11400001 889242.25275240 15339.42958223
0.11500001 879985.57382978 16842.92467620
0.11600001 870771.49917528 18338.44863622
0.11700001 861601.47024545 19825.45076403
0.11800001 852475.98890448 16738.36683049
0.11900001 843396.73091728 16699.25605872
0.12000001 834365.04114698 18172.47145219
0.12100001 825384.03168357 19635.88703876
0.12200001 816452.64209651 15063.55195634
0.12300001 807573.43010269 21029.21311065
0.12400001 798746.38517323 16474.14497042
0.12500001 789972.35172867 17916.57378144
0.12600001 781255.21258948 25300.95125198
0.12700001 772592.99887027 17800.54353285
0.12800001 763987.29382273 20696.41676506
0.12900001 755440.17604931 16204.19254000
0.13000001 746951.85313229 16145.36506646
0.13100001 738522.18408519 20471.83590783
0.13200001 730153.06824011 21849.83159709
0.13300001 721846.20424322 15960.02032822
0.13400001 713600.34804633 18785.53004798
0.13500001 705418.04822363 14390.52886225
0.13600001 697298.15056427 20061.26873764
0.13700001 689243.27229205 14267.33640920
0.13800001 681251.60522184 19885.73529415
0.13900001 673326.36342546 15553.83972862
0.14000001 665466.37066743 14074.61440338
0.14100001 657672.43562190 19611.79295520
0.14200001 649944.90513857 16729.58264732
0.14300001 642285.59885182 16648.04350749
0.14400001 634691.06318954 19326.34378574
0.14500001 627166.51921362 20602.42112803
0.14600001 619709.01417885 19130.41817017
0.14700001 612321.99335749 16312.25867260
0.14800001 605000.41456079 17578.28787438
0.14900001 597749.15565636 14794.29230050
0.15000001 590566.21055449 14713.95783021
0.15100001 583452.65148264 14632.99318964
0.15200001 576408.80917789 19842.87419227
0.15300001 569435.06104021 14469.34558383
0.15400001 562528.34113101 18310.29836790
0.15500001 555692.86820167 15603.85647550
0.15600001 548924.10238474 15512.59586551
0.15700001 542228.54323427 23131.47074611
0.15800001 535598.29854931 12774.02002332
0.15900001 529039.63801780 15236.34229408
0.16000001 522547.63710117 15143.43123800
0.16100001 516127.64083072 12541.90226422
0.16200001 509775.20781315 17449.60618717
0.16300001 503490.94090643 17340.22882341
0.16400001 497275.50386789 14769.08316212
0.16500001 491127.41498997 12229.07321060
0.16600001 485048.61592241 15795.60892327
0.16700001 479035.45468504 15693.20223643
0.16800001 473089.20897270 16789.93681920
0.16900001 467212.39835855 15488.09173690
0.17000001 461400.48425361 15385.39987393
0.17100001 455654.54924306 22336.18705864
0.17200001 449975.30627843 15179.91767414
0.17300001 444361.25477787 13917.39515688
0.17400001 438812.51796041 13822.59496854
0.17500001 433328.17943131 12583.85092499
0.17600001 427906.61617637 17041.38179407
0.17700001 422550.65684693 12410.31337774
0.17800001 417256.54104824 14564.34025319
0.17900001 412025.70623899 13349.63351269
0.18000001 406857.23360451 15464.64417978
0.18100001 401751.88152340 13161.39226040
0.18200001 396705.10199501 15245.37778983
0.18300001 391720.16612024 11892.62480521
0.18400001 386794.95168052 15026.98458267
0.18500001 381930.65328074 10655.86572994
0.18600001 377123.96232018 13751.82593569
0.18700001 372375.35467941 12601.18259769
0.18800001 367684.65992186 10423.86060127
0.18900001 363052.91135347 12416.41015493
0.19000001 358474.29876693 12324.34697392
0.19100001 353955.76440158 14271.49709500
0.19200001 349489.82470538 11129.50399363
0.19300001 345080.69362076 11046.03352475
0.19400001 340723.91602937 10962.79251628
0.19500001 336421.61233540 9890.79587005
0.19600001 332172.03960971 12760.38950462
0.19700001 327974.70852692 15585.35888573
0.19800001 323829.28032486 11599.56536942
0.19900001 319735.32936967 11510.47240129
0.20000001 315690.43101844 13325.29372306
0.20100001 311696.86166926 9444.41535494
0.20200001 307750.79884373 10308.11349447
0.20300001 303855.11770604 11157.56044952
0.20400001 300006.52973495 10147.72134792
0.20500001 296204.75953108 10983.27300256
0.20600001 292449.87333860 9988.62589602
0.20700001 288741.60147898 11711.35990957
0.20800001 285077.18906611 11618.32138959
0.20900001 281460.02932911 12412.38788016
0.21000001 277885.11540449 13192.59647747
0.21100001 274354.32495897 13086.70191920
0.21200001 270866.20080922 9519.59307747
0.21300001 267419.62675808 9442.58746723
0.21400001 264015.80834265 10217.41226590
0.21500001 260653.97453160 10134.22700891
0.21600001 257331.33827059 10888.97609374
0.21700001 254049.09483111 9968.88695250
0.21800001 250806.36088741 9886.78721363
0.21900001 247601.49267185 12256.27446675
0.22000001 244434.51207136 8103.00445830
0.22100001 241306.97239847 8839.07481690
0.22200001 238216.27244598 10358.83509713
0.22300001 235160.92446993 8691.54817939
0.22400001 232141.03999025 8618.23651716
0.22500001 229159.23853160 11652.74783036
0.22600001 226209.95177799 7702.44922228
0.22700001 223297.40456559 9164.12591674
0.22800001 220417.35889359 9085.60396325
0.22900001 217569.98787706 7506.16493673
0.23000001 214756.56213765 9673.70979898
0.23100001 211976.49681718 9589.81716954
0.23200001 209226.58299916 8774.96330598
0.23300001 206508.72421279 7248.45656268
0.23400001 203822.60761917 8621.69671006
0.23500001 201165.30295915 9969.75288619
0.23600001 198539.76364094 9881.32450377
0.23700001 195943.09242278 11192.26996856
0.23800001 193376.09941054 9705.54688847
0.23900001 190837.36303843 8931.18901264
0.24000001 188327.00462722 6808.02153930
0.24100001 185845.88594888 8095.44717486
0.24200001 183391.63072665 7353.08778180
0.24300001 180964.71435123 10597.29417369
0.24400001 178564.37867566 6562.24122675
0.24500001 176190.52939158 6501.43084210
0.24600001 173842.91270183 9661.32033043
0.24700001 171521.53099901 9570.90188251
0.24800001 169225.34171203 8848.79353673
0.24900001 166953.27893788 6886.82308199
0.25000001 164707.28621365 6201.22961931
0.25100001 162484.35004654 7370.29046679
0.25200001 160287.15970774 6691.18779856
0.25300001 158113.67447121 7831.37066706
0.25400001 155963.21848451 7755.27140605
0.25500001 153835.75368378 5907.29322094
0.25600001 151731.82669240 7604.04085446
0.25700001 149649.84627661 8687.17398738
0.25800001 147591.10893723 8027.48079491
0.25900001 145554.49901471 9082.60116826
0.26000001 143539.77291547 7867.41532575
0.26100001 141545.97738576 7231.58432681
0.26200001 139574.68810854 6607.46604770
0.26300001 137623.72282066 8174.84952236
0.26400001 135694.04283142 5393.83845778
0.26500001 133785.79531423 6405.66418275
0.26600001 131896.99497894 6338.96987864
0.26700001 130029.66888888 5749.91223035
0.26800001 128182.87760462 6206.61522732
0.26900001 126354.53775868 7164.30262994
0.27000001 124547.09306087 7087.97540151
0.27100001 122758.71694841 5509.41147737
0.27200001 120991.38159061 5945.51677272
0.27300001 119242.28788656 6861.20156969
0.27400001 117510.52095971 4847.30921899
0.27500001 115800.49793300 7191.21126197
0.27600001 114107.09652268 5689.38010188
0.27700001 112433.89008229 5626.19212599
0.27800001 110778.12555629 6026.88420613
0.27900001 109142.09175775 7334.34891324
0.28000001 107522.72962181 4985.29159486
0.28100001 105922.29659659 5376.61602971
0.28200001 104340.38620814 5758.02448542
0.28300001 102775.84913794 4816.07651855
0.28400001 101228.63301726 4327.52426631
0.28500001 99699.67427515  4704.82785173
0.28600001 98187.91744916  4649.68905088
0.28700001 96693.59073528  5430.31231272
0.28800001 95215.62197297  4540.35714869
