# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682645.57933348 504.79368579
0.00200000 1682383.43647776 908.48708447
0.00300000 1681946.73833514 1614.66892632
0.00400000 1681335.36412818 1765.40219942
0.00500000 1680549.96614141 1966.24353821
0.00600000 1679590.38148000 2292.64096406
0.00700000 1678457.40003364 3021.22344562
0.00800000 1677150.76118261 2716.98434783
0.00900000 1675671.90433618 3016.20955674
0.01000000 1674020.18198783 3038.34676150
0.01100000 1672197.27207712 3310.95074287
0.01200000 1670202.99712862 4559.65438207
0.01300000 1668038.74103380 4203.45781280
0.01400000 1665704.64740406 3747.83562280
0.01500000 1663202.41927073 5189.19177919
0.01600000 1660531.50167413 5928.09772598
0.01700000 1657694.31291900 5370.92981479
0.01800000 1654691.24202256 7073.80537795
0.01900000 1651523.24199106 5450.02694449
0.02000000 1648191.28702747 6230.16334679
0.02100000 1644697.92586213 6513.00408170
0.02200000 1641041.95675583 8492.39251204
0.02300000 1637226.34919416 7072.81815046
0.02400000 1633251.81537548 7349.63350431
0.02500000 1629120.83791692 6988.92871385
0.02600000 1624833.64855616 10528.92252422
0.02700000 1620392.26869710 11569.60132840
0.02800000 1615797.24393329 8434.46200013
0.02900000 1611051.88020278 7974.70717316
0.03000000 1606156.82497733 8962.35549533
0.03100000 1601113.72302922 9222.41546900
0.03200000 1595923.83854994 8689.80570114
0.03300000 1590591.40931074 9734.41987374
0.03400000 1585114.86312641 9986.22409846
0.03500000 1579498.30386089 9382.22035819
0.03600000 1573742.26953791 10481.12399949
0.03700000 1567850.10867570 11617.76984258
0.03800000 1561823.20940969 14618.66591662
0.03900000 1555663.94367653 11200.78091318
0.04000000 1549372.74285290 17151.55705817
0.04100000 1542953.41203789 12636.78903051
0.04200000 1536407.86803080 13873.76369196
0.04300000 1529737.64281140 10096.26891120
0.04400000 1522945.64309571 12335.86028198
0.04500000 1516034.40852615 10460.63790488
0.04600000 1509004.47022401 17021.57121541
0.04700000 1501859.64032778 10813.38991327
0.04800000 1494602.09287346 15379.45625124
0.04900000 1487234.10119329 12269.68190597
0.05000000 1479757.55445230 14716.18956430
0.05100000 1472176.27018768 14927.86807510
0.05200000 1464489.67377822 15135.50148383
0.05300000 1456703.41425878 15339.08766722
0.05400000 1448818.18672492 14343.30071746
0.05500000 1440837.75537739 16944.25279368
0.05600000 1432762.77303294 12250.12228107
0.05700000 1424598.44764232 13633.40778032
0.05800000 1416344.12790406 15041.57534067
0.05900000 1408003.86081741 12672.03533921
0.06000000 1399581.16595842 16648.01874685
0.06100000 1391077.62267886 16818.12924412
0.06200000 1382496.15304308 18290.42495972
0.06300000 1373839.96704734 18464.41002043
0.06400000 1365108.56073423 17302.75181650
0.06500000 1356307.85780404 25512.15199870
0.06600000 1347440.04689887 21666.83696789
0.06700000 1338505.56367163 16383.30886606
0.06800000 1329509.18122855 15136.46273681
0.06900000 1320454.35203473 18024.20274915
0.07000000 1311340.44587584 16758.93168309
0.07100000 1302171.95647899 18282.49512528
0.07200000 1292951.30489686 19820.94443262
0.07300000 1283681.68449093 15673.75410204
0.07400000 1274365.72876009 14336.61512042
0.07500000 1265004.38479668 17305.26079516
0.07600000 1255600.92199838 18852.84872764
0.07700000 1246159.20911022 17496.07611627
0.07800000 1236680.33751824 20516.52776158
0.07900000 1227166.19348445 22088.99251878
0.08000000 1217622.40949262 17752.93556321
0.08100000 1208049.43659858 16344.90964405
0.08200000 1198448.65903785 23873.09840828
0.08300000 1188823.86934724 19472.93589381
0.08400000 1179177.85740529 21048.32574266
0.08500000 1169512.57141513 15086.71287950
0.08600000 1159830.72637964 15135.79168990
0.08700000 1150134.18055424 16699.94908584
0.08800000 1140425.04277228 16747.14253962
0.08900000 1130706.85954598 18317.45198501
0.09000000 1120981.40746144 18361.67631677
0.09100000 1111250.60061353 18402.31081072
0.09200000 1101516.58685920 18439.38853043
0.09300000 1091783.59122111 20012.39416751
0.09400000 1082050.14209752 20044.97982442
0.09500000 1072321.06964292 23162.13619297
0.09600000 1062597.38016351 21645.10965142
0.09700000 1052884.33905840 21668.36071651
0.09800000 1043180.51428951 15491.23136556
0.09900000 1033490.03074781 18602.82142821
0.10000000 1023812.03927866 24817.20499920
0.10100000 1014151.16684148 17068.16494069
0.10200000 1004508.95370563 21727.52969064
0.10300000 994886.49124022 18624.27599212
0.10400000 985286.91538823 20173.75054165
0.10500000 975712.97128112 17065.22067061
0.10600001 966161.67313458 26361.72249189
0.10700001 956640.85964186 20146.85745212
0.10800001 947147.61488018 20131.62350171
0.10900001 937686.75854012 15471.83224410
0.11000001 928259.03680911 20092.16779746
0.11100001 918865.11224252 16980.62807358
0.11200001 909508.17282924 16957.78068072
0.11300001 900188.19916838 16932.54082355
0.11400001 890907.97438491 15368.16328174
0.11500001 881669.04060320 23011.56304331
0.11600001 872472.31662545 15311.88987784
0.11700001 863319.35796731 18336.90402680
0.11800001 854210.80890374 18297.19638849
0.11900001 845148.42125694 18255.20675900
0.12000001 836133.24196927 15175.81905660
0.12100001 827168.81010355 18164.62792558
0.12200001 818253.61493765 21135.49186956
0.12300001 809390.30668134 15054.66041356
0.12400001 800579.04433277 22516.28668277
0.12500001 791820.58090242 16461.95065266
0.12600001 783118.54363686 23869.45433486
0.12700001 774471.56711189 17843.82574717
0.12800001 765880.74987617 16301.77252940
0.12900001 757348.12619876 23629.26265110
0.13000001 748874.14384355 19129.99090617
0.13100001 740458.59571454 20525.51324073
0.13200001 732103.37603575 16066.00934446
0.13300001 723810.16295310 20368.01894571
0.13400001 715577.61607441 20286.62637213
0.13500001 707408.35038566 24532.92274806
0.13600001 699301.36529137 17244.77248119
0.13700001 691259.07731490 14309.06357514
0.13800001 683279.67321472 17095.65822999
0.13900001 675366.34235192 22692.31017315
0.14000001 667518.18033613 15529.81119792
0.14100001 659735.67657653 15457.60763121
0.14200001 652019.29155539 18181.55880256
0.14300001 644370.86924690 16702.09371868
0.14400001 636787.08617019 13850.11977751
0.14500001 629272.62381853 13781.07111171
0.14600001 621825.23320495 19195.74585458
0.14700001 614447.93635877 20461.11724603
0.14800001 607135.76771428 20354.22757291
0.14900001 599893.59001552 21596.17025948
0.15000001 592719.55502093 16110.11826559
0.15100001 585614.61497577 16022.41662175
0.15200001 578578.77761352 13278.38357280
0.15300001 571613.07966276 17165.54159230
0.15400001 564714.01133445 17068.48179806
0.15500001 557885.67065160 16970.88290213
0.15600001 551124.10561148 14276.87062966
0.15700001 544435.19543650 14193.42621491
0.15800001 537811.33979479 16674.84137737
0.15900001 531258.62651786 12750.20763825
0.16000001 524772.47341346 20277.20932983
0.16100001 518358.14891162 15115.32433577
0.16200001 512010.70860905 12518.66241645
0.16300001 505731.35978350 12440.99203799
0.16400001 499520.46668262 16072.07177427
0.16500001 493376.60692044 13513.58590155
0.16600001 487301.61987663 19531.04984678
0.16700001 481292.09204831 14554.27355072
0.16800001 475349.29074951 13255.11559841
0.16900001 469475.37814243 11971.62270791
0.17000001 463665.96893130 13082.33593114
0.17100001 457922.47521280 20084.48071125
0.17200001 452245.24134138 12909.34102371
0.17300001 446633.05533393 17485.68494208
0.17400001 441085.81559144 17367.75480912
0.17500001 435602.39752404 16099.86537285
0.17600001 430181.73389844 12563.45813186
0.17700001 424826.39372368 12477.15177297
0.17800001 419532.16830071 14643.77102619
0.17900001 414301.43033552 12304.75306216
0.18000001 409132.40835959 11107.94541165
0.18100001 404026.34290209 15441.88755514
