# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097187 302.89193117
0.00100000 1682645.63605354 555.27307308
0.00200000 1682383.67023770 984.19447825
0.00300000 1681947.25058157 1412.83574082
0.00400000 1681336.28745979 1513.20271621
0.00500000 1680551.40593510 1814.99559025
0.00600000 1679592.47279487 2821.71546917
0.00700000 1678460.20826925 2618.39803372
0.00800000 1677154.44254384 2716.99031163
0.00900000 1675676.57861506 2513.51497537
0.01000000 1674025.95631465 3314.57153662
0.01100000 1672204.21404400 3009.96771633
0.01200000 1670211.27864417 5211.05941784
0.01300000 1668048.44280531 3502.90188439
0.01400000 1665715.93148474 4122.64711319
0.01500000 1663215.28331655 5987.57528656
0.01600000 1660546.10525607 4657.83203346
0.01700000 1657710.74106868 5370.98304200
0.01800000 1654709.61291882 7545.47617444
0.01900000 1651543.75953997 5450.09465240
0.02000000 1648213.93906796 6749.43638580
0.02100000 1644722.81723140 7598.61976012
0.02200000 1641069.17123601 5661.68889799
0.02300000 1637256.09219116 6483.53442020
0.02400000 1633284.10076049 9187.22348569
0.02500000 1629155.78046802 6989.07861740
0.02600000 1624871.31137525 11187.23949050
0.02700000 1620432.83777128 10208.72734553
0.02800000 1615840.59799419 7028.90692362
0.02900000 1611098.33576754 7974.93712821
0.03000000 1606206.39449122 8215.74608546
0.03100000 1601166.44662371 9222.71915692
0.03200000 1595979.86144358 10270.13088141
0.03300000 1590650.83046752 8112.31960937
0.03400000 1585177.67787234 10818.83815066
0.03500000 1579564.64301409 15353.36903909
0.03600000 1573812.19169337 12228.52129458
0.03700000 1567923.74176914 9830.88231555
0.03800000 1561900.36473731 10964.54106789
0.03900000 1555745.08060709 13068.25928229
0.04000000 1549457.60620110 11434.99766365
0.04100000 1543042.28887154 11665.40024475
0.04200000 1536500.68432364 11892.51584839
0.04300000 1529834.40542384 14135.67056227
0.04400000 1523046.82098734 12336.67982294
0.04500000 1516139.70272682 10461.36443490
0.04600000 1509113.64832251 13831.02722984
0.04700000 1501973.24959000 14058.47026999
0.04800000 1494719.91814277 13183.43029142
0.04900000 1487356.30020692 12270.69004788
0.05000000 1479884.14534436 19245.89420641
0.05100000 1472307.37969667 13780.79771593
0.05200000 1464625.27308974 12808.14861005
0.05300000 1456843.44121354 12980.47566633
0.05400000 1448962.68493507 13149.33697899
0.05500000 1440986.66723532 14525.14628332
0.05600000 1432916.52955694 15926.86796924
0.05700000 1424756.84632280 13634.92365577
0.05800000 1416507.15088945 20057.74219314
0.05900000 1408171.45125700 15208.25238389
0.06000000 1399753.56651040 16650.06945151
0.06100000 1391254.71206407 15526.40331221
0.06200000 1382677.96412573 16986.19958328
0.06300000 1374026.50653329 18466.91711123
0.06400000 1365299.68704939 15974.00708553
0.06500000 1356504.04690855 18801.14696963
0.06600000 1347640.73754092 17606.92705977
0.06700000 1338711.17740838 15020.34011346
0.06800000 1329719.67492745 17891.37906363
0.06900000 1320669.50213029 18027.13954809
0.07000000 1311560.17299837 23745.79804411
0.07100000 1302396.66408237 14065.88463090
0.07200000 1293180.74192051 16992.39574487
0.07300000 1283915.84690353 15676.61322523
0.07400000 1274604.63134475 17207.16332955
0.07500000 1265248.11531811 20193.36086699
0.07600000 1255849.30365348 21757.59020581
0.07700000 1246412.34259179 18957.93261973
0.07800000 1236938.05492486 16123.48830208
0.07900000 1227428.76627269 14729.14588612
0.08000000 1217889.76811889 14797.36137680
0.08100000 1208321.42107244 19321.06042946
0.08200000 1198725.37176727 22386.19736823
0.08300000 1189105.06802552 22474.08684044
0.08400000 1179463.77078476 18045.79654005
0.08500000 1169803.02423302 24144.73555365
0.08600000 1160125.76648575 22709.46294520
0.08700000 1150433.75693336 18222.87156553
0.08800000 1140729.19598710 15228.73548163
0.08900000 1131015.45038003 15268.70929730
0.09000000 1121294.50851554 21427.93906432
0.09100000 1111568.23336077 18407.57080926
0.09200000 1101838.70904432 26130.10621275
0.09300000 1092109.99951320 21558.25240346
0.09400000 1082381.21275947 18508.71960805
0.09500000 1072656.26804404 20080.12628160
0.09600000 1062937.00110048 21652.02773023
0.09700000 1053228.12509659 18578.94500015
0.09800000 1043528.61464352 17046.04072167
0.09900000 1033842.42001915 21710.69184129
0.10000000 1024168.65007498 23274.23366748
0.10100000 1014511.92581967 24835.25311211
0.10200000 1004873.68401390 17077.82906309
0.10300000 995255.46459725 20183.78177149
0.10400000 985660.00011488 18628.97487857
0.10500000 976090.21811289 15519.83519819
0.10600001 966542.82054754 15513.01299973
0.10700001 957025.96697307 18604.58567344
0.10800001 947536.84315575 17041.45092616
0.10900001 938080.15900017 17026.15568720
0.11000001 928656.28631804 17008.34068449
0.11100001 919266.34413241 20076.77790093
0.11200001 909913.10839976 18507.63349614
0.11300001 900597.21389812 15400.21308271
0.11400001 891320.57386487 24600.44899697
0.11500001 882085.70609709 16883.12120969
0.11600001 872892.74963613 16851.19532527
0.11700001 863743.80642079 19874.74592174
0.11800001 854638.95001752 19831.89776921
0.11900001 845580.19681222 21308.62196334
0.12000001 836568.88008500 18220.47106653
0.12100001 827608.19546126 22717.84603561
0.12200001 818696.65054481 21146.93547983
0.12300001 809837.22566152 18075.56772838
0.12400001 801029.77961660 18023.17089058
0.12500001 792275.07037903 16471.39948932
0.12600001 783576.51112140 16419.84656431
0.12700001 774933.51343576 19342.34140689
0.12800001 766346.50199492 19277.44716621
0.12900001 757817.39564304 16255.18390268
0.13000001 749347.07775095 16197.13784904
0.13100001 740935.24197267 16137.57033085
0.13200001 732583.74474291 17538.05567590
0.13300001 724294.27070749 16014.14708030
0.13400001 716065.60469663 17400.39501448
0.13500001 707900.13283887 21661.74508618
0.13600001 699796.87150690 15818.90902629
0.13700001 691758.07577230 21479.08926554
0.13800001 683782.49955278 18533.92552436
0.13900001 675873.07627227 17032.00232526
0.14000001 668028.76027983 15541.68984087
0.14100001 660250.11773429 21094.99225651
0.14200001 652537.57825849 16796.31805658
0.14300001 644893.08920138 18108.59879891
0.14400001 637313.30829727 15247.72162025
0.14500001 629802.75267793 13792.68093428
0.14600001 622359.46115933 15095.32944253
0.14700001 614985.90200070 19113.76273590
0.14800001 607677.94881465 16297.92335612
0.14900001 600439.80377580 16211.87546684
0.15000001 593269.69932736 16125.07118855
0.15100001 586169.04015982 17374.05117013
0.15200001 579137.46473440 17278.56707567
0.15300001 572176.04243934 14538.99392446
0.15400001 565281.01559403 17085.61950262
0.15500001 558457.09260051 14374.68624192
