# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664563.87446638 798.99067872
0.00200000 1664303.23669300 1198.29836836
0.00300000 1663869.03569158 1098.15360268
0.00400000 1663261.16088776 1621.67969349
0.00500000 1662480.26352095 1645.85552603
0.00600000 1661526.19055599 1919.06282822
0.00700000 1660399.67407159 2789.47156837
0.00800000 1659100.54063206 2687.74298930
0.00900000 1657630.15776532 3232.37894582
0.01000000 1655987.93598104 2732.38021235
0.01100000 1654175.47438540 3275.26758189
0.01200000 1652192.66091663 3866.13099605
0.01300000 1650040.85295583 4851.12032165
0.01400000 1647720.22512534 5561.05600632
0.01500000 1645232.34520110 4738.26936517
0.01600000 1642576.79332756 8795.99912148
0.01700000 1639755.94350477 8411.94836753
0.01800000 1636770.20194131 5597.75434252
0.01900000 1633620.51596516 5390.94794594
0.02000000 1630307.81813741 7189.65780321
0.02100000 1626834.61340578 8052.83170146
0.02200000 1623199.76649538 10080.07100790
0.02300000 1619406.32701139 6412.84934687
0.02400000 1615454.86171257 8481.13841071
0.02500000 1611347.81119298 6912.68242572
0.02600000 1607085.58175277 7810.43628455
0.02700000 1602670.05842658 7404.33600906
0.02800000 1598101.74167621 9732.44005313
0.02900000 1593384.13201498 10755.34338492
0.03000000 1588517.68371168 10341.25059630
0.03100000 1583504.09822260 9120.98402545
0.03200000 1578344.65365095 10937.92895358
0.03300000 1573043.50533489 8022.52224705
0.03400000 1567599.11700099 9052.88531838
0.03500000 1562015.70410052 10965.35074914
0.03600000 1556293.56360326 12092.40154803
0.03700000 1550436.28912326 9721.23598239
0.03800000 1544444.91978406 11745.50415853
0.03900000 1538322.30338933 11998.91452211
0.04000000 1532068.36884042 13191.10926698
0.04100000 1525687.36624059 11534.19702358
0.04200000 1519180.85672337 9798.71698046
0.04300000 1512550.38272649 15972.53278300
0.04400000 1505799.31143298 12196.97498906
0.04500000 1498929.49821021 11376.87542004
0.04600000 1491941.56700903 11570.00739001
0.04700000 1484840.10381910 10690.84924471
0.04800000 1477626.26044503 10860.55351959
0.04900000 1470302.91864115 13232.72688372
0.05000000 1462871.73822993 11190.96931858
0.05100000 1455336.80478539 13621.95312736
0.05200000 1447696.98859672 12660.11075526
0.05300000 1439958.44607099 13996.39674829
0.05400000 1432121.46021971 16541.00363691
0.05500000 1424189.96769683 14355.83554407
0.05600000 1416164.85676174 18162.31513550
0.05700000 1408051.10722307 13475.04972512
0.05800000 1399847.95068796 13627.52043625
0.05900000 1391559.55029166 12524.03653757
0.06000000 1383189.50422266 15187.42146590
0.06100000 1374739.13039875 16620.59686322
0.06200000 1366211.49819342 12910.69926142
0.06300000 1357609.83040016 15639.66597745
0.06400000 1348933.28388956 15782.52015960
0.06500000 1340188.77752667 18575.01732542
0.06600000 1331377.14442616 17394.44320579
0.06700000 1322499.82619902 20234.24828779
0.06800000 1313560.93394597 20393.03445409
0.06900000 1304564.15270568 15067.71666920
0.07000000 1295509.00587192 17936.32302623
0.07100000 1286399.98917995 22228.99285419
0.07200000 1277239.22222208 19580.07819393
0.07300000 1268029.93689655 15482.64625496
0.07400000 1258774.94836873 15577.34071608
0.07500000 1249475.15080294 19941.62434153
0.07600000 1240133.67730513 20052.96250212
0.07700000 1230754.40899691 14399.82726045
0.07800000 1221338.54920001 18814.72123277
