# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1719190.39626457 257.87855944
0.00100000 1719101.94770677 567.30365622
0.00200000 1718836.58068956 1237.56237728
0.00300000 1718394.49202186 1752.76244430
0.00400000 1717775.60543781 1288.33175303
0.00500000 1716980.52960491 2163.39555293
0.00600000 1716009.13255440 2162.17159505
0.00700000 1714862.18348846 3292.53552914
0.00800000 1713539.41818673 2313.27831222
0.00900000 1712042.35027630 3338.48272575
0.01000000 1710370.23792802 3386.53321733
0.01100000 1708524.82671746 3075.34482199
0.01200000 1706505.92328742 4658.76137483
0.01300000 1704314.91178120 4294.87376711
0.01400000 1701951.95607572 4978.20969221
0.01500000 1699418.76963282 4486.46575161
0.01600000 1696714.74197252 4759.28506399
0.01700000 1693842.38836359 5030.71211911
0.01800000 1690802.06340276 6264.42192679
0.01900000 1687594.77419494 5569.06300613
0.02000000 1684221.39604953 7427.41669256
0.02100000 1680684.54711878 5546.25925695
0.02200000 1676983.03640127 7521.26925997
0.02300000 1673119.91403889 11444.14073294
0.02400000 1669095.78064816 7510.93135540
0.02500000 1664913.19825693 9090.42647765
0.02600000 1660572.34235465 7397.85012355
0.02700000 1656075.34944066 10433.27517933
0.02800000 1651422.61938714 9338.79534091
0.02900000 1646617.70712816 8150.75802452
0.03000000 1641661.05593887 8397.09668710
0.03100000 1636554.42311879 12568.73854788
0.03200000 1631299.06052939 10497.40993800
0.03300000 1625899.34670632 13267.33928075
0.03400000 1620353.53694823 10208.22775379
0.03500000 1614665.71149811 10463.03429367
0.03600000 1608836.60347712 8929.04356194
0.03700000 1602869.49700534 12790.89917765
0.03800000 1596765.71155454 9341.07984490
0.03900000 1590527.90332588 12406.11822047
0.04000000 1584156.21387681 9742.56116680
0.04100000 1577654.57970771 13914.91403821
0.04200000 1571025.07369901 10133.11219546
0.04300000 1564268.93734639 15486.26319857
0.04400000 1557389.59305174 13666.09431371
0.04500000 1550388.89685725 12837.22066246
0.04600000 1543267.88188789 11968.04298040
0.04700000 1536030.29046413 18801.01162968
0.04800000 1528678.32483772 14606.52207344
0.04900000 1521214.39299950 13690.93017427
0.05000000 1513640.00759667 16211.08523625
0.05100000 1505959.40472194 21143.67102725
0.05200000 1498171.90552568 16674.65408556
0.05300000 1490283.06914811 15692.68144969
0.05400000 1482293.79853585 13451.81684902
0.05500000 1474207.71299388 17336.68351355
0.05600000 1466025.65774892 12534.51995867
0.05700000 1457752.80310300 13950.69497689
0.05800000 1449388.35197484 12827.08751390
0.05900000 1440936.46862964 14265.27170570
0.06000000 1432400.77854810 14417.11450964
0.06100000 1423782.89331667 15889.41783195
0.06200000 1415085.65104551 18721.58403844
0.06300000 1406312.28108004 18900.83794143
0.06400000 1397462.47155588 16350.31168185
