# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 331.67800267
0.00100000 1700824.94704414 663.32174510
0.00200000 1700561.26150049 1147.87888786
0.00300000 1700121.98193897 1530.10983825
0.00400000 1699507.02037383 1402.09334509
0.00500000 1698716.97984584 2140.38347932
0.00600000 1697751.75710056 2139.16730104
0.00700000 1696612.08544390 2239.52804586
0.00800000 1695297.72160736 2746.38242496
0.00900000 1693810.15866698 2540.71534661
0.01000000 1692148.68108841 3629.65907766
0.01100000 1690315.01398239 3651.08058917
0.01200000 1688308.93983790 3621.42283473
0.01300000 1686131.89407484 3540.87713373
0.01400000 1683783.95493868 3788.51406656
0.01500000 1681266.95791990 4438.54496655
0.01600000 1678580.17489438 4280.37963733
0.01700000 1675726.16092169 4976.90692119
0.01800000 1672705.26112383 5243.93122959
0.01900000 1669518.47436106 7512.83347362
0.02000000 1666166.73949501 6822.95310687
0.02100000 1662652.55300152 7132.77977577
0.02200000 1658974.79395728 7440.50228894
0.02300000 1655136.47428788 5958.49157866
0.02400000 1651138.21454426 9287.65288031
0.02500000 1646982.56626984 7707.87876217
0.02600000 1642669.70555264 9313.93765649
0.02700000 1638201.76294268 8944.58203534
0.02800000 1633579.12806646 12790.92515935
0.02900000 1628805.30508737 10994.43631414
0.03000000 1623880.78684363 7551.04600591
0.03100000 1618807.29489775 8547.30291035
0.03200000 1613586.12272480 11182.15234551
0.03300000 1608221.60768768 9842.31669278
0.03400000 1602711.91549598 12621.35691689
0.03500000 1597061.35073035 9486.54486141
0.03600000 1591270.38890659 10597.86127988
0.03700000 1585342.43760335 12651.03323715
0.03800000 1579278.76001209 14782.04987782
0.03900000 1573082.05456108 11326.19131736
0.04000000 1566752.35927015 13489.73843842
0.04100000 1560293.80351760 11795.82170152
0.04200000 1553708.14310458 12025.70158554
0.04300000 1546996.86271290 11231.19774462
0.04400000 1540163.28743543 14554.54374221
0.04500000 1533209.29274676 19042.46030072
0.04600000 1526135.80043089 12911.10947184
0.04700000 1518946.85845719 14217.34325638
0.04800000 1511644.26362071 12221.64444002
0.04900000 1504230.49755330 12409.90218246
0.05000000 1496707.29151869 18319.69810127
0.05100000 1489078.68670185 15099.25858654
0.05200000 1481343.96475363 11776.68506860
0.05300000 1473508.83927080 16709.59101630
0.05400000 1465574.05408763 14509.18381209
0.05500000 1457543.20036749 13467.69979965
0.05600000 1449417.36145805 16110.27472438
0.05700000 1441201.32591932 12538.45212077
0.05800000 1432894.55517183 15217.34088646
0.05900000 1424501.24434813 19230.76769689
0.06000000 1416024.81628269 12956.62767430
0.06100000 1407466.80795928 13089.44192571
0.06200000 1398830.28984574 13218.94685694
0.06300000 1390118.48190165 14679.65185523
0.06400000 1381330.64813026 16161.56933895
0.06500000 1372473.08797663 20381.22630984
0.06600000 1363547.59649812 20555.48097897
0.06700000 1354555.20430743 16579.75647664
0.06800000 1345500.15211498 16711.11267150
0.06900000 1336386.00020282 16838.46439091
0.07000000 1327212.18919338 14134.81047682
0.07100000 1317983.26561118 15657.64192883
0.07200000 1308701.87839148 18629.37211163
0.07300000 1299370.92707907 17307.62155965
0.07400000 1289993.12584502 23219.87735339
0.07500000 1280569.56809527 18978.04188872
0.07600000 1271103.15472448 16149.36633787
0.07700000 1261598.09390091 17712.83806890
0.07800000 1252055.41189044 14836.85732669
0.07900000 1242477.22424318 14909.72739024
0.08000000 1232868.84682911 17975.22863001
0.08100000 1223230.85262034 15045.74019315
0.08200000 1213564.83018690 19641.54769826
0.08300000 1203874.20554033 19719.46041222
0.08400000 1194162.00787408 27406.01936711
0.08500000 1184430.31037194 18334.98206530
0.08600000 1174681.70175618 18395.51631320
0.08700000 1164917.88120948 21527.68345564
0.08800000 1155141.30044138 21589.59191918
0.08900000 1145355.38868126 17008.52832080
0.09000000 1135561.82897741 18600.50363242
0.09100000 1125762.82739661 17089.08052275
0.09200000 1115960.14682958 15567.64477975
0.09300000 1106158.28744793 17156.51584454
0.09400000 1096355.77732917 20309.99172954
0.09500000 1086557.35123895 18775.71191192
0.09600000 1076764.23851098 17233.61244748
0.09700000 1066981.33956486 23526.93964347
0.09800000 1057207.80618050 25119.25865590
0.09900000 1047447.27204256 20425.22276527
0.10000000 1037699.11481962 22009.59926037
0.10100000 1027967.90274039 22019.07351230
0.10200000 1018255.18457035 25171.26934654
0.10300000 1008562.03804105 23600.35280034
0.10400000 998891.97272155 17305.80424155
0.10500000 989247.16168535 20447.73979409
0.10600001 979624.88628628 18867.57619766
0.10700001 970033.14841069 15714.53774374
0.10800001 960469.08553734 17274.03731633
0.10900001 950937.31481833 17259.51307628
0.11000001 941438.52763300 23512.42833435
0.11100001 931973.67735000 18788.59021982
0.11200001 922545.49606316 21892.00565219
0.11300001 913154.61139119 17176.43904895
0.11400001 903803.30237567 17149.66847006
0.11500001 894493.72804410 18677.02992102
0.11600001 885225.92473584 17089.28728179
0.11700001 876002.24903732 21707.33675345
0.11800001 866822.77108601 15472.78719263
0.11900001 857689.60565844 20069.93771773
0.12000001 848604.04768791 27723.89554390
0.12100001 839569.20776669 19973.35239368
0.12200001 830583.60295691 16856.69501615
0.12300001 821650.14806141 22924.04021097
0.12400001 812768.85724200 15239.41679133
0.12500001 803940.52269204 15194.47659485
0.12600001 795168.48809535 21207.14457686
0.12700001 786452.20161307 18119.85957909
0.12800001 777791.94187282 16555.30226300
0.12900001 769190.06812671 22498.81055312
0.13000001 760647.03609867 19430.72945301
0.13100001 752162.71587400 17871.38697158
0.13200001 743738.96304356 16321.35231338
0.13300001 735377.45987650 16259.19640438
0.13400001 727076.69795352 16195.63421047
0.13500001 718839.71723598 19063.63019991
0.13600001 710665.23871263 17525.00561297
0.13700001 702555.50344528 18905.76948918
0.13800001 694509.01772328 20272.71918332
0.13900001 686529.06096637 15858.82205620
0.14000001 678614.63866869 17223.24034167
0.14100001 670766.03121494 15716.04885258
0.14200001 662983.81044026 18487.30442609
0.14300001 655269.84357415 15569.21221768
0.14400001 647621.20641770 15494.33809441
0.14500001 640041.76703839 15418.60689528
0.14600001 632529.91571672 13947.28529951
0.14700001 625088.39396707 20815.44450110
0.14800001 617712.58937256 17947.64013097
0.14900001 610406.86908610 13734.15520243
0.15000001 603169.74585805 16394.15446595
0.15100001 596002.22037863 17665.50664557
0.15200001 588904.14544710 17569.95600849
0.15300001 581876.66503387 20162.02739485
0.15400001 574915.91093643 18713.51378409
0.15500001 568026.41542689 17279.36437275
0.15600001 561204.31234534 17181.27083332
0.15700001 554454.92969805 24967.10666267
0.15800001 547771.07578569 15677.20892893
0.15900001 541158.99877319 15585.37990031
0.16000001 534613.83425094 18075.29458922
0.16100001 528140.82460588 16683.96943685
0.16200001 521735.25837119 12756.42766936
0.16300001 515398.09352611 13946.67306921
0.16400001 509129.79218593 23941.82960783
0.16500001 502929.02438402 15027.51995806
0.16600001 496797.42389358 19911.64168974
0.16700001 490731.97534640 14839.73563513
0.16800001 484733.62103984 17203.19702298
0.16900001 478804.52688839 12209.51601216
0.17000001 472940.35696531 16983.28902057
0.17100001 467142.63797050 16873.19288027
0.17200001 461411.54904975 13170.99328960
0.17300001 455745.93336761 16652.95719168
0.17400001 450145.79222255 14179.59312466
0.17500001 444609.94879294 12911.47352272
0.17600001 439137.17015245 12825.00166002
0.17700001 433730.25935502 13896.71816609
0.17800001 428384.81118186 13802.55926820
0.17900001 423103.42892077 12566.17243249
0.18000001 417883.90080554 12480.10328706
0.18100001 412728.20995516 12394.22873041
0.18200001 407631.02860575 16784.20839569
0.18300001 402595.95357730 13333.97861237
0.18400001 397620.57820519 11033.97156645
0.18500001 392706.61889766 12052.16670334
0.18600001 387849.85057802 16318.78323403
0.18700001 383051.81737519 12962.47411239
0.18800001 378311.39467112 17160.20567304
0.18900001 373630.63041091 10648.47346982
0.19000001 369002.25915479 15857.87283644
0.19100001 364435.00170731 13644.44710862
0.19200001 359919.90394698 13545.58622509
0.19300001 355461.93741086 10343.94286743
0.19400001 351056.63959192 11295.24791261
0.19500001 346705.92159993 15289.73186507
0.19600001 342407.86469853 10118.15287999
0.19700001 338162.17078793 12052.10033643
0.19800001 333968.79881933 15950.35058541
0.19900001 329826.73993170 10884.28293214
0.20000001 325734.17302834 9820.88578095
0.20100001 321692.76065554 13646.20755196
0.20200001 317699.34274700 10641.33998826
0.20300001 313755.75088819 13441.29700335
0.20400001 309860.01300557 11433.83502033
0.20500001 306011.10747017 14183.61550166
0.20600001 302209.22674965 15013.75509459
0.20700001 298453.82235431 9311.75969761
0.20800001 294742.57912847 11088.21635095
0.20900001 291079.13339266 12836.59038942
0.21000001 287457.32082040 14556.83941448
0.21100001 283879.93557523 9027.38237805
0.21200001 280345.57750747 9852.74578728
0.21300001 276852.45537162 8886.96423756
0.21400001 273402.30007604 12344.11443202
0.21500001 269994.52162951 11372.16978868
0.21600001 266625.86835755 10414.40691042
0.21700001 263297.85697656 12053.77646228
0.21800001 260009.07640313 9395.42842005
0.21900001 256758.53542034 11014.94169034
0.22000001 253545.98923957 9245.55493477
0.22100001 250372.70960127 10838.63511113
0.22200001 247236.61461328 9097.07166485
0.22300001 244135.93934118 10663.85833467
0.22400001 241070.86873315 10576.98486581
0.22500001 238043.53019913 8876.64366088
0.22600001 235049.04301351 8803.76232239
0.22700001 232091.49860176 11906.29444131
0.22800001 229166.19967393 9446.23119727
0.22900001 226273.80741096 10148.38074231
0.23000001 223415.81231939 13934.44487335
0.23100001 220590.61164048 8444.20901295
0.23200001 217795.70864532 9134.35245258
0.23300001 215033.07840449 9057.19369075
0.23400001 212302.20375105 10477.11425063
0.23500001 209599.96865220 8903.80708946
0.23600001 206929.94355325 13241.44771425
0.23700001 204288.65075570 9481.03673001
0.23800001 201676.76173877 7953.12347534
0.23900001 199093.59851305 7167.36988548
0.24000001 196538.64859519 9236.33422761
0.24100001 194012.88222862 9859.73514124
0.24200001 191514.16806570 7678.76093181
0.24300001 189042.67253829 7610.85835641
0.24400001 186597.75280682 8228.96128804
0.24500001 184179.50241340 10194.33594082
0.24600001 181787.40000139 8082.26818639
0.24700001 179421.40195709 8009.37176226
0.24800001 177080.91100643 9259.56127457
0.24900001 174764.51464203 7209.03657003
0.25000001 172473.79188468 7143.00242883
0.25100001 170206.16867028 9007.31087216
0.25200001 167964.96516917 7011.69780271
0.25300001 165746.75736056 6946.44692962
0.25400001 163551.82626482 8758.20071084
0.25500001 161379.73291764 7436.37844467
0.25600001 159231.12268413 6752.19607688
0.25700001 157104.88312471 7903.94704397
0.25800001 155001.38627971 6623.98455607
0.25900001 152920.17408191 7156.66448565
0.26000001 150860.82620155 6496.82178777
0.26100001 148822.32297967 6433.58932682
0.26200001 146806.41757739 7528.96748170
0.26300001 144810.56744030 7454.84836457
0.26400001 142836.42036130 6813.29757363
0.26500001 140883.41603860 5621.24856593
0.26600001 138949.77517537 7790.91426275
0.26700001 137037.52088346 7161.58118026
0.26800001 135145.67152801 5453.12810420
0.26900001 133272.67104981 6477.05211952
0.27000001 131420.33270775 5876.46045511
0.27100001 129587.16175641 6344.58773984
0.27200001 127774.84333587 7848.57012333
0.27300001 125980.60858977 8284.48521292
0.27400001 124203.81338964 6660.42980822
0.27500001 122448.65352986 6590.18684486
0.27600001 120709.76792319 5517.04020403
0.27700001 118991.77340810 6450.54434174
0.27800001 117291.00778370 5399.49179887
0.27900001 115609.26589102 5341.14833695
0.28000001 113944.69680334 7204.15379635
0.28100001 112298.90985054 6175.31734495
0.28200001 110671.55141618 6107.40985396
0.28300001 109061.46557849 6039.82424960
0.28400001 107469.00544615 5053.73022030
0.28500001 105894.46196407 4997.15989661
0.28600001 104337.24974969 4491.71881433
0.28700001 102797.22049355 6217.17618972
0.28800001 101273.81772181 4829.24222665
0.28900001 99769.52096829  5207.96924106
0.29000001 98280.39015766  5576.92100348
0.29100001 96809.42487222  5088.30361214
0.29200001 95354.79412931  4609.92774039
0.29300001 93917.34156486  5384.28144678
0.29400001 92495.65866718  4502.22639874
0.29500001 91091.70519679  4853.36628263
0.29600001 89703.32548127  4395.91167330
0.29700001 88331.62786848  4343.26634789
0.29800001 86975.91331989  4681.04387647
0.29900001 85637.44856085  5009.79097797
0.30000001 84313.89235707  4187.44966215
0.30100001 83007.56865998  4888.31594980
0.30200001 81715.84274593  3713.98522863
0.30300001 80441.16684412  4401.74085809
0.30400001 79182.02062980  3622.57761531
0.30500001 77938.60925687  4292.85880110
0.30600001 76709.90458508  4238.98952806
0.30700001 75498.06171574  3836.81167804
0.30800001 74301.21224437  4821.40589080
0.30900001 73119.66092478  3740.07083337
0.31000001 71953.96084166  4027.98291862
0.31100001 70802.51749302  3644.91377311
0.31200001 69666.90484541  4579.20587229
0.31300001 68546.15362944  4519.93358433
0.31400001 67441.44829268  3823.93029925
0.31500001 66350.31101448  3774.00586919
0.31600002 65274.68616840  3103.81147427
0.31700002 64213.70132658  3062.99369830
0.31800002 63167.58503968  4836.11053962
0.31900002 62136.37116202  3579.05514840
0.32000002 61119.68034837  3237.20402293
0.32100002 60116.60043379  3774.72151997
0.32200002 59129.64135237  3151.31438509
0.32300002 58154.65132213  3391.57942570
0.32400002 57195.19300849  3067.09237031
0.32500002 56249.69233684  3575.79311117
0.32600002 55318.43324123  2713.36927897
0.32700002 54400.62343834  3479.46403988
0.32800002 53497.51388692  2904.11267887
0.32900002 52607.44032580  2864.47526138
0.33000002 51732.01090689  2825.34390947
0.33100002 50868.04047998  4053.16565738
0.33200002 50020.09550235  2498.50388866
0.33300002 49184.52870991  2710.55950556
0.33400002 48362.63833250  2673.24496042
0.33500002 47553.03538312  2396.67309681
0.33600002 46757.61979572  3072.67713039
0.33700002 45974.27000229  2330.89559950
0.33800002 45205.13272931  3218.15355140
0.33900002 44447.39744802  2493.49911492
0.34000002 43703.36943996  2682.51294326
0.34100002 42971.49086263  2645.32510278
0.34200002 42253.03035198  2608.70221748
0.34300002 41545.65382836  2143.75583907
0.34400002 40852.31188733  3805.39303253
0.34500002 40169.79245404  2501.77479252
0.34600002 39500.54094091  2878.40455469
0.34700002 38841.89218255  2027.54686796
0.34800002 38196.66213159  2199.55489302
0.34900002 37562.29549341  2760.82884952
0.35000002 36940.09136950  2333.87508326
0.35100002 36329.74530706  1918.21064306
0.35200002 35729.88745319  2648.65668235
0.35300002 35141.75043861  2239.23244401
0.35400002 34565.13423616  2024.65283378
0.35500002 33999.91750368  2904.95308911
0.35600002 33444.73954639  2328.25565380
0.35700002 32900.79621239  2120.12740835
0.35800002 32368.16360428  1917.32826191
0.35900002 31846.10784707  2235.59687675
0.36000002 31335.03057315  1696.79198591
0.36100002 30833.25896087  2009.09524905
0.36200002 30343.27390698  2147.84874524
0.36300002 29862.27749938  2445.72064305
0.36400002 29391.49983746  1770.10316156
0.36500002 28930.55439554  2382.43126732
0.36600002 28479.90622501  1881.38269434
0.36700002 28038.50291547  1857.27052110
0.36800002 27607.97421925  1986.53187905
0.36900002 27186.04274532  1508.82544384
0.37000002 26772.94980925  1638.90620021
0.37100002 26369.36999114  2648.53964737
0.37200002 25975.47085069  1598.66042923
0.37300002 25589.95132810  2153.39450627
0.37400002 25213.56460364  1701.91569137
0.37500002 24846.17276923  1681.58905268
0.37600002 24487.55071888  1661.72527050
0.37700002 24136.95980676  1779.13539164
0.37800002 23794.86529073  1758.55960262
0.37900002 23461.62681184  1604.77534995
0.38000002 23136.27589947  1718.90969938
0.38100002 22818.03024942  1438.22051475
0.38200002 22508.61566737  1422.43203449
0.38300002 22206.48347270  1662.82156121
0.38400002 21912.94585471  1392.01995137
