# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420643 510.27385026
0.00100000 1700824.73412178 765.37114853
0.00200000 1700560.40503214 918.30264780
0.00300000 1700120.05976962 1020.07207220
0.00400000 1699503.58634797 1529.55328583
0.00500000 1698711.62270858 1987.49267724
0.00600000 1697744.05286731 2139.15759370
0.00700000 1696601.59289614 2646.69859492
0.00800000 1695284.02583044 3204.08694410
0.00900000 1693792.79156346 3302.89608474
0.01000000 1692127.29314972 3071.21116968
0.01100000 1690289.16706358 3346.77269650
0.01200000 1688278.18513991 4608.99964751
0.01300000 1686095.84825941 4248.96172501
0.01400000 1683742.21039521 7576.84028267
0.01500000 1681218.96883062 4034.92570486
0.01600000 1678525.68334913 5136.28882066
0.01700000 1675664.70228714 5429.15387896
0.01800000 1672636.42521536 9057.32665010
0.01900000 1669441.83231972 5509.15829524
0.02000000 1666081.86512392 6297.78973505
0.02100000 1662559.12803727 7132.37898265
0.02200000 1658872.29749728 8012.35356093
0.02300000 1655024.59571486 8341.32434209
0.02400000 1651016.64541932 6191.31270263
0.02500000 1646850.64154770 10918.62025212
0.02600000 1642527.33849280 7982.68323019
0.02700000 1638048.33562076 8255.76398965
0.02800000 1633414.39737694 9947.49413621
0.02900000 1628628.90622020 9527.47953883
0.03000000 1623692.31950869 9060.20355931
0.03100000 1618606.45070233 11653.96698129
0.03200000 1613372.36977590 10382.05167769
0.03300000 1607994.52759392 8200.77246879
0.03400000 1602471.26284211 9254.27196991
0.03500000 1596806.81858057 11209.58438407
0.03600000 1591001.63114267 11479.07729919
0.03700000 1585059.02263004 9034.83684683
0.03800000 1578980.43984409 10160.73960063
0.03900000 1572768.40537138 15098.57739078
0.04000000 1566423.07036696 11560.20279500
0.04100000 1559948.60731838 11793.21201814
0.04200000 1553346.67383257 11020.99516214
0.04300000 1546618.83980794 10207.68481655
0.04400000 1539768.19577178 11432.77938457
0.04500000 1532797.02918873 14806.81998996
0.04600000 1525705.97968352 12907.47318815
0.04700000 1518499.41126994 12026.51589659
0.04800000 1511178.47335778 15550.02721437
0.04900000 1503746.33229088 13533.71762058
0.05000000 1496204.39767450 12590.56059272
0.05100000 1488557.00786650 15093.96876290
0.05200000 1480802.99313523 14126.86121284
0.05300000 1472948.46103292 16703.23632678
0.05400000 1464993.71563697 19337.91794821
0.05500000 1456942.86200104 12238.32061172
0.05600000 1448796.60510485 13625.93270685
0.05700000 1440560.21163281 13786.16186884
