# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 454.33789676
0.00100000 1682645.67106430 555.27308464
0.00200000 1682383.81098786 908.48728670
0.00300000 1681947.56712159 1009.16857622
0.00400000 1681336.84717872 1261.00268330
0.00500000 1680552.28081365 2571.24509142
0.00600000 1679593.73367603 1763.57349216
0.00700000 1678461.93712881 2618.40073074
0.00800000 1677156.66808771 2716.99391701
0.00900000 1675679.43519405 4272.98274241
0.01000000 1674029.47268126 4971.86774855
0.01100000 1672208.46758505 3912.96798452
0.01200000 1670216.30986559 4885.38292055
0.01300000 1668054.34020334 4203.49712271
0.01400000 1665722.73738654 4872.23922285
0.01500000 1663223.13851406 4790.08285222
0.01600000 1660555.05268427 5081.29868837
0.01700000 1657720.83257387 5371.01573848
0.01800000 1654720.88438229 5659.14567924
0.01900000 1651556.27083312 5450.13593967
0.02000000 1648227.75655444 6230.30120161
0.02100000 1644738.10055170 5427.63597790
0.02200000 1641085.95053778 7360.27082256
0.02300000 1637274.35045113 7662.44430889
0.02400000 1633303.96806238 9187.33523927
0.02500000 1629177.32274535 7624.55021867
0.02600000 1624894.55219749 6580.82323740
0.02700000 1620457.85119770 8167.10794410
0.02800000 1615867.47428875 9840.63336971
0.02900000 1611127.07883506 7975.07940640
0.03000000 1606237.12412476 8215.90326754
0.03100000 1601199.15515109 9991.48318788
0.03200000 1596014.66545980 7900.27295790
0.03300000 1590687.80259043 12980.01306752
0.03400000 1585216.81063377 10819.10523177
0.03500000 1579605.97098154 11088.83442835
0.03600000 1573855.85493307 17469.80079710
0.03700000 1567969.74454569 9831.17075297
0.03800000 1561948.82446200 9137.40104598
0.03900000 1555795.92468009 10268.25357841
0.04000000 1549511.00874755 9529.49314538
0.04100000 1543098.22513921 10693.67119604
0.04200000 1536559.18657917 16848.37226248
0.04300000 1529895.45814054 17165.42783712
0.04400000 1523110.61356568 12337.19654285
0.04500000 1516206.13603334 12554.18738969
