# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 408.21908021
0.00100000 1700825.03011697 510.24752115
0.00200000 1700561.59950783 1147.87911602
0.00300000 1700122.73680574 1428.10314979
0.00400000 1699508.35852243 1529.55758079
0.00500000 1698719.07960473 1681.73195537
0.00600000 1697754.77416327 2139.17110254
0.00700000 1696616.18604216 2646.72136022
0.00800000 1695303.09070213 2975.25704980
0.00900000 1693816.94376220 3048.87062910
0.01000000 1692157.04815753 3908.88295003
0.01100000 1690325.09860456 3955.36090295
0.01200000 1688320.95788165 4609.11641710
0.01300000 1686145.97170880 4249.08803611
0.01400000 1683800.28615826 4925.11605535
0.01500000 1681285.58072887 4438.59413077
0.01600000 1678601.38456425 5992.60721078
0.01700000 1675750.01095510 5881.88280231
0.01800000 1672731.90292909 6674.20059301
0.01900000 1669548.13661076 5509.50909942
0.02000000 1666199.41444411 6298.23407150
0.02100000 1662688.54703956 10425.05766259
0.02200000 1659014.15336141 9157.75854261
0.02300000 1655179.32301484 7150.37500090
0.02400000 1651184.76794398 8049.52611077
0.02500000 1647032.81904451 8992.79960269
0.02600000 1642723.86766514 7318.33516518
0.02700000 1638259.96438468 8944.89981523
0.02800000 1633641.36633624 11370.14443113
0.02900000 1628871.87100866 7329.92375609
0.03000000 1623951.70640119 7551.37578187
0.03100000 1618882.71395112 11655.95607678
0.03200000 1613666.08694571 8786.41224811
0.03300000 1608306.17788786 9022.59807390
0.03400000 1602801.21208924 10939.11877724
0.03500000 1597155.48098152 10349.56799468
0.03600000 1591369.52252530 13248.15188727
0.03700000 1585446.51800320 9037.04557056
0.03800000 1579387.90060608 10163.36161076
0.03900000 1573196.39824166 11327.01459189
0.04000000 1566871.87302118 9636.26246561
0.04100000 1560418.60757563 12779.82898860
0.04200000 1553838.16171906 15033.38491207
0.04300000 1547132.33042854 12253.28862577
0.04400000 1540304.18912589 12476.46451135
0.04500000 1533355.69254556 12696.18572420
0.04600000 1526287.64537906 16140.49260020
0.04700000 1519104.18071715 15312.57085378
0.04800000 1511807.07487134 13334.13902078
0.04900000 1504398.91330167 14667.89008744
0.05000000 1496881.28491206 16031.59930794
0.05100000 1489258.24985068 16262.70084595
0.05200000 1481529.21918881 14133.78940971
0.05300000 1473699.60129392 13130.66405965
0.05400000 1465770.24122143 15720.38657020
0.05500000 1457744.96973775 14694.06998042
0.05600000 1449624.77255397 18591.43857556
0.05700000 1441414.16825808 20064.48615873
0.05800000 1433112.83643491 13951.35411412
0.05900000 1424724.82407583 16669.28122024
0.06000000 1416253.81372962 15550.46760125
0.06100000 1407701.15245146 19637.43199438
0.06200000 1399070.01209911 17187.57590205
0.06300000 1390363.25582400 18686.48303197
0.06400000 1381580.68848483 18858.57727977
0.06500000 1372728.13456531 16308.01100149
0.06600000 1363807.71464407 16447.52180816
0.06700000 1354820.02690386 15201.08141326
0.06800000 1345770.02563763 13928.72041734
0.06900000 1336660.48365722 15438.42930905
0.07000000 1327491.21557364 15551.56031870
0.07100000 1318267.01047185 21355.92656991
