# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682645.62398053 555.27306910
0.00200000 1682383.63223030 832.77992432
0.00300000 1681947.15793127 1110.08516378
0.00400000 1681336.13099384 1639.30279001
0.00500000 1680551.15835268 1966.24493310
0.00600000 1679592.11602783 2116.28615235
0.00700000 1678459.72824042 2416.98210912
0.00800000 1677153.81760355 3849.06817391
0.00900000 1675675.79263171 2764.86517603
0.01000000 1674024.97239643 3590.78372084
0.01100000 1672203.03320907 4213.95182716
0.01200000 1670209.87461928 4233.98221779
0.01300000 1668046.78854700 3502.89841044
0.01400000 1665713.99718116 5246.99932373
0.01500000 1663213.08407184 5189.22505337
0.01600000 1660543.61838909 5504.70234104
0.01700000 1657707.93453465 5818.55511123
0.01800000 1654706.44172310 5659.09628534
0.01900000 1651540.21987806 6441.00714816
0.02000000 1648210.00022452 6230.23408268
0.02100000 1644718.51739129 5970.32848882
0.02200000 1641064.48260122 7926.34181108
0.02300000 1637250.91228820 5894.10355253
0.02400000 1633278.50133736 7349.75359115
0.02500000 1629149.72700962 10165.89476082
0.02600000 1624864.70339424 8554.91305466
0.02700000 1620425.76527904 10889.26164142
0.02800000 1615832.94838597 9137.53574217
0.02900000 1611090.15115950 7974.89661440
0.03000000 1606197.61951982 11203.22891111
0.03100000 1601157.09678578 9222.66530185
0.03200000 1595969.89002013 10270.06671530
0.03300000 1590640.30060126 11357.17226986
0.03400000 1585166.45979354 9154.33672769
0.03500000 1579552.76824043 9382.54387662
0.03600000 1573799.69095509 10481.50642615
0.03700000 1567910.56519379 12511.92688889
0.03800000 1561886.46357711 13705.55435218
0.03900000 1555730.45184730 10267.82145770
0.04000000 1549442.23125936 11434.88419657
0.04100000 1543026.17744891 10693.17190553
0.04200000 1536483.70603154 11892.38443641
0.04300000 1529816.65270733 19183.90171543
0.04400000 1523028.28660020 17476.75040039
0.04500000 1516120.25933430 14645.72238568
0.04600000 1509093.40978859 17022.57445374
0.04700000 1501951.99820146 11895.46037899
0.04800000 1494697.89689396 13183.23606400
0.04900000 1487333.42457939 12270.50132394
0.05000000 1479860.28392103 14717.21120892
0.05100000 1472282.47596377 12632.18423223
0.05200000 1464599.55428161 12807.92369906
0.05300000 1456816.64220706 14160.25842237
0.05400000 1448934.94707834 15539.82803210
0.05500000 1440957.97885329 16945.66662182
0.05600000 1432886.93150114 17151.65737044
0.05700000 1424726.05585577 14874.14071744
0.05800000 1416475.31323944 15042.96852900
0.05900000 1408138.51641731 13940.57196364
0.06000000 1399719.53576685 15368.92122074
0.06100000 1391219.60896890 23289.01734247
0.06200000 1382641.82415621 14372.56243393
0.06300000 1373989.17624338 21104.47473384
0.06400000 1365261.40700296 14642.42927489
0.06500000 1356464.32969092 14771.89724133
0.06600000 1347600.01447454 13543.38077914
0.06700000 1338669.13025166 13654.42576758
0.06800000 1329676.61918249 15138.36901801
