# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682645.58965221 706.71116444
0.00200000 1682383.48758361 757.07259339
0.00300000 1681946.84238237 1513.75221207
0.00400000 1681335.55261177 1639.30222609
0.00500000 1680550.25402318 1814.99434618
0.00600000 1679590.81610484 1939.92747158
0.00700000 1678457.96995433 2014.14964765
0.00800000 1677151.50808885 3622.64741042
0.00900000 1675672.83875363 3267.56217525
0.01000000 1674021.34719018 3038.34887634
0.01100000 1672198.67803918 4514.93662728
0.01200000 1670204.65679190 3582.58914589
0.01300000 1668040.69165245 4203.46272836
0.01400000 1665706.89840148 3747.84068755
0.01500000 1663204.95089569 4390.86126588
0.01600000 1660534.38307490 5081.23543936
0.01700000 1657697.52734853 5370.94022954
0.01800000 1654694.80062074 5659.05647277
0.01900000 1651527.18795477 5945.49814491
0.02000000 1648195.60793381 5191.81639985
0.02100000 1644702.64632740 10855.03795791
0.02200000 1641047.06018828 6793.93513784
0.02300000 1637231.84378586 9430.45584947
0.02400000 1633257.81420766 10412.01904034
0.02500000 1629127.15190723 9530.39427392
0.02600000 1624840.43691315 7238.66447753
0.02700000 1620399.48720795 8166.81378958
0.02800000 1615804.81159413 7731.62637805
0.02900000 1611059.93995592 9424.70108147
0.03000000 1606165.31166989 13443.60427662
0.03100000 1601122.66575473 12296.62263880
0.03200000 1595933.17206452 9479.84347869
0.03300000 1590601.14397232 12168.09931234
0.03400000 1585124.92029917 9154.09683710
0.03500000 1579508.80225508 10235.21751126
0.03600000 1573753.18636409 9607.76364676
0.03700000 1567861.36118620 10724.17220648
0.03800000 1561834.75046970 12791.42719833
0.03900000 1555675.87691026 10267.46126309
0.04000000 1549384.92023649 11434.46124121
0.04100000 1542965.95070364 9720.68594015
0.04200000 1536420.60219616 9909.91334391
0.04300000 1529750.57775232 13125.26056636
0.04400000 1522958.89340596 13363.96491029
0.04500000 1516047.76069069 17783.24105920
0.04600000 1509017.83947685 15957.86439430
0.04700000 1501873.30197305 12976.18593254
0.04800000 1494615.68173381 17576.68123500
0.04900000 1487247.80128870 13385.23083465
0.05000000 1479771.13111842 14716.32458425
0.05100000 1472189.93260194 12631.39021015
0.05200000 1464503.19285333 13971.36111090
0.05300000 1456716.82860884 12979.34754797
0.05400000 1448831.27641630 11952.85858784
0.05500000 1440850.54730374 12103.14516195
0.05600000 1432775.34887994 14700.27576548
0.05700000 1424610.67717329 16112.34751093
0.05800000 1416355.90677792 20055.60057642
0.05900000 1408015.19891974 13939.35112035
0.06000000 1399591.99840110 15367.52086040
0.06100000 1391087.84287399 14230.82929763
0.06200000 1382505.78609179 16984.08437603
0.06300000 1373848.83952826 17145.63431896
0.06400000 1365116.54486281 19964.83040231
0.06500000 1356315.14198998 18798.52874733
0.06600000 1347446.40308600 14896.02068308
0.06700000 1338510.96704728 19113.93750395
0.06800000 1329513.55364435 20640.69888650
0.06900000 1320457.40870080 15251.28378454
0.07000000 1311342.36118370 13965.79680060
0.07100000 1302172.59747745 18282.50412489
0.07200000 1292950.67557007 18405.15372896
0.07300000 1283679.51361625 15673.72759566
0.07400000 1274362.19070184 18637.54791245
0.07500000 1264999.05998974 15863.08895581
0.07600000 1255594.00262130 21753.16711522
0.07700000 1246150.46305249 16037.95721148
0.07800000 1236669.64391015 16119.98956434
0.07900000 1227153.65822424 22088.76688408
0.08000000 1217607.93090838 16273.33075999
0.08100000 1208032.91071106 22288.20824834
0.08200000 1198429.86900999 16412.49782625
0.08300000 1188802.86362675 23966.26685550
0.08400000 1179154.47478442 21047.90836286
0.08500000 1169486.74303072 15086.37969333
0.08600000 1159802.41341600 16648.96442628
0.08700000 1150103.22382628 18217.63592087
0.08800000 1140391.34056644 16746.64762270
0.08900000 1130670.39680302 16790.45618117
0.09000000 1120942.08377933 19891.11821106
0.09100000 1111208.37907029 18401.61162193
0.09200000 1101471.36497450 18438.63151604
0.09300000 1091735.13885728 16932.81279939
0.09400000 1081998.56987208 18502.17641437
0.09500000 1072266.02702974 15440.63151498
0.09600000 1062539.03024580 15459.94361681
0.09700000 1052822.49266633 18571.78964375
0.09800000 1043115.02570867 15490.25886009
0.09900000 1033421.00404244 17051.44736850
0.10000000 1023739.43463723 17060.61848054
0.10100000 1014074.63718457 17066.87694650
0.10200000 1004428.25202534 15518.41722372
0.10300000 994802.06572207 17070.80425081
0.10400000 985198.37610114 15516.87515359
0.10500000 975620.42636918 18614.83861094
0.10600001 966064.85299056 18606.40994410
0.10700001 956539.70150025 18595.13267221
0.10800001 947042.28362634 15484.14206600
0.10900001 937576.95622470 17017.02255640
0.11000001 928144.67252005 32452.58000219
0.11100001 918746.21690481 18521.92460469
0.11200001 909384.77409949 26203.92349928
0.11300001 900060.11232277 23086.54296801
0.11400001 890775.16477520 19975.63401063
0.11500001 881531.31359136 18406.37469451
0.11600001 872329.79398388 16840.32746589
0.11700001 863172.02349659 16805.96008895
0.11800001 854058.52952020 32014.38548689
0.11900001 844991.04118297 22814.75918655
0.12000001 835970.83595473 15172.87138729
0.12100001 827001.03732937 16647.53166567
0.12200001 818080.89243894 16602.95249423
0.12300001 809212.45701819 18061.62289161
0.12400001 800395.90687567 21010.39354544
0.12500001 791632.20389102 17954.21923026
0.12600001 782924.94930252 16406.19308575
0.12700001 774272.59077419 14866.03444345
0.12800001 765676.49381787 14815.84085364
0.12900001 757138.38746408 14764.19925142
0.13000001 748659.06226662 19124.49664703
0.13100001 740238.09126851 17588.05787760
0.13200001 731877.30173122 20441.33400096
0.13300001 723578.62784017 18907.11043680
0.13400001 715340.65048507 26074.16793946
0.13500001 707165.90098315 15868.80356625
0.13600001 699053.52721503 18675.21586010
0.13700001 691005.66660410 21455.72695976
0.13800001 683020.78324887 15665.08240251
0.13900001 675102.04116981 17012.57223976
0.14000001 667248.32666623 16934.76332944
0.14100001 659460.38935489 15451.15765131
0.14200001 651738.56358552 15377.77213310
0.14300001 644084.64705812 15303.45193593
0.14400001 636495.46894855 19381.28794370
0.14500001 628975.58612909 16529.47918320
0.14600001 621522.93493869 16445.49763428
0.14700001 614140.33560575 13633.91609365
0.14800001 606822.87327599 17631.23941485
0.14900001 599575.41628822 18886.62650417
0.15000001 592396.22501621 16101.33015565
0.15100001 585286.10942783 18682.33349446
0.15200001 578245.11816731 13270.72608815
0.15300001 571274.40475537 15835.72724709
0.15400001 564370.24462543 14433.76968744
0.15500001 557536.96327102 14351.00211186
