# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097187 328.13292544
0.00100000 1682646.07998456 605.75260318
0.00200000 1682385.42577992 1362.73223803
0.00300000 1681951.21924171 1311.92199774
0.00400000 1681343.32388927 1513.20904900
0.00500000 1680562.39899791 1663.75684086
0.00600000 1679608.28620675 2292.66540401
0.00700000 1678481.73072625 3222.68505693
0.00800000 1677182.53619006 2943.45547529
0.00900000 1675712.09971806 3770.35238554
0.01000000 1674069.77574036 3314.65829909
0.01100000 1672257.24618061 3612.07580902
0.01200000 1670274.25671885 4234.14542642
0.01300000 1668122.30696718 5254.58549870
0.01400000 1665801.43692173 4122.85873915
0.01500000 1663313.38415868 5189.53798966
0.01600000 1660657.57380932 5081.61240302
0.01700000 1657836.42210846 5371.39024858
0.01800000 1654850.32603174 5659.58836970
0.01900000 1651700.27677307 6441.63137008
0.02000000 1648387.11361415 6750.14553560
0.02100000 1644913.42266083 5971.03599498
0.02200000 1641277.96806123 8493.61387060
0.02300000 1637483.92536737 5894.94239965
0.02400000 1633531.67424109 6125.74405772
0.02500000 1629423.87754633 7625.70409519
0.02600000 1625160.68306456 8556.47138769
0.02700000 1620744.21131730 9529.97639903
0.02800000 1616174.83115566 7030.36083794
0.02900000 1611455.94674518 7976.70730263
0.03000000 1606588.11497074 8964.76209360
0.03100000 1601573.04945063 9993.81628842
0.03200000 1596412.04326085 11063.13596935
0.03300000 1591109.14196261 8926.12269791
0.03400000 1585662.86067866 12487.09560400
0.03500000 1580077.30242204 12798.62674063
0.03600000 1574353.04687221 9611.42579533
0.03700000 1568493.29006035 9834.45338350
0.03800000 1562499.30604716 11882.80777242
0.03900000 1556373.96027026 10272.06861348
0.04000000 1550117.03834525 11439.86427310
0.04100000 1543732.77991188 13615.72375014
0.04200000 1537222.80157437 12889.61378919
0.04300000 1530588.69176608 11112.07441802
0.04400000 1523833.58325967 15428.81574705
0.04500000 1516959.55157652 11513.72353145
0.04600000 1509967.36518859 11709.79746139
0.04700000 1502861.05347212 16230.90013236
0.04800000 1495642.23782751 10992.97095951
0.04900000 1488313.59749437 13394.82300094
0.05000000 1480876.82724322 16993.06238392
0.05100000 1473335.84502297 16088.82817713
0.05200000 1465689.91299991 13982.68242163
0.05300000 1457944.70863149 17714.02903566
0.05400000 1450100.80593627 15552.33186893
0.05500000 1442162.05255254 16959.82652918
0.05600000 1434129.31109865 14714.16741850
0.05700000 1426007.50202934 16128.14560079
0.05800000 1417795.92016416 15056.99337519
0.05900000 1409498.64030605 22833.87903943
0.06000000 1401119.27652980 15384.29037503
0.06100000 1392659.24296499 14246.90472131
0.06200000 1384121.39532215 18311.92691608
0.06300000 1375509.21354238 21127.82250785
0.06400000 1366821.66133352 14659.16300336
0.06500000 1358065.56453919 13444.84971786
0.06600000 1349241.85198879 16271.85749632
0.06700000 1340352.06646198 16405.91006127
0.06800000 1331400.24153053 13779.99314487
0.06900000 1322390.12577926 18050.62606200
0.07000000 1313320.85272859 15385.55451020
0.07100000 1304197.15775234 19719.46194883
0.07200000 1295021.21720372 14180.48299269
0.07300000 1285796.39947591 17126.80884351
0.07400000 1276525.14144580 21541.36277142
0.07500000 1267208.57612523 15890.79628945
0.07600000 1257849.54548133 17433.79551768
0.07700000 1248452.33456793 23371.02879894
0.07800000 1239017.82885534 16150.59815653
0.07900000 1229548.08853116 19180.95108074
0.08000000 1220048.34296730 14823.58806244
0.08100000 1210519.27399870 22334.08165315
0.08200000 1200962.50857485 16447.18232672
0.08300000 1191380.99823345 16512.54141048
0.08400000 1181778.42816983 18081.21079971
0.08500000 1172156.29028572 15120.81685453
0.08600000 1162517.22237805 16687.93551076
0.08700000 1152863.05060737 16739.57228087
0.08800000 1143196.29006773 18314.00542698
0.08900000 1133519.85370340 18363.02249250
0.09000000 1123836.09235891 16874.39971945
0.09100000 1114146.47380028 19987.78867903
0.09200000 1104453.37220991 20029.26284614
0.09300000 1094760.74907405 16979.74001605
0.09400000 1085067.43142567 18554.65394940
0.09500000 1075377.92870794 23228.16435188
