# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682645.74636799 555.27310949
0.00200000 1682384.08807862 1135.60929541
0.00300000 1681948.21402580 1009.16896437
0.00400000 1681337.97358722 1387.10388092
0.00500000 1680554.03816283 2117.49817190
0.00600000 1679596.25353015 2469.00659321
0.00700000 1678465.37432464 2215.57438619
0.00800000 1677161.16060846 2264.16766241
0.00900000 1675685.07241872 3016.23325929
0.01000000 1674036.43623609 3038.37626296
0.01100000 1672216.95142362 3310.98970798
0.01200000 1670226.31972235 4234.02390613
0.01300000 1668066.10738243 4553.82067400
0.01400000 1665736.33448059 4497.48830248
0.01500000 1663238.71600993 3991.77309617
0.01600000 1660572.73065590 6351.69097870
0.01700000 1657740.79738114 5818.67045983
0.01800000 1654743.23788102 7074.02766026
0.01900000 1651581.08826064 6936.64088369
0.02000000 1648255.25688006 6749.60558225
0.02100000 1644768.30349407 6513.28277714
0.02200000 1641118.90032876 7360.41860238
0.02300000 1637310.37807109 5894.31762936
0.02400000 1633343.10579044 7962.54800380
0.02500000 1629219.61081409 6989.35244960
0.02600000 1624940.18832343 7897.20967646
0.02700000 1620506.85038210 8167.35490000
0.02800000 1615920.09993998 9840.95385994
0.02900000 1611183.28228614 10875.48765477
0.03000000 1606297.01531955 9710.06590393
0.03100000 1601262.99733085 10760.48783719
0.03200000 1596082.35292176 7900.60801085
0.03300000 1590759.43045234 8112.87346931
0.03400000 1585292.46180960 11651.90013192
0.03500000 1579685.84763366 10236.36476536
0.03600000 1573940.02985009 13103.05135404
0.03700000 1568058.21267324 11619.31189327
0.03800000 1562041.79712599 10051.73942970
0.03900000 1555893.26597935 9335.36002820
0.04000000 1549612.94160246 9530.12003247
0.04100000 1543204.78972582 11666.62875127
0.04200000 1536670.51330283 11893.83032475
0.04300000 1530011.59997891 10098.07702859
0.04400000 1523231.33608048 10281.81199605
0.04500000 1516331.69575750 14647.76486162
0.04600000 1509313.54661673 12768.79319796
0.04700000 1502180.91377798 12978.84369866
0.04800000 1494935.39083244 17580.44101417
0.04900000 1487579.72565255 12272.53330789
0.05000000 1480115.46897570 15852.03741090
0.05100000 1472546.75334080 11485.86521112
0.05200000 1464872.83559054 12810.31354422
0.05300000 1457099.13144768 14163.00421792
0.05400000 1449226.60696251 16738.56809100
0.05500000 1441258.99581138 18159.86419437
0.05600000 1433196.91698454 15929.98447564
0.05700000 1425045.72093917 14877.47802106
0.05800000 1416804.32348031 20061.95015722
0.05900000 1408477.15301103 17746.81295682
0.06000000 1400067.66944048 15372.74372865
0.06100000 1391577.25118257 14235.83594486
0.06200000 1383008.96152329 20911.09647569
0.06300000 1374365.85370616 14513.30409371
0.06400000 1365647.50799636 13315.06382567
0.06500000 1356860.21390708 16119.50009525
0.06600000 1348005.32301276 17611.69036919
0.06700000 1339084.30957305 15024.52665654
0.06800000 1330101.02223377 13766.54622452
0.06900000 1321059.41277963 22193.79917379
0.07000000 1311958.44880223 15369.59394745
0.07100000 1302803.14987421 19698.38454873
0.07200000 1293595.38449948 15581.35713623
0.07300000 1284338.61213198 15681.77518891
0.07400000 1275035.58449842 15778.56609762
0.07500000 1265687.12053607 17314.60062051
0.07600000 1256296.29223452 21765.33428333
0.07700000 1246867.26776454 17506.01726025
0.07800000 1237400.96654485 14663.20214121
0.07900000 1227899.31612908 17681.75098160
0.08000000 1218367.89166383 14803.17057815
0.08100000 1208807.11872946 16355.16108376
0.08200000 1199218.54726255 17916.32593683
0.08300000 1189605.68935646 16487.93562829
0.08400000 1179971.38982003 25575.88107485
0.08500000 1170318.06623274 15097.10376314
0.08600000 1160647.68000771 19690.38881582
0.08700000 1150962.57387828 21269.78936405
0.08800000 1141264.79059854 18283.06280403
0.08900000 1131557.67206569 18331.23514848
0.09000000 1121843.26212448 24501.05799575
0.09100000 1112123.20701854 18416.76117347
0.09200000 1102399.82266566 16916.32607365
0.09300000 1092677.26776785 16947.42521948
0.09400000 1082953.94861442 20061.72284093
0.09500000 1073234.90755359 20090.95841373
0.09600000 1063521.28987717 17021.65904463
0.09700000 1053817.87188175 15491.12344494
0.09800000 1044123.49444045 21707.32847005
0.09900000 1034442.22762428 21723.28780159
0.10000000 1024773.50422844 17077.85125109
0.10100000 1015121.32713474 18637.62844275
0.10200000 1005487.75371807 26409.13709359
0.10300000 995873.57908231 17089.19142094
0.10400000 986282.10580849 17087.33828701
0.10500000 976716.11223294 23294.68037276
0.10600001 967172.60622345 15523.12106030
0.10700001 957659.14340803 17065.48673859
0.10800001 948173.32712395 17052.89809086
0.10900001 938719.64166289 20135.53726136
0.11000001 929298.49047728 17020.10265422
0.11100001 919911.16714722 16999.95916913
0.11200001 910560.59802201 15434.00286306
0.11300001 901246.50766008 21575.84240919
0.11400001 891972.01012003 15386.51789904
0.11500001 882738.81326448 19967.55289627
0.11600001 873547.23594488 15330.75471278
0.11700001 864399.42375276 16829.85757307
0.11800001 855295.57996710 15267.02682146
0.11900001 846237.56498390 16755.50457589
0.12000001 837226.82109137 15195.66751860
0.12100001 828266.33829613 15157.27470485
0.12200001 819354.80140946 25699.06455692
0.12300001 810495.16680137 19597.77405659
0.12400001 801687.11543041 21044.28777160
0.12500001 792931.82375698 25476.90069780
0.12600001 784232.44170457 20915.48020587
0.12700001 775587.86593874 17869.54527336
0.12800001 766999.45338666 14841.44012250
0.12900001 758468.74140044 16269.15526984
0.13000001 749996.46156577 16211.17428086
0.13100001 741582.54956696 16151.66869092
0.13200001 733228.47960169 16090.69974338
0.13300001 724936.41948906 16028.34499053
0.13400001 716704.44020072 17415.91871796
0.13500001 708535.88630932 17344.95931464
0.13600001 700429.21853110 18711.96745534
0.13700001 692386.75597649 18632.12848189
0.13800001 684407.03684007 21404.83108653
0.13900001 676493.57803341 18468.27555124
0.14000001 668644.61763795 26869.48522696
0.14100001 660861.44303911 23929.79398105
0.14200001 653143.74490766 15410.92738796
0.14300001 645494.15172960 15336.94176850
0.14400001 637908.87199334 16649.42234438
0.14500001 630392.54410132 13805.59736706
0.14600001 622943.22424111 23351.02786225
0.14700001 615563.65962172 24597.92499893
0.14800001 608249.09182368 21750.98854980
0.14900001 601004.35894518 18931.63819998
0.15000001 593827.45709593 21520.30806055
0.15100001 586719.65575248 17390.37141707
0.15200001 579680.74019436 19955.51042283
0.15300001 572711.60930966 15875.56655922
0.15400001 565808.99078323 14470.56562216
0.15500001 558976.98803592 14388.06835106
0.15600001 552211.50119312 15605.49776022
0.15700001 545518.36756809 15514.54310587
0.15800001 538890.35428921 14137.78911206
0.15900001 532333.38753907 15331.20228477
0.16000001 525842.69424820 15238.92199863
0.16100001 519423.53396290 16408.59021244
0.16200001 513071.43128375 13799.05679578
0.16300001 506787.02152754 13713.65744993
0.16400001 500570.92536137 18583.69648137
0.16500001 494421.98302192 14773.32955016
0.16600001 488341.47214273 12232.95445473
0.16700001 482326.56612203 14585.55604818
0.16800001 476378.07849133 12076.18485995
0.16900001 470498.34864143 13197.47930255
0.17000001 464683.13081711 15494.85972876
0.17100001 458933.84515819 13024.54314063
0.17200001 453250.42119394 14114.21878249
0.17300001 447632.14710332 15188.15946847
0.17400001 442078.59112680 13925.47627814
0.17500001 436588.99338747 12678.54496675
0.17600001 431161.91224440 12592.08424181
0.17700001 425799.99112559 15916.40442002
0.17800001 420499.40504788 11290.40955881
0.17900001 415261.95610906 12333.28067898
0.18000001 410086.20081671 15587.37722931
0.18100001 404973.39108767 12161.35150882
0.18200001 399918.93608881 10977.77531421
0.18300001 394925.82216836 16349.92981013
0.18400001 389992.12841745 10822.28207484
0.18500001 385119.37588740 11819.31420435
0.18600001 380303.21318489 16001.25845071
0.18700001 375545.31488679 15885.56757022
0.18800001 370844.87008570 16821.52410184
0.18900001 366203.26863610 11480.47301416
0.19000001 361613.93075961 14504.33544808
0.19100001 357085.02122755 12340.85891673
0.19200001 352607.91686528 11228.79964315
0.19300001 348187.66386812 11145.48764707
0.19400001 343819.53719564 16090.75510111
0.19500001 339505.37907212 14972.18792459
0.19600001 335243.88101273 13869.04001290
0.19700001 331034.18551061 13764.40208400
0.19800001 326876.41871629 12684.44002774
0.19900001 322769.65185540 10651.39901461
0.20000001 318711.71098453 13452.82195645
0.20100001 314705.06523035 10489.12031987
0.20200001 310745.58882403 10408.42398960
0.20300001 306836.22176079 12205.94547855
0.20400001 302973.58900898 11179.72596285
0.20500001 299158.04056721 10168.38227951
0.20600001 295389.00602830 12840.56069900
0.20700001 291666.13990573 10009.98239473
0.20800001 287987.16176699 10834.07753780
0.20900001 284355.37365197 8957.19469345
0.21000001 280765.41680112 10663.47103419
0.21100001 277219.57118943 10578.69933668
0.21200001 273716.13159968 10494.27698164
0.21300001 270254.11130809 12145.22033636
0.21400001 266834.79602937 12047.59161029
0.21500001 263457.20304865 11096.81791704
0.21600001 260118.80319706 8466.86744437
0.21700001 256820.58932674 10077.64040165
0.21800001 253561.77601128 12494.25710369
0.21900001 250340.65965513 13217.98745476
0.22000001 247157.47211711 11470.57882331
0.22100001 244013.43293106 9750.77724098
0.22200001 240906.30170479 11281.64264228
0.22300001 237834.34417417 8790.35777633
0.22400001 234797.74584273 8716.86672660
0.22500001 231799.22304738 9429.59283947
0.22600001 228833.01059788 8570.94081725
0.22700001 225903.65874818 8498.49604399
0.22800001 223006.43725574 8426.29863019
0.22900001 220142.01290724 7594.89980447
0.23000001 217311.65622604 8282.83416877
0.23100001 214514.28545935 9704.62673314
0.23200001 211747.06139798 8880.67217503
0.23300001 209011.96400207 9537.21636847
0.23400001 206308.61875391 8726.85498603
0.23500001 203633.86051834 7929.50290362
0.23600001 200991.00152431 7859.75348635
0.23700001 198376.94503053 9206.67445432
0.23800001 195792.27783563 8422.98419089
0.23900001 193236.12416839 8347.80095892
0.24000001 190708.26395001 11719.97691541
0.24100001 188209.59929036 9564.81228836
0.24200001 185737.79072356 7447.15707133
0.24300001 183293.43285712 8050.24795188
0.24400001 180875.47955186 7311.89160676
0.24500001 178483.92762467 7903.26868908
0.24600001 176118.98752315 7177.72967605
0.24700001 173779.93502027 6464.61388857
0.24800001 171466.19625505 7685.11527971
0.24900001 169176.71802058 8881.77811625
0.25000001 166913.02220909 8169.55825851
0.25100001 164672.60183674 6224.62464391
0.25200001 162457.99994115 7398.33766733
0.25300001 160266.99864817 7327.40752486
0.25400001 158099.08186315 10280.39328453
0.25500001 155954.10394198 8982.95681206
0.25600001 153832.66675669 6523.27454245
0.25700001 151733.37664892 7046.49834497
0.25800001 149657.30424379 8139.86116295
0.25900001 147603.15545857 6332.17566878
0.26000001 145571.08214437 6838.92976273
0.26100001 143560.04025212 6770.29181863
0.26200001 141571.58467494 6143.49920766
0.26300001 139603.34144400 6633.95109932
0.26400001 137656.59954001 7113.40511782
0.26500001 135731.08737663 5415.67064259
0.26600001 133825.19838546 5359.69944896
0.26700001 131940.81482489 10608.04201390
0.26800001 130076.85473500 8397.76213908
0.26900001 128231.61073993 5193.38048073
0.27000001 126407.27331064 5138.45590324
