# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682645.58192141 504.79368656
0.00200000 1682383.43698741 984.19434180
0.00300000 1681946.74465223 1211.00169929
0.00400000 1681335.36282263 1513.20188404
0.00500000 1680549.97160821 1663.74453775
0.00600000 1679590.38168673 2468.99796160
0.00700000 1678457.38892383 2014.14895042
0.00800000 1677150.76306155 3849.06116373
0.00900000 1675671.87220823 3518.91108206
0.01000000 1674020.15303223 3590.77338330
0.01100000 1672197.26881786 3009.95521492
0.01200000 1670202.95364917 3908.27508289
0.01300000 1668038.68651246 4553.74581502
0.01400000 1665704.59236685 4122.61904887
0.01500000 1663202.25418086 4390.85414656
0.01600000 1660531.28263995 5504.66144803
0.01700000 1657694.05846148 5370.92899035
0.01800000 1654690.92807576 5659.04322866
0.01900000 1651522.84036759 6440.93936807
0.02000000 1648190.80334604 6749.34164501
0.02100000 1644697.30098522 7055.75174112
0.02200000 1641041.09788071 6227.75124940
0.02300000 1637225.39366175 7662.21519111
0.02400000 1633250.77462590 7962.09788935
0.02500000 1629119.53754939 7624.27978394
0.02600000 1624832.10221435 6580.57031495
0.02700000 1620390.44776186 7486.20421154
0.02800000 1615795.13221695 7731.58006223
0.02900000 1611049.46046775 7974.69519547
0.03000000 1606154.02716398 17177.81811010
0.03100000 1601110.67740599 10759.46424725
0.03200000 1595920.33187914 8689.78660732
0.03300000 1590587.35392655 10545.59464269
0.03400000 1585110.19640250 8321.82891509
0.03500000 1579493.10536749 12793.89474427
0.03600000 1573736.56057639 8734.23831484
0.03700000 1567843.73665827 8936.70971225
0.03800000 1561816.04712838 10050.28672839
0.03900000 1555655.98733048 9333.93635624
0.04000000 1549363.97826281 15245.74225258
0.04100000 1542943.82714933 14580.81984262
0.04200000 1536397.35990653 12882.69246048
0.04300000 1529726.09314822 12115.43122011
0.04400000 1522933.06178226 11307.77850889
0.04500000 1516020.56896230 15690.81361783
0.04600000 1508989.30527508 13829.88762575
0.04700000 1501843.31912960 12975.92688076
0.04800000 1494584.22161507 12083.71399399
0.04900000 1487214.88871396 12269.52340301
0.05000000 1479736.63582869 11319.98579122
0.05100000 1472153.82366471 12631.08039545
0.05200000 1464465.60932520 15135.25277770
0.05300000 1456677.47681855 14158.90573473
0.05400000 1448790.21410605 15538.27577090
0.05500000 1440807.82737264 13313.06494597
0.05600000 1432730.49158378 15924.80015707
0.05700000 1424564.18329295 13633.07987049
0.05800000 1416307.50118168 15041.18636486
0.05900000 1407964.77465933 16473.18863291
0.06000000 1399539.60237277 12805.78795998
0.06100000 1391033.49292400 16817.59571536
0.06200000 1382449.17088761 13064.14527555
0.06300000 1373790.02372118 13188.38484435
0.06400000 1365055.51671212 13309.29191038
0.06500000 1356251.82810468 16112.27247158
0.06600000 1347380.64279927 18957.64653119
0.06700000 1338443.04243899 15017.33163896
0.06800000 1329443.05652981 17887.65716291
0.06900000 1320384.63756020 16636.84721218
0.07000000 1311266.92760637 19550.99080615
0.07100000 1302094.69482037 14062.62336272
0.07200000 1292870.01666895 15572.62008030
0.07300000 1283596.01238448 17097.49968607
0.07400000 1274275.79646324 14335.60338204
0.07500000 1264910.12263733 21629.96411095
0.07600000 1255502.06484050 18851.36438734
0.07700000 1246055.61666786 16036.73653845
0.07800000 1236572.12352228 16118.71838602
0.07900000 1227052.79970724 20614.48800198
0.08000000 1217503.98648936 16271.94154276
0.08100000 1207925.78626542 22286.23180223
0.08200000 1198319.58285186 14919.07950659
0.08300000 1188689.17059703 19470.72952818
0.08400000 1179037.54851993 19542.54828402
0.08500000 1169366.50899879 16593.31154167
0.08600000 1159678.48231174 16647.18539520
0.08700000 1149975.98947359 21251.55728340
0.08800000 1140260.49348468 16744.72613322
0.08900000 1130535.85027700 19840.90510428
0.09000000 1120803.92060137 26008.25619931
0.09100000 1111066.41834713 16865.98902289
0.09200000 1101325.57202609 16899.84169681
0.09300000 1091585.61573210 21547.90106713
0.09400000 1081844.93699681 24666.06572277
0.09500000 1072108.54340818 18526.03650087
0.09600000 1062377.64943193 20094.87418362
0.09700000 1052657.10574003 18568.87221823
0.09800000 1042945.38260422 21682.83552382
0.09900000 1033247.16211860 20148.32060874
0.10000000 1023561.29468922 20159.04064693
0.10100000 1013892.20327853 17063.80658372
0.10200000 1004241.70829557 18618.64214755
0.10300000 994611.05472808 21722.30645709
0.10400000 985002.63132701 20167.92982522
0.10500000 975420.29412254 17060.10174687
0.10600001 965860.24767916 17052.26347515
0.10700001 956330.63869724 17041.81278353
0.10800001 946828.30489885 17028.70786501
0.10900001 937358.64557919 27839.55308399
0.11000001 927921.50872710 20084.86200178
0.11100001 918518.30690420 16974.21911062
0.11200001 909152.07239459 15410.12835255
0.11300001 899822.38342850 21541.74887348
0.11400001 890532.58983451 23042.53184691
0.11500001 881283.82552095 18401.20714335
0.11600001 872077.34668830 16835.45397062
0.11700001 862914.62785499 19855.66652204
0.11800001 853795.95150927 16764.28429745
0.11900001 844723.40845356 21287.03089568
0.12000001 835698.16299983 19718.29908481
0.12100001 826723.19624529 15129.03520399
0.12200001 817797.74882720 18106.04301203
0.12300001 808924.07284543 15045.98846381
0.12400001 800102.29806197 18002.30255462
0.12500001 791333.55410850 23929.92780383
0.12600001 782620.93496775 20872.50131917
0.12700001 773963.09159404 16346.10126480
0.12800001 765361.70832836 17771.69970495
0.12900001 756818.36184993 17709.55050198
0.13000001 748333.55498880 17645.70605836
0.13100001 739907.29123880 17580.19806852
0.13200001 731541.13925270 14594.24641607
0.13300001 723237.05030341 20351.89155499
0.13400001 714993.52190706 21717.92925183
0.13500001 706813.63158280 14418.99876412
0.13600001 698695.64934484 15794.01589814
0.13700001 690642.32608663 18585.18587134
0.13800001 682651.86711047 21349.93815065
0.13900001 674727.83762889 17003.14231009
0.14000001 666868.63448361 22566.83565519
0.14100001 659075.39495807 22461.29051951
0.14200001 651348.01147365 19559.98170711
0.14300001 643688.84750137 19465.15166657
0.14400001 636094.04442718 15218.55073078
0.14500001 628568.84772396 15142.22425596
0.14600001 621110.84257734 21912.79155985
0.14700001 613722.83158092 16349.57700463
0.14800001 606399.91530563 14908.34262114
0.14900001 599147.24891021 14828.89511017
0.15000001 591962.61578275 16089.54465613
0.15100001 584847.19041643 18668.32319896
0.15200001 577801.18599892 19890.80676660
0.15300001 570825.11885012 14504.66695444
0.15400001 563915.83303622 17044.35685786
0.15500001 557077.34263638 15642.73251946
0.15600001 550305.65406946 18143.57827095
0.15700001 543606.81518815 18036.87497923
0.15800001 536973.13497560 17929.53382309
0.15900001 530410.83302650 14002.84665284
0.16000001 523915.07305630 21509.33433962
0.16100001 517491.15166717 13832.53913702
0.16200001 511134.37688518 14996.68332575
0.16300001 504845.73425714 14903.04677881
0.16400001 498625.76731335 16043.28482070
