# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 353.37391970
0.00100000 1682645.71831027 656.23184573
0.00200000 1682383.97880913 908.48737732
0.00300000 1681947.96803787 1311.91946180
0.00400000 1681337.54404961 1639.30416774
0.00500000 1680553.36191141 1663.74789415
0.00600000 1679595.28021388 1939.93262763
0.00700000 1678464.04372243 2618.40401703
0.00800000 1677159.43438782 2943.41493162
0.00900000 1675682.85906403 2513.52439604
0.01000000 1674033.70741104 3314.58688380
0.01100000 1672213.67321377 3611.98169141
0.01200000 1670222.43344120 4234.01405441
0.01300000 1668061.55815598 4904.10119727
0.01400000 1665731.04133658 4122.68451007
0.01500000 1663232.64279645 4790.11022455
0.01600000 1660565.81737903 6351.66453542
0.01700000 1657733.00179960 5371.05516677
0.01800000 1654734.53612776 5659.19236821
0.01900000 1651571.41707470 5450.18592227
0.02000000 1648244.56167384 6749.56178538
0.02100000 1644756.46457914 8141.54486879
0.02200000 1641105.96013660 6794.17898364
0.02300000 1637296.24265443 8251.97343859
0.02400000 1633327.75153946 8574.97108658
0.02500000 1629202.96478196 8895.44859397
0.02600000 1624922.22624760 7239.02884903
0.02700000 1620487.47897837 9528.46681281
0.02800000 1615899.34734311 8434.99497996
0.02900000 1611161.10361974 7250.22529918
0.03000000 1606273.23372402 8963.00505617
0.03100000 1601237.68222047 10760.31771964
0.03200000 1596055.46920249 9480.56992372
0.03300000 1590730.84370257 9735.27321226
0.03400000 1585262.24921109 8322.62719237
0.03500000 1579653.88639428 10236.15765652
0.03600000 1573906.30534010 9608.69843816
0.03700000 1568022.60956226 11619.04807421
0.03800000 1562004.34076036 10965.27097961
0.03900000 1555853.99408539 11202.14927619
0.04000000 1549571.67244774 9529.86622716
0.04100000 1543161.66459010 12638.49461900
0.04200000 1536625.31365606 15857.97397263
0.04300000 1529964.43963606 11107.54234735
0.04400000 1523182.01502152 11309.62698678
0.04500000 1516280.33036815 11508.56824224
0.04600000 1509260.01611096 12768.34032986
0.04700000 1502125.28336700 14059.89330621
0.04800000 1494877.50252916 13184.82018577
0.04900000 1487519.56385187 15618.95614747
0.05000000 1480053.08730256 16983.60996766
0.05100000 1472482.15671789 16079.50590041
0.05200000 1464805.81058392 17467.81010524
0.05300000 1457029.97291349 12982.13766386
0.05400000 1449155.05739898 19128.84764972
0.05500000 1441184.88166635 14527.14428488
0.05600000 1433120.51238862 14703.81714325
0.05700000 1424966.79698867 13636.93288373
0.05800000 1416722.98825742 17553.19864411
0.05900000 1408393.38945811 17745.75753600
0.06000000 1399981.40098100 15371.79650092
0.06100000 1391488.41622409 18117.18002588
0.06200000 1382917.55547289 14375.42866110
0.06300000 1374271.99409373 14512.31293616
0.06400000 1365551.04176763 14645.53560788
0.06500000 1356761.26530928 13431.93715488
0.06600000 1347903.85439707 14901.07780756
0.06700000 1338980.17417287 20486.39762359
0.06800000 1329994.22931384 17895.07319307
0.06900000 1320949.90268815 19417.96447864
0.07000000 1311846.38141552 15368.28107796
0.07100000 1302688.60021341 22510.46006603
0.07200000 1293478.23939517 19829.02233885
0.07300000 1284218.89920923 17105.79653897
0.07400000 1274913.17007647 14342.77383552
0.07500000 1265562.06373204 23083.85312447
0.07600000 1256168.58849862 18861.37224054
0.07700000 1246736.88200643 17504.18664412
0.07800000 1237268.02659660 16127.78948302
0.07900000 1227763.76395779 16206.48244439
0.08000000 1218229.75209315 23682.38749166
0.08100000 1208666.32665792 22299.89477311
0.08200000 1199075.27516443 19407.03423922
0.08300000 1189459.66011470 16485.91166291
0.08400000 1179823.10585949 16547.01983637
0.08500000 1170167.14127526 21133.21956353
0.08600000 1160494.28860516 18173.34141282
0.08700000 1150806.56906354 21266.90639494
0.08800000 1141106.21492379 18280.52242160
0.08900000 1131396.65536829 16801.24112137
0.09000000 1121679.71979690 21435.30045225
0.09100000 1111957.34987338 21483.01700885
0.09200000 1102231.60082751 24601.81048643
0.09300000 1092506.58660743 23106.51539257
0.09400000 1082780.88300625 18515.55396959
0.09500000 1073059.60150568 16997.26488677
0.09600000 1063343.73029953 17018.81720346
0.09700000 1053637.91221150 18586.17364520
0.09800000 1043941.40673490 15502.53061891
0.09900000 1034257.91860820 20168.03036121
0.10000000 1024586.98926491 21731.49106428
0.10100000 1014932.63736467 18634.16409841
0.10200000 1005296.77202427 23297.75378750
0.10300000 995680.81532901 20192.40788474
0.10400000 986087.36466637 20190.13974139
0.10500000 976519.24234500 17079.32235219
0.10600001 966973.72055333 18623.91473418
0.10700001 957458.69609221 21715.16424924
0.10800001 947970.73385358 23248.98334190
0.10900001 938515.32284534 21679.70497810
0.11000001 929092.43968783 18563.26781873
0.11100001 919703.35173046 16996.11874004
0.11200001 910351.00517312 16973.49529052
0.11300001 901035.37194606 15407.70558568
0.11400001 891759.42787399 21535.99119717
0.11500001 882524.62623066 16891.52214144
0.11600001 873331.76264575 15326.97315620
0.11700001 864182.66695575 16825.63731803
0.11800001 855077.39043021 22894.69820707
0.11900001 846018.14271836 21319.65820069
0.12000001 837006.14022900 16710.82837683
0.12100001 828044.51622730 15153.21536080
0.12200001 819131.99820955 24180.77772633
0.12300001 810271.30684652 27127.88463134
0.12400001 801462.23832641 18032.90121201
0.12500001 792706.13612136 17978.57601439
0.12600001 784005.91283302 16428.84467760
0.12700001 775360.71233317 16375.61901620
0.12800001 766771.64267243 16320.73518347
0.12900001 758240.34051942 26614.23720662
0.13000001 749767.49131176 20626.10465820
0.13100001 741353.01132215 16146.66934771
