# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 349.57665678
0.00100000 1664564.27731890 649.18008357
0.00200000 1664304.83754266 973.61836079
0.00300000 1663872.64689654 1197.98834844
0.00400000 1663267.56718357 1746.43101190
0.00500000 1662490.27020782 1945.11369313
0.00600000 1661540.58236410 2093.54121901
0.00700000 1660419.28037534 2191.75354119
0.00800000 1659126.11872757 2239.82035485
0.00900000 1657662.53807668 2983.79269609
0.01000000 1656027.85223252 3552.17989642
0.01100000 1654223.75909774 2977.60289602
0.01200000 1652250.00767208 4510.64271871
0.01300000 1650108.09389935 3811.74986502
0.01400000 1647798.08615502 4819.80961567
0.01500000 1645321.66270147 4343.64938295
0.01600000 1642678.27820321 5445.47873568
0.01700000 1639870.37460401 5313.18025206
0.01800000 1636898.26079582 6064.70832915
0.01900000 1633762.97649707 5391.41806572
0.02000000 1630465.39458435 7190.35271538
0.02100000 1627008.09931727 8590.60315388
0.02200000 1623389.79186676 7280.90354731
0.02300000 1619613.62106918 6413.67023137
0.02400000 1615680.12549621 7876.44097094
0.02500000 1611591.79717248 7542.24995523
0.02600000 1607348.84729803 6509.76312930
0.02700000 1602953.37016035 8752.12580193
0.02800000 1598405.73629384 7648.37179892
0.02900000 1593709.34668798 8606.03086725
0.03000000 1588864.86052358 7388.22194104
0.03100000 1583873.85388149 13684.67072721
0.03200000 1578737.63569523 7814.75165662
0.03300000 1573460.28724375 12839.43653581
0.03400000 1568040.19691585 10701.87483774
0.03500000 1562481.72565576 10968.62222061
0.03600000 1556785.23041992 8640.15842812
0.03700000 1550953.99796262 9724.48201696
0.03800000 1544989.30512492 13557.28177990
0.03900000 1538893.73292258 14773.38052021
0.04000000 1532667.49352619 10368.49607417
0.04100000 1526314.66309085 13462.09595265
0.04200000 1519836.70395458 12743.83135388
0.04300000 1513235.31036289 10986.08886319
0.04400000 1506513.81669473 14236.55622894
0.04500000 1499673.90398947 16556.40066934
0.04600000 1492716.59259487 11576.01771371
0.04700000 1485645.75655078 16044.97491697
0.04800000 1478463.23300780 14126.71684868
0.04900000 1471171.57691677 17654.05974475
0.05000000 1463772.33012476 12317.64473158
0.05100000 1456269.52669976 12494.79312114
0.05200000 1448662.57712959 12668.55482737
0.05300000 1440956.72514730 16340.45002493
0.05400000 1433153.12578490 11823.51383910
0.05500000 1425255.31577237 15563.78877427
0.05600000 1417264.00976369 13329.36863383
0.05700000 1409184.23806995 14711.88413218
0.05800000 1401015.29935986 12398.98597827
0.05900000 1392761.39792500 18802.27975016
0.06000000 1384426.00137475 22801.49730790
0.06100000 1376010.52742040 15356.27820363
0.06200000 1367518.02954049 23261.48276981
0.06300000 1358951.37374985 15655.12055756
0.06400000 1350310.39361397 21064.84312551
0.06500000 1341600.99138836 13281.85043604
0.06600000 1332824.91587447 16073.86923752
0.06700000 1323983.09350435 16205.55382290
0.06800000 1315080.04309427 16333.29489978
0.06900000 1306119.03934388 16457.10066624
0.07000000 1297099.50781863 19339.75456723
0.07100000 1288026.14667237 23648.16116053
0.07200000 1278900.87879496 26607.53402981
0.07300000 1269727.30220651 18322.16582934
0.07400000 1260507.95412172 14180.71514844
0.07500000 1251243.64561884 19969.84952011
0.07600000 1241937.52651369 17213.25492445
0.07700000 1232593.79478575 15863.48288271
0.07800000 1223213.08770730 15944.58334601
0.07900000 1213797.56775293 21848.35724432
0.08000000 1204352.72320539 16096.17490073
0.08100000 1194878.93065352 19106.11499757
0.08200000 1185377.58842546 20661.13233578
0.08300000 1175852.55940527 16297.31723822
0.08400000 1166306.39864939 22305.61092116
0.08500000 1156741.32730879 17906.35658736
0.08600000 1147159.67997491 17964.52143187
0.08700000 1137563.51759751 16517.42305114
0.08800000 1127955.06897644 15058.20087803
0.08900000 1118337.38347373 18117.06646323
0.09000000 1108712.68247681 22700.89324010
0.09100000 1099082.55363849 25784.47791974
0.09200000 1089449.26064303 15197.81790007
0.09300000 1079816.90114708 16747.96092381
0.09400000 1070184.15842140 16775.13747164
0.09500000 1060555.67536218 15272.00244304
0.09600000 1050932.55222214 16820.17628899
0.09700000 1041319.88554294 18368.88364455
0.09800000 1031716.46402451 16853.08923223
0.09900000 1022125.98977746 24531.02490817
0.10000000 1012548.05691842 21476.14529720
0.10100000 1002986.88371822 19949.41005541
0.10200000 993444.14196166 18418.45525831
0.10300000 983920.82814587 24558.66502578
0.10400000 974420.31625215 15347.12070298
0.10500000 964945.10137873 21479.67896730
0.10600001 955492.32298915 23003.47875836
0.10700001 946069.18986228 24522.11455518
0.10800001 936673.97209925 19909.00621392
0.10900001 927310.45605613 15300.62324506
0.11000001 917979.59724011 22926.54152021
0.11100001 908682.35643290 16792.45073736
0.11200001 899421.43340186 18294.23281663
0.11300001 890197.23831480 24355.79758698
0.11400001 881012.06109436 24315.93403111
0.11500001 871868.01540110 16687.55460056
0.11600001 862765.46761458 18169.84160361
0.11700001 853706.17556530 16621.66002105
0.11800001 844690.92743407 21108.82727077
0.11900001 835720.98526840 22564.46766507
0.12000001 826798.01401758 18007.66159355
0.12100001 817925.14973474 16464.83403979
0.12200001 809100.71475085 20899.07244660
0.12300001 800327.78521190 17863.31700755
0.12400001 791606.30954202 23748.19040522
0.12500001 782936.88850010 20716.51104588
0.12600001 774323.26665816 19176.11660243
0.12700001 765763.96931625 16172.93579413
0.12800001 757260.45464593 17583.58858558
0.12900001 748813.99857302 14601.87366039
0.13000001 740425.78608329 18914.17759702
0.13100001 732095.39175146 15945.03838396
0.13200001 723824.51724168 17328.35975963
