# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 296.39991978
0.00100000 1646579.99734727 543.37141203
0.00200000 1646321.28184932 740.84460029
0.00300000 1645890.31442299 1975.06844767
0.00400000 1645286.93868507 1480.75830108
0.00500000 1644511.83670938 2516.10320976
0.00600000 1643564.83000875 1898.31745594
0.00700000 1642446.69640799 2759.31056464
0.00800000 1641157.17204001 2437.11850337
0.00900000 1639697.71872874 2705.50135156
0.01000000 1638067.75752551 2973.09310829
0.01100000 1636268.73665089 3534.34062505
0.01200000 1634300.61926966 5099.01815568
0.01300000 1632164.82925068 3770.30092186
0.01400000 1629861.48948269 5867.50162225
0.01500000 1627392.07045329 4686.88937161
0.01600000 1624756.41857455 5800.38067361
0.01700000 1621956.56158284 5693.06778654
0.01800000 1618993.05392978 5998.36953472
0.01900000 1615867.01221427 6301.88163199
0.02000000 1612578.93659152 5079.62388004
0.02100000 1609131.86140416 6903.17599840
0.02200000 1605524.06128162 6092.96408938
0.02300000 1601759.17260270 6919.59994061
0.02400000 1597837.36079594 7190.26845144
0.02500000 1593761.05064215 6837.23521952
0.02600000 1589530.85154143 6437.60024319
0.02700000 1585148.59112670 8654.91170396
0.02800000 1580614.72579340 8938.37668427
0.02900000 1575932.69053866 9219.20666294
0.03000000 1571103.01753188 10958.44405099
0.03100000 1566127.40496422 9020.89426767
0.03200000 1561007.08558260 11590.47814429
0.03300000 1555746.07863410 10314.59697685
0.03400000 1550342.92198762 8139.30071599
0.03500000 1544801.98372030 18352.24841407
0.03600000 1539123.42601795 8542.13540916
0.03700000 1533310.72117333 11361.83296935
0.03800000 1527365.14530289 12509.12111895
0.03900000 1521289.23002829 10953.28296345
0.04000000 1515083.27090335 10249.53880261
0.04100000 1508751.33092364 17109.24088597
0.04200000 1502294.71667494 11627.76164651
0.04300000 1495715.30109658 12833.23787910
0.04400000 1489016.22216852 13066.11795634
0.04500000 1482199.46184467 12272.61211432
0.04600000 1475265.71032189 11440.68611539
0.04700000 1468219.38824366 12685.41610440
0.04800000 1461061.48671463 12886.56291241
0.04900000 1453795.04341294 10903.46333313
0.05000000 1446421.85983429 16597.69161449
0.05100000 1438945.87788757 16835.66755556
0.05200000 1431365.94139960 12517.29574086
0.05300000 1423687.78413778 13838.24590693
0.05400000 1415912.49267131 11681.27860928
0.05500000 1408043.52543328 11827.56616539
0.05600000 1400081.72284964 19153.11886235
0.05700000 1392032.14654595 18166.02036039
0.05800000 1383893.92236766 13472.20796330
0.05900000 1375671.39889209 19809.66906927
0.06000000 1367368.02366947 12511.41800109
0.06100000 1358985.11055965 13902.41833070
0.06200000 1350525.53531254 21696.19373895
0.06300000 1341992.82524896 14171.44489722
0.06400000 1333385.67741698 14300.56205909
0.06500000 1324711.78334825 15737.57672235
0.06600000 1315971.07776502 14548.06094537
0.06700000 1307165.68075508 13333.09056768
0.06800000 1298299.25078918 16124.87744959
0.06900000 1289375.65713119 18953.82304723
0.07000000 1280394.33455200 14999.82033170
0.07100000 1271360.06262417 24715.24077502
0.07200000 1262273.87147953 15204.08949423
0.07300000 1253140.06601720 16691.82646145
0.07400000 1243961.37845083 15394.02277976
0.07500000 1234738.08840357 16891.21784109
0.07600000 1225473.94183985 15569.64716099
0.07700000 1216172.52654570 18497.98499610
0.07800000 1206834.86132363 17161.19253282
0.07900000 1197463.14572565 24428.24931858
0.08000000 1188062.56143627 20208.94511805
0.08100000 1178633.49901297 21745.78907706
0.08200000 1169178.05308157 17467.52093271
0.08300000 1159698.79567923 17534.64661361
0.08400000 1150199.50132237 17598.05319626
0.08500000 1140681.82611132 19129.23512191
0.08600000 1131148.04712891 17713.77924973
0.08700000 1121600.56713757 20727.17945400
0.08800000 1112041.16852884 16330.32532678
0.08900000 1102473.35543965 23813.42559601
0.09000000 1092898.95355116 20885.29998346
0.09100000 1083319.96944965 20929.74279307
0.09200000 1073738.18659742 19472.24292888
0.09300000 1064158.13081327 19506.01945444
0.09400000 1054578.21677680 15027.74029534
0.09500000 1045002.92941815 19562.45575820
0.09600000 1035433.78789686 18078.67478652
0.09700000 1025875.53335043 22620.55657383
0.09800000 1016327.06909830 16601.70345429
0.09900000 1006792.19903549 16612.07206523
0.10000000 997270.86168522 19641.25054456
0.10100000 987766.28451208 15112.82486382
0.10200000 978280.58727550 16625.87936277
0.10300000 968815.48539129 16624.87451136
0.10400000 959373.13208007 16621.14029523
0.10500000 949956.98760443 16614.74849491
0.10600001 940563.56888192 22644.06898632
0.10700001 931200.58342097 19611.08520970
0.10800001 921865.61398876 18087.00419766
0.10900001 912563.44116558 18068.75698550
0.11000001 903294.03928982 15039.84646209
0.11100001 894058.74087942 16522.20630921
0.11200001 884860.61146677 14998.38807044
0.11300001 875699.17919261 19466.79366996
0.11400001 866577.65513011 16443.31178032
0.11500001 857497.41861855 17904.54694384
0.11600001 848459.32602607 16379.50806027
0.11700001 839465.17963387 17830.24125514
0.11800001 830515.34771664 16307.16962046
0.11900001 821611.15942204 16267.90172280
0.12000001 812754.48890364 17701.79360216
0.12100001 803947.88607370 20597.14581150
0.12200001 795190.73979596 14671.26984042
0.12300001 786485.39532994 20480.08065930
0.12400001 777831.79603624 16042.78154914
0.12500001 769230.84623563 14538.46367891
0.12600001 760685.88003416 15940.17336727
0.12700001 752195.62488587 15886.37234626
0.12800001 743761.54519910 15830.96523566
0.12900001 735385.06566972 15774.01040208
0.13000001 727066.88008716 21430.29730068
0.13100001 718807.00851392 15655.61738340
0.13200001 710606.82046116 14176.60673649
0.13300001 702468.35327157 14119.61456640
0.13400001 694390.04212289 18279.81872070
0.13500001 686374.79380759 15402.25109923
0.13600001 678421.31223941 16729.87034865
0.13700001 670531.69260143 13880.00669134
0.13800001 662705.00050030 13817.39991200
0.13900001 654943.78294512 16504.58410854
0.14000001 647246.72532631 15058.19577487
0.14100001 639615.43973489 19073.33331245
0.14200001 632049.29863575 23047.67876180
0.14300001 624550.85118821 21584.47843515
0.14400001 617116.08485670 18791.18567026
0.14500001 609750.17273602 18694.94117797
0.14600001 602451.05749606 17269.26037779
0.14700001 595220.89529839 17178.07584871
0.14800001 588055.50888600 15771.64949241
0.14900001 580959.47941143 20914.54224558
0.15000001 573930.89089047 15599.44235043
0.15100001 566970.81237334 14219.62864528
0.15200001 560079.11129272 12853.81621070
0.15300001 553256.72754732 16614.30031226
0.15400001 546500.33291157 13976.74667379
0.15500001 539814.17928346 13894.81763049
0.15600001 533193.69896309 15068.05464383
0.15700001 526645.08326731 16225.93578128
0.15800001 520161.03423918 18608.76187822
0.15900001 513747.66444395 13562.93898150
0.16000001 507399.64570306 17155.18283099
0.16100001 501122.65542883 13395.00921191
0.16200001 494911.92193494 16940.83588754
0.16300001 488768.48549712 12023.70531084
0.16400001 482692.51185253 14335.96827882
0.16500001 476683.35752295 17804.12424404
0.16600001 470741.58258054 11792.07720038
0.16700001 464864.86081303 12886.05455015
0.16800001 459053.80584298 12800.71598034
0.16900001 453310.71760384 12715.36622918
0.17000001 447631.65273106 18370.80389555
0.17100001 442017.67771038 15965.67927282
0.17200001 436469.02771465 16989.55770609
0.17300001 430984.52961451 17997.91480664
0.17400001 425563.91130956 16756.57979916
0.17500001 420206.86055154 15530.84629947
0.17600001 414911.31217417 12117.48544434
0.17700001 409680.31422439 14220.00437835
0.17800001 404509.75079149 17377.73971479
0.17900001 399401.48728022 12940.60879911
0.18000001 394354.54605810 11777.39907433
0.18100001 389369.26030647 11692.75943933
0.18200001 384441.64620429 15829.38553021
0.18300001 379574.60517167 13619.13747692
0.18400001 374766.14212260 12479.71312223
0.18500001 370017.71778958 13420.54325824
0.18600001 365325.36606417 13321.59010289
0.18700001 360690.13818088 11188.60861497
0.18800001 356111.76180178 12114.92270888
0.18900001 351591.19952997 13026.45455805
0.19000001 347122.43880712 14917.58751257
0.19100001 342712.84827921 13818.18269553
0.19200001 338354.23717635 13713.49788074
0.19300001 334052.16120450 11665.10202047
0.19400001 329800.84613549 9646.67520531
0.19500001 325603.20162911 13401.82841236
0.19600001 321456.96559549 11398.86453868
0.19700001 317361.73170746 10368.20826486
0.19800001 313317.52919006 12158.28729481
0.19900001 309323.73543761 11135.65500202
0.20000001 305377.83042225 10127.85622461
0.20100001 301482.15084651 12788.87344334
0.20200001 297633.17256328 9969.22358619
0.20300001 293833.30187509 11688.68930105
0.20400001 290079.48633757 9811.93908914
0.20500001 286371.69746432 8848.88586991
0.20600001 282709.61964893 12289.38774703
0.20700001 279093.04674318 10449.24416399
0.20800001 275519.68516308 8637.54253816
