# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682645.80494414 555.27312882
0.00200000 1682384.33259863 1059.90216310
0.00300000 1681948.75323770 1110.08621668
0.00400000 1681338.94386749 1513.20510698
0.00500000 1680555.57329012 1966.25009858
0.00600000 1679598.45643113 2469.00983147
0.00700000 1678468.36004450 3424.07559680
0.00800000 1677165.07099784 2943.42482387
0.00900000 1675690.00247695 3518.94915563
0.01000000 1674042.56005751 3038.38737770
0.01100000 1672224.32140067 5117.00664628
0.01200000 1670235.12399962 3582.65449806
0.01300000 1668076.42839364 4203.55278495
0.01400000 1665748.35353207 5621.90094239
0.01500000 1663252.41859459 4390.98658062
0.01600000 1660588.40678193 5928.30087723
0.01700000 1657758.41819501 5371.13751589
0.01800000 1654763.00216211 4716.07476837
0.01900000 1651603.20095947 9414.13867026
0.02000000 1648279.61644392 8307.32964266
0.02100000 1644795.23812679 6513.38943829
0.02200000 1641148.44886503 9625.33608989
0.02300000 1637342.68463994 8841.65089951
0.02400000 1633378.27127686 7350.20255590
0.02500000 1629257.69759859 6989.51584191
0.02600000 1624981.36677127 9871.76225465
0.02700000 1620551.27881152 8848.21038757
0.02800000 1615967.87969924 10544.19089859
0.02900000 1611234.55839660 7975.61143026
0.03000000 1606351.88951407 8216.49029254
0.03100000 1601321.56047789 10760.88138155
0.03200000 1596144.80498825 10271.19229317
0.03300000 1590825.80153581 8113.21196186
0.03400000 1585362.98628071 12484.73409301
0.03500000 1579760.54131077 11942.99024381
0.03600000 1574018.93080665 11356.54711060
0.03700000 1568141.47796733 9832.24752157
0.03800000 1562129.55610691 10052.30415876
0.03900000 1555985.72677118 11203.09775157
0.04000000 1549710.21541022 14296.07739962
0.04100000 1543306.92327770 9722.83406746
0.04200000 1536777.59390757 11894.65912867
0.04300000 1530123.92535631 11108.70021373
0.04400000 1523348.77667744 10282.60472012
0.04500000 1516454.55174759 12556.24427189
0.04600000 1509441.84175774 10641.56547909
0.04700000 1502314.82154422 14061.66738363
0.04800000 1495074.86288331 13186.56090418
0.04900000 1487724.91902495 15621.11237689
0.05000000 1480266.48147195 12456.44302163
0.05100000 1472703.96796204 13784.50978226
0.05200000 1465036.06652411 13976.44472596
0.05300000 1457268.53102674 17705.81347738
0.05400000 1449402.32112850 13153.32667763
0.05500000 1441441.13524818 16951.34854129
0.05600000 1433385.50572650 17157.62530419
0.05700000 1425240.88536757 13639.55590964
0.05800000 1417006.20470956 12540.50549723
0.05900000 1408685.71817669 17749.44087803
0.06000000 1400282.99992051 12812.59004786
0.06100000 1391799.74075111 16826.85965202
0.06200000 1383238.26137230 14378.76239908
0.06300000 1374602.50795994 13196.18469341
0.06400000 1365891.03541368 19976.15732714
0.06500000 1357111.22411010 14778.94192189
0.06600000 1348263.65928833 16260.06049180
0.06700000 1339350.10294142 15027.50885827
0.06800000 1330374.34016352 15146.31257175
0.06900000 1321340.27634405 16648.88826142
0.07000000 1312247.00990684 16770.51757195
0.07100000 1303099.54268337 16888.17086418
0.07200000 1293899.47263332 18418.65985579
0.07300000 1284650.41731720 19963.46842051
0.07400000 1275355.39508274 17217.29864049
0.07500000 1266014.69312297 17319.08181371
0.07600000 1256632.01472437 17416.92054060
0.07700000 1247210.96179898 18970.07961844
0.07800000 1237752.71923002 16134.10745179
0.07900000 1228259.29681849 19160.84592908
0.08000000 1218735.86055860 22211.46210064
0.08100000 1209183.39493854 17847.54774667
0.08200000 1199603.11890571 19415.57739057
0.08300000 1189998.41602764 17992.77689478
0.08400000 1180372.47184306 18059.69966690
0.08500000 1170727.21833378 18122.85819059
0.08600000 1161065.13278809 16667.09076372
0.08700000 1151388.49420953 18237.99460469
0.08800000 1141698.92629921 22862.52207285
0.08900000 1132000.12841916 18338.40294174
0.09000000 1122293.95668598 19915.10719691
0.09100000 1112582.45973147 24565.82186500
0.09200000 1102867.30380011 16923.49957199
0.09300000 1093153.03985759 23120.18787946
0.09400000 1083438.21647274 24702.39249653
0.09500000 1073727.21242876 17007.83984429
0.09600000 1064021.77269726 20125.97277665
0.09700000 1054326.47659327 17048.45992801
0.09800000 1044640.10394173 17064.19690021
0.09900000 1034966.96190059 18629.40619021
0.10000000 1025306.42222152 20193.41093529
0.10100000 1015662.07780451 15539.63052127
0.10200000 1006036.49979119 20206.24404873
0.10300000 996430.26648977 18653.17546615
0.10400000 986846.41875812 20205.68137465
0.10500000 977288.35755095 17092.77417777
0.10600001 967752.39566643 21745.39735382
0.10700001 958246.55480918 17075.95441025
0.10800001 948768.03157536 17063.59385092
0.10900001 939321.69055161 17048.68948592
0.11000001 929907.94676929 21676.15525948
0.11100001 920527.75612433 20104.32714013
0.11200001 911184.30067661 16989.03208591
0.11300001 901876.98177170 15422.09711438
0.11400001 892609.47389551 18477.01697962
0.11500001 883382.83029447 15370.86197091
0.11600001 874197.87938733 19944.82555745
0.11700001 865056.62707842 24498.40483261
0.11800001 855959.06020494 18334.64393312
0.11900001 846907.30230241 18293.19859137
0.12000001 837902.57551173 15207.93246191
0.12100001 828947.72117031 16686.71841324
0.12200001 820042.04015814 18155.73162444
0.12300001 811187.90852922 18105.71497141
0.12400001 802385.14443130 19558.13881704
0.12500001 793635.14866563 19499.61652155
0.12600001 784940.73692006 17943.74609156
0.12700001 776301.00783079 20866.97207388
0.12800001 767717.28348033 20797.46218965
0.12900001 759191.09619001 25167.18602488
0.13000001 750722.99709835 19177.21986479
0.13100001 742313.07977353 22046.69950850
0.13200001 733962.82510080 19035.32676632
0.13300001 725674.32667582 16044.66011920
0.13400001 717445.80238600 17433.93381991
0.13500001 709280.55230174 17363.18873899
0.13600001 701176.70263106 17291.01830217
0.13700001 693137.14446035 17217.52748026
0.13800001 685159.88812128 15714.14277507
0.13900001 677248.66831141 22755.55632837
0.14000001 669401.77797547 14157.84827187
0.14100001 661620.39012711 19729.52096409
0.14200001 653904.34596540 16831.49865901
0.14300001 646256.09933571 16750.95888488
0.14400001 638671.61891857 15280.21920339
0.14500001 631156.28504206 15204.55562389
0.14600001 623707.49437681 15128.02598976
0.14700001 616328.12890870 15050.73361799
0.14800001 609013.65935853 23139.47507902
0.14900001 601768.75840543 16247.75724353
0.15000001 594591.21310077 14814.24077338
0.15100001 587482.53560079 14734.06268809
0.15200001 580442.72285360 15985.39334169
0.15300001 573472.38560006 21195.54037198
0.15400001 566568.13181365 14489.98065493
0.15500001 559734.28756446 14407.56124184
0.15600001 552966.60129477 16929.07329761
0.15700001 546271.15433251 15535.95236246
0.15800001 539640.36143497 18018.59251877
0.15900001 533080.49803482 14073.32581239
0.16000001 526586.42911304 17803.88800870
0.16100001 520163.76656636 17695.97217391
0.16200001 513807.78769476 16331.38130282
0.16300001 507519.10289334 12484.97052056
0.16400001 501298.66776645 13647.85687425
0.16500001 495144.94685281 17260.75366219
0.16600001 489059.53633504 14701.13035632
0.16700001 483039.21989204 14607.10669921
0.16800001 477085.18295480 16931.75394252
0.16900001 471199.49872209 12015.58778477
0.17000001 465378.31591906 14324.34524038
0.17100001 459622.63215595 13044.09091654
0.17200001 453932.54617163 14135.46015530
0.17300001 448307.22619289 12870.90107182
0.17400001 442746.49680648 13946.51530804
0.17500001 437249.40817857 13852.06190530
0.17600001 431814.49664687 13757.61051293
0.17700001 426444.62875108 14801.89376305
0.17800001 421135.59652767 12438.24043093
0.17900001 415889.45945209 14597.72071627
0.18000001 410704.95801969 12265.70415063
0.18100001 405583.08315662 14394.14430116
0.18200001 400519.13952321 16491.37634889
0.18300001 395516.53453344 14191.13392944
0.18400001 390572.87141729 11922.23746323
0.18500001 385689.86522710 18293.27117193
0.18600001 380863.62380918 11751.54766782
0.18700001 376094.93185685 12727.05309532
0.18800001 371383.56939252 13687.34209664
0.18900001 366730.92750173 13587.38150591
0.19000001 362130.28844871 18675.05985767
0.19100001 357589.70199553 13388.15907530
0.19200001 353100.69340959 12266.71866867
0.19300001 348668.75862583 14204.76589763
0.19400001 344288.16785763 14098.60113998
0.19500001 339961.88937224 10994.36802184
0.19600001 335687.69987671 14879.35800018
0.19700001 331465.23008642 11813.42135855
0.19800001 327294.46043777 12700.66213751
0.19900001 323174.68124845 16481.90952261
0.20000001 319103.28059576 13469.35011052
0.20100001 315083.01119996 11456.41882869
0.20200001 311109.93768160 15157.27688023
0.20300001 307186.55249169 11279.89074063
0.20400001 303310.07289255 16788.21332811
0.20500001 299480.27066657 10179.33488110
0.20600001 295697.00392306 11017.67088696
0.20700001 291959.75845824 12752.80285227
0.20800001 288266.19959318 11748.28951976
0.20900001 284619.65394862 11655.17538015
0.21000001 281014.95879043 12451.77341263
0.21100001 277454.25970061 9705.35046313
0.21200001 273935.74274314 9627.47213384
0.21300001 270458.67102383 11286.24087539
0.21400001 267024.02731020 12056.13540303
0.21500001 263631.22153352 11104.14757597
0.21600001 260277.50629522 11860.84652264
0.21700001 256963.83453043 8402.71778642
0.21800001 253689.50068590 8333.70049155
0.21900001 250452.94362158 9091.44228332
0.22000001 247254.13238666 10655.41733902
0.22100001 244094.46531488 11379.68451105
0.22200001 240971.73160596 12896.80768537
0.22300001 237884.07710496 11190.06751614
0.22400001 234831.68174993 9510.68356060
0.22500001 231817.33521550 9430.32964250
0.22600001 228835.64482409 9350.22488967
0.22700001 225890.42983472 13133.27021165
0.22800001 222977.51732439 11488.91712345
0.22900001 220097.45471311 11390.04382005
0.23000001 217251.30948020 11291.63734424
0.23100001 214438.36641824 8954.94660513
0.23200001 211655.49437526 8137.09586609
0.23300001 208904.97588720 13198.61700078
0.23400001 206186.10829371 7994.86672721
0.23500001 203495.97506821 8644.50942975
0.23600001 200837.51929511 9281.70639322
0.23700001 198208.27371262 7783.63927684
0.23800001 195608.52014628 7713.82235682
0.23900001 193037.20725864 7644.27376901
0.24000001 190494.36297105 7575.00870184
0.24100001 187980.70545588 8188.43991698
0.24200001 185494.01377612 7437.38283416
0.24300001 183034.92975470 9378.71024427
0.24400001 180602.48258415 9955.71232339
0.24500001 178196.66716788 9863.18599431
0.24600001 175817.26598279 9771.04501921
0.24700001 173463.94657629 10324.57458863
0.24800001 171136.19123420 8948.71186297
0.24900001 168832.84202197 9496.84781301
0.25000001 166555.44500957 6897.89408140
0.25100001 164301.37521784 7452.71073246
0.25200001 162073.42479562 6765.75543818
0.25300001 159869.18888581 7309.21966166
0.25400001 157688.14414800 7237.88615883
0.25500001 155530.30560952 9555.78242875
0.25600001 153396.34203215 9461.48682419
0.25700001 151284.49382137 6440.18120668
0.25800001 149196.17427429 9274.03463168
0.25900001 147130.05130277 6311.87949953
0.26000001 145086.05797820 6248.13138246
0.26100001 143063.38366025 7309.10861704
0.26200001 141063.33470732 8347.42322628
0.26300001 139083.99056628 9363.13468796
0.26400001 137126.26802366 7631.07717661
0.26500001 135190.07495818 5933.49267068
0.26600001 133273.52351283 8006.40730389
0.26700001 131378.89645880 6865.86145383
0.26800001 129504.94586282 5748.07729413
0.26900001 127649.84096486 6203.78256446
0.27000001 125815.96196396 5625.86100545
0.27100001 124001.35586032 8094.80889363
0.27200001 122208.05302199 7006.18801131
0.27300001 120433.33645956 5444.79139901
0.27400001 118676.15599585 6364.00916645
0.27500001 116941.22963490 5809.64056321
0.27600001 115223.04055044 5266.26931759
0.27700001 113525.45273802 5207.41276354
0.27800001 111845.63990440 6084.96232698
0.27900001 110185.79890229 5553.36452750
0.28000001 108542.86324808 4575.08190244
0.28100001 106919.32334358 6331.76262808
0.28200001 105314.49821827 6705.90099144
0.28300001 103727.44871736 4418.78952450
0.28400001 102158.12248746 5677.43792596
0.28500001 100607.24927112 4747.65631782
0.28600001 99073.85718276  4265.12975359
0.28700001 97558.24197496  5057.41950336
0.28800001 96059.47554976  4164.17846219
0.28900001 94580.08992386  4525.65751707
0.29000001 93116.58333095  4470.99296027
0.29100001 91671.15495985  4818.23613276
0.29200001 90242.65084155  4362.78116145
0.29300001 88831.36076796  5092.70215389
0.29400001 87436.41838014  3869.06169647
0.29500001 86059.58707588  6113.67335527
0.29600001 84698.77482374  3773.33059702
0.29700001 83354.66244625  3725.95358773
0.29800001 82027.09557958  4046.80695199
0.29900001 80716.78184018  5085.15749666
0.30000001 79422.15056768  3944.50129467
0.30100001 78144.96136068  5309.95037583
0.30200001 76882.41638828  3843.73658930
0.30300001 75637.40384033  4138.87893408
0.30400001 74408.39384577  5446.69468737
0.30500001 73195.06299194  3695.61890542
0.30600001 71996.89433149  3647.00285502
0.30700001 70815.81037399  4253.19777242
0.30800001 69649.99329891  3873.93281069
0.30900001 68499.89377785  3503.76973262
0.31000001 67365.84163864  3771.13999347
0.31100001 66246.16763417  4030.41702968
0.31200001 65142.79530094  3975.99069944
0.31300001 64054.14696495  4525.42569734
0.31400001 62981.94476747  5059.02495298
0.31500001 61923.94059881  3522.23390803
0.31600002 60881.34297162  3763.38039398
0.31700002 59853.67524403  4568.03271091
0.31800002 58840.97683156  3378.64904964
0.31900002 57843.21775213  4720.00679206
0.32000002 56860.51086168  4106.75059144
0.32100002 55891.71168254  3239.48376251
0.32200002 54938.66555584  3194.13416666
0.32300002 53998.42769873  2886.75608146
0.32400002 53073.31440050  3622.25387935
0.32500002 52162.40603069  2550.74177568
0.32600002 51266.13780466  3268.98543191
0.32700002 50383.29403048  2726.74400205
0.32800002 49515.24341104  2687.93511585
0.32900002 48660.40396007  2890.42813210
0.33000002 47820.42826913  3323.99812639
0.33100002 46991.71330689  2808.22492020
0.33200002 46179.62125423  2998.67384815
0.33300002 45379.54701736  2500.86695456
0.33400002 44593.44662817  2464.90287910
0.33500002 43819.54075888  3312.75743825
0.33600002 43060.06531347  3047.36096655
0.33700002 42312.55200023  4290.49297601
0.33800002 41579.19429944  2748.59276933
0.33900002 40857.53424641  3125.60151787
0.34000002 40149.40217435  2259.00622032
0.34100002 39453.58768224  2428.76297274
0.34200002 38771.03583844  2792.67784370
0.34300002 38099.68906299  2752.32166826
0.34400002 37442.14735136  2325.15746064
0.34500002 36795.81878907  2482.61401128
0.34600002 36162.70208161  2258.72247899
0.34700002 35539.80774503  2226.21366258
0.34800002 34930.46206136  2377.19270817
0.34900002 34332.07697859  2523.40777744
0.35000002 33745.46085715  2487.37803759
0.35100002 33170.99567897  2276.85725124
0.35200002 32606.56376135  2244.47292282
0.35300002 32054.01168937  2212.68853172
0.35400002 31512.91881121  2181.48190803
0.35500002 30983.04842244  1985.39383695
0.35600002 30462.99726958  1794.42293916
0.35700002 29954.22877461  1769.39637752
0.35800002 29456.81444086  1586.24953277
0.35900002 28969.62112622  1720.79557640
0.36000002 28493.16486326  2314.35742564
0.36100002 28026.17354278  1674.00342500
0.36200002 27570.56154297  1651.33886183
0.36300002 27123.93578562  2073.35374966
0.36400002 26687.30916297  2045.58234424
0.36500002 26260.45769705  2018.37887420
0.36600002 25843.62189227  1991.76803358
0.36700002 25435.65091845  1404.04799721
0.36800002 25038.79685783  1524.48721890
0.36900002 24650.01593452  1504.88354409
0.37000002 24270.20847977  1485.70088247
0.37100002 23899.26177674  2400.44196656
0.37200002 23538.24622968  1580.35792672
0.37300002 23185.20317593  1690.89694772
0.37400002 22840.97973519  1670.24672226
0.37500002 22505.66339407  1650.11531822
0.37600002 22178.96157660  1881.33050486
0.37700002 21859.91706872  1363.40309216
0.37800002 21548.96542551  1715.08223946
0.37900002 21246.79314363  1332.17399321
0.38000002 20952.34263418  1436.91172592
0.38100002 20664.72430666  1302.49763475
0.38200002 20385.86694153  1288.28492240
0.38300002 20113.83636467  1390.26843539
0.38400002 19850.01804932  1146.33859666
0.38500002 19592.32473265  1815.03304922
0.38600002 19343.03721403  1122.86336347
0.38700002 19099.97488931  1333.94230947
0.38800002 18864.15828143  1100.72368787
0.38900002 18634.46698739  1417.15128153
0.39000002 18412.80375934  1943.83978496
0.39100002 18196.42180978  1390.93454904
0.39200002 17987.18338893  1272.41341322
0.39300002 17783.86617107  1051.02654050
0.39400002 17588.12672070  1563.14483636
0.39500002 17397.24532141  1033.39642105
0.39600002 17212.47660387  1332.50393942
0.39700002 17033.51311534  1220.28093740
0.39800002 16860.54038488  1311.83440680
0.39900002 16692.96064878  1101.73545502
0.40000002 16530.83092361  1093.76247988
0.40100002 16374.49138789  1283.59644071
0.40200002 16223.59361237  1274.93116443
0.40300002 16077.24881732  1851.13451653
0.40400002 15936.46441900  1064.95428526
0.40500002 15800.78394265  1154.72134524
0.40600002 15669.85896921  1626.29639017
0.40700002 15543.72525361  1331.78644283
0.40800002 15422.41321560  946.16509561
0.40900002 15305.44202183  941.28472894
0.41000002 15193.35567502  1779.67380132
0.41100002 15085.35909710  1211.95780729
0.41200002 14981.38044413  1113.71587499
0.41300002 14882.26236725  1293.86395152
0.41400002 14786.79874373  920.47826541
0.41500002 14695.51163476  1283.79995724
0.41600002 14607.56743242  1005.07372481
0.41700002 14523.89651443  1001.71319007
0.41800002 14444.78839497  1270.99699110
0.41900002 14367.41024415  995.66157710
0.42000002 14294.88671553  992.99435275
0.42100002 14225.95374055  1530.85495456
0.42200002 14160.46282010  988.32954936
0.42300002 14097.54607680  896.60397297
0.42400002 14037.89170579  1163.39033025
0.42500002 13981.73827491  982.77642991
0.42600002 13927.77455157  981.28140253
0.42700002 13878.01635309  1514.64677655
0.42800002 13830.16862376  889.97139311
0.42900002 13786.27018580  1067.05736295
0.43000002 13744.51638885  1155.15793464
0.43100002 13704.47073596  1154.46466950
0.43200002 13668.13590095  887.74546883
0.43300002 13634.13228730  1153.85667015
0.43400002 13602.49786872  976.31933079
0.43500002 13573.02861950  1153.97894792
0.43600002 13546.23251024  887.95558313
0.43700002 13521.11594001  1243.67230310
0.43800002 13498.09161378  1244.38912485
0.43900002 13477.88818965  978.49472894
0.44000002 13459.18717111  1068.39032827
0.44100002 13442.78675504  891.25680410
0.44200002 13428.07580525  981.52524750
0.44300002 13415.33106207  1161.49941840
0.44400002 13404.66610651  1163.18995652
0.44500002 13394.48979895  1433.74625603
0.44600002 13386.48553984  1166.83306738
0.44700002 13381.05132445  1438.73070659
0.44800002 13375.58797422  990.93048203
0.44900002 13373.31656998  1173.50858463
0.45000002 13371.83422113  1447.36740469
0.45100002 13371.47299422  997.24450317
0.45200002 13372.63347267  999.53753629
0.45300002 13374.69285240  1275.14327698
0.45400002 13378.51441243  1004.39201711
0.45500002 13383.45791192  1190.05713393
0.45600002 13389.36007821  1560.32915066
0.45700002 13396.43209809  1012.36842163
