# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 349.57665678
0.00100000 1664564.08786335 499.36923822
0.00200000 1664304.07731078 898.72423021
0.00300000 1663870.93605614 1397.65163608
0.00400000 1663264.53370300 1621.68298198
0.00500000 1662485.53747145 2094.73186013
0.00600000 1661533.78119575 2093.53264954
0.00700000 1660410.01092570 2390.99051510
0.00800000 1659114.01118703 2239.80400967
0.00900000 1657647.22990371 3481.05933161
0.01000000 1656009.02326453 3552.13950828
0.01100000 1654200.94281781 4466.34274007
0.01200000 1652222.94562318 4188.38535079
0.01300000 1650076.34234289 4504.70861328
0.01400000 1647761.38664770 4078.20961274
0.01500000 1645279.46181282 3948.67088418
0.01600000 1642630.47484254 5026.44947772
0.01700000 1639816.40642424 5313.00539515
0.01800000 1636837.87555681 5597.98578630
0.01900000 1633695.91039960 4901.08795235
0.02000000 1630391.13904095 6676.45201639
0.02100000 1626926.48601134 7516.40070615
0.02200000 1623300.35389899 6160.42512293
0.02300000 1619516.14399554 6413.28422214
0.02400000 1615574.23971625 6058.40367518
0.02500000 1611477.16723323 7541.71348709
0.02600000 1607225.16440441 7160.18843492
0.02700000 1602820.41095176 8751.39984462
0.02800000 1598263.14990766 8342.93402512
0.02900000 1593556.90308258 11473.61022900
0.03000000 1588702.30748358 7387.46606937
0.03100000 1583700.81875071 11402.64641968
0.03200000 1578553.89301806 8595.22634336
0.03300000 1573265.53532219 11233.11644005
0.03400000 1567834.19567181 10700.46887918
0.03500000 1562264.22668393 11810.71809913
0.03600000 1556555.92391111 9502.77435464
0.03700000 1550712.71990486 11490.78178592
0.03800000 1544735.74101334 9940.37495346
0.03900000 1538627.79608732 12001.29736526
0.04000000 1532388.90933477 13193.86912076
0.04100000 1526023.29323150 9613.94719312
0.04200000 1519532.27991035 10781.08202613
0.04300000 1512917.73673225 13979.36053630
0.04400000 1506182.74751942 14233.42762509
0.04500000 1499329.37885331 11379.91051426
0.04600000 1492358.20893863 11573.23844832
0.04700000 1485273.66257456 12832.76504147
0.04800000 1478076.96846709 15209.41271319
0.04900000 1470771.02849525 12133.86154989
0.05000000 1463357.48554596 17911.49645715
0.05100000 1455840.41326696 13626.66690296
0.05200000 1448218.90052984 18421.34527320
0.05300000 1440498.32811103 11668.03700164
0.05400000 1432679.96763812 16547.45439789
0.05500000 1424767.20344574 15558.45858742
0.05600000 1416761.02481050 12113.30732739
0.05700000 1408666.28355196 15932.01641066
0.05800000 1400482.31782414 17351.97672805
0.05900000 1392213.24141518 12529.91975796
0.06000000 1383862.76714458 20259.75185751
0.06100000 1375432.16043718 15349.82362780
0.06200000 1366924.19095365 16792.66447081
0.06300000 1358342.52753354 23472.15997323
0.06400000 1349685.93622139 14475.38234294
0.06500000 1340961.62869622 15930.62489411
0.06600000 1332170.06348458 16065.97171733
0.06700000 1323313.14809788 17547.13316497
0.06800000 1314394.85420938 16324.78485343
0.06900000 1305418.56841438 17818.96429312
0.07000000 1296383.89185506 15187.13800427
0.07100000 1287295.69695209 13902.79417826
0.07200000 1278155.20523039 19594.12021410
0.07300000 1268966.59709574 16902.63586530
0.07400000 1259732.30263209 15589.18797565
0.07500000 1250453.16482737 18531.71677137
0.07600000 1241132.42775627 17202.09625515
0.07700000 1231773.98240854 17294.10752391
0.07800000 1222378.68728815 20279.26337313
0.07900000 1212948.89046402 18922.00357875
0.08000000 1203489.62802693 19009.11956642
0.08100000 1194001.64714146 16154.84304378
0.08200000 1184486.43469840 16221.54248439
0.08300000 1174947.25426586 19245.63692811
0.08400000 1165387.37626290 17830.42769376
0.08500000 1155808.61905052 16400.92507427
0.08600000 1146213.46640349 14958.08643887
0.08700000 1136604.16508374 22504.76352543
0.08800000 1126982.47500830 15045.21674794
0.08900000 1117351.84078150 21117.95078267
0.09000000 1107714.27066746 19656.39065636
0.09100000 1098071.82780233 18184.07032272
0.09200000 1088426.10030557 19738.60825649
0.09300000 1078781.66316548 21295.15103159
0.09400000 1069136.96368031 16758.72269331
0.09500000 1059496.48361767 21359.45011368
0.09600000 1049861.97118720 19858.14011849
0.09700000 1040237.94235954 19878.94801306
0.09800000 1030623.11904406 15304.75403740
0.09900000 1021021.87475639 21441.46037811
0.10000000 1011433.48033683 24517.14871634
0.10100000 1001861.67720550 15328.48438217
0.10200000 992308.65647341 18397.40335636
0.10300000 982775.60360021 19930.69017857
0.10400000 973265.18001175 22993.39095950
0.10500000 963780.79053458 18388.93834859
0.10600001 954318.57610348 15316.81386717
0.10700001 944886.73646871 16837.88243622
0.10800001 935482.68695048 18354.17118175
0.10900001 926111.01598209 19865.08222778
0.11000001 916771.98823127 18317.10518704
0.11100001 907466.83261814 22868.16525846
0.11200001 898198.32214920 21314.24718801
0.11300001 888966.59050004 15201.32941324
0.11400001 879774.46201136 24281.77629481
0.11500001 870623.47273171 19693.50388052
0.11600001 861514.45738570 15119.57943912
0.11700001 852449.24470219 27159.03421526
0.11800001 843427.87085421 18066.22584459
0.11900001 834452.26171897 19526.18384394
0.12000001 825523.95152187 22474.89063886
0.12100001 816645.72752715 16439.07926954
0.12200001 807816.54439534 17885.05913550
0.12300001 799039.18626563 16348.34252124
0.12400001 790313.49347210 16300.21657089
0.12500001 781640.14595031 19204.89929094
0.12600001 773022.77234736 20616.51831003
0.12700001 764460.08395650 19080.92459477
0.12800001 755953.41858049 16090.46927282
0.12900001 747504.21368750 21864.49928088
0.13000001 739113.32697393 18880.65082749
0.13100001 730780.64228820 18810.29461917
0.13200001 722507.59311304 18738.23531071
0.13300001 714296.31410690 17228.82790848
0.13400001 706145.19713263 15729.38500770
0.13500001 698056.96011406 17088.43518928
0.13600001 690030.44810488 17016.15165259
0.13700001 682067.84005525 21178.20743234
0.13800001 674167.93422122 14056.40209135
0.13900001 666333.86992975 19590.21669977
0.14000001 658563.92591158 15321.49045890
0.14100001 650859.57650855 16635.97156016
0.14200001 643220.57723808 15176.79023575
0.14300001 635649.01493608 20595.02905535
0.14400001 628141.59641112 15028.28840302
0.14500001 620702.92870310 16312.07373579
0.14600001 613330.96229831 14876.34319233
0.14700001 606028.02893335 13453.82287702
0.14800001 598790.21109711 13382.96184941
0.14900001 591621.55485072 19967.22841828
0.15000001 584520.29156508 13239.38522862
0.15100001 577487.90062144 17116.74218207
0.15200001 570523.93085326 17021.58228020
