# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682645.58593354 605.75242532
0.00200000 1682383.45643964 908.48709524
0.00300000 1681946.78054909 1211.00172513
0.00400000 1681335.44089231 1513.20195430
0.00500000 1680550.08475272 1814.99416337
0.00600000 1679590.56442977 2292.64121378
0.00700000 1678457.63453915 2416.97909419
0.00800000 1677151.04483977 2943.40020796
0.00900000 1675672.28558576 3267.56109657
0.01000000 1674020.70994448 3590.77457788
0.01100000 1672197.87986540 3310.95194629
0.01200000 1670203.67886802 4559.65624322
0.01300000 1668039.57564106 4553.74824234
0.01400000 1665705.64612866 4122.62165693
0.01500000 1663203.46164962 5588.36387999
0.01600000 1660532.77861822 5504.66640720
0.01700000 1657695.69821137 4923.35644454
0.01800000 1654692.73572849 5187.46195993
0.01900000 1651525.00999198 5945.49030425
0.02000000 1648193.13884687 5710.98948444
0.02100000 1644700.04838249 5970.26144631
0.02200000 1641044.09388529 9058.56380980
0.02300000 1637228.85401125 5894.02414273
0.02400000 1633254.59432478 6124.70500799
0.02500000 1629123.67557926 9530.37393740
0.02600000 1624836.70157442 7238.64783660
0.02700000 1620395.56785625 6805.66169670
0.02800000 1615800.83024769 10543.10090087
0.02900000 1611055.68451981 10149.65127849
0.03000000 1606160.96066785 8215.51369144
0.03100000 1601118.15761740 9990.97776325
0.03200000 1595928.51457144 10269.80046428
0.03300000 1590596.39310218 8923.24617667
0.03400000 1585119.96141572 9986.25621769
0.03500000 1579503.71895430 17058.64095244
0.03600000 1573748.05441780 13101.45315850
0.03700000 1567856.08078678 10724.13608855
0.03800000 1561829.42985938 9136.70258752
0.03900000 1555670.41886738 12134.22982910
0.04000000 1549379.52009137 10481.55293912
0.04100000 1542960.55436882 14580.97791486
0.04200000 1536415.27914756 11891.85481230
0.04300000 1529745.30529576 13125.21532868
0.04400000 1522953.77570988 13363.92000250
0.04500000 1516042.59033233 10460.69435935
0.04600000 1509012.80076520 13830.10296193
0.04700000 1501868.57867586 14057.49055019
0.04800000 1494611.11405841 12083.93141940
0.04900000 1487243.47166339 13385.19186802
0.05000000 1479767.11760378 13584.26277217
0.05100000 1472186.20080520 16076.27406169
0.05200000 1464500.03650959 12807.05341610
0.05300000 1456713.72747091 21238.88713664
0.05400000 1448828.80254068 13148.12199620
0.05500000 1440848.56382229 13313.44135078
0.05600000 1432773.79407186 15925.28146425
0.05700000 1424609.81800253 17351.74839322
0.05800000 1416355.61150300 15041.69729649
0.05900000 1408015.53499896 13939.35444754
0.06000000 1399593.12457172 17928.78876338
0.06100000 1391089.77518409 12937.13551378
0.06200000 1382508.43481399 14371.17585165
0.06300000 1373852.30994253 13188.98279210
0.06400000 1365120.73358025 14640.92055236
0.06500000 1356320.38745732 14770.32971033
0.06600000 1347452.34896812 16250.27608888
0.06700000 1338518.35192460 16383.46539429
0.06800000 1329521.95464718 13760.55287472
0.06900000 1320467.14555373 20797.35851618
0.07000000 1311353.14933668 18155.68520277
0.07100000 1302184.90223077 16876.31712336
0.07200000 1292963.96328544 19821.13848572
0.07300000 1283694.00220663 17098.80491057
0.07400000 1274378.13242007 15770.43012777
0.07500000 1265016.50623268 15863.30773171
0.07600000 1255613.00543968 21753.49633906
0.07700000 1246171.06616624 20412.28302090
0.07800000 1236691.97573392 20516.72083958
0.07900000 1227177.74415570 23561.81379293
0.08000000 1217633.59995970 17753.09872023
0.08100000 1208060.24523898 20802.79839905
0.08200000 1198459.09543101 17904.97972593
0.08300000 1188833.93195267 14979.30824561
0.08400000 1179187.30648744 15034.63886342
0.08500000 1169521.65382819 16595.51304690
0.08600000 1159839.06628960 16649.49057831
0.08700000 1150142.18662460 19736.44084926
0.08800000 1140432.34446330 24359.63602176
0.08900000 1130713.52142159 22896.94988425
0.09000000 1120987.34591197 15301.47799049
0.09100000 1111255.94866345 19935.93265564
0.09200000 1101520.90785536 23049.32607989
0.09300000 1091787.05883554 18473.03790359
0.09400000 1082052.74541451 20045.02805087
0.09500000 1072322.52237680 16985.58955282
0.09600000 1062597.87029226 17006.87971348
0.09700000 1052883.78764767 24763.82784969
0.09800000 1043178.68663276 18589.44506983
0.09900000 1033487.04900493 17052.53711043
0.10000000 1023808.03881580 15510.69251748
0.10100000 1014145.73146031 17068.07346322
0.10200000 1004501.96912685 18623.46738359
0.10300000 994878.07267694 17072.10853022
0.10400000 985276.58867374 15518.10700166
0.10500000 975701.26527108 21719.11118680
0.10600001 966148.46792592 26361.36218775
0.10700001 956625.62304696 17047.06940489
0.10800001 947130.79256636 23228.38378086
0.10900001 937668.19969387 24754.44163700
0.11000001 928238.30283973 15455.16846975
0.11100001 918842.58077038 15436.55608359
0.11200001 909483.57637100 20040.47154878
0.11300001 900161.20921820 16932.03314257
0.11400001 890878.82456404 19977.95858150
0.11500001 881637.63374100 19942.64421428
0.11600001 872438.35630133 15311.29387412
0.11700001 863283.15233122 18336.13501905
0.11800001 854171.95513571 16771.66712901
0.11900001 845106.77889178 18254.30728387
0.12000001 836089.19132480 18210.02344484
0.12100001 827121.57730545 19677.22325105
0.12200001 818203.53784826 18115.02718138
0.12300001 809337.47434933 16559.04550536
0.12400001 800523.21617733 16510.79211160
0.12500001 791761.74580233 22446.44655118
0.12600001 783056.52311969 14917.22746838
0.12700001 774406.20337570 19329.17974717
0.12800001 765812.00408492 16300.30927517
0.12900001 757276.12966955 16243.57374701
0.13000001 748798.54539619 16185.28132163
0.13100001 740379.57446442 19057.37114503
0.13200001 732020.52967344 17524.57230650
0.13300001 723723.55598127 16001.52857711
0.13400001 715486.99323579 15937.47352571
0.13500001 707314.05977283 15872.12824964
0.13600001 699203.20957605 18679.21462456
0.13700001 691156.40058028 17168.32579996
0.13800001 683172.74591774 14244.15242408
0.13900001 675255.67561327 19852.51779924
0.14000001 667402.88309020 16938.68597167
0.14100001 659616.23770796 15454.80917839
0.14200001 651895.37193325 15381.47202624
0.14300001 644242.51716686 16698.76683261
0.14400001 636653.97687368 18001.39204523
0.14500001 629134.90939922 16533.66619894
0.14600001 621682.86116609 16449.72928246
0.14700001 614300.49269544 15001.21873933
0.14800001 606983.59664538 16279.30083006
0.14900001 599736.63170392 17542.29730500
0.15000001 592557.50971679 18789.99951969
0.15100001 585447.43136997 13348.20206507
0.15200001 578406.57281736 18584.20406155
0.15300001 571435.59539006 14520.17916405
0.15400001 564531.27448553 26250.70550237
0.15500001 557697.89664244 14355.14453704
0.15600001 550930.84517191 19461.63302419
0.15700001 544236.37172937 15478.08314250
0.15800001 537607.13254563 16668.50993131
0.15900001 531049.14941257 14019.69820623
0.16000001 524557.36064721 13934.86694335
0.16100001 518137.14549199 16367.95319873
0.16200001 511784.24233579 12513.12531581
0.16300001 505499.14078067 13678.80739527
0.16400001 499282.63720127 19771.59336658
0.16500001 493133.20442484 13506.91910688
0.16600001 487052.19109574 13420.72375928
0.16700001 481037.13507883 13334.35001396
0.16800001 475088.32271404 18065.23432418
0.16900001 469208.28407757 13161.29298983
0.17000001 463393.23292254 13074.64068429
0.17100001 457643.96790689 21252.98687319
0.17200001 451960.82966084 14074.06090026
0.17300001 446342.65658456 13979.45266440
0.17400001 440789.43871258 12727.79564391
0.17500001 435300.30146608 12641.12135158
0.17600001 429873.63706861 13695.77472385
0.17700001 424512.27986565 11334.47840775
0.17800001 419212.50081052 12381.44179624
0.17900001 413975.64400283 12295.07720762
0.18000001 408800.88233565 13318.73337561
0.18100001 403688.80052709 13224.84572996
0.18200001 398635.26507712 13131.04625192
0.18300001 393643.16433883 14123.91740368
0.18400001 388710.59895387 12944.06355665
0.18500001 383838.81833232 12850.92424487
0.18600001 379024.17582032 12757.95436084
0.18700001 374267.25176414 12665.20439806
0.18800001 369568.17058789 10477.25813118
0.18900001 364928.05541470 11440.49507779
0.19000001 360340.22131762 11356.12261139
0.19100001 355812.69636385 14346.36859526
0.19200001 351337.14486383 11188.33190685
0.19300001 346918.66115581 10095.33351666
0.19400001 342552.19989602 15029.47848064
0.19500001 338239.87750236 9944.25286849
0.19600001 333980.19038158 15790.58414745
0.19700001 329772.45465124 13711.93931239
