# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682645.52944563 656.23177207
0.00200000 1682383.23771994 984.19422523
0.00300000 1681946.28302298 1009.16780576
0.00400000 1681334.55799068 1765.40135297
0.00500000 1680548.71602791 2117.49146601
0.00600000 1679588.59018280 1763.56809149
0.00700000 1678454.93682698 3021.21901185
0.00800000 1677147.54020065 2490.56420235
0.00900000 1675667.84874311 2764.85206862
0.01000000 1674015.20027638 4143.18779958
0.01100000 1672191.24679096 3611.93325033
0.01200000 1670195.82205223 3256.88199580
0.01300000 1668030.33802377 3853.15025078
0.01400000 1665694.96037304 4122.59520968
0.01500000 1663191.20959715 4390.82498885
0.01600000 1660518.84285013 4234.32323856
0.01700000 1657679.99208328 4923.30979734
0.01800000 1654675.21710164 5187.40703903
0.01900000 1651505.44050250 5945.41985408
0.02000000 1648171.54991231 6230.08874049
0.02100000 1644676.22378217 7055.66131992
0.02200000 1641018.08452077 6227.66391369
0.02300000 1637200.37657872 5893.92162397
0.02400000 1633223.66191991 7961.96571491
0.02500000 1629090.29544619 6988.79768665
0.02600000 1624800.65259469 7238.48723839
0.02700000 1620356.81980744 9527.69853685
0.02800000 1615759.20438934 9137.11871985
0.02900000 1611011.12935636 11599.28066394
0.03000000 1606113.42078878 7468.42774996
0.03100000 1601067.51834221 8453.63688583
0.03200000 1595874.72340649 10269.45431811
0.03300000 1590539.33805008 12167.62649702
0.03400000 1585059.65308106 9153.71991890
0.03500000 1579440.00927634 10234.77173273
0.03600000 1573680.75225133 8733.92857862
0.03700000 1567785.38073875 11617.29020854
0.03800000 1561755.03036553 11877.14755560
0.03900000 1555592.35682947 10266.91003054
0.04000000 1549297.68984994 9528.18123410
0.04100000 1542874.90457354 9720.11234950
0.04200000 1536325.74752106 9909.30153123
0.04300000 1529651.85530581 11105.27298500
0.04400000 1522856.27561420 14390.99247290
0.04500000 1515941.12182887 15689.99133996
0.04600000 1508907.24941014 12765.35592343
0.04700000 1501758.74252149 17300.26151845
0.04800000 1494497.14481866 13181.46543061
0.04900000 1487125.19270113 12268.78341087
0.05000000 1479644.47397430 14715.06497890
0.05100000 1472059.26718625 14926.68166461
0.05200000 1464368.66683079 19790.94345450
0.05300000 1456577.96727750 12978.11029345
0.05400000 1448688.58089254 16732.35388960
0.05500000 1440703.86126978 13312.10429913
0.05600000 1432624.55435016 15923.62266466
0.05700000 1424455.98334480 17349.87468701
0.05800000 1416197.18223381 15040.01477758
0.05900000 1407852.51739642 13937.74057320
0.06000000 1399425.42850418 12804.74326904
0.06100000 1390917.49663103 14229.08665548
0.06200000 1382331.41735681 16981.94225602
0.06300000 1373670.70825745 17143.41124060
0.06400000 1364934.55159281 14638.92375045
0.06500000 1356129.44659038 14768.25036420
0.06600000 1347256.75543678 13539.93102565
0.06700000 1338317.90919750 15015.92764393
0.06800000 1329316.99590458 15134.27470680
0.06900000 1320257.33987938 15248.97298955
0.07000000 1311138.70809204 16756.35347409
0.07100000 1301965.75085228 21091.84615170
0.07200000 1292740.17049778 15571.05608310
0.07300000 1283465.61361352 17095.76277436
0.07400000 1274144.96606642 28668.26308001
0.07500000 1264778.81964693 15860.32714179
0.07600000 1255370.75365735 21749.29932673
0.07700000 1245924.23689314 16035.04568067
0.07800000 1236440.62058476 16117.00424515
0.07900000 1226921.70350968 20612.28558576
0.08000000 1217373.10206013 20707.51743745
0.08100000 1207795.40498221 14855.88417829
0.08200000 1198189.70972349 19392.70136188
0.08300000 1188560.14886907 16473.44443646
0.08400000 1178909.30177145 19540.42259406
0.08500000 1169239.23764459 15083.18687370
0.08600000 1159552.49482729 19671.80899837
0.08700000 1149851.35400555 16695.84244416
0.08800000 1140137.42769367 25875.42013672
0.08900000 1130414.37662841 22890.89220190
