# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682645.44518645 656.23173921
0.00200000 1682382.88742932 1135.60848497
0.00300000 1681945.50705507 1311.91754224
0.00400000 1681333.16768826 1387.09991605
0.00500000 1680546.54629141 1663.74114668
0.00600000 1679585.46423878 1939.92129017
0.00700000 1678450.69615468 2215.55501100
0.00800000 1677141.97798796 2943.38429564
0.00900000 1675660.79347624 2764.84042743
0.01000000 1674006.55030054 4419.37748362
0.01100000 1672180.78050214 4213.89575034
0.01200000 1670183.33289009 3582.54340612
0.01300000 1668015.72282549 4203.39980691
0.01400000 1665678.01513771 4122.55327022
0.01500000 1663171.73978893 4390.77358856
0.01600000 1660496.73534799 5081.12023731
0.01700000 1657655.07218438 5818.36956437
0.01800000 1654647.30829585 6130.46855309
0.01900000 1651474.45295518 5449.86594066
0.02000000 1648137.17021041 6229.95878521
0.02100000 1644638.44615288 7598.22996572
0.02200000 1640976.58467061 7925.91726405
0.02300000 1637155.19172623 6483.13485434
0.02400000 1633174.50655531 6736.84514672
0.02500000 1629036.93872909 6988.56878632
0.02600000 1624743.07000708 9870.31460174
0.02700000 1620294.76754380 9527.33366952
0.02800000 1615692.62672845 8433.91589830
0.02900000 1610939.90793052 7974.15291038
0.03000000 1606037.30966169 7468.07383320
0.03100000 1600986.44786541 8453.20883369
0.03200000 1595788.52115668 8689.06889790
0.03300000 1590447.78834657 12978.05455120
0.03400000 1584962.68321596 13313.68715331
0.03500000 1579337.41549855 9381.26468127
0.03600000 1573572.53437411 10479.99356325
0.03700000 1567671.19663188 12510.01672768
0.03800000 1561634.92065707 12789.79059209
0.03900000 1555466.17601370 9332.79748828
0.04000000 1549165.23393056 13338.31328223
0.04100000 1542736.18395626 10691.16225053
0.04200000 1536180.57342749 11890.03818994
0.04300000 1529500.12967549 12113.64158932
0.04400000 1522697.70488829 11306.03098387
0.04500000 1515775.79570849 15688.28021454
0.04600000 1508735.02489659 12763.89890398
0.04700000 1501579.57595746 15135.92282959
0.04800000 1494310.69993731 13179.82098668
0.04900000 1486931.42460507 11151.98620364
0.05000000 1479443.37745477 19240.16201974
0.05100000 1471850.87665961 12628.48111003
0.05200000 1464152.68259483 15132.01867979
0.05300000 1456354.40020131 15335.41254902
0.05400000 1448457.13860028 14339.72634086
0.05500000 1440464.64325409 13309.89392456
