# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682645.61767507 757.19054594
0.00200000 1682383.57635832 908.48716000
0.00300000 1681947.06011100 1110.08509922
0.00400000 1681335.92791157 1261.00199385
0.00500000 1680550.84880711 2268.74373569
0.00600000 1679591.66457805 2116.28558353
0.00700000 1678459.13163515 2819.81145834
0.00800000 1677152.99267561 4075.48194427
0.00900000 1675674.74477737 2764.86344707
0.01000000 1674023.73691974 3314.56714222
0.01100000 1672201.58449546 3310.95928146
0.01200000 1670208.07843229 3256.90589574
0.01300000 1668044.71913844 3853.18347115
0.01400000 1665711.59791021 4497.42151373
0.01500000 1663210.29678039 3991.70489002
0.01600000 1660540.56419668 6775.00580479
0.01700000 1657704.48653926 5818.54300877
0.01800000 1654702.61772972 7545.44427637
0.01900000 1651536.00139544 6440.99069608
0.02000000 1648205.31672113 5191.84698253
0.02100000 1644713.49691622 8684.08765744
0.02200000 1641058.85148897 6227.81862435
0.02300000 1637244.95479315 6483.49031610
0.02400000 1633272.08537039 7962.20177924
0.02500000 1629142.72111218 8259.75397327
0.02600000 1624857.26242154 7896.80665656
0.02700000 1620417.73479344 6805.75479784
0.02800000 1615824.60045054 8434.60480116
0.02900000 1611081.23834840 8699.83908653
0.03000000 1606188.26448195 11203.16365972
0.03100000 1601147.32320434 9222.60900602
0.03200000 1595959.57460587 7900.00025816
0.03300000 1590629.45421644 10545.87376762
0.03400000 1585155.06189869 11650.89024253
0.03500000 1579540.85479021 10235.42521169
0.03600000 1573787.35371803 10481.42426015
0.03700000 1567897.53376636 8937.01635578
0.03800000 1561873.15737901 12791.74175093
0.03900000 1555716.53520760 16801.73935833
0.04000000 1549427.93898347 13340.57517284
0.04100000 1543011.50714966 11665.16753493
0.04200000 1536468.69645635 11892.26826229
0.04300000 1529801.35342664 13125.69622167
0.04400000 1523012.21759199 12336.39953542
0.04500000 1516103.89847847 17783.89955548
0.04600000 1509076.84754108 11702.89149671
0.04700000 1501935.40428289 17302.29666203
0.04800000 1494680.78671791 14281.67558159
0.04900000 1487315.95158873 12270.35717176
0.05000000 1479842.49273536 14717.03427557
0.05100000 1472264.76472902 11483.66569984
0.05200000 1464581.61738464 15136.45172105
0.05300000 1456798.53067707 16520.09610801
0.05400000 1448916.66294316 11953.56302672
0.05500000 1440939.69818872 15735.06223825
0.05600000 1432868.32132384 13476.12719090
0.05700000 1424707.65461143 16113.44432581
0.05800000 1416456.84940010 15042.77244301
0.05900000 1408120.21658284 15207.69904938
0.06000000 1399701.33287238 15368.72135295
0.06100000 1391201.57305330 12938.17523401
