# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 419.89988635
0.00100000 1646579.98439149 543.37140775
0.00200000 1646321.24454094 1037.18241690
0.00300000 1645890.22413029 987.53416966
0.00400000 1645286.78175322 1850.94769980
0.00500000 1644511.58602776 1480.06048601
0.00600000 1643564.47474675 2588.61415311
0.00700000 1642446.21817900 1970.93554373
0.00800000 1641156.54295657 2437.11756919
0.00900000 1639696.94325954 2459.54552003
0.01000000 1638066.77879917 2973.09133190
0.01100000 1636267.55260342 3828.86623980
0.01200000 1634299.22145810 3186.88362157
0.01300000 1632163.18315178 4455.80568653
0.01400000 1629859.57566130 5500.77631171
0.01500000 1627389.87608612 5468.03022713
0.01600000 1624753.94444250 6628.99638966
0.01700000 1621953.75901727 4817.20288037
0.01800000 1618989.91806817 5536.94576894
0.01900000 1615863.48738798 5817.10881708
0.02000000 1612575.04204867 6095.53393468
0.02100000 1609127.57717071 5310.12124542
0.02200000 1605519.37791097 8308.56315817
0.02300000 1601754.03273999 9226.10364854
0.02400000 1597831.77373534 8987.80413708
0.02500000 1593755.04125143 8080.33842818
0.02600000 1589524.27797084 6437.57362023
0.02700000 1585141.51564989 6657.59467065
0.02800000 1580607.13924197 8938.33378232
0.02900000 1575924.50107730 7800.82663850
0.03000000 1571094.34354260 9497.26574326
0.03100000 1566118.10674906 8269.10398412
0.03200000 1560997.19583958 8499.63012282
0.03300000 1555735.60904664 7934.25197191
0.03400000 1550331.75310520 8139.24207935
0.03500000 1544790.16092628 8341.86725421
0.03600000 1539111.00119668 11104.68638682
0.03700000 1533297.58392119 11361.73562231
0.03800000 1527351.34607441 9828.50636685
0.03900000 1521274.70469059 10953.17838101
0.04000000 1515067.96108968 11181.20207097
0.04100000 1508735.29209202 14257.54917134
0.04200000 1502277.82375358 14534.53861911
0.04300000 1495697.66440508 11845.92605195
0.04400000 1488997.81198424 14071.02997674
