# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 324.60689558
0.00100000 1664563.97655019 499.36920482
0.00200000 1664303.64056827 898.72399436
0.00300000 1663869.95326243 1397.65081053
0.00400000 1663262.78693791 1621.68127889
0.00500000 1662482.80858090 1496.23458695
0.00600000 1661529.84739119 2093.52769294
0.00700000 1660404.66755151 2789.47995742
0.00800000 1659107.02817847 2911.73295739
0.00900000 1657638.37782917 3232.39497494
0.01000000 1655998.10607102 3005.63669230
0.01100000 1654187.77320571 3275.29193355
0.01200000 1652207.24279988 3866.16511766
0.01300000 1650057.96250190 4504.65843631
0.01400000 1647740.05753703 3707.41529381
0.01500000 1645255.02552579 5133.19590822
0.01600000 1642602.69093992 6282.95557372
0.01700000 1639785.09290993 7083.87191914
0.01800000 1636802.84644709 6997.33248342
0.01900000 1633656.88777812 6861.35923827
0.02000000 1630347.95262363 6676.27516800
0.02100000 1626878.89824328 5368.70060761
0.02200000 1623248.19997094 6160.22719876
0.02300000 1619459.23811604 8745.08028389
0.02400000 1615512.40162614 6663.98896057
0.02500000 1611410.10117844 6284.49968161
0.02600000 1607152.77045983 6508.96901807
0.02700000 1602742.38360236 8077.82198333
0.02800000 1598179.46080911 6952.08097334
0.02900000 1593467.24465840 9321.78380925
0.03000000 1588606.54396247 8125.72284587
0.03100000 1583598.78623006 8361.40197603
0.03200000 1578445.36722019 10157.29640589
0.03300000 1573150.31035725 8825.37364796
0.03400000 1567712.15306793 8230.48918336
0.03500000 1562135.14844446 9279.08321025
0.03600000 1556419.65084223 11229.56829979
0.03700000 1550569.02465312 11489.71700405
0.03800000 1544584.65563360 10842.98478436
0.03900000 1538468.94956563 11076.97694985
0.04000000 1532222.23258692 10365.48388378
0.04100000 1525848.58782274 13457.98516860
0.04200000 1519349.41930700 11759.76505101
0.04300000 1512726.65167384 16972.79381962
0.04400000 1505983.04671091 14231.54045236
0.04500000 1499121.09622510 17584.69127579
0.04600000 1492141.25914617 12623.51563920
0.04700000 1485047.76935709 10692.34443665
0.04800000 1477842.09666992 14120.78189069
0.04900000 1470526.88165885 11028.95212581
0.05000000 1463104.01605525 13431.29549283
0.05100000 1455577.54585735 12488.85592524
0.05200000 1447946.49551897 11511.17517581
0.05300000 1440216.26078162 11665.75225616
0.05400000 1432388.08284906 14180.64268150
0.05500000 1424465.50501024 16751.71512038
0.05600000 1416449.17989937 13321.70515860
0.05700000 1408344.24182533 13477.85502339
0.05800000 1400150.07363618 13630.46160329
0.05900000 1391870.67961212 12526.83670159
0.06000000 1383509.68407124 17722.75988094
0.06100000 1375068.62288419 14066.95266947
0.06200000 1366549.96871172 15496.67736956
0.06300000 1357957.49865426 16947.31037558
0.06400000 1349290.22924055 17102.25445544
0.06500000 1340554.87413509 18580.09142465
0.06600000 1331752.59084526 14722.52558064
0.06700000 1322884.50583388 22938.81840467
0.06800000 1313955.05554310 14959.37900759
0.06900000 1304967.63543018 13702.16081354
0.07000000 1295921.83518120 15181.72501008
0.07100000 1286822.29088154 15287.44953170
0.07200000 1277670.58321635 19586.69095828
0.07300000 1268470.43028723 18304.02916669
0.07400000 1259224.75258097 15582.90704347
0.07500000 1249934.04249483 21373.87312851
0.07600000 1240601.74929390 18627.63613892
0.07700000 1231231.62232356 17286.49278796
0.07800000 1221824.88433259 18822.21322583
0.07900000 1212383.38793787 16003.46147140
0.08000000 1202912.51360541 14615.38772593
0.08100000 1193412.83154126 23486.36562667
0.08200000 1183885.74307333 20635.12947008
0.08300000 1174334.92588707 14796.62076061
0.08400000 1164763.36807634 17820.88036806
0.08500000 1155172.75491423 17882.07508555
0.08600000 1145566.00656455 16444.60079633
0.08700000 1135944.90859380 20992.26289656
0.08800000 1126311.42713389 21050.76156176
0.08900000 1116669.09246122 19597.54349319
0.09000000 1107019.72140347 16621.90189770
0.09100000 1097365.51653008 16658.00932354
0.09200000 1087708.06887957 16690.88110121
0.09300000 1078051.87811697 18240.63863491
0.09400000 1068395.56058200 16747.10119919
0.09500000 1058743.54722071 27442.63403384
0.09600000 1049097.19571389 18317.23789822
0.09700000 1039461.69265873 18336.10512053
0.09800000 1029835.40440889 18351.66776942
0.09900000 1020222.57156738 18364.00715173
0.10000000 1010622.68896502 18373.12134942
0.10100000 1001039.59535188 18379.08783506
0.10200000 991475.06387225 19913.77759454
0.10300000 981930.81494018 18381.74572037
0.10400000 972408.96811605 21441.61875568
0.10500000 962913.25527818 18372.38577512
0.10600001 953440.21688561 16832.98782117
0.10700001 943997.17182234 16822.03039348
0.10800001 934581.93949428 19864.54005881
0.10900001 925199.17617118 24425.25940051
0.11000001 915849.32776144 22873.33803748
0.11100001 906533.22542885 15229.75890412
0.11200001 897254.19936403 22812.68909279
0.11300001 888011.66698660 16703.50024243
0.11400001 878809.16190080 22739.18813484
0.11500001 869647.51986809 18158.24106988
0.11600001 860528.18134386 21143.17841128
0.11700001 851452.48149477 16577.78059543
0.11800001 842420.96945781 18044.65801566
0.11900001 833435.28297041 15001.83580008
0.12000001 824496.88386079 16461.08106168
0.12100001 815608.57072998 17910.76505697
0.12200001 806769.75124726 20838.86365646
0.12300001 797982.47116736 14842.47466301
0.12400001 789246.99473016 16278.22003330
0.12500001 780564.16594732 16227.92977471
0.12600001 771937.44216110 14705.40896614
0.12700001 763365.26955389 17587.93663938
0.12800001 754849.38438856 20448.87078683
0.12900001 746391.23256863 18921.01863740
0.13000001 737991.33328929 17401.83645919
0.13100001 729649.76954522 21670.59917699
0.13200001 721367.91068970 14391.29049667
0.13300001 713147.97968658 17201.13008095
0.13400001 704988.19250999 17131.21388565
0.13500001 696891.61081437 19903.22534326
0.13600001 688856.73956334 19818.40933169
0.13700001 680886.18726902 15503.77921517
0.13800001 672978.33746333 19644.23859689
0.13900001 665136.20308645 18158.21920057
0.14000001 657358.62294080 23635.33040249
0.14100001 649646.50522674 20756.20682092
0.14200001 641999.96818495 20656.34995061
0.14300001 634421.13049498 21925.59530408
0.14400001 626906.20538089 16362.25273225
0.14500001 619460.59101622 14922.80634152
0.14600001 612081.47119430 16195.67649182
0.14700001 604771.88112274 13425.93639431
0.14800001 597527.18427288 17361.15315812
0.14900001 590352.07080291 14611.21444174
0.15000001 583244.55848972 13210.48987310
0.15100001 576205.64158345 17078.73602239
0.15200001 569235.58381085 14370.35299140
0.15300001 562335.07267195 14288.93487088
0.15400001 555500.63540513 16790.00749746
0.15500001 548736.72261398 20544.70386423
0.15600001 542038.92281741 20424.02757567
0.15700001 535413.19352492 16496.08127107
0.15800001 528852.25738050 16397.06501400
0.15900001 522362.15880617 16297.70012401
0.16000001 515937.88849013 14951.88071421
0.16100001 509584.81712961 12382.91164078
0.16200001 503298.50199511 12305.64895468
0.16300001 497079.54414448 13450.97309954
0.16400001 490928.56544318 15795.62733884
0.16500001 484844.41450398 12072.62649111
0.16600001 478828.43374924 15593.04868124
0.16700001 472877.57616103 15491.47012646
0.16800001 466992.75972476 18941.22722877
0.16900001 461176.24417181 19991.99112883
0.17000001 455424.14359461 19858.77071917
0.17100001 449737.38375922 15084.19256358
0.17200001 444116.33063500 14982.26512148
0.17300001 438559.75804864 16024.97431587
0.17400001 433067.73109058 17052.04271699
0.17500001 427639.34354894 15805.55088403
0.17600001 422272.94026441 13453.61651223
0.17700001 416971.34494315 12246.44897939
0.17800001 411730.69435820 13265.96359880
0.17900001 406552.58439661 15367.68841606
0.18000001 401436.21605593 13078.79253688
0.18100001 396382.22480392 14067.60582280
0.18200001 391385.99778104 17189.67383455
0.18300001 386450.87241945 15999.06687395
