# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664563.66071764 599.24293209
0.00200000 1664302.35811466 898.72330184
0.00300000 1663867.08415366 1098.15231466
0.00400000 1663257.68218636 1247.44330904
0.00500000 1662474.83170902 1645.85014854
0.00600000 1661518.34457014 2093.51319939
0.00700000 1660389.03696222 2590.20700531
0.00800000 1659086.63597274 2239.76705313
0.00900000 1657612.55685120 3480.98651819
0.01000000 1655966.25695606 4644.98555133
0.01100000 1654149.30105903 3275.21575870
0.01200000 1652161.51333631 3543.88660148
0.01300000 1650004.32816737 4504.51201457
0.01400000 1647677.94330859 5931.64085887
0.01500000 1645183.84236428 3948.44139749
0.01600000 1642521.74314766 5026.11675872
0.01700000 1639693.92495704 4427.17379598
0.01800000 1636700.80607924 7463.35601155
0.01900000 1633543.37311296 5880.75640856
0.02000000 1630222.46194621 6162.24118491
0.02100000 1626740.73148633 6978.71805448
0.02200000 1623096.93396293 7279.59007955
0.02300000 1619294.22673119 8161.24327421
0.02400000 1615333.14057989 9086.24933007
0.02500000 1611215.96655582 8797.23957917
0.02600000 1606943.47983059 7158.93353008
0.02700000 1602517.14086368 8749.74398986
0.02800000 1597937.88680155 9731.44217690
0.02900000 1593208.85019243 10037.21621706
0.03000000 1588330.61181909 10340.03275822
0.03100000 1583305.08040440 10639.81062989
0.03200000 1578133.30782150 10155.28830356
0.03300000 1572819.43140361 8823.51741694
0.03400000 1567362.20168183 11520.11271390
0.03500000 1561765.47828298 9276.88736939
0.03600000 1556029.76591403 12953.94839988
0.03700000 1550158.63093494 14137.44736795
0.03800000 1544153.31172626 9936.62702082
0.03900000 1538016.25354540 10150.90774349
0.04000000 1531747.88663940 10362.27493329
0.04100000 1525352.11165977 13453.60624864
0.04200000 1518830.57392846 10776.10342196
0.04300000 1512185.02151234 9980.42160525
0.04400000 1505418.04205094 11177.72948134
0.04500000 1498532.82543129 15509.81546388
0.04600000 1491529.27318740 11566.81005127
0.04700000 1484411.70985478 19237.97665444
0.04800000 1477181.52480245 16285.92706870
0.04900000 1469841.70620246 14330.95730254
0.05000000 1462394.05052223 14543.50950968
0.05100000 1454842.56977729 12482.54983018
0.05200000 1447185.95441623 14956.66753589
0.05300000 1439430.40673558 11659.38683809
0.05400000 1431576.33629477 14172.60639024
0.05500000 1423627.81807734 13154.32165267
0.05600000 1415585.26320502 12103.25456519
0.05700000 1407454.18301375 17142.79274931
0.05800000 1399233.65828518 12383.21845403
0.05900000 1390927.76099765 15022.02052039
0.06000000 1382540.13181833 16445.31563628
0.06100000 1374072.07794628 15334.64510649
0.06200000 1365526.69526941 12904.22787349
0.06300000 1356907.30249934 23447.35928348
0.06400000 1348212.98506785 15774.09266300
0.06500000 1339450.80086428 17238.73261351
0.06600000 1330621.40925488 13372.74578870
0.06700000 1321726.41857327 14829.77111041
0.06800000 1312769.58241466 21739.46530239
0.06900000 1303755.28716882 15058.37427182
0.07000000 1294682.51830539 13788.36946564
0.07100000 1285556.14765236 16660.80845393
0.07200000 1276377.57058029 15373.96855786
0.07300000 1267150.63331327 19691.52176435
0.07400000 1257878.30600890 19811.58424809
0.07500000 1248560.99587688 15656.95562218
0.07600000 1239202.19389908 17175.34321263
0.07700000 1229805.80770162 17266.47434973
0.07800000 1220372.95321711 15907.56219119
0.07900000 1210905.25530758 17437.03649429
0.08000000 1201408.44583377 16056.82463181
0.08100000 1191883.00199244 20524.22625727
0.08200000 1182330.85979403 16192.02188469
0.08300000 1172754.53259039 19209.72014538
0.08400000 1163158.10424804 17796.31983033
0.08500000 1153542.99598043 19344.91695074
0.08600000 1143911.52936704 19406.46000687
0.08700000 1134266.25100168 14972.31521629
0.08800000 1124608.71620767 18016.23247976
0.08900000 1114942.69406871 15051.72707690
0.09000000 1105270.13212078 15086.93801217
0.09100000 1095592.62799104 18143.01477191
0.09200000 1085912.69098491 16663.33102612
0.09300000 1076234.17545271 18209.88310438
0.09400000 1066555.76004606 19757.94638343
0.09500000 1056882.10978227 19784.83402506
0.09600000 1047214.81858371 18284.37159198
0.09700000 1037558.12807310 15252.10519972
0.09800000 1027911.60339567 18317.38563375
0.09900000 1018278.55361593 15274.17902247
0.10000000 1008659.27581996 16809.30762203
0.10100000 999056.73212176 21399.79620852
0.10200000 989473.60716011 22931.05192453
0.10300000 979911.08762589 15286.61368606
0.10400000 970371.54875803 19868.35839553
0.10500000 960858.33960495 18333.17798223
0.10600001 951368.08766348 19850.29608313
0.10700001 941909.06440302 18310.71307365
0.10800001 932477.65851700 16770.61147768
0.10900001 923079.54079843 18276.97576803
0.11000001 913714.87894883 18256.02414070
0.11100001 904384.15519133 16713.01997467
0.11200001 895091.35098695 15171.79911347
0.11300001 885835.56433172 19692.12552222
0.11400001 876620.17885619 21170.37831617
0.11500001 867446.15802958 18112.27663253
0.11600001 858315.22333930 18076.11945476
0.11700001 849228.44621962 19540.74746778
0.11800001 840186.25730895 17996.79047918
0.11900001 831190.63327821 20946.00494520
0.12000001 822242.51110412 16416.07250747
0.12100001 813345.38126585 26791.59812100
0.12200001 804498.25532198 19295.89156295
0.12300001 795703.21183813 20720.11261248
0.12400001 786960.33883811 19182.15916299
0.12500001 778271.08340276 23534.91867108
0.12600001 769638.38155610 20526.25660337
0.12700001 761060.87897054 21918.55434729
0.12800001 752540.25792428 26210.97841881
0.12900001 744077.69732338 17411.41893800
0.13000001 735674.18253562 18792.79787867
0.13100001 727329.39484640 14401.12269679
0.13200001 719045.31177973 15779.45011085
0.13300001 710823.42871829 17145.06190895
0.13400001 702662.39135550 19920.47973409
0.13500001 694565.23005816 14169.13136124
0.13600001 686530.09592483 14108.19413647
0.13700001 678560.28241872 15450.81835923
0.13800001 670653.56904343 18178.06584612
0.13900001 662812.95205676 13919.07264959
0.14000001 655037.58465109 20781.06835310
0.14100001 647328.49622121 16545.71714376
0.14200001 639685.20926731 15093.37322455
0.14300001 632110.61686207 19115.02595552
0.14400001 624600.19135233 21736.08768435
0.14500001 617159.82725681 18922.12119629
0.14600001 609786.64205717 18824.11452832
0.14700001 602483.49145399 21400.21462603
0.14800001 595245.51459176 14634.11166666
0.14900001 588077.63066236 22493.97043412
0.15000001 580978.31010975 14475.07527936
0.15100001 573948.02054432 18320.42168022
0.15200001 566987.15640277 20819.76936553
0.15300001 560096.33875108 12938.22603569
0.15400001 553272.16062754 18009.00967829
0.15500001 546518.82777495 21740.51999489
0.15600001 539832.21611947 13984.35421857
0.15700001 533218.33650115 17692.18524012
0.15800001 526669.53668416 15073.28285134
0.15900001 520192.22835613 19975.38251173
0.16000001 513781.43000878 14889.38654447
0.16100001 507442.21487716 16030.10032466
0.16200001 501169.97783993 13478.96719029
0.16300001 494965.77220621 17046.62199952
0.16400001 488829.89573084 15728.10263766
0.16500001 482761.54373517 14424.91560783
0.16600001 476761.64205367 16720.03157623
0.16700001 470827.09686162 15424.29642144
0.16800001 464959.40369836 14144.06572834
0.16900001 459160.41990472 18733.74601668
0.17000001 453425.87524847 13956.44909917
0.17100001 447757.44358354 18483.42814394
0.17200001 442154.88378442 14916.09570885
0.17300001 436617.59555744 19372.72362975
0.17400001 431144.71990117 19239.83403421
0.17500001 425736.01893218 12363.37457368
0.17600001 420389.79064860 13393.61936263
0.17700001 415108.79627339 17733.44861436
0.17800001 409888.67725605 11005.51150414
0.17900001 404731.89785689 14206.09028578
0.18000001 399636.92984002 10850.14315766
0.18100001 394604.73202627 15081.79357045
0.18200001 389630.45327191 18182.10596082
0.18300001 384717.64697263 12741.84906965
0.18400001 379864.04437753 11595.35050240
0.18500001 375071.01456659 10464.48180077
0.18600001 370334.82837454 11426.68166933
0.18700001 365656.72929556 13404.97632929
0.18800001 361035.87647558 11258.90433983
0.18900001 356473.31110306 12191.38781574
0.19000001 351963.38045015 17142.37725478
0.19100001 347513.32586342 13010.89953509
0.19200001 343114.71273321 10926.48854328
0.19300001 338773.41496545 10844.13752546
0.19400001 334483.15040679 11740.35913406
0.19500001 330247.42664203 16505.76716355
0.19600001 326063.45545800 11562.21067693
0.19700001 321931.36824395 11473.63450643
0.19800001 317850.78073019 10436.63087850
0.19900001 313820.93837271 9414.62859612
0.20000001 309839.74791606 12144.16949352
0.20100001 305909.39831727 16684.29937276
0.20200001 302026.06574558 11036.03296394
