# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682645.36734194 504.79362219
0.00200000 1682382.57292614 757.07218179
0.00300000 1681944.80774086 1412.83368883
0.00400000 1681331.92167912 1387.09888809
0.00500000 1680544.59558936 1966.23725467
0.00600000 1679582.63947114 2468.98658054
0.00700000 1678446.87048205 2618.37722677
0.00800000 1677137.02201074 3169.78910543
0.00900000 1675654.49048839 2764.83002750
0.01000000 1673998.76175910 3038.30788379
0.01100000 1672171.38454271 3310.89948555
0.01200000 1670172.18576849 3908.20308605
0.01300000 1668002.61928172 4203.36678598
0.01400000 1665662.87198909 4497.28995374
0.01500000 1663154.38895490 4789.88485348
0.01600000 1660476.97685478 5081.05977632
0.01700000 1657632.84770163 5818.29155643
0.01800000 1654622.44070519 5187.24158502
0.01900000 1651446.76399454 6936.07672175
0.02000000 1648106.62450226 6229.84332243
0.02100000 1644604.75382398 7598.07430715
0.02200000 1640939.78746394 6793.49102874
0.02300000 1637114.98315994 8840.42131147
0.02400000 1633130.85074381 6736.66506649
0.02500000 1628989.66291691 7623.67197063
0.02600000 1624692.24622615 9212.00545744
0.02700000 1620239.97249573 8166.00983539
0.02800000 1615633.92389041 10542.01183684
0.02900000 1610877.11744309 7973.84209746
0.03000000 1605970.22519975 7467.76189044
0.03100000 1600915.02563001 8452.83172427
0.03200000 1595712.68783139 11058.28943600
0.03300000 1590367.33496245 8110.87378222
0.03400000 1584877.75346657 10816.79116650
0.03500000 1579247.69260052 10233.52552062
0.03600000 1573477.90876469 11352.64363639
0.03700000 1567571.63478157 16976.80158982
0.03800000 1561530.35670416 10961.94361138
0.03900000 1555356.41733694 10265.35282981
0.04000000 1549050.38273396 14289.99044290
0.04100000 1542615.88917648 10690.32860767
0.04200000 1536054.95424723 12879.82138889
0.04300000 1529369.08164885 15140.75461113
0.04400000 1522560.88741621 12332.74376083
0.04500000 1515633.52903080 14641.02057073
0.04600000 1508587.12794153 12762.64769568
0.04700000 1501425.86026866 15134.37337538
0.04800000 1494151.09405922 10982.01105231
0.04900000 1486765.98076830 13380.89444976
0.05000000 1479272.04928394 16974.64755598
0.05100000 1471673.53266802 11479.05408955
0.05200000 1463969.20531626 17457.83358695
0.05300000 1456165.00561124 16512.91193343
0.05400000 1448261.53327526 13142.97402738
0.05500000 1440262.94518080 15727.67209506
0.05600000 1432169.39093581 17143.06840947
0.05700000 1423986.62692483 21060.76319530
0.05800000 1415713.60876442 16287.78582935
0.05900000 1407354.44246826 12666.19057380
0.06000000 1398912.86774932 12800.05333791
0.06100000 1390390.23959144 12930.62983247
0.06200000 1381789.46006954 16975.28431044
0.06300000 1373113.87271429 17136.46193269
0.06400000 1364362.83874890 13302.53829992
0.06500000 1355542.95376559 16103.85104404
0.06600000 1346655.35347220 17594.05301631
0.06700000 1337701.44498694 13644.55537742
0.06800000 1328685.10168125 19252.64802456
0.06900000 1319610.61328798 20783.86813236
0.07000000 1310476.90485806 15352.23765933
0.07100000 1301288.82521943 18270.09596181
0.07200000 1292048.14731690 24051.47738904
0.07300000 1282758.36198952 19934.06587934
0.07400000 1273422.62669591 15758.60574388
0.07500000 1264041.20302439 14410.07038991
0.07600000 1254617.87447002 20287.17198126
0.07700000 1245156.10649956 14568.32712913
0.07800000 1235657.53761866 21963.81376119
0.07900000 1226123.43965234 20598.87475232
0.08000000 1216559.54389255 19215.55889721
0.08100000 1206966.74388589 14845.69164633
0.08200000 1197346.37055180 22360.44451932
0.08300000 1187701.59078853 16461.54482090
0.08400000 1178035.89060569 15019.95831024
0.08500000 1168351.19925917 19593.25053138
0.08600000 1158649.52737066 15120.37704211
0.08700000 1148933.75006896 24265.48194091
0.08800000 1139204.95060480 19770.90284626
0.08900000 1129467.34018215 15247.80980864
0.09000000 1119722.74393430 22926.32425903
0.09100000 1109972.82720256 22976.43860255
0.09200000 1100219.82250062 18417.68069405
0.09300000 1090467.89201778 21525.83719998
0.09400000 1080715.57872961 20020.25703687
0.09500000 1070967.68840117 21590.70961299
0.09600000 1061225.80016052 18529.00334181
0.09700000 1051494.13960235 23185.44686824
0.09800000 1041771.92748447 24752.50216084
0.09900000 1032063.29410120 24769.52022315
0.10000000 1022367.73452296 20135.53347835
0.10100000 1012688.64042753 18592.96431271
0.10200000 1003028.73703106 18596.15365925
0.10300000 993388.97030237 21695.61613198
0.10400000 983771.70348281 24791.04809406
0.10500000 974180.75417359 24783.15955221
0.10600001 964612.44606494 18578.43658539
0.10700001 955074.98287182 23208.32317591
0.10800001 945564.95544770 15459.98774914
0.10900001 936087.79568868 21623.62909814
0.11000001 926643.77532446 16971.48154391
0.11100001 917233.61751793 20032.38314958
0.11200001 907861.04758071 20004.71912521
0.11300001 898525.25089489 19974.21726780
0.11400001 889229.74679482 19940.97801078
0.11500001 879975.21175208 16842.72634602
0.11600001 870763.69296408 16810.09388428
0.11700001 861596.21562323 18300.30448169
0.11800001 852472.92381498 16738.30664745
0.11900001 843396.23829497 18217.35960524
0.12000001 834366.81708383 18172.51013210
0.12100001 825388.15509492 22656.90592468
0.12200001 816459.36966597 22595.51412001
0.12300001 807582.77745558 16523.14440522
0.12400001 798757.97080981 19469.72645585
0.12500001 789986.81153391 14930.75144154
0.12600001 781272.05427184 26789.82000341
0.12700001 772612.37380139 19284.40575889
0.12800001 764009.43854893 19218.65833246
0.12900001 755464.75367308 19151.03240824
0.13000001 746978.83746854 16145.94833292
0.13100001 738551.69350719 17547.98906490
0.13200001 730185.06753473 18937.35061923
0.13300001 721880.72167829 18862.74414670
0.13400001 713637.10649254 24566.95854923
0.13500001 705457.46108162 15830.46617305
0.13600001 697339.90155950 20062.46991383
0.13700001 689287.48103100 15695.07668315
0.13800001 681298.10319659 17046.07934580
0.13900001 673375.30818782 15554.97035268
0.14000001 665517.44925273 18298.40313017
0.14100001 657725.84210262 15410.51720727
0.14200001 650000.31084472 16731.00879027
0.14300001 642343.50429974 15262.08238204
0.14400001 634750.80262596 16566.99673000
0.14500001 627228.37731468 15109.93232228
0.14600001 619773.09953838 21865.59598321
0.14700001 612387.97242679 17673.51771801
0.14800001 605068.22118152 21637.24061027
0.14900001 597818.69238462 17486.19757726
0.15000001 590637.71091871 18729.12269693
0.15100001 583525.86945788 14634.82949655
0.15200001 576483.79737794 17199.39490636
0.15300001 569511.78082243 18418.01186093
0.15400001 562606.60146386 17004.78533172
0.15500001 555772.38567799 20808.11910178
0.15600001 549005.06888731 14221.97698073
0.15700001 542310.80349194 16708.59664418
0.15800001 535681.72306276 14053.61066786
0.15900001 529124.12618249 16508.67351611
0.16000001 522633.30202443 13883.75432363
0.16100001 516214.43514752 15052.81363946
