# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 306.16431016
0.00100000 1700824.60641579 714.34635166
0.00200000 1700559.87865797 1071.35275748
0.00300000 1700118.89402519 1122.07851003
0.00400000 1699501.50900363 1911.93927028
0.00500000 1698708.38306241 1528.83760527
0.00600000 1697739.37010555 1960.88905230
0.00700000 1696595.24667851 2035.91438063
0.00800000 1695275.73876097 3204.07128153
0.00900000 1693782.33228386 2794.74096774
0.01000000 1692114.39118137 5304.77884541
0.01100000 1690273.58263502 3346.74183933
0.01200000 1688259.67367741 6255.00236522
0.01300000 1686074.12766386 3894.83140668
0.01400000 1683717.08916280 3788.36361856
0.01500000 1681190.16581035 4438.34223537
0.01600000 1678493.04363377 5136.18894312
0.01700000 1675627.90683479 5429.03466168
0.01800000 1672595.30031146 5243.58650243
0.01900000 1669396.17580497 5509.00762874
0.02000000 1666031.35438133 8396.79840592
0.02100000 1662503.66852373 6034.88859035
0.02200000 1658811.59615436 8584.35040011
0.02300000 1654958.49885596 6553.63595378
0.02400000 1650944.84280862 9286.56516424
0.02500000 1646773.08978681 7706.89841218
0.02600000 1642443.71403561 9977.84601914
0.02700000 1637958.53422272 11007.08185411
0.02800000 1633318.24973629 8525.92165462
0.02900000 1628526.16281410 9526.87848988
0.03000000 1623582.86251969 10569.52492083
0.03100000 1618490.10079864 10099.37869369
0.03200000 1613249.00784422 7985.58295663
0.03300000 1607864.01707270 9020.11755161
0.03400000 1602333.49663621 14300.82711732
0.03500000 1596661.43660694 9484.16937141
0.03600000 1590848.65541874 9712.13149017
0.03700000 1584898.25200681 9033.92045424
0.03800000 1578811.82719670 13854.07442481
0.03900000 1572591.77592362 11322.66131100
0.04000000 1566238.44422453 9632.36687833
0.04100000 1559755.77430652 11791.75420050
0.04200000 1553145.60758353 11019.56859703
0.04300000 1546409.57883039 12247.56443284
0.04400000 1539550.23811962 10391.96458993
0.04500000 1532570.76777358 11632.21266789
0.04600000 1525471.28821764 11830.03039007
0.04700000 1518255.97158779 13117.73220460
0.04800000 1510926.48721550 11105.31019774
0.04900000 1503485.49153019 13531.37005362
0.05000000 1495934.86659189 13732.68271479
0.05100000 1488278.77161912 16252.00494316
0.05200000 1480516.11419860 11770.10365638
0.05300000 1472652.62726896 16699.88157174
0.05400000 1464689.14089664 14500.42317109
0.05500000 1456629.66301839 23247.81050627
0.05600000 1448474.58257139 13622.90408479
0.05700000 1440229.41862195 13782.99617958
0.05800000 1431893.11599021 19008.38200232
0.05900000 1423470.12821874 16654.60127803
0.06000000 1414963.91476374 14241.61246745
0.06100000 1406375.91401159 13079.29661152
0.06200000 1397709.09444307 21133.36249583
0.06300000 1388966.96262499 24001.35023635
0.06400000 1380148.60379143 22875.96417768
0.06500000 1371260.62085972 21720.76925047
0.06600000 1362304.36400968 17798.50734855
0.06700000 1353281.19867487 15183.81575972
0.06800000 1344195.22202007 20868.63179870
0.06900000 1335050.39777320 18223.43878281
0.07000000 1325845.66506482 22592.41119067
0.07100000 1316586.00215894 18484.86833610
0.07200000 1307273.28971107 17177.57183152
0.07300000 1297911.13655697 15847.49571990
0.07400000 1288502.44414560 23193.04508154
0.07500000 1279047.62553716 17497.37233749
0.07600000 1269550.37079776 20528.63045819
0.07700000 1260014.42494946 23587.47114104
0.07800000 1250440.97420550 28153.67985454
0.07900000 1240831.87433249 17867.97982846
0.08000000 1231192.56244987 14958.99033551
0.08100000 1221523.82127053 15024.74370656
0.08200000 1211827.31314045 19613.42598354
0.08300000 1202106.00025741 19690.49720833
0.08400000 1192363.32263005 19763.42300026
0.08500000 1182601.46635516 18306.67155859
0.08600000 1172822.59324233 16835.86911646
0.08700000 1163029.02528190 19957.57901100
0.08800000 1153222.51039050 21553.72973144
0.08900000 1143406.80502468 20066.79037071
0.09000000 1133583.82176685 17020.76188339
0.09100000 1123755.58459162 18609.39335513
0.09200000 1113923.88304300 20201.01056816
0.09300000 1104093.19581792 18681.25775111
0.09400000 1094261.80632121 20271.20091480
0.09500000 1084435.02130760 17177.45154490
0.09600000 1074613.70569189 21889.88221394
0.09700000 1064802.97025354 21913.64615804
0.09800000 1055001.25102364 20366.80010861
0.09900000 1045213.53499461 18813.84451458
0.10000000 1035438.23767638 21961.64605391
0.10100000 1025679.82400800 18831.48245447
0.10200000 1015940.61981098 15696.28331437
0.10300000 1006221.13011264 17266.75540497
0.10400000 996524.67500436 17264.79080667
0.10500000 986854.30343920 25105.57466069
0.10600001 977206.61873555 15684.16696870
0.10700001 967589.88968928 18809.94834071
0.10800001 958000.77876691 23494.97020497
0.10900001 948444.43273509 20344.13403968
0.11000001 938921.54126672 15633.04439793
0.11100001 929432.49352678 15614.46662628
0.11200001 919981.29853981 17153.05211879
0.11300001 910566.77869782 18684.83117858
0.11400001 901192.82757922 23318.36551154
0.11500001 891860.48347185 17070.21045745
0.11600001 882570.63872712 17038.02698297
0.11700001 873325.24837128 21641.00067382
0.11800001 864124.39374999 16967.08327040
0.11900001 854970.21934850 16928.41114046
0.12000001 845863.79546137 16887.67147188
0.12100001 836808.34241139 18376.31206503
0.12200001 827802.80704136 18327.55501133
0.12300001 818849.85625752 15230.60804397
0.12400001 809949.06586792 18223.85484069
0.12500001 801102.04294966 19683.07812275
0.12600001 792311.65156426 16602.89144091
0.12700001 783576.94317212 22567.01702686
0.12800001 774899.05699957 16493.72720557
0.12900001 766279.89489912 14942.45865480
0.13000001 757719.92131940 19355.95630244
0.13100001 749218.90291416 17801.44197236
0.13200001 740778.80117372 14778.53778008
0.13300001 732401.47839885 20609.77857375
0.13400001 724085.20582403 21994.08916383
0.13500001 715833.31165483 16063.30027089
0.13600001 707643.77847024 21813.12049985
0.13700001 699519.79819056 21720.09075799
0.13800001 691459.18397570 18742.00206545
0.13900001 683465.77868426 17223.33843506
0.14000001 675537.80576360 14287.62526571
0.14100001 667676.36779011 21332.26095699
0.14200001 659881.52537142 16985.35126418
0.14300001 652155.58456343 15495.21742010
0.14400001 644494.54173307 18223.08402708
0.14500001 636903.92078716 13948.19652320
0.14600001 629380.95173570 13877.85064045
0.14700001 621928.74311793 23471.59187258
0.14800001 614542.35077904 16482.02662549
0.14900001 607226.72613463 16395.12237917
0.15000001 599979.86245594 14948.49897840
0.15100001 592802.84499277 13515.90550358
0.15200001 585695.88649941 13441.72122944
0.15300001 578659.62525972 20050.55696142
0.15400001 571690.66530330 21266.89375289
0.15500001 564793.15558281 14537.77651078
0.15600001 557962.98325446 15768.03465094
0.15700001 551206.33933905 18289.02720245
0.15800001 544515.47844791 16882.70320612
0.15900001 537896.58766907 14200.47058473
0.16000001 531345.00423971 14115.18070390
0.16100001 524865.64486964 15305.08292686
0.16200001 518454.22289297 16479.06825256
0.16300001 512111.32005787 21416.49641585
0.16400001 505837.70791377 16275.32902048
0.16500001 499632.04665002 13684.92240383
0.16600001 493495.79752136 16070.69140503
0.16700001 487425.76834952 15968.06892506
0.16800001 481423.20717520 15865.30254156
0.16900001 475489.98251128 13337.49463921
0.17000001 469622.31449173 14454.97552261
0.17100001 463821.25667581 13163.24788605
0.17200001 458086.89851311 14264.82669332
0.17300001 452418.52655954 17712.18615125
0.17400001 446815.74796570 16420.47951321
0.17500001 441277.52036785 11649.72708790
0.17600001 435802.56217091 12727.61442932
0.17700001 430393.83735830 11491.51600022
0.17800001 425046.82939912 17118.76186260
0.17900001 419763.88054363 11333.62531001
0.18000001 414543.33954775 13505.82264041
0.18100001 409386.48118976 13411.50175729
0.18200001 404288.54609992 12207.49322614
0.18300001 399252.94167451 11019.38171076
0.18400001 394277.19906753 10941.19279099
0.18500001 389362.87791106 13035.86976830
0.18600001 384506.35230575 14021.02479923
0.18700001 379708.49730295 10707.78012983
0.18800001 374968.82904624 11693.40348628
0.18900001 370288.45473740 13719.18789622
0.19000001 365660.99234668 13619.04430344
0.19100001 361094.66202860 13519.38478514
0.19200001 356580.59980285 12387.61062248
0.19300001 352124.39592649 11271.50244621
0.19400001 347720.33735109 11187.90238294
0.19500001 343371.27146397 12114.13902970
0.19600001 339075.21229208 13025.57489574
0.19700001 334831.67572558 9944.50123900
0.19800001 330640.39900312 14804.42456500
0.19900001 326500.79848314 9795.02441741
0.20000001 322410.44659793 12636.87805164
0.20100001 318371.90174902 12540.66980259
0.20200001 314381.12058584 10530.19613172
0.20300001 310440.86599874 11399.38913826
0.20400001 306547.81905822 9426.34588158
0.20500001 302702.27040058 9353.50059749
0.20600001 298903.88819254 10209.06278378
0.20700001 295152.00774795 9208.74307702
0.20800001 291444.41671846 9136.78289602
0.20900001 287784.30973167 14504.32989611
0.21000001 284166.62655822 14390.19864917
0.21100001 280593.61599180 12492.02837450
0.21200001 277063.01509979 9737.38012601
0.21300001 273574.43451179 9659.91373929
0.21400001 270128.93887917 9582.82455978
0.21500001 266725.50917476 9506.09759641
0.21600001 263361.63933046 10286.90611860
0.21700001 260038.21027672 8503.24987808
0.21800001 256754.65082955 9277.82974639
0.21900001 253508.98500374 10038.95628081
0.22000001 250301.55095363 9956.99616773
0.22100001 247133.60682901 9875.45939583
0.22200001 244003.02112468 13059.04230808
0.22300001 240907.57087218 10522.84319327
