# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 249.69761198
0.00100000 1664563.60265884 699.11672972
0.00200000 1664302.14458403 898.72318653
0.00300000 1663866.58587588 1397.64798192
0.00400000 1663256.80654209 1746.41971323
0.00500000 1662473.45101217 1645.84878165
0.00600000 1661516.38581447 1744.59227613
0.00700000 1660386.35749345 2789.44919652
0.00800000 1659083.14552834 2239.76234103
0.00900000 1657608.18244107 2486.41237995
0.01000000 1655960.83360134 2732.33549342
0.01100000 1654142.68481342 4466.18544345
0.01200000 1652153.71127510 3866.03985389
0.01300000 1649995.17077674 3811.48901260
0.01400000 1647667.33999120 4077.97684726
0.01500000 1645171.61082781 5527.77685853
0.01600000 1642507.91348523 5026.07443995
0.01700000 1639678.29791423 7526.12372504
0.01800000 1636683.27248303 6996.82130470
0.01900000 1633523.85953319 6370.74333964
0.02000000 1630200.84961696 6162.15949030
0.02100000 1626716.98634725 6978.61618783
0.02200000 1623070.86679923 6719.51369383
0.02300000 1619265.75557462 6412.29268395
0.02400000 1615302.16350016 8480.33674506
0.02500000 1611182.45459791 7540.33423189
0.02600000 1606907.11801662 9761.96118845
0.02700000 1602478.11833141 7403.44924578
0.02800000 1597895.89454970 8341.01695207
0.02900000 1593163.85578797 10036.93275230
0.03000000 1588282.69309882 10339.72080734
0.03100000 1583253.89409348 10639.46665786
0.03200000 1578078.89255487 10154.93814131
0.03300000 1572761.66246783 11229.51878771
0.03400000 1567300.85854219 10696.82885311
0.03500000 1561700.61050670 9276.50205478
0.03600000 1555961.39890633 9499.14477931
0.03700000 1550086.64623098 10602.59315056
0.03800000 1544077.40284110 13549.27983699
0.03900000 1537936.42578767 9227.61898206
0.04000000 1531664.03695334 11303.68111652
0.04100000 1525264.22619458 14413.74760585
0.04200000 1518738.39422978 10775.44940696
0.04300000 1512088.63486363 10977.76399868
0.04400000 1505317.63896543 11176.98398840
0.04500000 1498427.73459756 13440.89740387
0.04600000 1491419.73576302 14720.31347628
0.04700000 1484297.46249389 13893.02489508
0.04800000 1477062.84978335 15198.97743145
0.04900000 1469718.43988657 16534.33321836
0.05000000 1462265.91696431 13423.60174282
0.05100000 1454709.29749695 18154.77287848
0.05200000 1447048.10872358 14955.24290059
0.05300000 1439287.25578579 16321.51824149
0.05400000 1431428.30077569 14171.14083853
0.05500000 1423474.68520143 14348.62549618
0.05600000 1415426.99342525 12101.90135851
0.05700000 1407290.52059804 13467.77091078
0.05800000 1399064.56234359 12381.72195487
0.05900000 1390753.35333257 13768.45884106
0.06000000 1382360.30711221 15178.31688120
0.06100000 1373886.79243495 19165.72165011
0.06200000 1365335.99115767 12902.42571954
0.06300000 1356710.88749860 16931.75266763
0.06400000 1348011.11959362 13143.10903070
0.06500000 1339242.90204578 15910.20642055
0.06600000 1330407.83919643 14707.65935047
0.06700000 1321506.92197630 14827.30835848
0.06800000 1312544.67028001 16301.80556795
0.06900000 1303524.25686548 17793.10693927
0.07000000 1294445.57874224 19300.18448284
0.07100000 1285312.93328983 22210.20852752
0.07200000 1276128.29774050 16768.32661785
0.07300000 1266895.35850389 19687.55479362
0.07400000 1257616.79894808 18392.64654657
0.07500000 1248293.31996745 22768.87122344
0.07600000 1238928.52081373 18602.51261212
0.07700000 1229525.95183664 15823.99974210
0.07800000 1220086.68285049 15903.83065679
0.07900000 1210612.83578560 20338.29659514
0.08000000 1201109.77330906 16052.83287333
0.08100000 1191578.13107219 17587.69403981
0.08200000 1182019.16855595 14716.13933908
0.08300000 1172436.85156270 19204.51652990
0.08400000 1162833.77628126 17791.35761221
0.08500000 1153212.02052058 14876.43576309
0.08600000 1143574.18593107 22385.46574063
0.08700000 1133922.43817050 19458.10995271
0.08800000 1124258.59199330 18010.62348958
0.08900000 1114586.12154721 19560.98735193
0.09000000 1104906.91526744 22622.97015283
0.09100000 1095223.07449658 21159.71079338
0.09200000 1085536.27874911 21200.52452011
0.09300000 1075851.26064251 19720.35453428
0.09400000 1066166.50396981 24308.59743295
0.09500000 1056486.24074355 19777.42335631
0.09600000 1046812.00209073 16754.22688104
0.09700000 1037149.20105917 19819.92216403
0.09800000 1027495.73134177 16784.14356062
0.09900000 1017856.40856085 21374.98558488
0.10000000 1008230.30224176 16802.15877702
0.10100000 998621.40836117 21390.47157313
0.10200000 989031.74752197 19864.70358334
0.10300000 979462.42859309 16807.57606530
0.10400000 969916.38721814 18331.42058083
0.10500000 960396.79143051 19851.40261286
0.10600001 950900.15282498 19840.53262226
0.10700001 941434.13550234 16776.35708411
0.10800001 931996.65046070 16761.96054738
0.10900001 922592.00160483 19789.59936583
0.11000001 913220.75829206 24328.20214602
0.11100001 903883.92724447 16703.77576178
0.11200001 894584.37028678 22744.80868530
0.11300001 885322.27317494 15139.01158405
0.11400001 876100.52153560 19646.55512048
0.11500001 866920.15736862 15084.41144851
0.11600001 857782.71384651 15054.08733693
0.11700001 848689.51219008 16523.98558054
0.11800001 839641.03796705 22481.38985040
0.11900001 830639.17197225 16446.65637972
0.12000001 821685.01069674 16404.94201131
0.12100001 812781.49882371 14873.90212916
0.12200001 803928.12326948 19282.21694503
0.12300001 795126.98737398 17747.23519434
0.12400001 786378.29237503 14744.59367676
0.12500001 777682.60720227 16168.02216558
0.12600001 769043.98164221 17580.34624879
0.12700001 760460.30347257 17521.00621771
0.12800001 751933.58736058 18914.89028150
0.12900001 743465.25913570 14497.57323645
0.13000001 735055.90732378 15888.23418569
0.13100001 726705.38675612 17266.52080323
0.13200001 718415.35637078 17198.86444228
0.13300001 710187.70227519 15702.25083756
0.13400001 702021.09448701 15637.52061694
0.13500001 693918.08798564 19818.30152727
0.13600001 685877.49121447 14094.78310904
0.13700001 677901.79198188 19645.59485799
0.13800001 669989.48961806 22350.85042763
0.13900001 662143.70736551 15295.52036145
0.14000001 654362.88271536 13839.77562212
0.14100001 646648.34629419 19283.05459594
0.14200001 638999.97759717 15077.20518253
0.14300001 631419.76183441 15002.53424882
0.14400001 623904.39117012 16283.90537765
0.14500001 616458.83528522 14850.49404255
0.14600001 609080.33995228 13430.22212951
0.14700001 601771.93788375 20039.00647690
0.14800001 594529.27060224 15945.27578983
0.14900001 587356.71489249 14537.07937946
0.15000001 580252.24796624 13142.71403655
0.15100001 573217.12796048 14376.28624759
0.15200001 566251.29916759 19493.20189367
0.15300001 559355.61524881 20673.78451517
0.15400001 552526.81349475 14130.87392198
0.15500001 545769.05471867 15325.19577974
0.15600001 539078.01273140 13964.81657888
0.15700001 532459.58562807 15143.15132997
0.15800001 525906.47291052 13797.15696802
0.15900001 519424.92002156 16206.05826961
0.16000001 513009.54124764 16105.93530771
0.16100001 506665.85261012 14774.37695952
0.16200001 500389.59352987 14681.43136722
0.16300001 494181.44272416 15803.92328439
0.16400001 488041.61939606 18118.54597545
0.16500001 481969.11772133 15601.34107720
0.16600001 475965.22878206 11922.92954391
0.16700001 470027.25553310 15398.09361828
0.16800001 464155.46586579 15296.24409984
0.16900001 458352.73139282 11687.99520240
0.17000001 452614.94809799 11609.57396691
0.17100001 446942.63434789 16143.56871497
0.17200001 441336.86219439 11452.69211477
0.17300001 435795.76416063 15923.97797443
0.17400001 430319.60350792 14684.65716321
0.17500001 424907.66386629 15704.58799819
0.17600001 419558.10054466 14481.04852423
0.17700001 414273.69886833 15485.55159509
0.17800001 409051.00596428 13179.62403467
0.17900001 403890.98548418 14176.57426010
0.18000001 398793.09342423 14075.40289726
0.18100001 393757.79961697 16124.38265597
0.18200001 388780.85399428 13873.64543015
0.18300001 383865.19711464 15892.01991127
0.18400001 379009.01839711 16828.00121180
0.18500001 374213.38462270 12528.66470905
0.18600001 369474.79350856 12436.52213704
0.18700001 364793.91598574 13373.34559186
0.18800001 360170.51709913 12253.00157062
0.18900001 355605.89683848 13175.19910036
0.19000001 351093.62316342 12070.59933468
0.19100001 346641.27672178 12978.25001369
0.19200001 342240.90735443 10898.66220968
0.19300001 337897.11633903 14749.20982514
0.19400001 333605.14132394 11709.54101379
0.19500001 329367.15294373 10651.73422955
0.19600001 325181.58017644 12491.85099280
0.19700001 321047.65660715 10488.62743702
0.19800001 316965.22477235 13245.97736922
0.19900001 312934.00127550 12204.42662653
0.20000001 308951.09159861 15835.28894828
0.20100001 305019.22706683 11090.49962031
0.20200001 301134.48810021 10086.50015564
0.20300001 297299.54646175 11826.57651723
0.20400001 293511.36607784 10830.56992019
0.20500001 289769.32646477 11640.03439428
0.20600001 286073.78013799 8882.59129315
0.20700001 282424.46722738 8811.64379401
0.20800001 278818.62557005 11363.25362225
0.20900001 275259.47514347 9537.74126458
0.21000001 271742.20339617 12040.89760169
0.21100001 268268.52183377 9384.03333736
0.21200001 264836.97183906 9307.69581530
0.21300001 261446.60061948 9231.67990431
0.21400001 258098.59986998 10820.78431112
0.21500001 254791.99834612 9080.78725037
0.21600001 251524.13794623 8187.11107722
0.21700001 248296.20543269 9743.14356183
0.21800001 245107.33040252 9662.13142130
0.21900001 241955.95305332 10379.91087677
0.22000001 238842.09379370 8709.37736199
0.22100001 235766.97985416 10206.35304048
0.22200001 232728.41359728 9341.71896351
0.22300001 229724.74620378 9262.50220492
0.22400001 226756.10514246 11479.52836566
0.22500001 223824.84634843 9863.96144502
0.22600001 220925.96112019 8274.78226506
0.22700001 218063.02022041 8203.53120863
0.22800001 215232.55673574 8871.88640820
0.22900001 212434.20632040 7328.98046465
0.23000001 209669.24428287 11624.06345277
0.23100001 206937.29266820 7201.41812543
0.23200001 204235.11644431 11420.82825170
0.23300001 201564.37885267 8489.89203880
0.23400001 198925.06683728 9115.74161895
0.23500001 196314.33708378 7644.48064760
0.23600001 193734.70956150 8264.72310079
0.23700001 191183.53051371 8190.30283459
0.23800001 188661.70596450 10821.63596597
0.23900001 186167.74023628 7372.24286206
0.24000001 183701.74919455 7968.98225700
0.24100001 181264.47068556 8553.87077626
0.24200001 178853.92043151 7823.07084972
0.24300001 176469.99104616 7750.56237337
0.24400001 174112.41324431 7678.35778729
0.24500001 171781.01878066 6338.71989286
0.24600001 169475.28492303 7534.87152412
0.24700001 167195.38768115 13061.30430353
0.24800001 164940.40388867 7392.62925201
0.24900001 162709.25149673 6101.59721978
0.25000001 160503.68186480 9064.44586214
0.25100001 158320.88085672 5984.52957951
0.25200001 156163.36382335 6519.03993122
0.25300001 154029.31452428 8215.92402542
0.25400001 151917.73028778 5810.85345843
0.25500001 149828.94207061 9205.49063635
0.25600001 147763.38969491 6265.90683647
0.25700001 145719.34432456 6203.27278139
0.25800001 143698.23612186 6140.94441122
0.25900001 141698.90234517 8289.38617940
0.26000001 139721.19662120 7111.11063850
0.26100001 137763.84734664 6496.94334828
0.26200001 135828.87479794 6430.13923719
0.26300001 133913.94249404 5833.29161106
0.26400001 132019.87098823 6822.12715613
0.26500001 130146.93144798 6750.72165364
0.26600001 128293.20646469 7707.21474307
0.26700001 126460.54422846 5592.08553040
0.26800001 124648.19505585 5029.55490851
0.26900001 122853.86661071 5970.69819982
0.27000001 121080.41428503 5906.30288832
0.27100001 119325.54013898 6329.02694848
0.27200001 117591.32757746 9149.19367514
0.27300001 115875.16056626 6191.21012205
0.27400001 114176.02288228 6593.66563349
0.27500001 112498.57651059 6986.16193193
0.27600001 110837.36092621 5065.82182088
0.27700001 109195.82239255 5919.50581205
0.27800001 107571.57894360 4952.05787104
0.27900001 105966.97323808 7120.98093862
0.28000001 104378.57487768 4839.51285325
0.28100001 102808.93228338 4783.69984555
0.28200001 101257.70339616 5587.90662639
0.28300001 99723.39318748  4673.03842594
0.28400001 98206.26322030  5457.81333679
0.28500001 96707.11944287  4978.48274456
0.28600001 95224.79250007  4099.42751116
0.28700001 93759.81020757  5265.55119049
0.28800001 92311.01171642  5202.18731151
0.28900001 90881.12096627  4348.66184407
0.29000001 89466.45823266  5857.81663006
0.29100001 88069.29422044  4243.17879639
0.29200001 86688.79504409  5333.96181155
0.29300001 85324.77300767  4139.10493453
0.29400001 83976.59928041  3715.96469406
0.29500001 82645.94646421  4036.42821638
0.29600001 81330.91511047  4710.28017160
0.29700001 80031.91211862  5008.39729747
0.29800001 78749.02541270  5651.03033113
0.29900001 77482.80351129  4184.07158768
0.30000001 76231.67644174  3786.04638971
0.30100001 74997.74314855  4416.61730310
0.30200001 73777.63038977  5700.42888193
0.30300001 72574.92461760  4964.12507885
0.30400001 71387.63865171  4572.37847211
0.30500001 70215.39516001  5478.90754372
0.30600001 69057.92205388  3180.11746114
0.30700001 67916.99729012  4079.09505036
0.30800001 66790.75162712  4334.05207827
0.30900001 65680.04049478  3664.94643312
0.31000001 64584.76906630  3615.45554350
0.31100001 63503.53531980  3269.16215304
0.31200001 62438.04440164  3517.75958814
0.31300001 61386.81794140  3469.58311432
0.31400001 60351.37071100  3421.92288133
