# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 353.37391970
0.00100000 1682645.27261706 555.27295315
0.00200000 1682382.21355151 984.19362609
0.00300000 1681943.98444463 1210.99971194
0.00400000 1681330.46839123 2395.89600850
0.00500000 1680542.31944810 2117.48340632
0.00600000 1679579.38273812 2116.27010841
0.00700000 1678442.42332103 3826.84888422
0.00800000 1677131.22249681 2490.53997056
0.00900000 1675647.19725420 3016.16508399
0.01000000 1673989.72200407 2762.08316057
0.01100000 1672160.42706796 3310.87778975
0.01200000 1670159.22075140 3908.17274791
0.01300000 1667987.39733343 4553.60579556
0.01400000 1665645.24107798 4497.24235028
0.01500000 1663134.13808708 4390.67432006
0.01600000 1660454.00997706 5080.98949767
0.01700000 1657606.93572134 4923.09281994
0.01800000 1654593.45481948 5187.15071427
0.01900000 1651414.47965243 5945.09239501
0.02000000 1648070.88981433 6748.85059908
0.02100000 1644565.41443893 5427.06611370
0.02200000 1640896.73140927 5661.09398056
0.02300000 1637067.93214139 6482.78930637
0.02400000 1633079.71359834 7961.26396681
0.02500000 1628934.35886762 7623.41314767
0.02600000 1624632.42701863 7895.71395645
0.02700000 1620175.69692045 6804.73823873
0.02800000 1615564.84693317 9136.01962838
0.02900000 1610803.17931996 8698.33756771
0.03000000 1605891.36609882 8960.87423472
0.03100000 1600830.98831787 12294.38255598
0.03200000 1595623.37244807 10267.83687462
0.03300000 1590272.60927801 10543.50788557
0.03400000 1584777.41654248 9984.09818489
0.03500000 1579141.64654873 11938.31139920
0.03600000 1573366.02185802 12225.05455480
0.03700000 1567453.93810149 12508.28300453
0.03800000 1561406.48454603 12787.91970025
0.03900000 1555226.33949837 9331.35846913
0.04000000 1548913.88089970 18099.05953700
0.04100000 1542472.99057603 9717.58029120
0.04200000 1535905.30502063 9906.58967698
0.04300000 1529212.85169681 13120.64687659
0.04400000 1522397.96704486 15414.28013220
0.04500000 1515463.63204914 12548.03945641
0.04600000 1508410.20378550 11697.72167415
0.04700000 1501241.65331357 14051.62252853
0.04800000 1493959.85323223 12078.66597538
0.04900000 1486567.48506516 11149.25665696
0.05000000 1479066.10279178 12446.34183457
0.05100000 1471459.89258362 16068.34277554
0.05200000 1463748.18568020 12800.47848029
0.05300000 1455936.22707628 14151.70078690
0.05400000 1448025.13082382 14335.44946367
0.05500000 1440018.68116783 14515.38898330
0.05600000 1431917.29650973 17140.05083905
0.05700000 1423726.48895952 13625.06313534
0.05800000 1415445.45920285 12526.69289885
0.05900000 1407078.23272876 15196.44562323
0.06000000 1398628.47647149 14077.19627336
0.06100000 1390097.76795960 12927.90984616
0.06200000 1381488.74168906 15666.08306304
0.06300000 1372804.90062179 14496.82042837
0.06400000 1364045.72189270 21279.11425668
0.06500000 1355217.24623214 14758.31650183
0.06600000 1346321.37104013 20295.79561804
0.06700000 1337358.87926801 13641.06120692
0.06800000 1328334.38482526 23372.04459502
0.06900000 1319251.26811072 13852.13896370
0.07000000 1310109.17667860 23719.52775452
0.07100000 1300912.36081186 21074.78123225
0.07200000 1291663.15322311 26873.05316172
0.07300000 1282364.87356283 15657.67583985
0.07400000 1273020.46464083 20050.07325772
0.07500000 1263630.56676039 20167.54479080
0.07600000 1254198.71549429 14485.99584307
0.07700000 1244728.48647934 18932.32116706
0.07800000 1235221.30607330 17564.84779609
0.07900000 1225678.73873370 19120.58922107
0.08000000 1216106.39492747 16253.26273066
0.08100000 1206505.22069893 20776.02087521
0.08200000 1196876.02711695 25331.88230263
0.08300000 1187223.09394127 17950.81402286
0.08400000 1177549.00861483 19517.87573393
0.08500000 1167855.63272351 24104.54139100
0.08600000 1158145.70168832 22670.70317497
0.08700000 1148421.66380423 16675.08334146
0.08800000 1138684.73396150 19761.87448599
0.08900000 1128938.82900626 18288.80988892
0.09000000 1119185.98790771 16804.57839784
0.09100000 1109428.11446861 24496.17391833
0.09200000 1099666.95002714 18408.42560841
0.09300000 1089907.07549927 18441.22858404
0.09400000 1080147.04052963 20009.72486622
0.09500000 1070391.22358265 21579.08808170
0.09600000 1060641.16963692 21605.26164112
0.09700000 1050902.18144393 16993.08907284
0.09800000 1041172.16285147 26284.39248702
0.09900000 1031456.08895157 17019.02626798
0.10000000 1021752.80128676 17027.51123420
0.10100000 1012066.57026508 20130.00502932
0.10200000 1002399.39812113 15487.07142943
0.10300000 992752.26733242 20133.01692857
0.10400000 983127.90756894 18581.11832720
0.10500000 973530.05742678 20122.86723378
0.10600001 963954.83578819 21660.06617934
0.10700001 954410.29495547 15461.44750586
0.10800001 944893.70889472 15449.01286749
0.10900001 935409.79297965 23151.39346588
0.11000001 925959.44610343 16958.94805363
0.11100001 916543.12307091 21557.09526939
0.11200001 907164.06684918 15376.43165697
0.11300001 897822.11066152 18423.31057816
0.11400001 888520.61592972 22990.47201967
0.11500001 879260.19731164 15299.12815363
0.11600001 870042.68156873 18323.09973670
0.11700001 860869.48204420 15237.39054979
0.11800001 851740.67597674 18244.28613870
0.11900001 842658.56610220 22751.78235641
0.12000001 833624.03782255 22695.41549878
0.12100001 824640.11099855 16600.00621640
0.12200001 815706.29548969 27089.60734944
0.12300001 806824.71234981 19509.02246377
0.12400001 797995.33222574 17954.89582107
0.12500001 789219.28825660 17899.49430109
0.12600001 780500.16524596 19329.08750317
0.12700001 771836.05145635 19265.02875224
0.12800001 763228.74377267 19199.01995444
0.12900001 754680.23767221 19131.14492668
0.13000001 746190.42714935 16128.90684307
0.13100001 737759.50208415 20450.69436177
0.13200001 729389.15857199 16006.44583941
0.13300001 721081.41713157 14493.73716762
0.13400001 712834.52789397 15878.38985743
0.13500001 704651.66278071 18687.36297802
0.13600001 696531.02866451 24333.31263373
0.13700001 688475.74722792 18526.88323151
0.13800001 680483.61837325 15606.89252334
0.13900001 672558.20018465 21185.58430489
0.14000001 664698.07597077 16870.03796374
0.14100001 656904.17912807 18189.67757794
0.14200001 649176.73120466 18102.29400344
0.14300001 641517.54758973 15242.45764968
0.14400001 633923.23386286 16545.39718426
0.14500001 626399.20538547 17833.58621857
0.14600001 618942.24673750 16377.21262126
0.14700001 611555.79909008 19007.15513241
0.14800001 604234.95077193 14855.11696557
0.14900001 596984.55151790 14775.36834718
0.15000001 589802.46616509 18702.63708454
0.15100001 582689.84125326 17270.92770967
0.15200001 575647.10473984 15853.32201261
0.15300001 568674.59000944 17077.29874384
0.15400001 561769.06035733 13061.13126968
0.15500001 554934.86860392 15582.57184579
0.15600001 548167.53922036 16782.15000526
0.15700001 541473.39524888 16682.79609499
0.15800001 534844.64593415 15307.25448912
0.15900001 528287.66913781 12678.90465776
0.16000001 521797.34775656 15121.68785177
0.16100001 515378.93087897 17533.19205614
0.16200001 509028.30207319 14934.89108784
0.16300001 502745.78657909 13604.30162706
0.16400001 496532.19275889 13518.08958604
0.16500001 490386.07706635 14652.73667452
0.16600001 484309.14273970 14558.33351810
0.16700001 478298.12185096 15669.04721165
0.16800001 472353.80421128 11974.16950213
0.16900001 466478.99320682 14274.25786613
0.17000001 460669.20232823 12997.78215744
0.17100001 454925.46870068 11737.07764672
0.17200001 449248.35869074 15155.39409611
0.17300001 443636.50830282 13894.69609621
0.17400001 438089.97672703 12649.84867540
0.17500001 432607.92935767 12562.93486186
0.17600001 427188.56560337 12476.04264768
0.17700001 421834.93989871 12389.29276998
0.17800001 416543.08706162 15657.85538220
0.17900001 411314.44559715 17768.78488908
