# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097187 302.89193117
0.00100000 1682645.46151161 757.19047566
0.00200000 1682382.95543212 757.07235392
0.00300000 1681945.65438689 1614.66788573
0.00400000 1681333.43372764 1513.20014785
0.00500000 1680546.94881897 1663.74154518
0.00600000 1679586.06526277 2116.27852839
0.00700000 1678451.50410027 2014.14188863
0.00800000 1677143.03926884 2943.38615819
0.00900000 1675662.15868892 2764.84268003
0.01000000 1674008.22070381 3314.53642011
0.01100000 1672182.75581819 3611.91490983
0.01200000 1670185.74295476 5210.97974649
0.01300000 1668018.51061703 5604.54244286
0.01400000 1665681.30186448 4872.11802394
0.01500000 1663175.48126585 5588.26986589
0.01600000 1660500.99687454 4234.27773132
0.01700000 1657659.86100984 4923.25000805
0.01800000 1654652.65262262 7545.21643548
0.01900000 1651480.42796121 7431.66226116
0.02000000 1648143.83158667 6229.98396522
0.02100000 1644645.71734396 7055.53044729
0.02200000 1640984.62179317 6227.53692264
0.02300000 1637163.92304313 7072.54846948
0.02400000 1633183.97210889 11023.99231440
0.02500000 1629047.19530107 6353.28435183
0.02600000 1624754.26658015 8554.33160480
0.02700000 1620306.78280866 8166.34655938
0.02800000 1615705.45928234 9136.81479125
0.02900000 1610953.76415916 7974.22149872
0.03000000 1606052.07840043 8214.95675862
0.03100000 1601002.15132347 8453.29174795
0.03200000 1595805.25404321 8689.16000847
0.03300000 1590465.53051862 8111.37457958
0.03400000 1584981.55760155 9153.26891748
0.03500000 1579357.41697948 11939.94262373
0.03600000 1573593.65919440 13100.16781820
0.03700000 1567693.49523553 10723.02400332
0.03800000 1561658.35933672 11876.41237239
0.03900000 1555490.89574281 10266.24038733
0.04000000 1549191.18015504 11433.03143934
0.04100000 1542763.42190300 13607.17401210
0.04200000 1536209.08425923 13871.96867442
0.04300000 1529529.92337600 12113.87755544
0.04400000 1522728.99274363 12334.10541404
0.04500000 1515808.49540325 16734.52656682
0.04600000 1508769.07365403 11700.50471011
0.04700000 1501615.07307243 12973.95483474
0.04800000 1494347.63095820 14278.49227816
0.04900000 1486969.94416319 13382.73012040
0.05000000 1479483.47281366 11318.04909406
0.05100000 1471892.47247674 13776.91418417
0.05200000 1464195.73253024 18624.57058571
0.05300000 1456399.13212296 16515.56692819
0.05400000 1448503.49772876 13145.16985490
0.05500000 1440512.54559564 18150.45892121
0.05600000 1432427.09610309 15921.42791615
0.05700000 1424252.23521832 13630.09452727
0.05800000 1415987.10457213 13784.63510665
0.05900000 1407636.03731939 20269.95988412
0.06000000 1399202.61190358 17923.78629586
0.06100000 1390688.09725798 14226.73989978
0.06200000 1382095.52668441 15672.96400521
0.06300000 1373428.21555107 18458.87608006
0.06400000 1364685.32434828 17297.38729506
0.06500000 1355873.82689446 16107.78181699
0.06600000 1346994.33946612 16244.75249403
0.06700000 1338048.76758136 17742.52748846
0.06800000 1329040.99973319 22008.91998580
0.06900000 1319974.70281327 15245.70853128
0.07000000 1310849.26016192 16752.65432937
0.07100000 1301669.51924647 19681.24405283
0.07200000 1292437.18812211 16982.62544751
0.07300000 1283155.80632642 14243.03011759
0.07400000 1273828.53718544 21495.85757239
0.07500000 1264455.28780488 18739.22824362
0.07600000 1255040.43416768 14495.71769420
0.07700000 1245586.98562523 20402.71578119
0.07800000 1236096.50348992 19042.06752926
0.07900000 1226570.97074083 23550.16374281
0.08000000 1217015.42390629 19222.75952236
0.08100000 1207430.78533035 14851.39935636
0.08200000 1197818.62261451 17895.41106161
0.08300000 1188182.07373637 20959.53276438
0.08400000 1178524.51540893 24041.90124284
0.08500000 1168847.82549068 15078.13765668
0.08600000 1159154.36465661 19665.05471970
0.08700000 1149446.49738840 16689.96392580
0.08800000 1139725.83863184 15215.34066030
0.08900000 1129996.14497844 18305.93840848
0.09000000 1120259.42672969 18349.85027183
0.09100000 1110517.56959345 19922.68613450
0.09200000 1100772.17055778 16891.34975088
0.09300000 1091028.00575199 15383.49560401
0.09400000 1081283.50921702 24653.26516879
0.09500000 1071543.17343377 18516.26690725
0.09600000 1061808.72088199 15449.31761507
0.09700000 1052084.55493561 23198.46552695
0.09800000 1042369.78280528 20122.94960319
0.09900000 1032668.53150423 15490.02870094
0.10000000 1022980.28292946 20147.59761978
0.10100000 1013308.55815924 32557.60550490
0.10200000 1003655.51225013 17057.12623300
0.10300000 994022.83192044 20158.78397963
0.10400000 984412.69848844 17054.95080366
0.10500000 974828.69639505 20149.71010252
0.10600001 965267.17751332 15492.53892807
0.10700001 955736.22084445 23224.39125941
0.10800001 946233.14063406 17018.00383520
0.10900001 936762.58769343 15456.58342442
0.11000001 927324.94147049 18527.95320268
0.11100001 917921.44381031 16963.18908013
0.11200001 908555.12375700 16940.01107994
0.11300001 899225.63878208 18452.11097655
0.11400001 889936.11654755 18421.67847991
0.11500001 880687.92885574 18388.76482040
0.11600001 871482.14831722 15294.51242321
0.11700001 862320.61584244 24420.92099076
0.11800001 853203.26665060 21321.55063781
0.11900001 844132.07685525 24311.00495852
0.12000001 835108.52521566 19704.38658064
0.12100001 826135.31572566 16630.10468897
0.12200001 817211.93964581 16585.31709647
0.12300001 808340.92482798 18042.17029221
0.12400001 799521.52652494 20987.44106015
0.12500001 790755.41141064 20923.38917185
0.12600001 782045.66284108 19367.36175292
0.12700001 773391.15659892 19303.84417843
0.12800001 764793.04335542 16278.62069502
0.12900001 756253.25852759 20645.71493088
0.13000001 747772.04458673 17632.46564246
0.13100001 739349.59768428 17566.94726904
0.13200001 730987.51669716 16041.52181012
0.13300001 722687.67879757 15978.62533149
0.13400001 714448.55909328 15914.34240409
0.13500001 706273.23691059 17289.56965474
0.13600001 698160.07596334 20086.06633254
0.13700001 690111.53469635 18570.90227436
0.13800001 682126.17887165 21333.49725021
0.13900001 674207.49245355 24069.20861565
0.14000001 666353.57792915 16912.05460542
0.14100001 658565.92188240 18235.69123697
0.14200001 650844.16782667 16752.72967001
0.14300001 643190.79876559 13892.92190863
0.14400001 635601.91027199 13824.34220051
0.14500001 628082.91151490 15130.51805213
0.14600001 620631.11219559 13684.91666949
