# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682645.59539721 706.71116685
0.00200000 1682383.49101186 908.48711391
0.00300000 1681946.86605002 1009.16815558
0.00400000 1681335.59436001 1513.20209242
0.00500000 1680550.31752228 1966.24394933
0.00600000 1679590.91255579 1939.92758298
0.00700000 1678458.09592852 2215.56477871
0.00800000 1677151.65442413 2490.57031197
0.00900000 1675673.05677212 3016.21163113
0.01000000 1674021.63680036 3038.34940199
0.01100000 1672199.02982093 5417.92509251
0.01200000 1670205.09017182 3582.59007549
0.01300000 1668041.18924361 4553.75264748
0.01400000 1665707.53230464 5246.97895936
0.01500000 1663205.66863890 4790.03253897
0.01600000 1660535.27697148 4657.80166012
0.01700000 1657698.52749723 4475.78622502
0.01800000 1654696.00940336 5659.06060680
0.01900000 1651528.63193710 6440.96195519
0.02000000 1648197.22902542 5711.00365691
0.02100000 1644704.52141712 5970.27768343
0.02200000 1641049.14759561 8492.42972464
0.02300000 1637234.32257109 5894.04382954
0.02400000 1633260.51093537 8574.61807339
0.02500000 1629130.24607620 6988.96907486
0.02600000 1624843.92669679 7896.74184493
0.02700000 1620403.36101104 7486.26387075
0.02800000 1615809.21720844 11246.03266751
0.02900000 1611064.84029129 11599.66738269
0.03000000 1606170.75795452 11203.04155168
0.03100000 1601128.64888764 9991.04322878
0.03200000 1595939.89052820 9479.88338636
0.03300000 1590608.58082759 9734.52496343
0.03400000 1585133.26850560 9154.14504800
0.03500000 1579517.83733590 11941.15540168
0.03600000 1573763.01645711 16595.33177547
0.03700000 1567872.09652558 8936.87136350
0.03800000 1561846.44665931 14618.88341729
0.03900000 1555688.68190104 9334.13252367
0.04000000 1549398.88687512 13340.32503417
0.04100000 1542981.20173003 15553.25123459
0.04200000 1536437.12609527 11892.02390768
0.04300000 1529768.53311520 14135.06190211
0.04400000 1522978.14217771 10280.10293713
0.04500000 1516068.71155255 14645.22443409
0.04600000 1509040.38518387 11702.60873112
0.04700000 1501897.68372475 12976.39659089
0.04800000 1494641.81739246 13182.74144277
0.04900000 1487275.66230771 11154.56798653
0.05000000 1479801.05982262 11320.47863479
0.05100000 1472222.18724840 16076.66703367
0.05200000 1464537.61095710 12807.38200466
0.05300000 1456753.53363616 12979.67458978
0.05400000 1448870.46820862 16734.45468820
0.05500000 1440892.19306755 14524.19398366
0.05600000 1432819.74545451 12250.60939530
0.05700000 1424657.88426597 12394.52417167
0.05800000 1416406.07776467 12535.19437352
0.05900000 1408068.36284464 15207.13902898
0.06000000 1399648.41292564 17929.49700722
0.06100000 1391147.51466401 16818.97423826
0.06200000 1382568.80585286 15678.33099123
0.06300000 1373915.60896500 13189.59046275
0.06400000 1365186.73564929 13310.57129507
0.06500000 1356389.41680280 14771.08143994
0.06600000 1347524.33714388 14896.88224413
0.06700000 1338593.19639257 13653.65124218
0.06800000 1329599.93120876 22018.17589147
0.06900000 1320548.43289617 18025.48695297
0.07000000 1311437.82353432 13966.81347469
0.07100000 1302272.94189010 16877.45811740
0.07200000 1293055.70859839 22654.33707593
0.07300000 1283789.56032472 14250.06478730
0.07400000 1274477.48870523 18639.23414583
0.07500000 1265119.72869618 24518.02149135
0.07600000 1255720.06348823 18854.63763719
0.07700000 1246282.20478932 23330.40396758
0.07800000 1236807.18438475 17587.39898673
0.07900000 1227297.26156086 14727.56782951
0.08000000 1217757.46220727 17754.90463188
0.08100000 1208188.55059164 20805.00781732
0.08200000 1198592.48962461 19399.22035489
0.08300000 1188971.68971334 16479.14839283
0.08400000 1179330.06620777 21051.04266992
0.08500000 1169669.39118573 18106.48302557
0.08600000 1159992.03778922 19679.26584507
0.08700000 1150300.15963510 22775.94423028
0.08800000 1140595.74809412 16749.64934739
0.08900000 1130882.24682686 16793.60215417
0.09000000 1121161.61632296 15303.85678171
0.09100000 1111436.01245490 15337.81769247
0.09200000 1101706.95006163 18442.57521059
0.09300000 1091978.95392906 16936.59437133
0.09400000 1082250.76292092 20048.69632535
0.09500000 1072526.74309783 24711.01732246
0.09600000 1062808.61977258 15463.86614461
0.09700000 1053100.64846738 18576.69631231
0.09800000 1043402.33494753 15494.52540249
0.09900000 1033717.26133265 26359.79140349
0.10000000 1024045.21024365 27925.71419661
0.10100000 1014389.74655837 21728.22939320
0.10200000 1004753.09347470 18628.12322922
0.10300000 995136.42125790 17076.54179208
0.10400000 985542.80839334 17074.52995869
0.10500000 975974.77877258 15517.99971260
0.10600001 966429.20325200 21715.66521887
0.10700001 956914.46470236 24803.22409227
0.10800001 947427.35464216 26333.74456159
0.10900001 937972.79907692 18571.86229582
0.11000001 928551.22739830 18552.45439667
0.11100001 919163.34751031 20074.52845460
0.11200001 909812.85434501 16963.46146785
0.11300001 900499.16329415 20018.09734250
0.11400001 891225.31583411 16911.00116420
0.11500001 881992.87794943 16881.34447886
0.11600001 872802.60920327 21444.76111799
0.11700001 863656.41184164 27516.09457714
0.11800001 854554.33395455 18304.55469542
0.11900001 845498.49710699 16740.87103124
0.12000001 836490.06765956 19736.98407614
0.12100001 827532.14994745 18172.60686892
0.12200001 818623.76396654 19634.69190375
0.12300001 809767.45317355 16567.84287251
0.12400001 800962.87141178 24028.88727453
0.12500001 792211.47641064 22459.19641453
0.12600001 783516.13445812 17911.17967775
0.12700001 774876.17945547 20828.67268534
0.12800001 766292.44282270 20758.86325442
0.12900001 757766.75127784 17731.74281564
0.13000001 749299.65558695 19140.86060417
0.13100001 740891.09390484 17603.57322097
0.13200001 732542.87520675 17537.07725915
0.13300001 724256.81038723 20380.58760510
0.13400001 716031.33573091 14499.63523215
0.13500001 707869.25680220 17328.64022353
0.13600001 699769.25309842 17256.31059506
0.13700001 691734.01700978 18614.56327547
0.13800001 683761.72205665 25661.57863888
0.13900001 675855.56040634 17031.56092542
0.14000001 668014.49594403 14128.50725552
0.14100001 660239.24535391 16875.71590715
0.14200001 652529.85176265 13996.76598047
0.14300001 644888.50673909 13929.59240259
0.14400001 637311.98999222 16633.84372341
0.14500001 629804.55443817 13792.72039283
0.14600001 622364.47903269 17840.07863307
0.14700001 614994.02886656 17748.72851041
0.14800001 607689.02831913 17656.40555082
0.14900001 600453.77177008 13510.21050225
0.15000001 593286.74000035 14781.73982455
0.15100001 586188.96840599 14701.62002132
0.15200001 579160.22242079 17279.24605128
0.15300001 572201.54474383 15861.42756878
0.15400001 565309.34913778 19715.16448156
0.15500001 558488.04427521 26137.24170557
0.15600001 551733.30890006 15591.98404538
0.15700001 545051.14104518 15501.25518293
0.15800001 538434.02123456 17978.31281758
0.15900001 531888.39959085 12765.32219271
0.16000001 525409.00992743 16495.21664529
0.16100001 519001.31642319 15134.07910129
0.16200001 512660.58546063 13788.00709684
0.16300001 506387.82468849 16194.28339803
0.16400001 500183.36405806 16093.40049833
0.16500001 494046.21036798 14762.10146273
0.16600001 487977.52211041 14668.60500719
0.16700001 481974.52601368 15789.48621770
0.16800001 476038.16925291 16894.59542449
0.16900001 470170.47502838 11989.34767934
0.17000001 464367.40875831 16675.43443592
0.17100001 458630.16745317 16565.72243066
0.17200001 452958.96398684 17631.42850579
0.17300001 447352.91667695 16346.27634732
0.17400001 441811.63141856 13917.06704693
0.17500001 436334.34532401 14974.99543875
0.17600001 430919.53341858 20593.64547469
0.17700001 425570.07301614 18180.35437792
0.17800001 420281.46497516 19183.74837488
0.17900001 415056.49685836 16809.78891675
0.18000001 409892.98191411 15580.03297848
0.18100001 404792.62249573 12155.92302775
0.18200001 399750.14795957 14265.08470379
0.18300001 394769.41709440 11985.20006916
0.18400001 389847.79325764 14063.75980615
0.18500001 384986.99762677 11815.25151534
0.18600001 380183.08422323 15996.20402441
0.18700001 375437.25365862 11646.06415871
0.18800001 370748.68023151 12612.87069739
0.18900001 366118.89683164 13564.70576851
0.19000001 361541.38781749 11393.97737542
0.19100001 357024.17824658 11310.52650127
0.19200001 352558.53995729 13268.54127825
0.19300001 348150.15465350 13170.52097288
0.19400001 343793.20787497 14078.33252774
0.19500001 339490.82697038 10979.13386304
0.19600001 335240.46258343 16840.80543371
0.19700001 331041.88753071 9831.94452430
0.19800001 326895.04136786 11709.38093517
0.19900001 322799.19214558 10652.37384424
0.20000001 318752.23600264 11532.45644361
0.20100001 314756.04948690 10490.81962522
0.20200001 310807.22419175 17035.34476310
0.20300001 306908.02960265 12208.80199464
0.20400001 303055.93094394 11182.76438039
0.20500001 299250.38776129 11096.20490267
0.20600001 295491.30097837 11010.00639488
0.20700001 291778.24800588 10924.17812172
0.20800001 288109.01209338 9032.21795608
0.20900001 284486.74974308 12545.86625673
0.21000001 280906.24747941 9779.75146831
0.21100001 277369.55762306 11466.45805420
0.21200001 273875.21363394 12250.43888498
0.21300001 270421.90551890 14756.92408181
0.21400001 267011.21454060 9472.22328364
0.21500001 263642.19497308 10250.40902517
0.21600001 260312.13644808 8473.16044198
0.21700001 257022.13941601 10926.01166315
0.21800001 253771.17350209 8336.38344369
0.21900001 250557.91339281 11575.77614607
0.22000001 247382.37455020 12301.08915614
0.22100001 244245.67875660 8133.38148717
0.22200001 241145.92784084 8872.96483446
0.22300001 238080.85299984 8799.46874296
0.22400001 235051.29164257 11899.47220209
0.22500001 232059.13385532 13373.56851648
0.22600001 229099.57700835 11701.26144903
0.22700001 226176.29066447 10829.32130912
0.22800001 223285.21076523 9203.81682299
0.22900001 220426.66618821 10646.60848038
0.23000001 217601.99797456 9047.89150367
0.23100001 214810.01123958 8970.46649360
0.23200001 212048.04316042 9634.40329664
0.23300001 209318.13679812 9551.18703382
0.23400001 206619.66974896 7283.34370312
0.23500001 203949.52578564 10107.73897599
0.23600001 201311.17796916 7872.27398682
0.23700001 198701.45621517 9931.09925135
0.23800001 196120.90582738 9140.21524841
0.23900001 193568.73018267 8362.16953942
0.24000001 191044.58445261 7596.88826009
0.24100001 188549.35522815 9582.07868594
0.24200001 186080.77526807 8817.43795316
0.24300001 183639.62520347 7393.33166042
0.24400001 181224.64112427 8658.00763927
0.24500001 178836.02556313 12538.19434534
0.24600001 176473.65442650 7846.01904696
0.24700001 174136.85017356 7125.68024619
